time,open,high,low,close,volume
1666137600,1.00000000,100.00000000,1.00000000,7.32070000,67602698.77000000
1666224000,7.32190000,7.74800000,6.90000000,7.36850000,17974526.96000000
1666310400,7.36910000,7.70000000,6.99000000,7.49800000,16533981.69000000
1666396800,7.49800000,9.31520000,7.34110000,8.95530000,22408625.29000000
1666483200,8.95710000,10.33000000,8.88060000,9.78150000,31410439.72000000
1666569600,9.78080000,9.96800000,9.23540000,9.52930000,20840808.03000000
1666656000,9.52980000,9.56800000,8.52020000,8.78630000,20968485.45000000
1666742400,8.78330000,9.28630000,8.60610000,9.19510000,15721495.42000000
1666828800,9.19110000,9.63870000,8.60000000,8.70130000,16118633.70000000
1666915200,8.70150000,8.82640000,7.93370000,8.18450000,15606321.18000000
1667001600,8.18270000,8.36920000,7.59200000,7.95320000,13416201.68000000
1667088000,7.95800000,8.38000000,7.60260000,7.80490000,11858055.96000000
1667174400,7.80150000,8.22110000,7.70000000,7.94390000,9139206.43000000
1667260800,7.93370000,8.31500000,7.81500000,8.19250000,9092526.88000000
1667347200,8.19350000,8.21100000,7.12590000,7.37070000,14872782.25000000
1667433600,7.37450000,7.56350000,7.16590000,7.23280000,6315233.43000000
1667520000,7.23280000,7.79000000,7.16000000,7.65320000,8633378.03000000
1667606400,7.65270000,7.99800000,7.51610000,7.62490000,9131990.09000000
1667692800,7.62150000,8.23210000,7.23000000,7.30950000,13277982.14000000
1667779200,7.30950000,7.45860000,6.80000000,7.00060000,9960991.00000000
1667865600,7.00000000,7.02280000,4.50000000,5.37620000,23314806.13000000
1667952000,5.37370000,5.39000000,3.43560000,3.96260000,27117956.79000000
1668038400,3.96820000,5.50000000,3.85720000,5.15340000,23161152.79000000
1668124800,5.15070000,5.34460000,4.50000000,5.18410000,13615834.03000000
1668211200,5.17750000,5.18390000,4.42760000,4.54730000,6845305.29000000
1668297600,4.54420000,4.61940000,4.12010000,4.21960000,7360914.52000000
1668384000,4.21900000,4.51060000,3.77080000,4.19250000,10570819.78000000
1668470400,4.19170000,4.72000000,4.11100000,4.33460000,9332444.72000000
1668556800,4.33630000,4.96880000,4.15750000,4.50050000,14922210.89000000
1668643200,4.50070000,4.85000000,4.34130000,4.66040000,12744677.28000000
1668729600,4.65970000,4.94000000,4.53480000,4.71770000,7369507.15000000
1668816000,4.72000000,4.77350000,4.50000000,4.62260000,3806479.07000000
1668902400,4.62280000,4.63580000,4.02500000,4.10240000,4788160.75000000
1668988800,4.10110000,4.15070000,3.87000000,4.06370000,7484136.08000000
1669075200,4.06490000,4.52210000,3.85630000,4.31630000,7456384.50000000
1669161600,4.31640000,4.60000000,4.24360000,4.44300000,6258534.24000000
1669248000,4.44350000,4.74790000,4.22550000,4.43820000,7099049.99000000
1669334400,4.43800000,4.55470000,4.25440000,4.42590000,4717623.28000000
1669420800,4.42890000,5.04860000,4.40590000,4.76860000,10233771.92000000
1669507200,4.76660000,5.03000000,4.62160000,4.79440000,6553901.77000000
1669593600,4.79090000,4.79090000,4.31000000,4.47890000,5834307.71000000
1669680000,4.47750000,4.79410000,4.42000000,4.67220000,4966707.67000000
1669766400,4.67070000,4.87690000,4.57230000,4.77180000,4729835.05000000
1669852800,4.77170000,4.79220000,4.58500000,4.65460000,2790949.40000000
1669939200,4.65420000,5.06660000,4.52000000,4.89850000,6593053.70000000
1670025600,4.89840000,5.25100000,4.87470000,5.11370000,7810214.04000000
1670112000,5.11290000,5.40000000,5.05910000,5.18290000,5269908.47000000
1670198400,5.18570000,5.42860000,5.00190000,5.16130000,4993035.57000000
1670284800,5.16120000,5.42000000,4.86710000,5.04910000,4040477.80000000
1670371200,5.04910000,5.05830000,4.61310000,4.81800000,4633345.29000000
1670457600,4.81890000,4.94310000,4.68530000,4.91770000,3525956.11000000
1670544000,4.91660000,4.94990000,4.75230000,4.80720000,2265069.95000000
1670630400,4.80670000,4.84280000,4.75730000,4.78400000,1375185.61000000
1670716800,4.78430000,4.92010000,4.60330000,4.66370000,2094115.44000000
