time,open,high,low,close,volume
1556496000,4.75500000,4.75500000,3.66100000,3.77700000,1579303.10100000
1556582400,3.77700000,4.07500000,3.75000000,3.91700000,638430.33900000
1556668800,3.91300000,4.65000000,3.87600000,4.39200000,1702261.31500000
1556755200,4.39100000,4.66100000,4.17400000,4.61000000,1133146.03300000
1556841600,4.60800000,5.38000000,4.55000000,5.33300000,2774683.23600000
1556928000,5.34100000,5.66000000,4.70600000,5.24300000,3500511.25100000
1557014400,5.23800000,5.23800000,4.77400000,4.83700000,1544214.97400000
1557100800,4.83800000,4.94000000,4.50200000,4.76300000,1395933.41200000
1557187200,4.76300000,5.07100000,4.59000000,4.59600000,1104548.01000000
1557273600,4.60100000,4.63500000,4.24200000,4.31300000,1025911.94700000
1557360000,4.34200000,4.49100000,3.41500000,3.88000000,1848165.51300000
1557446400,3.88400000,4.11400000,3.61100000,3.79700000,1403065.55600000
1557532800,3.80400000,4.17500000,3.70000000,3.90200000,1421951.65000000
1557619200,3.90400000,4.04000000,3.60400000,3.75000000,828353.86300000
1557705600,3.75000000,4.17300000,3.73400000,3.89700000,1023379.11700000
1557792000,3.89700000,4.08700000,3.77900000,4.00000000,1214232.75700000
1557878400,4.00000000,4.80000000,3.98600000,4.54700000,1592045.38800000
1557964800,4.54600000,4.78000000,4.00000000,4.27800000,1678626.34000000
1558051200,4.26800000,4.79200000,3.95000000,4.41300000,2800485.78500000
1558137600,4.41300000,5.00000000,4.33000000,4.68400000,1869590.99900000
1558224000,4.68400000,5.17100000,4.63600000,4.85200000,1758978.66500000
1558310400,4.85200000,4.86300000,4.43200000,4.67300000,1532786.28600000
1558396800,4.66800000,4.86400000,4.48000000,4.74300000,1172703.70400000
1558483200,4.74000000,4.82100000,4.30000000,4.30600000,997542.19100000
1558569600,4.30900000,4.36300000,4.11500000,4.33700000,976154.05100000
1558656000,4.33500000,4.77000000,4.25800000,4.45400000,2054989.88300000
1558742400,4.44700000,4.60000000,4.28700000,4.38500000,606239.44300000
1558828800,4.38500000,4.54300000,4.23800000,4.48100000,549918.06100000
1558915200,4.47800000,4.69900000,4.47000000,4.65500000,660167.30100000
1559001600,4.66500000,4.86300000,4.47400000,4.77800000,650998.40000000
1559088000,4.79400000,4.87300000,4.50000000,4.69600000,598479.75500000
1559174400,4.68200000,6.60300000,4.66800000,5.92600000,5953590.29300000
1559260800,5.92800000,5.93000000,5.21100000,5.78200000,3477721.86600000
1559347200,5.78200000,6.32500000,5.60000000,5.77100000,2589194.83600000
1559433600,5.77300000,6.42000000,5.57200000,6.38800000,1467150.22900000
1559520000,6.39300000,7.24900000,5.97500000,6.50600000,4684919.33100000
1559606400,6.50600000,6.85000000,5.74400000,5.93000000,3360461.82400000
1559692800,5.93100000,6.28000000,5.62000000,6.14000000,2180411.46700000
