time,open,high,low,close,volume
1600732800,0.85000000,7.00000000,0.85000000,5.31930000,31441883.16000000
1600819200,5.32790000,5.36000000,3.40000000,3.53500000,12620608.01000000
1600905600,3.53050000,4.88730000,3.40330000,4.64110000,7107843.86000000
1600992000,4.63660000,5.02340000,4.20010000,4.71340000,3886096.71000000
1601078400,4.71640000,4.82000000,4.32940000,4.52000000,1814932.97000000
1601164800,4.52140000,4.71340000,4.10680000,4.64840000,1500134.56000000
1601251200,4.64850000,4.70500000,4.16670000,4.20210000,1210446.38000000
1601337600,4.19990000,4.28990000,3.96070000,4.13940000,1057878.53000000
1601424000,4.14290000,4.41100000,3.99580000,4.32930000,915518.31000000
1601510400,4.32930000,4.53000000,4.01400000,4.15000000,1477288.72000000
1601596800,4.14220000,4.21980000,3.63320000,3.91150000,1847614.48000000
1601683200,3.91560000,4.19000000,3.86960000,4.01680000,679798.03000000
1601769600,4.02020000,4.07980000,3.83340000,3.96400000,630849.97000000
1601856000,3.95820000,4.04560000,3.87000000,3.98130000,475912.76000000
1601942400,3.99490000,4.00000000,3.50000000,3.54240000,971155.87000000
1602028800,3.54010000,3.54620000,3.20700000,3.44200000,988661.32000000
1602115200,3.44090000,3.95990000,3.32280000,3.91470000,900977.83000000
1602201600,3.91470000,4.32520000,3.80340000,4.24910000,573063.37000000
1602288000,4.24270000,4.26930000,4.00010000,4.02300000,821315.35000000
1602374400,4.02050000,4.17620000,3.93330000,4.09600000,542437.49000000
1602460800,4.08410000,4.71000000,4.05400000,4.41000000,851811.15000000
1602547200,4.40990000,4.56360000,4.32030000,4.48060000,776819.51000000
1602633600,4.48080000,4.48480000,4.01250000,4.15960000,512479.12000000
1602720000,4.15000000,4.23120000,3.99850000,4.12690000,306544.02000000
1602806400,4.12660000,4.15820000,3.87550000,4.04330000,538055.06000000
1602892800,4.04620000,4.21000000,3.96730000,4.19460000,258634.77000000
1602979200,4.18740000,4.24610000,4.07010000,4.11950000,138296.50000000
1603065600,4.13710000,4.17480000,3.99260000,4.05000000,274925.09000000
1603152000,4.05680000,4.09080000,3.69250000,3.80400000,589447.62000000
1603238400,3.80070000,4.10300000,3.79180000,3.95850000,319446.86000000
1603324800,3.95740000,4.49040000,3.95110000,4.33850000,741499.28000000
1603411200,4.34060000,4.48720000,4.13540000,4.25680000,324892.94000000
1603497600,4.25390000,4.36200000,4.14000000,4.18210000,218601.98000000
1603584000,4.18030000,4.25260000,4.10000000,4.14790000,209663.90000000
1603670400,4.14090000,4.48970000,4.01410000,4.14800000,661155.33000000
1603756800,4.14540000,4.35000000,4.03430000,4.12170000,292754.21000000
1603843200,4.12140000,4.17920000,3.93080000,4.05960000,359147.72000000
1603929600,4.06070000,4.10510000,3.72960000,3.77580000,422589.86000000
1604016000,3.77440000,3.82260000,3.57810000,3.72240000,850092.33000000
1604102400,3.71160000,3.76120000,3.58760000,3.64560000,346114.94000000
1604188800,3.63550000,3.71420000,3.55210000,3.68140000,295468.18000000
1604275200,3.68510000,3.87750000,3.61450000,3.61700000,322604.28000000
1604361600,3.61740000,3.65130000,3.23680000,3.32300000,664899.75000000
1604448000,3.32990000,3.37590000,3.00000000,3.17180000,466205.93000000
1604534400,3.17360000,3.38410000,3.02110000,3.33480000,644688.78000000
1604620800,3.33500000,3.66660000,3.31940000,3.59130000,910038.31000000
1604707200,3.59400000,3.91930000,3.37000000,3.41260000,832528.78000000
1604793600,3.40930000,3.67000000,3.36130000,3.47540000,543130.62000000
1604880000,3.46740000,3.53990000,3.26190000,3.41250000,534923.49000000
1604966400,3.42100000,3.63000000,3.36900000,3.57130000,482731.01000000
1605052800,3.57750000,3.82000000,3.46000000,3.48420000,389355.68000000
1605139200,3.49180000,3.56910000,3.32000000,3.42430000,314355.65000000
1605225600,3.42680000,3.70180000,3.39110000,3.67450000,585394.03000000
1605312000,3.67790000,3.70420000,3.39600000,3.48940000,443020.54000000
1605398400,3.48400000,3.64150000,3.41010000,3.54530000,438362.91000000
1605484800,3.53480000,3.82000000,3.45500000,3.70000000,658000.76000000
1605571200,3.70620000,3.93330000,3.68810000,3.83550000,490826.18000000
1605657600,3.84760000,3.87390000,3.55000000,3.74450000,531913.49000000
