time,open,high,low,close,volume
1527465600,12.49000000,12.65000000,11.28000000,11.47880000,3494258.32000000
1527552000,11.48530000,12.46500000,10.70000000,12.11120000,6709192.34000000
1527638400,12.11130000,12.82000000,11.62060000,11.89680000,6514864.18000000
1527724800,11.87120000,12.74000000,11.81160000,12.23530000,6540020.80000000
1527811200,12.23510000,12.38890000,11.83540000,12.20480000,5946136.88000000
1527897600,12.21430000,15.67740000,12.10390000,14.69760000,9812623.63000000
1527984000,14.69760000,15.45100000,14.22660000,14.53040000,5800716.38000000
1528070400,14.53040000,14.84240000,13.23000000,13.46200000,4878116.53000000
1528156800,13.46190000,14.30000000,12.71000000,14.19960000,6430602.84000000
1528243200,14.19780000,14.30000000,13.36770000,13.90720000,5958713.33000000
1528329600,13.91000000,14.74090000,13.60000000,14.72070000,6061410.77000000
1528416000,14.72050000,14.90000000,13.55000000,13.96370000,2727726.06000000
1528502400,13.97940000,15.00150000,13.92000000,14.15000000,2592900.65000000
1528588800,14.15000000,14.16420000,10.98000000,11.73130000,10540465.95000000
1528675200,11.73550000,11.93000000,10.61000000,11.77190000,8878723.10000000
1528761600,11.77100000,11.78000000,9.68000000,10.09090000,9168694.85000000
1528848000,10.09090000,10.47000000,9.12000000,10.03700000,10351432.78000000
1528934400,10.03120000,11.78990000,9.46200000,11.25340000,10052349.00000000
1529020800,11.25340000,11.45000000,10.51070000,10.65470000,5408054.38000000
1529107200,10.65040000,10.86670000,10.16000000,10.52540000,6053921.05000000
1529193600,10.52540000,10.75000000,10.25000000,10.33880000,1627761.79000000
1529280000,10.33880000,10.89900000,10.09630000,10.67910000,10669784.21000000
1529366400,10.67380000,10.96930000,10.38000000,10.65800000,7961229.86000000
1529452800,10.65070000,10.74950000,10.16000000,10.41200000,8798849.05000000
1529539200,10.40770000,10.83000000,10.20320000,10.40990000,8923799.16000000
1529625600,10.40310000,10.43200000,8.24600000,8.51980000,11547386.83000000
1529712000,8.51330000,8.74700000,8.06800000,8.44640000,8165524.12000000
1529798400,8.44640000,8.51530000,6.92000000,8.06000000,8983446.42000000
1529884800,8.05260000,8.70000000,7.66800000,8.33580000,9612531.13000000
1529971200,8.33570000,8.39990000,7.53290000,7.57600000,5966985.99000000
1530057600,7.55180000,8.26000000,7.38780000,7.99420000,9334245.96000000
