time,open,high,low,close,volume
1603238400,0.40000000,1.49000000,0.18000000,0.78030000,36220748.78000000
1603324800,0.78250000,0.82700000,0.72730000,0.78440000,4813897.40000000
1603411200,0.78190000,1.22400000,0.77790000,1.18380000,19189538.30000000
1603497600,1.19040000,1.19040000,0.93210000,0.94660000,10111233.89000000
1603584000,0.95030000,0.99000000,0.84310000,0.90330000,5756111.94000000
1603670400,0.90320000,0.92140000,0.76460000,0.82180000,4354886.40000000
1603756800,0.82010000,0.83960000,0.75600000,0.78100000,2465394.99000000
1603843200,0.78240000,0.80350000,0.66660000,0.67760000,2230367.60000000
1603929600,0.68000000,0.86110000,0.65900000,0.79770000,5624875.12000000
1604016000,0.79800000,0.80190000,0.67220000,0.72550000,3957516.02000000
1604102400,0.72250000,0.80970000,0.71260000,0.78410000,2009680.42000000
1604188800,0.78400000,0.82000000,0.74020000,0.75100000,1020512.61000000
1604275200,0.75100000,0.78390000,0.71350000,0.72740000,921293.96000000
1604361600,0.72760000,0.72900000,0.65010000,0.69780000,912741.47000000
1604448000,0.69680000,0.74560000,0.66890000,0.71350000,1008858.43000000
1604534400,0.71330000,0.74400000,0.67010000,0.70210000,1284779.04000000
1604620800,0.70150000,0.75810000,0.67490000,0.75280000,2951742.84000000
1604707200,0.75260000,0.90810000,0.70000000,0.78320000,3433305.57000000
1604793600,0.78330000,0.89570000,0.77060000,0.83500000,2236073.10000000
1604880000,0.83630000,1.04000000,0.83210000,0.97730000,4921277.88000000
1604966400,0.97870000,1.06220000,0.93050000,1.01470000,2722824.40000000
1605052800,1.00730000,1.00980000,0.88000000,0.90890000,2239004.15000000
1605139200,0.90800000,0.97390000,0.89500000,0.91720000,1256397.30000000
1605225600,0.91950000,1.09000000,0.91000000,1.06340000,1912931.49000000
1605312000,1.06840000,1.38660000,1.00910000,1.29150000,5678641.40000000
1605398400,1.29140000,1.45200000,1.20000000,1.28750000,4159059.26000000
1605484800,1.28320000,1.63640000,1.23890000,1.60290000,4548989.13000000
1605571200,1.60290000,1.69880000,1.28430000,1.46670000,4235394.43000000
1605657600,1.46580000,1.54510000,1.27010000,1.36940000,2495845.67000000
1605744000,1.37470000,1.46000000,1.21000000,1.29990000,2069153.33000000
1605830400,1.29990000,1.54400000,1.29000000,1.41100000,1973452.11000000
1605916800,1.41090000,1.48300000,1.33400000,1.37430000,2036623.80000000
1606003200,1.37470000,1.43770000,1.22000000,1.31070000,1756043.97000000
1606089600,1.31140000,1.50840000,1.28330000,1.41400000,1955280.97000000
1606176000,1.42010000,1.45670000,1.28150000,1.29990000,1677257.84000000
1606262400,1.30200000,1.34460000,1.21020000,1.21030000,1179418.11000000
1606348800,1.21290000,1.25540000,0.95000000,1.05580000,2460652.24000000
1606435200,1.05590000,1.11000000,1.03120000,1.09180000,1098649.72000000
1606521600,1.09740000,1.17620000,1.08890000,1.15210000,1135844.75000000
1606608000,1.15050000,1.18500000,1.10330000,1.13410000,760671.16000000
1606694400,1.13300000,1.24050000,1.07010000,1.18790000,1498265.78000000
