time,open,high,low,close,volume
1513123200,272.00000000,330.00000000,260.00000000,290.01000000,9565.16019000
1513209600,290.01000000,302.72000000,252.00000000,272.40000000,9631.98382000
1513296000,272.40000000,314.21000000,239.99000000,294.00000000,16579.78235000
1513382400,294.00000000,305.00000000,285.00000000,293.97000000,9102.10005000
1513468800,293.01000000,328.80000000,290.00000000,311.40000000,14682.26118000
1513555200,311.23000000,360.96000000,277.00000000,352.00000000,17210.06137000
1513641600,352.00000000,366.96000000,303.01000000,338.48000000,23190.32542000
1513728000,336.05000000,357.00000000,260.00000000,302.70000000,31586.76711000
1513814400,303.80000000,325.16000000,267.01000000,302.00000000,26212.15830000
1513900800,303.00000000,315.00000000,177.58000000,250.99000000,81233.42425000
1513987200,250.99000000,301.52000000,214.91000000,253.44000000,38709.14008000
1514073600,253.44000000,277.00000000,220.03000000,262.90000000,33435.37202000
1514160000,262.90000000,277.50000000,251.40000000,261.20000000,24415.69170000
1514246400,261.17000000,282.82000000,258.00000000,277.98000000,21987.89021000
1514332800,277.98000000,284.34000000,245.29000000,262.59000000,25036.78582000
1514419200,262.61000000,266.70000000,222.03000000,244.68000000,34832.27138000
1514505600,244.68000000,261.00000000,233.97000000,238.27000000,34985.03167000
1514592000,238.27000000,244.00000000,193.20000000,206.03000000,52930.17820000
1514678400,206.11000000,234.37000000,202.98000000,223.69000000,29739.10081000
1514764800,223.69000000,231.19000000,212.74000000,222.61000000,20221.25300000
1514851200,222.62000000,256.49000000,222.62000000,247.33000000,63293.12934000
1514937600,247.33000000,253.40000000,233.56000000,238.77000000,71369.27484000
1515024000,238.89000000,240.00000000,219.38000000,233.00000000,78182.30493000
1515110400,233.04000000,250.99000000,230.00000000,240.54000000,65010.14465000
1515196800,240.95000000,315.00000000,238.73000000,275.28000000,100812.21370000
1515283200,276.24000000,287.00000000,262.00000000,269.01000000,43811.61108000
1515369600,269.01000000,271.82000000,212.74000000,252.65000000,76256.97086000
1515456000,252.49000000,257.64000000,228.24000000,244.48000000,53921.90417000
1515542400,244.56000000,248.99000000,225.05000000,247.63000000,70931.30085000
1515628800,247.63000000,252.27000000,195.03000000,223.77000000,83842.47294000
1515715200,223.76000000,240.45000000,213.01000000,233.11000000,45676.80703000
1515801600,233.11000000,263.99000000,232.54000000,257.98000000,42811.12858000
1515888000,257.98000000,271.64000000,222.00000000,234.12000000,62203.40257000
1515974400,234.26000000,242.31000000,227.60000000,229.50000000,35755.94861000
1516060800,229.50000000,242.00000000,135.67000000,179.28000000,150044.07322000
1516147200,179.28000000,198.89000000,136.20000000,182.44000000,155640.00921000
1516233600,183.45000000,202.19000000,170.50000000,186.14000000,98372.75595000
1516320000,186.21000000,199.00000000,176.04000000,191.42000000,59369.45319000
1516406400,191.44000000,215.00000000,190.67000000,210.40000000,59162.64755000
1516492800,210.05000000,210.69000000,180.00000000,190.16000000,64817.00761000
1516579200,190.52000000,195.00000000,163.44000000,178.00000000,60376.36050000
1516665600,178.00000000,186.42000000,163.02000000,176.98000000,49510.38638000
1516752000,176.94000000,186.30000000,171.58000000,180.89000000,43298.49800000
1516838400,180.83000000,186.00000000,175.58000000,179.59000000,39819.99079000
