time,open,high,low,close,volume
1600300800,0.30000000,15.00000000,0.30000000,3.46170000,102597222.59000000
1600387200,3.46180000,8.60000000,3.22850000,6.90000000,167667906.97000000
1600473600,6.90000000,7.49630000,5.19000000,5.72440000,79814511.66000000
1600560000,5.72440000,6.09000000,4.65000000,5.22300000,53519725.62000000
1600646400,5.22000000,5.65000000,4.06000000,4.24710000,56110504.32000000
1600732800,4.25050000,4.55400000,3.68280000,3.91050000,40815724.83000000
1600819200,3.90790000,5.34750000,3.90080000,4.38000000,58485584.80000000
1600905600,4.38000000,5.28880000,4.26000000,5.16400000,44859170.85000000
1600992000,5.15900000,5.55250000,4.76050000,4.91450000,31809864.62000000
1601078400,4.91340000,4.98970000,4.67520000,4.86840000,15021040.65000000
1601164800,4.86380000,5.21330000,4.70000000,4.84580000,14663658.99000000
1601251200,4.84600000,4.95000000,4.18000000,4.25030000,15753026.48000000
1601337600,4.24750000,4.41350000,4.12000000,4.38260000,11551787.70000000
1601424000,4.38260000,4.38540000,3.95000000,4.15540000,8331877.30000000
1601510400,4.15540000,4.51400000,3.90380000,4.23970000,18775683.03000000
1601596800,4.23960000,4.23960000,3.56900000,3.89040000,12414352.91000000
1601683200,3.89000000,4.11950000,3.83000000,3.90410000,6558893.01000000
1601769600,3.90010000,3.94470000,3.61000000,3.72620000,9253080.76000000
1601856000,3.72350000,3.80000000,3.18170000,3.31900000,14619829.43000000
1601942400,3.31900000,3.34090000,2.63000000,2.71430000,23504656.67000000
1602028800,2.71430000,3.00000000,2.47790000,2.96210000,24192428.29000000
1602115200,2.96290000,3.46540000,2.64280000,3.34990000,25679034.97000000
1602201600,3.34990000,3.60000000,3.17490000,3.38340000,16228659.83000000
1602288000,3.38000000,3.65780000,3.26640000,3.29890000,10858881.78000000
1602374400,3.29560000,3.45100000,3.17760000,3.36260000,8504843.75000000
1602460800,3.36000000,3.59940000,3.28200000,3.45990000,8926434.98000000
1602547200,3.45540000,3.50000000,3.29310000,3.35460000,5585565.98000000
1602633600,3.35110000,3.44000000,2.97000000,3.11230000,11409168.60000000
1602720000,3.11050000,3.16740000,2.91500000,3.07930000,7895030.52000000
1602806400,3.07650000,3.38030000,2.88130000,3.04260000,13597633.89000000
1602892800,3.04360000,3.12490000,2.97030000,3.05660000,5391124.74000000
1602979200,3.05740000,3.29100000,3.04720000,3.28110000,5642285.19000000
1603065600,3.27970000,3.28850000,3.11000000,3.17030000,4410931.55000000
1603152000,3.17030000,3.19100000,2.80080000,2.85820000,9089338.55000000
1603238400,2.85820000,3.08840000,2.83890000,2.93710000,9708638.42000000
1603324800,2.93590000,3.14840000,2.91940000,3.04320000,5420844.93000000
1603411200,3.04180000,3.12190000,2.96210000,3.01100000,4318812.16000000
1603497600,3.01230000,3.08500000,2.92720000,2.93990000,3415735.11000000
