time,open,high,low,close,volume
1672531200,3.4531,3.5395,3.4531,3.5295,1198.562622
1672617600,3.5089,3.8843,3.465,3.7813,11985.89591
1672704000,3.7917,3.8351,3.6856,3.7973,8943.411701
1672790400,3.8625,3.9733,3.7521,3.8029,27084.97708
1672876800,3.829,3.829,3.6569,3.708,5438.313024
1672963200,3.772,3.9006,3.6,3.8487,52862.849751
1673049600,3.8593,3.893,3.8024,3.8144,1878.797308
1673136000,3.8219,3.9398,3.7281,3.9323,105984.809774
1673222400,3.9281,5.677,3.9148,5.2331,143597.025961
1673308800,5.1729,5.9014,4.9467,5.5485,35691.588682
1673395200,5.4376,5.5026,5.0304,5.2541,18094.949724
1673481600,5.3636,6.55,5.0884,6.5091,22659.662395
1673568000,6.4428,7.097,6.2246,6.8391,22972.78476
1673654400,6.8489,8.1775,6.795,7.7042,42182.473621
1673740800,7.6185,8.798,7.06,7.9429,42762.691685
1673827200,7.8921,8.6,7.5964,8.1465,17223.036853
1673913600,8.0963,8.249,7.63,7.6489,25246.29656
1674000000,7.6753,8.4335,7.0052,7.5882,37850.444065
1674086400,7.6786,8.0873,7.5665,7.9409,10800.025813
1674172800,7.7939,11.12,7.7777,10.9125,50073.422294
1674259200,11.0569,13.3796,9.594,11.7396,76515.212504
1674345600,11.7869,14.5421,11.7869,13.3064,80768.19145
1674432000,13.4546,14.3422,12.6651,12.7125,54336.573619
1674518400,12.6627,13.5577,11.74,12.3,32903.680228
1674604800,12.3839,18.7698,12.3095,18.3268,111566.908929
1674691200,18.4526,20.2032,17.17,18.2817,91916.725662
1674777600,17.9777,18.7,17.3,17.743,25825.190035
1674864000,17.6277,18.9782,16.704,17.9286,31747.848829
1674950400,17.7992,18.9,17.4989,18.2782,25852.920692
1675036800,18.3166,20.3377,16.3,17.2472,72661.194445
1675123200,17.2227,17.4323,16.1216,16.6851,41788.723811
1675209600,16.5665,18.4031,15.6303,18.1728,71482.956979
1675296000,18.2738,18.6589,16.9762,17.1717,45167.625413
1675382400,17.2165,17.5033,16.5654,17.0268,26294.288952
1675468800,16.9462,16.9477,16.3959,16.434,11703.432678
1675555200,16.434,17.029,14.6821,15.4468,30940.298071
1675641600,15.5076,15.9616,14.3803,14.9404,34075.54053
1675728000,15.044,16.2457,15.044,16.0433,22702.59592
1675814400,16.0211,16.2609,14.7399,15.1624,33544.628112
1675900800,14.938,15.0983,12.6795,13.3082,73458.038825
1675987200,13.3188,13.7422,12.6638,13.62,28534.279415
1676073600,13.6178,14.5851,13.2484,13.8834,26702.791483
1676160000,13.8835,14.1161,12.8873,13.1114,46097.238501
1676246400,13.0758,13.7944,12.315,13.7852,35193.284319
1676332800,13.9502,14.7774,13.4678,14.7479,19666.709632
1676419200,14.693,21.57,14.1243,15.9653,49719.803656
1676505600,15.9908,16.6313,14.5794,14.6759,37378.588232
1676592000,14.8317,15.0688,14.1677,14.7383,17941.559407
1676678400,14.7796,14.916,14.1717,14.4417,21466.050732
1676764800,14.4022,14.7847,13.8243,14.1902,13471.560395
1676851200,14.1385,14.368,13.7,14.2037,15814.999421
1676937600,14.1381,14.1646,13.12,13.3876,7892.974758
1677024000,13.4434,13.928,12.8176,13.928,19467.717305
1677110400,13.869,14.079,13.1916,13.4007,44648.374661
1677196800,13.3374,13.7417,12.2717,12.8501,11244.666427
1677283200,12.8722,12.8722,11.5669,12.2249,50335.53711
