time,open,high,low,close,volume
1672531200,4.3069,4.3834,4.273,4.365,454941.67605
1672617600,4.3766,4.534,4.3183,4.4876,306404.967035
1672704000,4.4911,4.5416,4.4584,4.5238,141078.696311
1672790400,4.5238,4.6854,4.5238,4.6315,331414.517139
1672876800,4.6299,4.6444,4.5448,4.6179,229638.531255
1672963200,4.6202,4.703,4.5527,4.6838,217830.4732
1673049600,4.6843,4.7024,4.6363,4.6652,112371.088974
1673136000,4.6677,4.8228,4.6029,4.8228,209402.563229
1673222400,4.8239,5.074,4.8013,4.8941,963620.709104
1673308800,4.8863,4.9659,4.829,4.9194,203711.426031
1673395200,4.9194,5.1379,4.83,5.1322,369568.631489
1673481600,5.1323,5.2594,5.0181,5.2321,537846.298959
1673568000,5.2347,5.4191,5.1685,5.4012,331740.266731
1673654400,5.4006,6.504,5.398,6.0275,1389049.416291
1673740800,6.0259,6.0642,5.7664,5.9303,371756.058216
1673827200,5.9288,6.0803,5.61,5.8133,532083.637483
1673913600,5.8124,6.2057,5.699,5.9498,635908.561832
1674000000,5.9563,6.216,5.5906,5.6573,862208.059072
1674086400,5.6544,5.8396,5.6442,5.8051,266336.479893
1674172800,5.8052,6.2911,5.75,6.2518,559760.102044
1674259200,6.2551,6.4591,6.022,6.2376,546222.706454
1674345600,6.2386,6.4592,6.0883,6.2103,341470.557622
1674432000,6.2064,6.8205,6.2029,6.5583,785955.774569
1674518400,6.5625,6.704,6.0997,6.1911,443359.994131
1674604800,6.1887,6.5575,6.0175,6.3966,463742.929586
1674691200,6.4068,6.5575,6.3097,6.4745,486701.999805
1674777600,6.4761,6.6199,6.2834,6.5839,485080.460653
1674864000,6.5855,6.6569,6.3278,6.4043,353142.474974
1674950400,6.3932,6.6958,6.3368,6.6157,303618.721894
1675036800,6.6092,6.6556,6.0195,6.1922,361203.577548
1675123200,6.1885,6.3173,6.1463,6.269,283532.195593
1675209600,6.2655,6.495,6.033,6.4641,509309.133068
1675296000,6.4666,6.9037,6.4604,6.5378,849664.243448
1675382400,6.544,7.12,6.5152,7.0108,1062979.980078
1675468800,7.0109,7.0668,6.8252,6.8741,493249.579607
1675555200,6.874,6.8909,6.5191,6.6421,633596.989817
1675641600,6.6421,6.7862,6.4263,6.4933,475394.200445
1675728000,6.4925,7.1999,6.4771,6.9424,483078.678235
1675814400,6.9399,7.0122,6.6186,6.7496,339346.605075
1675900800,6.755,6.9714,6.0675,6.2335,1028742.55624
1675987200,6.2311,6.3021,6.1227,6.189,525949.998633
1676073600,6.1865,6.292,6.1583,6.2743,117202.035714
1676160000,6.2743,6.3781,6.0758,6.1769,143618.980997
1676246400,6.1766,6.2423,5.8872,6.1437,447904.120663
1676332800,6.1314,6.2588,6.0179,6.226,368468.145447
1676419200,6.227,6.6119,6.1615,6.6118,778062.538504
1676505600,6.6148,6.7358,6.3216,6.3325,626323.374018
1676592000,6.321,7.41,6.2968,7.2836,1036079.909736
1676678400,7.2835,7.3672,7.1181,7.2352,464945.614808
1676764800,7.234,7.8916,7.1908,7.4567,764928.360907
1676851200,7.4476,7.5696,7.252,7.5463,371415.422465
1676937600,7.5472,7.5675,7.1045,7.2493,354124.580784
1677024000,7.2483,7.2526,6.8772,7.1841,428562.523926
1677110400,7.1842,7.3778,7.018,7.102,327746.121826
1677196800,7.1012,7.1406,6.4787,6.6141,546764.059155
1677283200,6.6128,6.6464,6.3358,6.5443,273578.067818
1677369600,6.5398,6.7249,6.5044,6.6927,207244.505833
1677456000,6.6926,6.7764,6.4957,6.5799,165156.239841
1677542400,6.5886,6.5921,6.2749,6.3471,185327.785342
1677628800,6.3471,6.5912,6.3197,6.5314,159892.196068
1677715200,6.5396,6.5533,6.2268,6.3309,163637.340236
1677801600,6.3309,6.331,5.8,6.0331,621866.534251
1677888000,6.0349,6.0535,5.7367,5.9148,275999.116987
1677974400,5.9146,6.0572,5.8911,5.9866,164017.159673
1678060800,5.9704,6.0418,5.8646,5.9196,166039.897816
1678147200,5.9241,6.0085,5.7423,5.841,252742.728041
1678233600,5.8426,5.9337,5.5001,5.6001,455115.804336
1678320000,5.601,5.7997,5.232,5.3847,501260.145556
1678406400,5.3835,5.6032,5.1526,5.5577,448178.111139
1678492800,5.5772,5.7324,5.2764,5.5072,605162.553014
1678579200,5.5057,5.9388,5.4134,5.9388,430192.919311
1678665600,5.9397,6.171,5.7192,6.1237,716755.816982
1678752000,6.1322,6.5597,6.0184,6.2448,524447.01851
1678838400,6.2534,6.3894,5.7983,5.8915,525652.202365
1678924800,5.8865,6.1505,5.789,6.1008,344285.555827
1679011200,6.1022,6.6442,6.0454,6.6397,562902.243068
1679097600,6.6402,6.7104,6.3019,6.3232,275145.934389
1679184000,6.3316,6.6149,6.3316,6.4609,218908.167233
1679270400,6.4918,6.4982,6.0641,6.0969,307909.59281
1679356800,6.095,6.4544,6.0141,6.3855,598612.387736
1679443200,6.3776,6.5267,5.9168,6.0643,592255.363619
1679529600,6.0539,6.4273,6.0061,6.324,337529.13794
1679616000,6.3277,6.3417,5.9615,6.0241,389168.672716
1679702400,6.0307,6.0814,5.8392,5.9101,175042.733181
1679788800,5.9073,6.1068,5.888,6.0691,132908.435082
1679875200,6.0513,6.11,5.7539,5.8744,344883.672857
1679961600,5.8681,6.1075,5.7919,6.0597,149607.490723
1680048000,6.0642,6.2808,6.0522,6.1831,229793.254492
1680134400,6.184,6.3076,6.0283,6.1189,375401.036416
1680220800,6.119,6.3802,6.1032,6.343,352516.473933
1680307200,6.3427,6.3907,6.1928,6.3511,137612.472058
1680393600,6.3511,6.4402,6.1834,6.264,167461.375298
1680480000,6.2667,6.499,6.1,6.424,288629.387165
1680566400,6.4188,6.5298,6.3691,6.4385,304940.660652
1680652800,6.4408,6.582,6.3246,6.4073,183685.995969
1680739200,6.4092,6.4126,6.2617,6.281,221526.754499
1680825600,6.2791,6.3184,6.139,6.1782,179423.347626
1680912000,6.1789,6.2326,6.1,6.133,93315.361633
1680998400,6.1333,6.259,6.1004,6.2132,63021.040214
1681084800,6.2125,6.3132,6.1229,6.2928,294402.591159
1681171200,6.2952,6.4938,6.2805,6.4208,422579.496672
1681257600,6.4282,6.4704,6.2226,6.4045,280859.231893
1681344000,6.4046,6.6559,6.3537,6.6406,438860.623232
1681430400,6.6419,6.8469,6.5452,6.7344,534102.153083
1681516800,6.7335,6.874,6.6416,6.8041,205705.533902
1681603200,6.8041,6.8779,6.6777,6.8288,217643.752586
1681689600,6.8288,6.8289,6.6327,6.6983,387485.074364
1681776000,6.6983,6.9837,6.5747,6.9269,344179.675214
1681862400,6.9194,6.9194,6.2469,6.3179,438141.214563
1681948800,6.3088,6.4356,6.0634,6.1082,718220.062648
1682035200,6.1051,6.1687,5.7843,5.8494,439257.003273
1682121600,5.8502,5.9774,5.8227,5.95,135553.845073
1682208000,5.95,5.9731,5.7672,5.905,255143.476882
1682294400,5.9054,6.0167,5.8049,5.8838,238335.415802
1682380800,5.8897,6.012,5.7807,5.9981,285858.288867
1682467200,5.9983,6.2169,5.5987,5.8519,421103.61149
1682553600,5.8475,6.0468,5.8353,5.9693,340713.714156
1682640000,5.9705,5.9793,5.7829,5.9499,319111.144157
1682726400,5.9499,6.0578,5.9228,6.0437,219743.248231
1682812800,6.0434,6.0881,5.85,5.8753,202675.414362
1682899200,5.8797,5.9067,5.5954,5.665,350630.837409
1682985600,5.657,5.7621,5.625,5.7148,171312.648582
