time,open,high,low,close,volume
1737504000,0.8372,0.8372,0.805,0.808,64155.686996
1737590400,0.8062,0.8091,0.7677,0.7993,172795.062147
1737676800,0.7944,0.832,0.7757,0.7926,72538.000947
1737763200,0.7947,0.8126,0.7863,0.8044,110949.051144
1737849600,0.8027,0.8167,0.7749,0.7749,64200.403199
1737936000,0.7739,0.7799,0.6992,0.7618,385403.178609
1738022400,0.7634,0.7799,0.7179,0.7246,153077.909208
1738108800,0.7215,0.7603,0.7147,0.7345,140479.334737
1738195200,0.7305,0.7825,0.7305,0.7675,130806.243706
1738281600,0.7702,0.8203,0.7524,0.7881,205178.132494
1738368000,0.7851,0.8196,0.7382,0.7393,187060.29247
1738454400,0.7421,0.7566,0.6005,0.6405,625381.869918
1738540800,0.6385,0.6551,0.4994,0.6459,1505306.491044
1738627200,0.6462,0.6568,0.5768,0.6153,1260827.441075
1738713600,0.6133,0.6283,0.5901,0.5998,124663.26241
1738800000,0.5999,0.6155,0.569,0.5769,149382.800081
1738886400,0.5769,0.6159,0.5659,0.5842,333301.344573
1738972800,0.5816,0.6077,0.5772,0.6058,161491.516501
1739059200,0.6065,0.6198,0.5777,0.6022,87660.196158
1739145600,0.603,0.6473,0.5856,0.6385,316953.963269
1739232000,0.6388,0.665,0.6124,0.626,215815.86797
1739318400,0.6235,0.6691,0.6124,0.6616,362713.264412
1739404800,0.659,0.659,0.6355,0.6446,361101.236677
1739491200,0.6447,0.6814,0.6392,0.6664,124305.422284
1739577600,0.663,0.6743,0.6418,0.6485,45859.972514
1739664000,0.6461,0.6501,0.625,0.6289,40985.172147
1739750400,0.6315,0.6518,0.6212,0.6372,51147.736556
1739836800,0.633,0.6376,0.5942,0.613,261729.094413
1739923200,0.6138,0.6338,0.6031,0.6338,163062.493214
1740009600,0.6336,0.6581,0.6304,0.6446,107843.86935
1740096000,0.643,0.6654,0.6094,0.6204,115256.078169
1740182400,0.62,0.6492,0.6194,0.6442,61968.000796
1740268800,0.6459,0.6601,0.636,0.6415,173167.210461
1740355200,0.6389,0.6389,0.557,0.5673,248423.904631
1740441600,0.5672,0.5716,0.525,0.5706,715683.431306
1740528000,0.5628,0.569,0.5376,0.5555,93671.819122
1740614400,0.555,0.5724,0.5487,0.5607,130622.776073
1740700800,0.5608,0.5668,0.5117,0.5621,169109.278473
1740787200,0.5598,0.5665,0.5411,0.5613,257678.03879
1740873600,0.5617,0.641,0.5565,0.6403,517907.769589
1740960000,0.6418,0.6459,0.5435,0.5515,219043.42941
1741046400,0.5497,0.5548,0.5021,0.5349,437109.371011
1741132800,0.5331,0.5609,0.5283,0.554,178258.573098
1741219200,0.5546,0.57,0.5349,0.5432,354515.300604
