time,open,high,low,close,volume
1672531200,3.007,3.14,2.991,3.108,46278.432668
1672617600,3.112,3.217,3.033,3.155,106382.561561
1672704000,3.15,3.19,3.034,3.095,61932.89492
1672790400,3.106,3.498,3.106,3.36,207781.769167
1672876800,3.354,3.359,3.23,3.288,41910.024428
1672963200,3.291,3.352,3.209,3.341,36693.472043
1673049600,3.34,3.392,3.281,3.304,33506.469039
1673136000,3.305,3.464,3.288,3.464,31446.163332
1673222400,3.446,3.946,3.435,3.773,529261.917709
1673308800,3.773,3.857,3.655,3.756,164024.045561
1673395200,3.761,3.779,3.542,3.725,140892.538958
1673481600,3.734,3.873,3.568,3.854,109645.829465
1673568000,3.856,4.105,3.75,4.02,81059.22298
1673654400,4.009,4.863,3.951,4.798,390022.129448
1673740800,4.797,4.975,4.305,4.697,244636.623479
1673827200,4.7,4.874,4.429,4.583,452335.220594
1673913600,4.571,4.875,4.437,4.624,106150.168293
1674000000,4.631,4.735,4.22,4.272,229605.862657
1674086400,4.254,4.43,4.178,4.412,184938.780952
1674172800,4.397,4.776,4.34,4.758,58487.527434
1674259200,4.759,5.195,4.692,4.93,267814.509692
1674345600,4.955,5.8,4.896,5.44,284805.033881
1674432000,5.436,5.77,5.152,5.431,138367.518238
1674518400,5.398,5.55,4.847,4.992,119033.641328
1674604800,4.994,5.695,4.816,5.454,320888.290436
1674691200,5.474,5.66,5.176,5.453,105569.850991
1674777600,5.441,5.481,5.194,5.385,94584.141882
1674864000,5.401,5.606,5.175,5.285,86324.161697
1674950400,5.274,5.563,5.261,5.473,75651.007994
1675036800,5.465,5.53,4.858,5.101,103795.146712
1675123200,5.101,5.431,5.01,5.239,88683.811426
1675209600,5.237,5.781,5.05,5.688,249580.498808
1675296000,5.693,5.864,5.457,5.471,168126.042653
1675382400,5.471,5.775,5.413,5.682,189217.279493
1675468800,5.683,5.719,5.492,5.521,63449.370767
1675555200,5.522,5.553,5.162,5.302,78942.099756
1675641600,5.305,5.4,5.08,5.124,181578.849072
1675728000,5.128,5.562,5.128,5.54,108653.234453
1675814400,5.54,5.7,5.259,5.438,150458.784846
1675900800,5.446,5.513,4.481,4.788,182110.647057
1675987200,4.779,5.001,4.723,4.853,197453.976776
1676073600,4.861,5.117,4.843,5.111,80572.25315
1676160000,5.09,5.148,4.857,4.918,22710.964735
1676246400,4.914,4.963,4.687,4.872,61646.588614
1676332800,4.87,5.1,4.757,5.1,82023.551897
1676419200,5.095,5.491,5.02,5.48,166814.875286
1676505600,5.489,5.987,5.354,5.415,342959.58761
1676592000,5.419,7.869,5.419,7.624,935294.060743
1676678400,7.617,7.955,7.279,7.516,335636.100158
1676764800,7.518,9.475,7.518,8.48,630160.287946
1676851200,8.508,8.706,8.021,8.54,326700.089442
1676937600,8.529,8.677,7.692,8.176,294577.86747
1677024000,8.183,9.157,7.513,8.033,578969.856342
1677110400,8.031,8.26,7.628,7.861,181282.367182
1677196800,7.859,8.053,6.627,6.865,282872.395766
1677283200,6.855,6.986,6.351,6.728,169606.226188
1677369600,6.688,6.992,6.641,6.896,69384.931335
1677456000,6.902,7.27,6.677,6.865,181704.404577
1677542400,6.866,6.866,6.305,6.482,75143.19541
1677628800,6.453,7.282,6.425,7.266,123424.575145
1677715200,7.253,7.346,6.654,6.897,156668.677767
1677801600,6.905,6.957,5.914,6.251,191034.714512
1677888000,6.26,6.317,5.693,5.918,114973.710409
1677974400,5.923,6.279,5.878,6.141,84097.58583
1678060800,6.123,6.244,6.008,6.095,170413.796852
1678147200,6.093,6.19,5.766,5.968,145897.891939
1678233600,5.969,6.101,5.6,5.786,160964.73481
1678320000,5.777,6.184,5.293,5.523,331050.443004
1678406400,5.507,5.522,5.106,5.325,360672.596652
1678492800,5.333,5.556,4.698,4.986,327186.458651
1678579200,4.965,5.794,4.867,5.743,221828.344775
1678665600,5.737,6.6,5.65,6.385,478954.32712
1678752000,6.349,7.588,6.179,6.779,656139.695473
1678838400,6.782,7.056,5.342,5.646,406937.216204
1678924800,5.604,5.974,5.536,5.818,212575.70496
1679011200,5.813,6.498,5.711,6.41,355589.361355
1679097600,6.406,6.57,5.834,5.889,310762.565708
1679184000,5.89,6.529,5.87,6.286,158692.849264
1679270400,6.298,6.46,5.648,5.728,209156.669259
1679356800,5.732,6.095,5.606,5.932,152559.643772
1679443200,5.905,5.988,5.335,5.652,159875.827569
1679529600,5.647,5.968,5.629,5.959,119461.924929
1679616000,5.924,6.05,5.432,5.558,121773.69767
1679702400,5.565,5.622,5.267,5.382,59511.218575
1679788800,5.382,5.738,5.37,5.687,96036.56919
1679875200,5.691,5.7,5.201,5.345,182918.175353
1679961600,5.353,5.624,5.295,5.57,96049.080247
1680048000,5.56,5.838,4.786,5.748,204009.888909
1680134400,5.712,5.88,5.431,5.554,113999.391817
1680220800,5.571,5.73,5.446,5.697,92162.126752
1680307200,5.688,5.797,5.556,5.748,98080.20481
1680393600,5.778,5.791,5.44,5.55,30688.366763
1680480000,5.523,5.677,5.344,5.567,59123.81791
1680566400,5.574,5.67,5.515,5.616,52852.704809
1680652800,5.614,5.785,5.54,5.671,46492.273531
1680739200,5.658,5.658,5.524,5.603,28968.348946
1680825600,5.6,6,5.51,5.805,79124.701892
1680912000,5.77,5.91,5.746,5.786,68900.505875
1680998400,5.784,5.894,5.611,5.762,69184.784605
1681084800,5.761,6.239,5.672,6.165,176077.555226
1681171200,6.176,6.176,5.96,6.095,116107.621439
1681257600,6.071,6.074,5.65,5.96,225624.602891
1681344000,5.955,6.146,5.914,6.082,92853.693339
1681430400,6.084,6.321,5.929,6.234,252175.657196
1681516800,6.234,6.436,6.076,6.292,57989.519397
1681603200,6.307,6.389,6.2,6.355,38144.999183
1681689600,6.35,6.363,6.028,6.116,64817.419293
1681776000,6.111,6.308,6.03,6.241,88043.27929
1681862400,6.253,6.3,5.546,5.703,217899.244924
1681948800,5.711,5.814,4.77,5.56,186092.231734
1682035200,5.57,5.625,5.12,5.261,88761.492701
1682121600,5.256,5.338,5.218,5.323,55251.08547
1682208000,5.306,5.386,5.138,5.279,38404.103662
1682294400,5.25,5.342,5.16,5.26,47031.973655
1682380800,5.255,5.372,5.147,5.35,88641.731341
1682467200,5.349,5.557,5.006,5.252,57059.348898
1682553600,5.24,5.477,5.225,5.39,68458.590559
1682640000,5.378,5.53,5.27,5.513,109465.221878
1682726400,5.503,5.665,5.425,5.581,91741.581921
1682812800,5.577,5.611,5.387,5.419,23644.831625
1682899200,5.427,5.46,5.18,5.3,59942.826899
1682985600,5.281,5.32,5.22,5.282,98491.89645
