time,open,high,low,close,volume
1672531200,70.02,71.49,68.96,70.8,45497.484942
1672617600,70.9,77.77,70.1,74.77,43771.26014
1672704000,74.75,76.5,73.5,75.6,33732.388057
1672790400,75.39,77.97,74.25,75.42,38475.669214
1672876800,75.47,76.22,73.65,74.07,16676.840065
1672963200,74.19,76.54,72.2,75.98,36769.152687
1673049600,75.93,76.81,75.51,76.34,15371.5817
1673136000,76.39,78.85,75.16,78.58,18665.665778
1673222400,78.6,83.72,78.12,81.67,71367.032942
1673308800,81.62,82.85,79.49,80.86,41853.13928
1673395200,80.82,84.97,79.94,84.11,40128.749995
1673481600,84.1,87.64,81.08,86.06,63351.339033
1673568000,86.08,87.95,83.63,86.25,34127.845482
1673654400,86.25,91.2,86.05,87.87,49537.121149
1673740800,88.03,88.7,85.12,87.37,32638.314995
1673827200,87.43,89.15,83.85,85.91,43717.376878
1673913600,85.91,89.37,84.59,87.02,35259.828853
1674000000,87.06,88.36,81.92,82.69,47242.724259
1674086400,82.8,84.49,81.76,84.25,21153.592766
1674172800,84.13,91.33,83.05,90.38,30464.769419
1674259200,90.35,92.09,87.68,87.92,30752.751581
1674345600,87.91,90,86.59,87.66,24153.449076
1674432000,87.62,93.07,87.47,89.9,30978.574272
1674518400,89.9,91.4,86.13,87.24,30392.37399
1674604800,87.23,91.92,85.54,89.41,25370.06576
1674691200,89.45,89.95,86.95,87.57,19797.144275
1674777600,87.5,89.22,85.93,88.8,20174.283166
1674864000,88.8,89.89,86.98,89.79,13532.353164
1674950400,89.7,97.72,89.7,95,45288.838436
1675036800,94.9,95.95,88.38,91.3,32036.82937
1675123200,91.35,96.14,91.32,94.12,36474.004137
1675209600,94.14,102.38,93.79,100.36,45799.624419
1675296000,100.35,102.17,98.01,98.49,31905.017691
1675382400,98.65,100.7,97.52,99.97,32104.004917
1675468800,99.9,101.25,98.34,98.37,15767.522382
1675555200,98.33,98.84,94.84,96.62,14848.767878
1675641600,96.63,97.97,94.94,96.14,16774.600975
1675728000,95.96,101.49,95.95,100.84,22185.221615
1675814400,100.88,102.27,96.85,99.23,22348.447863
1675900800,99.24,99.43,90.08,92.09,32623.977821
1675987200,92.1,94.16,91.14,93.5,16917.48147
1676073600,93.39,94.79,92.78,94.34,17609.208996
1676160000,94.38,94.54,91.04,92.42,7950.561756
1676246400,92.46,94.9,88.27,91.09,25541.295352
1676332800,91.11,95.93,88.98,95.78,36052.719373
1676419200,95.79,103.38,95.11,102.91,32066.74871
1676505600,102.91,105.58,98.42,98.53,26290.522971
1676592000,98.66,101.64,98.35,100.18,22334.562754
1676678400,100.15,101.87,99.02,99.75,7904.775129
1676764800,99.75,101.42,96.76,97.48,19375.333668
1676851200,97.55,98.59,94.55,96.11,17169.026088
1676937600,95.99,96.79,91.7,93.75,40335.103499
1677024000,93.75,95.53,91.69,95.25,24666.117221
1677110400,95.25,96.23,93.5,94.62,11603.026067
1677196800,94.62,95.24,90.07,91.58,17947.201969
1677283200,91.58,93.46,90.43,93.23,12115.366073
1677369600,93.2,95.52,92.83,95.26,12603.513145
1677456000,95.3,96,92.56,94.14,21857.179511
1677542400,94.11,95.98,93.16,93.69,18050.461692
1677628800,93.77,98.24,93.68,97.8,22350.301647
1677715200,97.77,98.27,93.92,95.35,18276.093451
1677801600,95.41,95.48,85.53,90.57,53446.803253
1677888000,90.6,90.79,87.54,89.38,12549.78073
1677974400,89.39,91.74,89.2,89.91,9857.438949
1678060800,89.91,90.61,86.6,87.37,16411.49214
1678147200,87.37,88.91,84.02,86.33,16837.168478
1678233600,86.33,86.66,81.39,82.69,26352.981172
1678320000,82.78,84.9,74.96,76.68,38114.558119
1678406400,76.66,76.78,67.96,71.72,44485.848664
1678492800,71.71,74.56,65.28,69.78,79428.929708
1678579200,69.71,76.85,67.84,76.78,63099.086441
1678665600,76.8,83.67,74.27,81.85,67276.86862
1678752000,81.84,88.48,79.48,84.32,80735.522077
1678838400,84.23,85.8,75.22,76.77,77083.863978
1678924800,76.78,80.06,75.95,79.14,25432.268503
1679011200,79.02,85.69,78.4,85.69,30096.845011
1679097600,85.7,88.01,82.12,83.18,34346.438957
1679184000,83.18,86.51,82.29,84.11,19258.361957
1679270400,84.29,84.45,77.96,78.19,34524.984781
1679356800,78.16,83.64,76.88,82.51,30435.568545
1679443200,82.55,89.14,78.4,87.35,89670.622899
1679529600,87.4,94.78,85.76,93.77,93936.980876
1679616000,93.75,95.96,89.15,93.91,63472.409558
1679702400,93.73,94.42,90.14,91.54,28075.510069
1679788800,91.59,94.77,90.78,93.44,18853.398289
1679875200,93.41,94.25,87.6,89.25,35582.562162
1679961600,89.28,89.64,85.62,89.07,25341.204169
1680048000,89.2,92.97,89.03,91.25,23783.773313
1680134400,91.33,93.26,86.64,89.07,29676.313282
1680220800,89.08,90.35,87.29,89.62,19092.202019
1680307200,89.6,94.22,89.36,92.6,32768.622611
1680393600,92.6,94.56,90.4,92.92,16297.513792
1680480000,92.83,95.88,89.75,92.99,33560.968219
1680566400,93,94.01,91.58,92.57,11802.759212
1680652800,92.47,95,91,92.63,25292.60355
1680739200,92.62,92.62,89.78,90.96,13415.103962
1680825600,90.93,91.55,89.15,90.67,7694.576292
1680912000,90.67,91.51,89.31,89.98,10289.164265
1680998400,90.03,91.01,89.24,90.69,5249.604154
1681084800,90.62,94.4,89.94,93.83,14904.430484
1681171200,93.83,97,93.24,94.36,23837.83263
