time,open,high,low,close,volume
1672531200,1.25,1.281,1.211,1.273,46770.360937
1672617600,1.275,1.322,1.237,1.315,53301.017716
1672704000,1.313,1.38,1.298,1.334,188478.300162
1672790400,1.334,1.619,1.329,1.549,266809.584962
1672876800,1.549,1.692,1.513,1.528,148918.270769
1672963200,1.532,1.616,1.483,1.59,25726.180885
1673049600,1.593,1.599,1.546,1.564,31850.172042
1673136000,1.561,1.654,1.522,1.652,71502.53494
1673222400,1.652,1.724,1.623,1.625,313214.058094
1673308800,1.643,1.664,1.595,1.639,39318.848851
1673395200,1.648,1.899,1.56,1.823,221937.54627
1673481600,1.83,1.951,1.72,1.84,205243.18144
1673568000,1.835,1.994,1.778,1.948,161428.93536
1673654400,1.961,2.392,1.945,2.258,307468.550808
1673740800,2.256,2.256,2.112,2.239,65839.818332
1673827200,2.232,2.5,1.941,2.187,312165.986661
1673913600,2.172,2.253,2.143,2.149,97693.757262
1674000000,2.151,2.232,1.943,1.981,221951.529286
1674086400,1.971,2.155,1.971,2.088,142991.469647
1674172800,2.103,2.406,2.05,2.397,152308.864508
1674259200,2.395,2.475,2.317,2.323,233497.623379
1674345600,2.32,3.05,2.32,2.398,215727.705477
1674432000,2.403,2.702,2.403,2.553,283929.647345
1674518400,2.544,2.617,2.317,2.356,290980.913134
1674604800,2.352,2.622,2.285,2.549,347795.794811
1674691200,2.559,2.707,2.502,2.525,145860.944843
1674777600,2.522,2.66,2.39,2.568,312692.126562
1674864000,2.571,2.677,2.436,2.476,244278.266998
1674950400,2.472,2.614,2.434,2.572,377729.557187
1675036800,2.58,2.58,2.222,2.306,123223.129117
1675123200,2.308,2.377,2.278,2.339,123680.240793
1675209600,2.34,2.438,2.172,2.429,215911.113903
1675296000,2.433,2.571,2.412,2.432,294325.76048
1675382400,2.455,2.515,2.395,2.515,135977.974902
1675468800,2.512,2.58,2.433,2.498,63006.502977
1675555200,2.501,2.551,2.22,2.392,140611.31891
1675641600,2.389,2.423,2.279,2.306,60236.570869
1675728000,2.316,2.504,2.31,2.492,122856.691246
1675814400,2.504,2.841,2.477,2.644,362256.246095
1675900800,2.639,2.639,2.21,2.266,355070.328855
1675987200,2.266,2.395,2.202,2.239,160940.775135
1676073600,2.243,2.295,2.203,2.291,119035.42864
1676160000,2.287,2.369,2.2,2.232,208057.180351
1676246400,2.24,2.303,2.091,2.196,153109.903331
1676332800,2.187,2.283,2.087,2.25,179511.902958
1676419200,2.246,2.524,2.202,2.52,230208.662844
1676505600,2.516,2.56,2.303,2.314,354443.101362
1676592000,2.301,2.485,2.295,2.458,230533.923521
1676678400,2.472,2.694,2.472,2.576,197846.192722
1676764800,2.57,2.683,2.501,2.57,177782.079489
1676851200,2.588,2.758,2.483,2.694,360190.559499
1676937600,2.702,2.713,2.497,2.562,120088.383317
1677024000,2.563,2.563,2.4,2.503,69595.862075
1677110400,2.511,2.56,2.425,2.467,73510.329857
1677196800,2.471,2.486,2.255,2.311,91915.431018
1677283200,2.313,2.337,2.2,2.283,66521.878785
1677369600,2.284,2.385,2.275,2.371,29988.359729
1677456000,2.368,2.415,2.291,2.347,49695.047983
1677542400,2.347,2.347,2.221,2.237,56393.568753
1677628800,2.225,2.359,2.204,2.311,29191.51221
1677715200,2.32,2.326,2.21,2.253,49420.242626
1677801600,2.255,2.255,2.036,2.104,71814.087625
1677888000,2.103,2.114,1.99,2.048,30559.979319
1677974400,2.05,2.114,2.018,2.027,6767.820458
1678060800,2.028,2.074,1.991,2.058,36937.913417
1678147200,2.062,2.087,1.943,2.001,76252.247172
1678233600,2.001,2.01,1.825,1.838,78507.476038
1678320000,1.849,2.01,1.739,1.788,140272.304696
1678406400,1.791,1.823,1.676,1.8,210115.236281
1678492800,1.806,1.868,1.71,1.808,144956.033559
1678579200,1.808,1.956,1.782,1.949,184377.556282
1678665600,1.946,2.053,1.9,2.048,248059.277334
1678752000,2.035,2.522,1.984,2.126,172654.402438
1678838400,2.121,2.159,1.874,1.92,136041.92526
1678924800,1.925,1.982,1.9,1.973,48758.923602
1679011200,1.966,2.168,1.95,2.166,152143.854455
1679097600,2.166,2.216,2.061,2.074,90111.389313
1679184000,2.084,2.201,2.084,2.142,40167.808286
1679270400,2.159,2.159,1.972,1.998,113096.117547
1679356800,1.994,2.082,1.932,2.073,72469.371239
1679443200,2.066,2.078,1.883,1.95,103885.792291
1679529600,1.945,2.071,1.925,2.043,79391.574754
1679616000,2.043,2.046,1.94,1.968,75430.865823
1679702400,1.963,1.994,1.897,1.915,25492.70221
1679788800,1.924,1.982,1.924,1.966,34549.622262
1679875200,1.96,1.962,1.815,1.845,81028.057913
1679961600,1.844,1.903,1.812,1.887,32568.126276
1680048000,1.885,2,1.88,2,141102.919006
1680134400,1.997,2.028,1.905,1.923,59177.644685
1680220800,1.925,2.36,1.89,1.998,181569.780485
1680307200,2.002,2.008,1.965,1.989,35839.274016
1680393600,1.993,2.008,1.894,1.92,29111.285103
1680480000,1.92,2.015,1.863,1.947,81422.14841
1680566400,1.95,2.008,1.919,1.994,160060.719998
1680652800,1.996,2.078,1.996,2.031,212347.329317
1680739200,2.031,2.031,1.943,1.987,98273.486298
1680825600,1.981,2.022,1.956,2.018,45122.379297
1680912000,2.004,2.018,1.955,1.973,42602.131451
1680998400,1.976,2.036,1.93,2.011,41923.749542
1681084800,2.011,2.068,1.97,2.067,215705.503498
1681171200,2.068,2.108,2.043,2.054,116078.356418
1681257600,2.057,2.246,1.975,2.23,156378.174766
1681344000,2.224,2.225,2.162,2.205,222727.87341
1681430400,2.209,2.278,2.156,2.221,182385.200533
1681516800,2.21,2.401,2.18,2.325,269043.904652
1681603200,2.315,2.356,2.267,2.314,109175.312554
1681689600,2.308,2.333,2.238,2.29,252961.975867
1681776000,2.286,2.403,2.244,2.346,153777.779782
1681862400,2.344,2.399,2.1,2.153,110942.544978
1681948800,2.153,2.195,2.013,2.045,104288.447805
1682035200,2.04,2.06,1.889,1.926,99520.253039
1682121600,1.931,1.95,1.898,1.947,13886.441403
1682208000,1.938,1.948,1.848,1.916,21958.928607
1682294400,1.912,1.941,1.85,1.89,45919.378184
1682380800,1.886,1.986,1.847,1.963,64940.252129
1682467200,1.966,2.128,1.784,1.893,205623.617978
1682553600,1.889,1.956,1.874,1.921,162173.879875
1682640000,1.927,1.956,1.88,1.919,197381.651907
1682726400,1.916,1.96,1.914,1.939,17013.415773
1682812800,1.93,1.985,1.897,1.936,34185.181828
1682899200,1.935,1.953,1.802,1.837,39882.099994
1682985600,1.837,1.853,1.815,1.839,37630.563238
1683072000,1.832,1.927,1.782,1.901,44437.921986
1683158400,1.9,1.9,1.83,1.842,42217.737076
1683244800,1.844,1.885,1.82,1.872,49273.722049
1683331200,1.866,1.866,1.743,1.772,26109.392615
1683417600,1.77,1.786,1.73,1.738,25484.954186
1683504000,1.749,1.749,1.574,1.648,98455.917158
1683590400,1.641,1.646,1.609,1.627,17092.318562
1683676800,1.631,1.685,1.554,1.665,67474.963906
1683763200,1.648,1.648,1.564,1.596,40605.912103
1683849600,1.587,1.657,1.542,1.653,216715.825984
1683936000,1.639,1.675,1.622,1.659,48204.344446
1684022400,1.659,1.679,1.644,1.66,24738.239397
1684108800,1.645,1.703,1.641,1.654,55376.87599
1684195200,1.662,1.666,1.631,1.66,26294.768313
1684281600,1.65,1.715,1.643,1.703,140276.623724
1684368000,1.696,1.701,1.628,1.657,115108.854908
1684454400,1.659,1.693,1.659,1.667,207187.382301
1684540800,1.66,1.665,1.651,1.66,8014.700659
1684627200,1.665,1.665,1.611,1.618,55484.259855
1684713600,1.609,1.628,1.576,1.615,34563.02963
1684800000,1.609,1.675,1.609,1.648,25493.323757
1684886400,1.634,1.634,1.554,1.58,22200.426769
1684972800,1.572,1.578,1.535,1.562,13096.403698
1685059200,1.559,1.595,1.535,1.589,47430.634883
1685145600,1.581,1.656,1.565,1.642,52057.815228
1685232000,1.629,1.687,1.628,1.668,380698.709419
1685318400,1.668,1.673,1.623,1.636,64331.45412
1685404800,1.631,1.647,1.605,1.61,37263.116882
1685491200,1.605,1.62,1.546,1.57,64824.57947
1685577600,1.574,1.574,1.535,1.55,42983.701871
1685664000,1.552,1.627,1.537,1.616,67738.430989
1685750400,1.613,1.639,1.601,1.617,366630.853532
1685836800,1.618,1.647,1.6,1.617,86051.542042
1685923200,1.613,1.653,1.44,1.499,380121.170732
1686009600,1.496,1.536,1.449,1.536,131986.974154
1686096000,1.528,1.53,1.357,1.414,205913.299755
1686182400,1.405,1.422,1.3,1.416,102944.418706
1686268800,1.407,1.431,1.37,1.386,87233.02316
1686355200,1.383,1.383,1.172,1.204,325765.221672
1686441600,1.205,1.24,1.186,1.202,166807.61856
1686528000,1.208,1.216,1.149,1.196,128692.960798
