time,open,high,low,close,volume
1683072000,1.6,1.6,1.24,1.41,734580.63302
1683158400,1.3943,1.5794,1.3,1.3307,357584.09314
1683244800,1.3378,1.3789,1.265,1.3105,464448.84644
1683331200,1.3019,1.3775,1.2726,1.337,626318.00388
1683417600,1.3359,1.3448,1.2227,1.2292,480454.4896
1683504000,1.2393,1.2446,1.0256,1.133,421292.47221
1683590400,1.1311,1.2141,1.0964,1.1885,143602.90082
1683676800,1.1769,1.2454,1.1025,1.1801,578839.18241
1683763200,1.171,1.1713,1.0399,1.078,73929.6385
1683849600,1.0716,1.1151,1.0141,1.1151,148150.33521
1683936000,1.0967,1.1344,1.0893,1.1006,41412.73106
1684022400,1.0939,1.2,1.074,1.1563,76680.88484
1684108800,1.1584,1.25,1.1316,1.1706,185860.6063
1684195200,1.196,1.2058,1.1445,1.1615,120511.10273
1684281600,1.1564,1.223,1.1161,1.2089,189586.36703
1684368000,1.2012,1.2012,1.1309,1.1423,89063.66889
1684454400,1.1355,1.1465,1.1187,1.1326,31211.96262
1684540800,1.1232,1.1309,1.1148,1.1232,19282.37043
1684627200,1.1226,1.1539,1.0401,1.0738,46885.83473
1684713600,1.0458,1.0703,1.0352,1.0521,20788.2619
1684800000,1.0505,1.09,1.0282,1.0459,51709.19489
1684886400,1.0508,1.0508,0.9456,0.982,89122.97357
1684972800,0.9813,1.0089,0.94,0.9832,40005.47031
1685059200,0.9841,1.0069,0.965,0.9929,85646.60461
1685145600,0.9893,1.0164,0.985,0.9989,57489.70288
1685232000,1,1.069,1,1.0645,439533.96438
1685318400,1.0602,1.0973,1.025,1.0427,322883.66669
1685404800,1.0288,1.06,0.9868,1.0064,180670.71487
1685491200,1.0074,1.0074,0.9487,0.9671,133968.1334
1685577600,0.972,0.9743,0.9433,0.947,154582.4411
1685664000,0.9395,0.9606,0.91,0.9434,110535.35648
1685750400,0.9352,0.9514,0.9104,0.9293,114621.17788
1685836800,0.9354,0.9741,0.9347,0.9646,148461.76358
1685923200,0.9605,0.9613,0.7505,0.8205,465096.35333
1686009600,0.8181,0.8492,0.7587,0.835,347161.01586
1686096000,0.8291,0.8291,0.7447,0.7548,62117.66321
1686182400,0.7559,0.7894,0.7169,0.7362,49410.89357
1686268800,0.7274,0.7622,0.7164,0.7403,96620.18013
1686355200,0.7367,0.7367,0.5101,0.608,866525.78613
1686441600,0.6046,0.6226,0.5882,0.6,176965.43088
1686528000,0.6005,0.6852,0.5707,0.6639,194727.14165
1686614400,0.6696,0.7189,0.6673,0.6929,166050.56028
1686700800,0.7024,0.705,0.6299,0.6493,69263.59624
1686787200,0.652,0.6557,0.621,0.6493,41014.09754
1686873600,0.6461,0.7198,0.6247,0.709,221402.81073
1686960000,0.711,0.7777,0.711,0.7525,432265.75092
1687046400,0.7528,0.7936,0.7147,0.7209,183456.70448
1687132800,0.7211,0.7893,0.7109,0.785,248581.68008
1687219200,0.7918,0.824,0.7512,0.8175,45912.2885
1687305600,0.8167,0.8465,0.7705,0.8287,144532.52871
1687392000,0.8282,0.8883,0.79,0.8095,211423.59497
1687478400,0.801,0.83,0.783,0.7967,81504.80292
1687564800,0.7901,0.7916,0.7283,0.7565,247654.73234
1687651200,0.7521,0.7806,0.7429,0.7436,564406.4924
1687737600,0.7395,0.76,0.7121,0.7148,385373.76392
1687824000,0.7234,0.7502,0.7045,0.7236,1506615.62844
1687910400,0.7149,0.7155,0.6416,0.6668,104970.5107
1687996800,0.667,0.713,0.6617,0.6813,99063.91822
1688083200,0.6764,0.7076,0.6298,0.6888,319256.7196
1688169600,0.683,0.685,0.6714,0.6799,38344.1502
1688256000,0.6817,0.6902,0.6609,0.689,36955.7111
1688342400,0.6981,0.7121,0.6897,0.698,78430.20019
1688428800,0.7086,0.7321,0.6817,0.6927,122669.59024
1688515200,0.6874,0.6875,0.6467,0.6603,34129.58722
1688601600,0.6603,0.6726,0.638,0.6611,33597.23586
1688688000,0.6534,0.6635,0.6459,0.6612,5009.40154
1688774400,0.6637,0.6643,0.6445,0.6478,15148.98222
1688860800,0.663,0.6633,0.6547,0.6575,2453.92813
1688947200,0.6394,0.6673,0.6309,0.6547,86117.1949
1689033600,0.6528,0.6647,0.6453,0.6555,33818.68708
1689120000,0.6606,0.6864,0.6476,0.6535,44301.96692
1689206400,0.6527,0.7077,0.6518,0.6959,110992.06373
1689292800,0.7028,0.7608,0.6619,0.6808,155007.26555
1689379200,0.6793,0.6973,0.673,0.6795,36065.13902
1689465600,0.6873,0.689,0.6612,0.667,32590.52552
1689552000,0.6689,0.7283,0.6689,0.7213,81956.02875
1689638400,0.7296,0.9065,0.6775,0.735,503451.43213
1689724800,0.7325,0.7627,0.7086,0.7097,147704.49748
1689811200,0.7187,0.7255,0.6837,0.6899,233244.22182
1689897600,0.6876,0.6931,0.675,0.6834,45136.47817
1689984000,0.6896,0.701,0.6855,0.6981,46687.39889
1690070400,0.7011,0.7011,0.675,0.675,94209.9562
1690156800,0.6734,0.6734,0.6102,0.6334,78477.70787
1690243200,0.6364,0.6488,0.6277,0.6404,17349.04815
1690329600,0.6331,0.6413,0.6178,0.6353,42808.35341
1690416000,0.6411,0.649,0.627,0.63,164331.47031
1690502400,0.6312,0.6412,0.6278,0.6302,14741.23668
1690588800,0.6293,0.639,0.6272,0.639,21230.44847
1690675200,0.6385,0.6385,0.6012,0.6191,32208.06993
1690761600,0.6193,0.6293,0.614,0.6277,49365.80616
1690848000,0.6362,0.6464,0.613,0.6464,341407.25889
1690934400,0.6467,0.6467,0.6078,0.6143,5582.01698
1691020800,0.6168,0.6168,0.5857,0.5891,86436.67186
1691107200,0.5982,0.5995,0.58,0.5896,18796.93409
1691193600,0.5894,0.5908,0.5825,0.5905,17259.33761
1691280000,0.5912,0.6056,0.5905,0.5905,39633.62046
1691366400,0.5917,0.5917,0.5619,0.5811,24867.93757
1691452800,0.5782,0.6015,0.5782,0.5944,51064.42064
1691539200,0.5952,0.6223,0.5922,0.5931,239574.86771
1691625600,0.5978,0.6043,0.5889,0.6037,47012.80479
1691712000,0.6086,0.6163,0.5971,0.604,11616.61555
1691798400,0.6034,0.6127,0.6034,0.6081,52068.01263
1691884800,0.6059,0.6095,0.6024,0.6041,21080.26154
1691971200,0.5976,0.6027,0.5932,0.5991,73601.86732
1692057600,0.5994,0.5994,0.526,0.5604,25793.59232
1692144000,0.5617,0.5771,0.5118,0.5202,171974.7547
1692230400,0.5201,0.5347,0.4426,0.4761,344882.4565
1692316800,0.4813,0.4845,0.4666,0.4845,86918.67526
