time,open,high,low,close,volume
1698710400,1.9,2.81,1.9,2.3,163665.07209
1698796800,2.2438,2.99,2.2101,2.5472,913885.30934
1698883200,2.5599,2.99,2.2363,2.401,478690.76927
1698969600,2.4061,2.5,2.2304,2.4063,357153.01583
1699056000,2.4049,2.6,2.3555,2.4175,335397.06979
1699142400,2.4382,2.4475,2.25,2.3174,144463.51968
1699228800,2.305,2.48,2.2606,2.3721,261897.1194
1699315200,2.3878,2.4505,2.2207,2.3365,165553.09746
1699401600,2.3434,2.41,2.297,2.3721,230464.51548
1699488000,2.3707,2.7939,2.2502,2.46,546860.41978
1699574400,2.46,3.5,2.384,3.1829,487836.8427
1699660800,3.1839,4.4699,3.1415,3.97,1069612.05548
1699747200,3.9796,4.87,3.7,4.5839,879159.58237
1699833600,4.6213,6.6999,4.3662,4.382,1678259.21291
1699920000,4.369,6.4488,4.22,6.0132,1296536.48448
1700006400,5.9788,6.5243,5.72,5.8631,724016.29533
1700092800,5.8516,6.4496,5.4429,5.7533,888185.43002
1700179200,5.783,7.0827,5.71,7.05,1016806.78908
1700265600,7.05,7.4799,6.42,7.1453,530216.99613
1700352000,7.1367,7.3806,6.421,6.8024,405447.54808
1700438400,6.7985,7.0662,5.896,5.9913,488247.84169
1700524800,5.9738,6.1911,5.04,5.0438,1145113.93543
1700611200,5.0445,6.3255,5.0408,6.1466,584276.30812
1700697600,6.1011,6.3899,5.6306,5.633,223544.18571
1700784000,5.64,5.8218,5.4112,5.5097,446166.85036
1700870400,5.5178,5.98,5.4849,5.9475,310783.54345
1700956800,5.9528,6.1826,5.35,5.4387,414999.30598
1701043200,5.426,5.9256,5.1424,5.8994,559625.627
1701129600,5.8861,6.5642,5.5004,6.2405,384582.07382
1701216000,6.239,6.6999,5.9836,6.0212,183155.00678
1701302400,6.0169,6.5144,5.93,6.3833,260271.07744
1701388800,6.383,7.4143,6.2774,7.1041,384623.9511
1701475200,7.1019,9.2077,7.0485,8.8833,718622.14982
1701561600,8.8626,9.3021,8.0583,8.5936,391163.2732
1701648000,8.6138,9.8497,8.1582,8.9643,812503.42034
1701734400,8.9449,10.49,8.3315,10.1479,578139.58977
1701820800,10.1352,11.7516,9.3224,9.6405,600113.18172
1701907200,9.6425,10.4396,9.4,9.5132,425501.59299
1701993600,9.5016,11.5642,8.81,9.2944,818542.96844
1702080000,9.3108,10.2013,9.2309,9.3256,364134.85737
1702166400,9.3577,9.98,9.03,9.8313,392503.10269
1702252800,9.8209,11.0657,8.722,10.805,1153721.03643
1702339200,10.8265,13.0836,10.7578,12.0718,987644.09609
1702425600,12.08,12.98,10.8085,12.1576,609698.88199
1702512000,12.1552,14.7606,11.9397,13.9914,630053.43184
1702598400,13.9312,15,12.8835,13.1179,525190.97186
1702684800,13.1334,14.8999,12.7278,13.12,444337.46767
1702771200,13.1134,14.1818,12.6428,12.691,283202.93919
1702857600,12.691,13.2589,10.9647,12.95,688904.33829
1702944000,12.9501,13.85,11.4999,11.7371,416958.59509
1703030400,11.7251,13.7499,11.6292,13.0037,567830.94177
1703116800,12.9921,13.2085,12.1212,12.8444,356443.00297
1703203200,12.8984,13.4804,11.849,12.4025,333763.51519
1703289600,12.4044,12.4157,11.6842,12.2907,214390.06297
1703376000,12.2764,15.2626,11.9202,14.1416,758797.13524
1703462400,14.1828,14.7,13.4577,13.7397,370603.92346
1703548800,13.7372,13.943,11.7636,12.7269,468951.47879
1703635200,12.7262,13.0639,12.0147,12.6742,349353.48246
1703721600,12.6481,13.1973,11.6319,11.8441,188789.88439
1703808000,11.864,12.85,11.4201,12.385,316493.11968
1703894400,12.3958,12.6596,11.5896,11.8927,196120.50109
1703980800,11.9022,12.6,11.5118,11.8634,336467.26797
1704067200,11.9008,14.0259,11.65,14.0125,374863.23019
1704153600,14.0098,14.2103,12.52,12.803,473897.39521
1704240000,12.7961,13.2313,9.57,12.1836,610433.98587
1704326400,12.1895,16.7501,11.9181,15.6611,958330.72729
1704412800,15.662,17.2809,14.5367,15.628,733790.1326
1704499200,15.6408,16.4349,14.0003,14.3274,466648.43404
1704585600,14.3472,15.4209,14.0183,14.3273,328654.17966
1704672000,14.327,14.4,12.5,14.2394,477604.50563
1704758400,14.2371,16.61,14.0968,14.9103,635230.56523
1704844800,14.9106,16.9112,14.1157,16.291,514246.36703
1704931200,16.2703,17.3737,15.2998,15.9923,469071.47722
1705017600,16.02,17.2738,15.4,16.3941,491021.47069
1705104000,16.3942,18.5,15.4642,18.4899,611435.64451
1705190400,18.4899,19.88,17.9224,18.0423,492789.81977
1705276800,18.1173,20.3719,18.1173,19,555493.32646
1705363200,19.033,19.6158,18.6591,18.8022,276203.35429
1705449600,18.8286,19.201,17.812,18.1075,300599.67576
1705536000,18.1124,18.5,16.7,16.8924,251346.86884
1705622400,16.9229,18.5144,16.36,17.839,445210.09887
1705708800,17.8108,17.8411,17.0351,17.6067,78836.2946
1705795200,17.6467,17.7398,16.8,16.8764,111626.74689
1705881600,16.8497,17.1599,15.1262,15.2265,298741.16734
1705968000,15.2419,16.5034,13.8778,16.4523,342575.87739
1706054400,16.4025,16.9643,15.7209,16.3735,298887.48927
1706140800,16.3777,16.3777,14.8314,15.146,275639.95071
1706227200,15.1224,16.9035,15.0511,16.5242,210632.8708
1706313600,16.5329,17.4781,16.4979,17.0474,201326.12905
1706400000,17.0571,17.61,16.68,17.041,179131.15288
1706486400,17.027,18.1465,16.8893,17.9688,301193.07298
1706572800,17.9736,18.5024,17.4869,17.87,238374.75372
1706659200,17.8642,17.9539,15.89,16.1939,313564.12594
1706745600,16.1948,17.2674,15.584,16.923,276429.77741
1706832000,16.9338,17.9876,16.8274,17.6587,180328.0681
1706918400,17.6668,18.4901,17.5078,17.7215,191514.08961
1707004800,17.7323,17.9839,16.8185,17.3447,135145.54129
1707091200,17.3574,18.2928,17.2585,17.7062,125259.23276
1707177600,17.7061,17.998,17.0552,17.4237,112238.7511
1707264000,17.4173,18.8288,17.118,18.8212,190030.37097
1707350400,18.7756,20.928,18.7755,20.1552,399647.78457
1707436800,20.1758,20.9293,19.4233,19.7213,256455.51224
1707523200,19.7642,21.1585,19.689,19.876,185258.83352
1707609600,19.9008,20.1148,19.2281,19.3912,105783.18536
1707696000,19.3841,20.0462,18.75,19.7,172298.6721
1707782400,19.7001,19.9615,18.7,19.0747,186019.88507
1707868800,19.0703,19.6666,18.6656,19.2364,219394.66386
1707955200,19.237,19.4712,17.8001,18.2632,234470.1289
1708041600,18.2598,18.6996,17.6274,18.5426,141008.50461
1708128000,18.5598,19.2486,18.0009,18.4692,305535.14284
1708214400,18.4675,19.2969,18.2387,18.6726,154789.4019
1708300800,18.6748,19.146,18.4696,18.7366,151564.73117
1708387200,18.743,18.8061,17.1428,17.95,208598.5544
1708473600,17.9692,17.9726,16.6624,17.3637,171197.84099
1708560000,17.3559,17.7669,16.791,16.93,152679.0941
1708646400,16.9486,17.2014,15.812,16.3495,129819.02866
1708732800,16.3951,17.0725,16.0637,17.0551,69069.67204
1708819200,17.0394,17.466,16.7191,16.7191,83298.18094
1708905600,16.7609,17.5346,16.1847,17.3305,174933.11394
1708992000,17.3578,17.816,16.6999,16.9901,200341.61928
1709078400,16.99,17.448,15.3972,16.5169,280570.33266
1709164800,16.5178,18.2856,16.1348,16.5229,329730.47061
1709251200,16.5067,17.37,16.41,17.0205,171500.62715
1709337600,17,17.1105,16.3102,16.7312,126749.3039
1709424000,16.7032,16.8384,15,16.4005,193432.01336
1709510400,16.4174,16.5356,15.1206,15.67,183932.28465
1709596800,15.67,17.4065,14.5,15.5959,484560.93797
1709683200,15.5908,16.3333,14.94,16.1944,224447.66996
1709769600,16.2356,16.9138,15.8872,16.73,191540.18412
1709856000,16.7821,17.3282,15.815,16.23,214152.0081
1709942400,16.1933,17.738,16.0879,16.7206,148857.89202
1710028800,16.749,17.3388,15.65,16.0683,114599.44808
1710115200,16.0685,16.5699,15.2167,16.4995,187061.07399
1710201600,16.5524,18.4999,16.0883,17.9418,479770.64211
1710288000,17.9442,18.3265,16.92,17.2459,233873.52847
1710374400,17.2258,17.7568,15.7,16.5269,269454.45963
1710460800,16.5445,16.8134,14.062,15.3141,427993.60269
1710547200,15.3377,16.0801,13.2198,13.7525,315465.61452
1710633600,13.7634,14.4264,13.0428,14.199,170250.85984
1710720000,14.1704,14.2548,12.8,12.899,356739.47059
1710806400,12.8833,14.8829,11.55,13.7678,620454.00179
1710892800,13.6677,15.0136,12.51,14.8457,343667.35009
1710979200,14.8284,15.3927,14.3178,14.7956,282464.0444
1711065600,14.7245,14.8411,13.3696,13.753,128198.96629
1711152000,13.7587,13.9564,13.3393,13.3748,82483.96639
1711238400,13.4484,13.723,13.1314,13.6598,77451.0636
1711324800,13.6598,14.5703,13.4882,14.0564,325570.77135
1711411200,14.1291,14.7577,13.6022,13.883,143074.5452
1711497600,13.8296,14.343,13.4383,13.9415,164284.50471
1711584000,13.9244,14.4652,13.62,14.167,147790.08508
1711670400,14.1459,15.54,14.0275,15.2386,271553.94526
1711756800,15.2433,15.2644,14.3747,14.4589,119564.92565
1711843200,14.4538,14.9109,14.1679,14.3113,79287.49963
1711929600,14.3027,14.4716,12.8,13.1598,177533.44435
1712016000,13.1506,13.2372,12,12.023,123219.61601
1712102400,12.0688,12.476,11.6087,11.9414,111357.08064
1712188800,11.9384,12.6899,11.6233,12.3076,107525.4878
1712275200,12.289,12.306,11.3908,11.8438,85942.50987
1712361600,11.8392,12.2,11.7437,12.0359,67226.93431
1712448000,12.0316,12.3228,12.0055,12.2201,45815.12106
1712534400,12.2212,12.867,11.89,12.4835,90956.73151
1712620800,12.482,12.5272,11.4539,11.5651,119366.84465
1712707200,11.5593,11.6569,10.7744,11.42,90367.595
1712793600,11.4297,11.4298,10.8041,10.8703,158590.60474
1712880000,10.9235,11.2188,8,8.8294,638265.35758
1712966400,8.8181,10.386,7.2312,9.9979,705352.82583
1713052800,9.999,11.3085,9.6686,10.5746,402124.77183
1713139200,10.5732,10.6298,9.2314,9.7589,314651.84532
1713225600,9.7737,11.5942,9.6438,11.3469,508802.84091
1713312000,11.328,11.4794,9.8976,9.9325,508167.85248
1713398400,9.9229,10.1992,9.3767,10.1922,263041.47735
1713484800,10.1945,11.7412,9.3393,10.7199,458971.32225
1713571200,10.7008,12.0958,10.6471,11.94,217814.35107
1713657600,11.9115,12.4283,11.2393,11.5073,157220.33488
1713744000,11.5228,11.8099,11.3182,11.4512,215813.29053
1713830400,11.4563,12.1853,10.8535,12.0253,331511.62037
1713916800,12.0241,12.2491,10.8763,11.0361,372011.26001
1714003200,11.0487,11.12,10.574,10.668,124994.4596
1714089600,10.6841,10.6978,10.232,10.5231,164864.58048
1714176000,10.5669,10.5764,9.9342,10.2796,90798.20677
1714262400,10.2809,10.5369,9.9852,10.0151,65699.25135
1714348800,10.0523,10.1709,9.3769,9.7562,433536.81845
1714435200,9.7562,9.879,8.9325,9.4586,198174.50078
1714521600,9.4565,10.0077,8.9208,9.712,248014.83084
1714608000,9.6882,10.355,9.3313,10.1383,195724.32348
1714694400,10.1431,10.5268,9.75,10.133,450779.27978
1714780800,10.127,10.2899,9.9714,10.04,95395.32667
1714867200,10.0526,10.8004,9.7985,10.2369,166570.2288
1714953600,10.2442,10.6768,10.055,10.2067,138867.30572
1715040000,10.2014,10.3142,9.4511,9.4589,192795.07524
1715126400,9.4505,9.671,9.314,9.392,272037.56108
1715212800,9.3842,9.704,9.2558,9.6203,78019.75804
1715299200,9.5896,9.871,9,9.13,149243.21113
1715385600,9.13,9.3086,9.0171,9.0527,113816.47664
1715472000,9.0614,9.2741,8.9806,9.135,33562.73351
1715558400,9.1424,9.3722,8.6582,8.9246,110944.3555
1715644800,8.911,8.9746,8.1377,8.1512,184978.13552
1715731200,8.15,9.1513,8.0143,8.9105,253420.51053
1715817600,8.9192,9.25,8.6406,8.989,220231.47383
1715904000,9.0158,9.852,8.9078,9.4828,281061.58553
1715990400,9.4812,9.6583,9.3362,9.5165,226652.82819
1716076800,9.4671,9.5861,8.7229,8.795,98492.40366
1716163200,8.8124,9.6403,8.5338,9.6274,451706.33674
1716249600,9.6403,10,9.4671,9.73,325854.13733
1716336000,9.73,10.3155,9.3087,9.5705,245669.69242
1716422400,9.5769,9.7922,8.605,9.2019,237067.3044
1716508800,9.1583,9.3195,8.7,8.847,110217.31631
1716595200,8.8822,9.1379,8.8519,9.1032,95769.52896
