time,open,high,low,close,volume
1737532800,0.42201,0.42372,0.422,0.42355,913283.106084
1737547200,0.42344,0.43147,0.41105,0.41263,5141829.61247
1737561600,0.4113,0.41963,0.409,0.41408,974435.662005
1737576000,0.41533,0.41538,0.40275,0.40517,5873352.886016
1737590400,0.40523,0.40583,0.395,0.39682,732756.898862
1737604800,0.39763,0.39923,0.39239,0.39866,479286.484718
1737619200,0.39828,0.39828,0.38961,0.39533,732444.367813
1737633600,0.39519,0.41869,0.38995,0.41255,1967856.754719
1737648000,0.41557,0.42303,0.39745,0.39942,1190613.36107
1737662400,0.39969,0.415,0.39704,0.41026,1088321.954087
1737676800,0.41105,0.41281,0.39215,0.40405,852934.038375
1737691200,0.40321,0.41717,0.39938,0.4091,1000225.494863
1737705600,0.40838,0.42265,0.40797,0.41645,1358624.418829
1737720000,0.41625,0.42691,0.40805,0.41149,1317432.537676
1737734400,0.4112,0.4131,0.40565,0.4063,450981.103395
1737748800,0.40911,0.40943,0.39682,0.40041,719153.63373
1737763200,0.39848,0.40798,0.39615,0.40595,282320.868529
1737777600,0.40589,0.40711,0.39904,0.40071,373847.775636
1737792000,0.40008,0.40111,0.3969,0.40093,347249.523845
1737806400,0.40061,0.40173,0.39408,0.3952,239567.031633
1737820800,0.39469,0.40368,0.39469,0.40205,372730.489789
1737835200,0.40206,0.4091,0.40206,0.40257,849945.777992
1737849600,0.40257,0.40901,0.3998,0.4072,401035.192719
1737864000,0.40709,0.41901,0.4064,0.41087,600879.191482
1737878400,0.41105,0.41347,0.3996,0.40297,381322.951515
1737892800,0.40317,0.40317,0.3995,0.39975,187205.904417
1737907200,0.39951,0.40578,0.39716,0.40501,482582.696518
1737921600,0.40495,0.40495,0.38067,0.38145,1338506.991576
1737936000,0.38062,0.3856,0.36544,0.37136,2442245.983956
1737950400,0.37147,0.37147,0.34491,0.35636,2818253.326563
1737964800,0.35495,0.35889,0.34651,0.3512,1039605.808406
1737979200,0.35115,0.37998,0.35011,0.37354,1751320.401299
1737993600,0.37331,0.38057,0.36163,0.3674,1614691.440527
1738008000,0.36748,0.38839,0.36748,0.38697,1160340.524308
1738022400,0.38679,0.39181,0.37734,0.3831,885968.101869
1738036800,0.38315,0.39054,0.3821,0.38414,447721.947393
1738051200,0.38432,0.38827,0.37962,0.38503,442663.675408
1738065600,0.38285,0.38622,0.37559,0.38039,693074.499966
1738080000,0.38068,0.38068,0.36701,0.36989,979259.05932
1738094400,0.36999,0.37133,0.35775,0.36337,1006380.723654
1738108800,0.36206,0.37005,0.362,0.36875,529030.284067
1738123200,0.36825,0.37608,0.36747,0.37456,811997.142861
1738137600,0.37355,0.37645,0.36699,0.3686,521512.656823
1738152000,0.36875,0.36947,0.35789,0.36463,966657.659811
1738166400,0.36254,0.375,0.35381,0.37149,1185133.289124
1738180800,0.371,0.38538,0.36612,0.36893,646496.318234
1738195200,0.36934,0.38216,0.36568,0.38138,522209.1086
1738209600,0.38149,0.38329,0.37273,0.37504,321761.964245
1738224000,0.37504,0.38208,0.37306,0.38187,385070.201974
1738238400,0.38192,0.39586,0.37733,0.3912,1617673.487123
1738252800,0.39207,0.39423,0.38429,0.3936,593528.514264
1738267200,0.39317,0.39474,0.38752,0.38754,402810.172975
1738281600,0.38801,0.38916,0.3776,0.3805,1282501.456251
1738296000,0.38,0.3886,0.37633,0.38464,878827.085892
1738310400,0.38434,0.39471,0.37974,0.39367,131061.965978
1738324800,0.39425,0.40197,0.39152,0.40074,1266598.044375
1738339200,0.40033,0.4025,0.37861,0.38056,1622049.82488
1738353600,0.37856,0.38213,0.374,0.3783,534799.477024
1738368000,0.379,0.38576,0.37712,0.37931,356193.974533
1738382400,0.38021,0.38057,0.3746,0.375,98604.229248
1738396800,0.37506,0.37599,0.3655,0.37099,675785.469254
1738411200,0.37108,0.37195,0.36288,0.3672,305026.079947
1738425600,0.36659,0.3692,0.35502,0.35679,480086.508135
1738440000,0.35533,0.35738,0.34529,0.34799,865418.653972
1738454400,0.34763,0.35637,0.33559,0.33659,784303.29024
1738468800,0.33642,0.346,0.33461,0.33938,718376.702147
1738483200,0.33933,0.34609,0.32851,0.32979,701436.230164
1738497600,0.32901,0.33612,0.32,0.33019,2230180.359118
1738512000,0.3292,0.3292,0.29583,0.31179,4038865.644336
1738526400,0.31055,0.31455,0.2831,0.29999,2029690.917617
1738540800,0.29989,0.29989,0.22903,0.26382,10200089.706894
1738555200,0.26392,0.28943,0.25164,0.28905,6111669.262384
1738569600,0.28801,0.28801,0.27566,0.27827,1103146.987986
1738584000,0.27907,0.30316,0.26256,0.30095,3223071.179861
1738598400,0.30092,0.3162,0.29616,0.3153,1860739.099161
1738612800,0.31475,0.319,0.3031,0.31334,2559634.623337
1738627200,0.31322,0.317,0.30203,0.30369,358307.062316
1738641600,0.30353,0.3055,0.28165,0.28264,5606592.319307
1738656000,0.28228,0.29415,0.27857,0.28965,672419.385967
1738670400,0.28917,0.30104,0.28917,0.2954,990153.75821
1738684800,0.29541,0.31137,0.29375,0.29562,2665052.538097
1738699200,0.29673,0.2976,0.28084,0.29252,1136465.950262
1738713600,0.2916,0.2954,0.28855,0.29237,498605.731272
1738728000,0.29222,0.29454,0.28691,0.29154,824140.351515
1738742400,0.29118,0.29547,0.28739,0.29487,204284.144351
1738756800,0.29478,0.29968,0.28985,0.298,539571.5675
1738771200,0.29825,0.29947,0.285,0.29553,1051244.34825
1738785600,0.29589,0.29816,0.2778,0.28119,502109.414179
1738800000,0.28154,0.29307,0.28154,0.291,1314787.981853
1738814400,0.29055,0.29764,0.28864,0.29186,582416.048037
1738828800,0.29211,0.29317,0.28672,0.28924,104288.180833
1738843200,0.28937,0.28937,0.26758,0.269,1331468.19635
1738857600,0.26907,0.2751,0.26514,0.26706,1064991.084116
1738872000,0.26645,0.27299,0.26335,0.26718,834065.533965
1738886400,0.2672,0.27601,0.26631,0.27266,585453.781368
1738900800,0.27249,0.27472,0.26619,0.26856,366860.726089
1738915200,0.26808,0.28076,0.26808,0.27827,115293.875302
1738929600,0.27846,0.295,0.27409,0.28691,1467653.059685
1738944000,0.28796,0.28796,0.27666,0.27767,740759.505685
1738958400,0.27759,0.27759,0.26051,0.26934,422051.792319
1738972800,0.26737,0.27437,0.26731,0.26784,701234.463301
1738987200,0.26736,0.27182,0.26427,0.26985,360480.334624
1739001600,0.27004,0.27113,0.2666,0.26876,112936.674844
1739016000,0.26879,0.27293,0.26721,0.26779,169707.049358
1739030400,0.26811,0.27648,0.26519,0.27648,130558.337457
1739044800,0.2766,0.2777,0.273,0.27601,413651.584898
1739059200,0.27601,0.2883,0.27429,0.28688,702851.471729
1739073600,0.28631,0.28631,0.27813,0.28123,467048.761923
1739088000,0.2813,0.28226,0.27677,0.27723,302905.684597
1739102400,0.27673,0.27787,0.26933,0.27507,277979.025394
1739116800,0.27533,0.28151,0.27152,0.27188,790324.81937
1739131200,0.27219,0.27655,0.25857,0.27573,719036.35288
1739145600,0.27515,0.28343,0.26865,0.27816,789479.771787
1739160000,0.27763,0.28658,0.27763,0.2853,167719.645911
1739174400,0.28534,0.29251,0.28507,0.29098,1942677.249033
1739188800,0.29122,0.29739,0.28547,0.28764,1167899.477074
1739203200,0.28791,0.29253,0.28705,0.28728,381144.521072
1739217600,0.28733,0.29129,0.28728,0.29041,423951.230952
1739232000,0.29025,0.2975,0.28886,0.29583,1040953.042328
1739246400,0.29574,0.31281,0.29528,0.30962,1550780.503386
1739260800,0.30899,0.31335,0.30493,0.30755,751950.665242
1739275200,0.30769,0.30769,0.29416,0.297,880775.290304
1739289600,0.29679,0.29991,0.28266,0.28404,1130904.005597
1739304000,0.28385,0.29306,0.28371,0.28605,409701.889594
1739318400,0.28573,0.29084,0.2816,0.28293,453081.034755
1739332800,0.2825,0.2883,0.28043,0.2865,472295.249382
1739347200,0.2867,0.29232,0.2853,0.29078,468287.290815
1739361600,0.29079,0.29535,0.27611,0.28789,1485233.981195
1739376000,0.28781,0.29805,0.28517,0.29637,1056499.462865
1739390400,0.29598,0.30529,0.29508,0.30237,888925.262705
1739404800,0.30263,0.3073,0.29956,0.30251,1363106.749495
1739419200,0.30233,0.30233,0.29261,0.29327,657762.859524
1739433600,0.29297,0.29361,0.28836,0.29049,373100.772526
1739448000,0.29027,0.29268,0.28542,0.29053,970522.173376
1739462400,0.29098,0.29817,0.28714,0.29426,961866.659174
1739476800,0.29417,0.29653,0.29167,0.29358,182743.196739
1739491200,0.29361,0.29658,0.29082,0.296,319167.977268
1739505600,0.29576,0.29651,0.29082,0.29173,200397.636756
1739520000,0.29098,0.30418,0.29098,0.29851,900048.959375
1739534400,0.29865,0.30968,0.29433,0.3024,1892496.608718
1739548800,0.30186,0.30887,0.29783,0.30313,980755.711843
1739563200,0.30353,0.30443,0.29222,0.29655,611190.267875
1739577600,0.29662,0.30187,0.29325,0.30087,328175.00753
1739592000,0.30081,0.30279,0.29388,0.29634,149001.021511
1739606400,0.29633,0.29928,0.29143,0.29298,774438.19517
1739620800,0.29297,0.29438,0.28719,0.28856,522131.37982
1739635200,0.288,0.28967,0.28471,0.28471,275246.340466
1739649600,0.28464,0.28557,0.28121,0.28444,271667.978586
1739664000,0.2841,0.28572,0.27841,0.2805,449674.93889
1739678400,0.28084,0.2826,0.27725,0.2777,213047.470964
1739692800,0.278,0.28461,0.27726,0.28451,183863.809307
1739707200,0.28422,0.28422,0.27447,0.27633,214258.832628
1739721600,0.27632,0.27756,0.27348,0.27703,243127.173106
1739736000,0.27708,0.27845,0.27433,0.27511,294430.683109
1739750400,0.27532,0.27968,0.27418,0.27584,173478.102624
1739764800,0.2751,0.27729,0.27097,0.27396,349686.708766
1739779200,0.27344,0.27944,0.27188,0.27698,423604.855693
1739793600,0.2769,0.28347,0.27275,0.27293,1249257.125762
1739808000,0.2731,0.27482,0.26601,0.26931,1112968.968317
1739822400,0.26898,0.2742,0.26834,0.26991,399043.107071
1739836800,0.27011,0.27167,0.26762,0.27025,269560.418219
1739851200,0.27031,0.27058,0.25737,0.2598,2688533.652376
1739865600,0.25977,0.26295,0.25566,0.25971,799151.023877
1739880000,0.25949,0.26607,0.2502,0.25153,3595180.553124
1739894400,0.25149,0.25427,0.245,0.2507,2084404.790985
1739908800,0.25075,0.25717,0.24921,0.25716,724166.937318
