time,open,high,low,close,volume
1672531200,10.88,10.88,10.79,10.8,2916.933296
1672545600,10.78,10.79,10.69,10.71,394.152446
1672560000,10.69,10.75,10.65,10.75,538.666973
1672574400,10.75,10.77,10.72,10.75,1091.672951
1672588800,10.76,12.06,10.74,10.88,46001.044763
1672603200,10.89,10.94,10.84,10.87,6123.297233
1672617600,10.86,10.91,10.71,10.91,7376.094569
1672632000,10.85,11.26,10.84,11.12,3448.763525
1672646400,11.12,11.19,11.12,11.13,1818.454371
1672660800,11.17,11.2,11.12,11.18,880.783542
1672675200,11.21,11.21,11.14,11.18,3447.47809
1672689600,11.18,11.27,11.09,11.15,1309.101095
1672704000,11.12,11.18,11.07,11.13,2457.636859
1672718400,11.14,11.36,11.14,11.28,1731.855216
1672732800,11.3,11.36,11.18,11.29,2300.53406
1672747200,11.28,11.44,11.26,11.39,3277.301839
1672761600,11.41,11.54,11.27,11.3,4064.763772
1672776000,11.3,11.39,11.3,11.37,983.483459
1672790400,11.39,11.85,11.35,11.84,4034.44617
1672804800,11.83,11.97,11.74,11.9,4808.603043
1672819200,11.94,11.97,11.71,11.78,11619.617396
1672833600,11.78,12.12,11.77,12.1,29693.126627
1672848000,12.1,12.28,11.96,12.12,16698.093918
1672862400,12.13,12.13,11.95,12.09,12810.400372
1672876800,12.09,12.14,11.97,12.1,1592.446766
1672891200,12.11,12.17,11.97,12,1771.187787
1672905600,12.01,12.01,11.8,11.9,2510.568766
1672920000,11.89,11.89,11.74,11.76,3827.416302
1672934400,11.75,11.84,11.72,11.82,3217.062532
1672948800,11.83,11.84,11.67,11.75,3328.848075
1672963200,11.74,11.8,11.68,11.71,893.086822
1672977600,11.7,11.71,11.48,11.54,3998.367279
1672992000,11.54,11.59,11.4,11.44,2658.582652
1673006400,11.42,11.59,11.36,11.58,5448.669063
1673020800,11.6,11.75,11.54,11.75,8169.454426
1673035200,11.76,11.82,11.66,11.79,13116.553585
1673049600,11.79,11.86,11.75,11.79,5345.546965
1673064000,11.79,11.83,11.76,11.82,733.95889
1673078400,11.78,11.78,11.7,11.74,364.10251
1673092800,11.7,11.74,11.7,11.72,461.252736
1673107200,11.72,11.77,11.65,11.77,1875.996424
1673121600,11.77,11.78,11.68,11.74,7246.332587
1673136000,11.74,11.74,11.59,11.66,445.743721
1673150400,11.67,11.74,11.67,11.71,3849.268178
1673164800,11.75,11.85,11.75,11.81,987.545864
1673179200,11.79,11.96,11.79,11.93,1138.203438
1673193600,11.95,11.95,11.8,11.88,2124.356139
1673208000,11.9,12.14,11.89,12.05,8989.249394
1673222400,12.1,12.6,12.08,12.51,16394.083399
1673236800,12.52,12.54,12.41,12.47,2158.970557
1673251200,12.49,12.57,12.3,12.4,7258.640397
1673265600,12.44,12.63,12.3,12.54,32898.925121
1673280000,12.58,12.65,12.33,12.33,28563.832027
1673294400,12.32,12.32,12.1,12.23,10829.550313
1673308800,12.24,12.4,12.03,12.3,4312.500933
1673323200,12.31,12.4,12.28,12.33,1474.720754
1673337600,12.36,12.54,12.3,12.49,7534.749686
1673352000,12.45,12.92,12.35,12.68,5655.901747
1673366400,12.7,12.82,12.59,12.8,3628.155574
1673380800,12.78,12.8,12.64,12.74,12060.658571
1673395200,12.76,12.76,12.4,12.44,25600.82985
1673409600,12.45,12.54,12.39,12.54,18217.323941
1673424000,12.54,12.54,12.42,12.48,3476.419566
1673438400,12.45,12.58,12.26,12.43,27974.084952
1673452800,12.46,15,12.39,14.59,162311.552621
1673467200,14.58,16.03,14.34,15.85,196704.185499
1673481600,15.92,16.54,15.59,15.94,77233.829243
1673496000,15.94,16.13,15.24,15.38,40826.927035
1673510400,15.34,15.52,15.07,15.24,15518.185866
1673524800,15.24,15.73,14.68,15.01,97360.689141
1673539200,14.96,15.7,14.87,15.32,63163.604562
1673553600,15.35,15.48,15.21,15.45,11109.880874
1673568000,15.41,15.46,14.91,15.45,28471.556004
1673582400,15.46,15.64,15.24,15.53,19309.709739
1673596800,15.51,16.36,15.45,15.66,28867.733261
1673611200,15.61,15.77,15.35,15.67,12594.789354
1673625600,15.67,15.69,15.35,15.6,23515.562318
1673640000,15.67,16.58,15.64,15.98,90443.557764
1673654400,15.91,17.17,15.91,16.83,86659.5945
1673668800,16.82,17.96,16.52,17.52,101395.497123
1673683200,17.54,18.6,15.8,17.01,68455.670803
1673697600,16.93,17.42,16.65,17.02,20151.591392
1673712000,17.03,17.1,16.65,16.76,36912.259717
1673726400,16.75,17.06,16.64,16.95,22012.850434
1673740800,16.93,17.03,16.2,16.55,6541.48928
1673755200,16.53,16.6,16.14,16.34,9277.736136
1673769600,16.35,16.46,16.01,16.41,7549.900753
1673784000,16.39,17.08,16.28,17.03,15388.93503
1673798400,17.02,17.09,16.48,16.8,14500.866011
1673812800,16.81,16.95,16.69,16.82,7235.055253
1673827200,16.8,17.33,16.57,16.82,9007.419772
1673841600,16.85,17.2,16.79,16.96,20279.328292
1673856000,16.97,16.98,16.11,16.54,28128.721385
1673870400,16.55,16.61,16.09,16.54,8265.154384
1673884800,16.58,16.91,16.47,16.81,19663.845593
1673899200,16.83,16.91,16.63,16.74,8165.849497
1673913600,16.75,17.44,16.55,16.88,37708.350001
1673928000,16.89,17.03,16.78,16.85,25290.853691
1673942400,16.83,17.03,16.79,16.91,6595.563945
1673956800,16.92,18.19,16.72,17.76,77858.833584
1673971200,17.68,17.71,17.33,17.59,33699.104491
1673985600,17.61,17.69,17.02,17.12,17862.187698
1674000000,17.16,17.35,16.89,17.31,22716.323581
1674014400,17.29,17.42,17.14,17.17,17764.292389
1674028800,17.16,17.16,16.79,16.88,15149.602177
1674043200,16.87,17.31,15.79,16.32,25262.602225
1674057600,16.31,16.68,15.45,16.37,55609.86553
1674072000,16.35,16.38,15.71,15.83,21323.542773
1674086400,15.86,15.92,15.71,15.88,6924.806007
1674100800,15.89,16.09,15.88,15.88,4799.363726
1674115200,15.9,16.27,15.88,15.94,1586.224233
1674129600,15.9,16.11,15.72,15.94,3282.461527
1674144000,15.93,16.19,15.79,16.16,7210.128335
1674158400,16.17,16.27,16.07,16.2,10143.117856
1674172800,16.12,16.29,16.03,16.16,2470.470088
1674187200,16.15,16.22,15.9,15.94,4992.087929
1674201600,15.94,16.01,15.87,15.98,5363.996701
1674216000,16.01,16.27,16,16.2,3989.592621
1674230400,16.2,16.74,16.2,16.73,27618.524399
1674244800,16.75,17.58,16.7,17.5,60193.21836
1674259200,17.53,17.58,17.12,17.33,14717.929645
1674273600,17.34,17.45,17.21,17.45,4598.200785
1674288000,17.39,17.74,16.84,17.2,28239.519077
1674302400,17.22,17.47,17.1,17.25,7820.180996
