time,open,high,low,close,volume
1737532800,444.6,446.46,444.52,446.46,0.21071
1737547200,447.14,447.17,437.75,439.37,47.574168
1737561600,439.87,445.37,438.43,440.57,211.087165
1737576000,440.04,441.29,434.35,434.35,115.137411
1737590400,435.85,436.14,426.68,431.59,161.379251
1737604800,431.46,432.21,428.3,431.41,81.872158
1737619200,432.06,432.07,426.77,427.35,35.326884
1737633600,427.69,440.17,425.44,439.51,107.530485
1737648000,440.17,447.36,431.03,431.55,131.212341
1737662400,432.07,442.2,427.56,437.43,316.840671
1737676800,435.96,435.97,426.68,430.57,250.768682
1737691200,430.41,441,430.41,436.9,298.137607
1737705600,436.32,441.79,436.17,440.94,349.464451
1737720000,440.86,442.59,436.26,439.06,343.527118
1737734400,439.3,440.74,436.65,437.31,40.985416
1737748800,438.22,438.22,428.76,432.2,219.624885
1737763200,432.3,443.42,430.89,443.42,79.221829
1737777600,443.42,444.76,434.91,436.68,36.765098
1737792000,438.35,438.35,433.06,434.14,21.252663
1737806400,435.24,440.84,434.5,439.9,97.99923
1737820800,439.72,451.05,439.72,449.67,312.115234
1737835200,450.14,451.8,445.06,445.06,68.951763
1737849600,445.54,447.23,442.81,442.81,32.673209
1737864000,443.4,445.58,440.35,441.01,134.876348
1737878400,441.47,441.83,435.49,439.15,558.242164
1737892800,437.6,438.04,435.35,435.8,20.563929
1737907200,435.63,437.65,434.82,437.65,48.131277
1737921600,436.92,437.26,424.64,425.37,58.628345
1737936000,424.67,427.49,413.65,420.82,587.167483
1737950400,420.8,420.8,396.74,406.4,1754.532749
1737964800,403.35,405.96,397.4,403.05,1784.248933
1737979200,402.33,420.52,401.54,417.91,196.240183
1737993600,417.63,419.72,407.01,412.11,228.035896
1738008000,413.76,428.79,413.52,427.63,905.681556
1738022400,427.5,430.91,424.09,427.96,222.813552
1738036800,427.56,430.67,426.99,427.54,182.319081
1738051200,427.66,429.67,425.21,428.8,20.885314
1738065600,429.01,431.19,425.86,428.06,127.823541
1738080000,427.35,428.17,420.01,421.54,228.402209
1738094400,421.61,421.61,406.38,410.46,608.272456
1738108800,410.17,416.67,409.81,414.63,100.687015
1738123200,413.8,418.57,413.8,417.18,47.108937
1738137600,417.25,417.96,411.62,414.38,68.552606
1738152000,415.68,415.68,407.64,410.98,37.986739
1738166400,410.61,417.99,404.93,417.99,61.019988
1738180800,413.34,421.39,412.49,414.92,84.279999
1738195200,416.3,428.3,413.09,427.8,157.114853
1738209600,428.72,431.56,427.14,427.14,219.045383
1738224000,429.41,431.77,427.19,428.89,191.939741
1738238400,427.71,436.58,427.19,435.02,263.269487
