time,open,high,low,close,volume
1672531200,1.256,1.257,1.256,1.257,14.5641
1672560000,1.251,1.253,1.251,1.253,21.941501
1672574400,1.246,1.248,1.246,1.248,215.430279
1672588800,1.253,1.26,1.253,1.26,170.243241
1672603200,1.263,1.263,1.263,1.263,93.885253
1672617600,1.268,1.268,1.246,1.253,133.875707
1672632000,1.265,1.277,1.265,1.277,423.72865
1672646400,1.285,1.292,1.284,1.292,482.479908
1672660800,1.283,1.283,1.283,1.283,1.15432
1672675200,1.289,1.293,1.289,1.293,23.268593
1672689600,1.304,1.304,1.299,1.299,160.25505
1672704000,1.297,1.307,1.297,1.307,1624.394024
1672718400,1.311,1.311,1.311,1.311,4.799548
1672732800,1.312,1.312,1.305,1.306,665.033269
1672761600,1.291,1.293,1.284,1.288,387.224936
1672790400,1.305,1.331,1.305,1.331,113.422111
1672804800,1.345,1.349,1.345,1.349,1056.478941
1672819200,1.339,1.339,1.335,1.338,37.78851
1672833600,1.35,1.365,1.341,1.352,2260.543501
1672848000,1.355,1.365,1.338,1.338,1587.689343
1672862400,1.344,1.344,1.344,1.344,4.452979
1672876800,1.355,1.358,1.355,1.356,1797.084332
1672891200,1.365,1.371,1.358,1.362,11188.9503
1672905600,1.354,1.354,1.354,1.354,125.09469
1672920000,1.364,1.368,1.36,1.36,686.179627
1672934400,1.368,1.384,1.368,1.384,147.43042
1672948800,1.372,1.427,1.357,1.357,5043.037507
1672963200,1.351,1.351,1.346,1.346,23.203818
1672977600,1.344,1.344,1.341,1.341,105.502184
1672992000,1.332,1.332,1.327,1.327,184
1673006400,1.324,1.395,1.318,1.34,7191.514942
1673020800,1.363,1.367,1.363,1.367,215.754622
1673035200,1.37,1.371,1.367,1.367,73.914058
1673049600,1.378,1.391,1.378,1.38,367.87109
1673092800,1.376,1.376,1.376,1.376,36.337209
1673107200,1.375,1.375,1.364,1.364,126.514513
1673121600,1.365,1.37,1.365,1.37,186.652332
1673136000,1.376,1.376,1.375,1.375,228.729349
1673150400,1.369,1.369,1.369,1.369,10
1673164800,1.381,1.381,1.37,1.376,289.811594
1673179200,1.369,1.369,1.369,1.369,3.524408
1673193600,1.381,1.381,1.381,1.381,18.102824
1673208000,1.39,1.416,1.39,1.416,1012.072499
1673222400,1.423,1.455,1.423,1.455,800.378951
1673236800,1.458,1.458,1.455,1.455,1378.018921
1673251200,1.469,1.471,1.467,1.471,979.566722
1673265600,1.474,1.477,1.445,1.477,288.997617
1673280000,1.47,1.49,1.456,1.489,1661.328931
1673294400,1.455,1.469,1.428,1.469,491.459879
1673308800,1.439,1.47,1.439,1.459,195.211348
1673323200,1.459,1.46,1.429,1.429,376.508185
1673337600,1.429,1.454,1.429,1.43,3116.254806
1673352000,1.43,1.451,1.423,1.451,791.404706
1673366400,1.423,1.455,1.408,1.454,1085.699453
1673380800,1.449,1.521,1.445,1.45,6389.502809
1673395200,1.451,1.451,1.423,1.423,729.140185
1673409600,1.45,1.45,1.45,1.45,3.7
1673424000,1.45,1.5,1.424,1.424,2092.321809
1673438400,1.423,1.423,1.385,1.385,4589.963273
1673452800,1.393,1.427,1.393,1.427,176.194928
1673467200,1.432,1.453,1.42,1.453,1294.869051
1673481600,1.455,1.477,1.455,1.464,1049.125863
1673496000,1.465,1.467,1.464,1.467,734.978133
1673510400,1.456,1.456,1.438,1.443,2366.355938
1673524800,1.429,1.479,1.423,1.44,3190.958917
1673539200,1.453,1.584,1.453,1.536,4038.029568
1673553600,1.534,1.536,1.513,1.528,5187.778602
1673568000,1.516,1.524,1.516,1.524,1120.126649
1673582400,1.54,1.55,1.52,1.53,1416.134793
1673596800,1.533,1.537,1.515,1.528,2821.311936
1673611200,1.519,1.521,1.513,1.519,1732.346016
1673625600,1.517,1.526,1.517,1.526,35.409789
1673640000,1.538,1.573,1.535,1.549,10886.6157
1673654400,1.565,1.607,1.565,1.59,11139.624187
1673668800,1.594,1.7,1.594,1.693,8697.2823
1673683200,1.693,1.764,1.568,1.635,126172.113386
1673697600,1.632,1.638,1.592,1.623,2613.327663
1673712000,1.624,1.627,1.598,1.607,3589.108824
1673726400,1.604,1.605,1.603,1.605,170.99953
1673740800,1.592,1.6,1.385,1.586,11712.041179
1673755200,1.611,1.611,1.583,1.583,71.443973
1673769600,1.581,1.59,1.581,1.59,3752.874475
1673784000,1.607,1.646,1.454,1.642,18037.555228
1673798400,1.643,1.664,1.632,1.652,869.647824
1673812800,1.647,1.67,1.647,1.652,576.438781
1673827200,1.658,1.79,1.652,1.667,3698.822086
1673841600,1.691,1.723,1.681,1.692,2136.115315
1673856000,1.667,1.667,1.599,1.651,11422.480645
1673870400,1.653,1.654,1.608,1.643,2551.677512
1673884800,1.646,1.722,1.646,1.658,3287.67485
1673899200,1.658,1.696,1.637,1.637,1475.405108
1673913600,1.644,1.736,1.631,1.64,3199.176435
1673928000,1.644,1.644,1.641,1.641,25
1673942400,1.683,1.683,1.64,1.64,194.065375
1673956800,1.681,1.844,1.646,1.65,18736.541056
1673971200,1.65,1.687,1.632,1.645,6024.857352
1673985600,1.68,1.68,1.608,1.608,1861.848309
1674000000,1.623,1.649,1.611,1.637,5471.221619
1674014400,1.659,1.668,1.653,1.653,785.732442
1674028800,1.645,1.688,1.631,1.631,3825.29767
1674043200,1.645,1.726,1.543,1.543,2295.274107
1674057600,1.588,1.589,1.493,1.562,2999.036181
1674072000,1.561,1.562,1.49,1.52,887.082925
1674086400,1.52,1.562,1.493,1.495,4787.9499
1674100800,1.51,1.51,1.51,1.51,100
1674115200,1.499,1.511,1.49,1.49,558.470524
1674129600,1.49,1.539,1.47,1.507,1186.373494
1674144000,1.49,1.607,1.486,1.56,3735.676065
1674158400,1.562,1.607,1.536,1.536,637.991589
1674172800,1.536,1.563,1.53,1.563,62.452459
1674187200,1.563,1.582,1.536,1.539,351.04974
1674201600,1.54,1.566,1.514,1.524,1501.50038
1674216000,1.537,1.548,1.537,1.548,741.506427
1674230400,1.558,1.579,1.558,1.571,1516.098458
1674244800,1.588,1.652,1.588,1.652,2269.670192
1674259200,1.655,1.69,1.65,1.69,1364.237157
1674273600,1.688,1.716,1.687,1.703,3760.215926
1674288000,1.702,1.711,1.656,1.711,2658.516064
1674302400,1.712,1.723,1.7,1.723,2254.424353
1674316800,1.709,1.823,1.709,1.783,6186.093538
1674331200,1.774,1.845,1.731,1.731,16729.854988
1674345600,1.714,1.764,1.714,1.763,3252.327167
1674360000,1.766,1.842,1.766,1.842,12909.507516
1674374400,1.845,2.104,1.845,2.022,30278.758597
1674388800,2.023,2.199,1.97,2.019,18601.086754
1674403200,2.019,2.15,1.989,2.037,5233.532775
1674417600,2.018,2.042,1.896,1.985,4643.587658
1674432000,1.985,2.137,1.938,2.104,7927.837972
1674446400,2.104,2.104,1.962,1.963,9299.033199
1674460800,1.992,2.067,1.978,2.056,2560.769701
1674475200,2.065,2.067,1.963,1.997,5400.838895
1674489600,1.998,2.01,1.969,1.969,2160.011902
1674504000,2,2.021,1.991,1.998,3915.29118
1674518400,1.997,2.013,1.978,2.007,1035.605819
1674532800,2.001,2.001,1.978,1.986,3636.063493
1674547200,1.988,1.99,1.948,1.962,2048.113762
1674561600,1.984,1.99,1.915,1.931,2570.206921
1674576000,1.938,1.954,1.897,1.939,1045.078467
1674590400,1.933,1.933,1.799,1.825,4253.293136
1674604800,1.816,1.845,1.786,1.835,8684.997075
1674619200,1.842,1.917,1.842,1.906,12223.669361
1674633600,1.905,1.908,1.864,1.864,525.273105
1674648000,1.897,2.455,1.897,2.228,28853.694348
1674662400,2.214,2.353,2.157,2.251,12869.829633
1674676800,2.213,2.372,2.172,2.303,6780.081103
1674691200,2.251,2.428,2.248,2.387,3977.35929
1674705600,2.359,2.361,2.262,2.265,2675.419327
1674720000,2.275,2.5,2.272,2.403,7244.402847
1674734400,2.455,2.844,2.439,2.501,48425.595111
1674748800,2.5,2.721,2.472,2.63,38662.948291
1674763200,2.618,2.664,2.569,2.585,6430.267139
1674777600,2.599,2.781,2.513,2.722,68576.112999
1674792000,2.722,2.785,2.589,2.617,21586.916934
1674806400,2.59,2.59,2.523,2.57,7891.131548
1674820800,2.589,2.674,2.541,2.611,13968.325941
1674835200,2.658,2.8,2.633,2.655,11897.851365
1674849600,2.671,2.718,2.541,2.555,9975.899349
1674864000,2.596,2.618,2.57,2.606,1415.723755
1674878400,2.617,2.659,2.588,2.652,2817.314393
1674892800,2.658,2.732,2.6,2.649,6634.009809
1674907200,2.609,2.618,2.533,2.591,8988.000348
1674921600,2.592,2.697,2.485,2.539,5663.516482
1674936000,2.506,2.518,2.478,2.5,858.993555
1674950400,2.529,2.557,2.493,2.495,5152.047242
1674964800,2.501,2.505,2.483,2.501,2533.09383
1674979200,2.503,2.554,2.496,2.534,684.097477
1674993600,2.557,2.571,2.524,2.524,1820.280587
1675008000,2.531,2.657,2.516,2.567,6769.159182
1675022400,2.567,2.636,2.536,2.592,3297.504169
1675036800,2.559,2.579,2.496,2.568,109.614074
1675051200,2.579,2.637,2.52,2.523,849.305955
1675065600,2.544,2.869,2.515,2.768,12751.360928
1675080000,2.727,2.889,2.691,2.811,42290.591853
1675094400,2.835,3.04,2.761,2.814,40702.464482
1675108800,2.814,2.86,2.768,2.813,6229.31159
1675123200,2.774,2.914,2.741,2.842,4786.44834
1675137600,2.803,2.851,2.733,2.783,1078.972601
1675152000,2.732,2.74,2.703,2.738,6933.639596
1675166400,2.757,3.1,2.738,3.016,19588.141487
1675180800,3.031,3.32,3.03,3.137,14504.05546
1675195200,3.167,3.32,3.069,3.14,24083.760546
1675209600,3.129,3.397,3.065,3.397,4762.133992
1675224000,3.39,3.4,3.204,3.244,19839.776271
1675238400,3.24,3.49,3.219,3.351,24211.39996
1675252800,3.331,3.392,3.163,3.211,20834.061656
1675267200,3.204,3.812,3.158,3.697,29039.62404
1675281600,3.713,4.03,3.632,3.862,56073.170748
1675296000,3.859,3.951,3.757,3.809,12382.100345
1675310400,3.799,3.873,3.734,3.809,16194.746944
1675324800,3.822,3.825,3.724,3.795,1965.259082
1675339200,3.81,4.249,3.608,3.684,50014.730532
1675353600,3.682,3.945,3.612,3.661,30070.944357
1675368000,3.664,3.718,3.521,3.629,15367.814485
1675382400,3.661,3.902,3.655,3.66,51522.911737
1675396800,3.652,3.774,3.632,3.632,3620.98875
1675411200,3.661,3.702,3.582,3.593,3579.626368
1675425600,3.589,3.992,3.582,3.864,31016.840623
1675440000,3.875,3.877,3.724,3.757,5285.998065
1675454400,3.725,3.792,3.717,3.765,2981.639739
1675468800,3.717,3.717,3.62,3.638,1422.536814
1675483200,3.639,3.76,3.639,3.744,1345.475819
1675497600,3.707,4.227,3.667,4.115,26407.410274
1675512000,4.104,4.189,3.988,3.988,12037.155899
1675526400,3.996,4.026,3.897,3.897,3532.511603
1675540800,3.917,3.943,3.866,3.866,4184.463876
1675555200,3.883,4.025,3.875,3.877,12205.402656
1675569600,3.875,3.952,3.834,3.952,6640.794249
1675584000,3.935,4.027,3.862,3.862,9517.048841
1675598400,3.884,3.906,3.016,3.605,31172.883499
1675612800,3.606,3.886,3.524,3.608,37785.788791
1675627200,3.599,3.655,3.552,3.611,8740.081065
1675641600,3.657,3.771,3.545,3.588,5851.861418
1675656000,3.585,3.686,3.579,3.663,3086.145908
1675670400,3.632,3.632,3.532,3.544,5967.298238
1675684800,3.572,3.675,3.524,3.648,3936.620798
1675699200,3.649,3.679,3.53,3.545,1743.052014
1675713600,3.548,3.57,3.426,3.471,9519.821983
1675728000,3.492,3.55,3.424,3.525,4750.362215
1675742400,3.553,4.115,3.553,3.852,21383.96549
1675756800,3.842,4.481,3.796,3.943,59477.242434
1675771200,3.968,4.132,3.919,3.945,12556.68074
1675785600,3.915,4.348,3.815,4.205,47312.010233
1675800000,4.192,4.192,4.058,4.143,11561.529364
1675814400,4.147,4.242,4.131,4.145,10745.371535
1675828800,4.146,4.258,4.143,4.16,3926.339423
1675843200,4.138,4.138,4.024,4.041,929.215185
1675857600,4.01,4.018,3.827,3.836,25064.415251
1675872000,3.831,3.841,3.659,3.705,27150.718703
1675886400,3.677,3.74,3.651,3.74,4419.409274
1675900800,3.694,3.797,3.431,3.507,10971.160253
1675915200,3.506,3.625,3.472,3.594,10401.730603
1675929600,3.615,3.799,3.52,3.557,15344.13583
1675944000,3.557,3.725,3.522,3.607,10303.156687
1675958400,3.583,3.583,3.2,3.299,19919.901289
1675972800,3.316,3.399,3.163,3.288,15674.981451
1675987200,3.303,3.399,3.163,3.254,64693.298618
