time,open,high,low,close,volume
1672531200,9.97,10.07,9.91,9.96,32432.629689
1672545600,9.96,9.96,9.7,9.77,74544.550175
1672560000,9.77,9.96,9.69,9.93,64865.604975
1672574400,9.92,9.95,9.8,9.85,15411.931112
1672588800,9.86,10.04,9.83,9.95,24231.28368
1672603200,9.97,10.05,9.94,10,35923.946625
1672617600,9.99,10.02,9.81,9.99,42819.537317
1672632000,10,12.01,9.94,11.09,186945.889982
1672646400,11.09,11.35,10.84,11.01,119211.292955
1672660800,11.04,11.22,11.01,11.12,100220.986364
1672675200,11.12,11.45,11.08,11.25,67036.22612
1672689600,11.25,11.42,11.2,11.27,53836.095726
1672704000,11.29,11.35,11.02,11.23,59134.825779
1672718400,11.21,12.02,11.21,11.93,132621.464367
1672732800,11.93,12,11.71,11.86,69034.559193
1672747200,11.86,13.24,11.79,13.07,324522.802173
1672761600,13.07,13.89,12.71,12.94,355727.061607
1672776000,12.94,13.47,12.94,13.38,100659.030494
1672790400,13.33,14.04,13.23,13.6,284561.005867
1672804800,13.59,14.18,13.29,14.15,76333.003458
1672819200,14.14,14.14,13.55,13.63,77900.344387
1672833600,13.63,13.71,13.15,13.36,107429.651401
1672848000,13.35,13.61,13.06,13.17,131691.632911
1672862400,13.19,13.65,12.8,13.44,147940.282545
1672876800,13.44,13.45,13.05,13.2,75408.368778
1672891200,13.22,13.48,13.13,13.23,89793.625391
1672905600,13.22,13.3,12.93,13.28,36926.788348
1672920000,13.27,13.39,13.04,13.28,33824.441904
1672934400,13.29,13.47,13.07,13.44,59324.947319
1672948800,13.43,13.87,13.36,13.42,163303.429237
1672963200,13.42,13.56,13.13,13.2,96363.583961
1672977600,13.22,13.24,13.02,13.13,52041.89694
1672992000,13.11,13.24,12.86,12.99,110111.008231
1673006400,12.98,13.23,12.7,13.19,147102.266456
1673020800,13.18,13.42,13.07,13.36,67698.478139
1673035200,13.38,13.58,13.17,13.52,60580.511419
1673049600,13.5,13.5,13.29,13.34,50715.246629
1673064000,13.31,13.32,13.2,13.29,23883.0658
1673078400,13.3,13.31,13.13,13.18,34049.59327
1673092800,13.15,13.29,13.15,13.28,26076.781525
1673107200,13.27,13.27,13.18,13.24,17672.951356
1673121600,13.23,13.25,13.02,13.1,33405.795263
1673136000,13.1,13.4,12.86,13.37,59298.089142
1673150400,13.37,13.42,13.28,13.33,28700.275703
1673164800,13.34,13.75,13.29,13.54,29517.291184
