time,open,high,low,close,volume
1672531200,5.162,5.168,5.112,5.112,1240.763157
1672545600,5.106,5.151,5.098,5.133,1939.106294
1672560000,5.153,5.172,5.138,5.172,140.076766
1672574400,5.173,5.228,5.157,5.208,940.715832
1672588800,5.2,5.234,5.2,5.234,2799.715262
1672603200,5.232,5.26,5.232,5.24,3232.89802
1672617600,5.25,5.272,5.177,5.223,1829.919105
1672632000,5.218,5.333,5.218,5.284,2849.216723
1672646400,5.3,5.34,5.275,5.3,5162.464389
1672660800,5.308,5.392,5.299,5.392,15031.543946
1672675200,5.392,5.454,5.392,5.424,6088.54317
1672689600,5.431,5.437,5.349,5.376,3611.229352
1672704000,5.381,5.411,5.354,5.405,3144.574961
1672718400,5.38,5.416,5.361,5.391,1734.366362
1672732800,5.38,5.407,5.338,5.366,1833.857248
1672747200,5.376,5.402,5.296,5.323,1606.643354
1672761600,5.324,5.343,5.281,5.32,2664.197988
1672776000,5.324,5.392,5.324,5.379,962.840552
1672790400,5.391,5.547,5.366,5.536,7538.025558
1672804800,5.538,5.588,5.525,5.548,5914.985698
1672819200,5.528,5.536,5.509,5.528,1113.72273
1672833600,5.544,5.586,5.495,5.57,9323.321389
1672848000,5.559,5.585,5.501,5.501,6478.756665
1672862400,5.51,5.526,5.462,5.521,2868.70096
1672876800,5.524,5.553,5.489,5.489,1164.466048
1672891200,5.515,5.541,5.465,5.468,618.185852
1672905600,5.462,5.462,5.412,5.439,2758.806931
1672920000,5.43,5.44,5.386,5.404,2208.680585
1672934400,5.396,5.405,5.37,5.405,2270.060547
1672948800,5.413,5.415,5.331,5.373,2326.682147
1672963200,5.364,5.408,5.329,5.395,4091.970305
1672977600,5.381,5.388,5.285,5.324,1783.444129
1672992000,5.327,5.337,5.284,5.284,2011.145795
1673006400,5.295,5.425,5.251,5.425,2086.756108
1673020800,5.429,5.498,5.406,5.492,3886.221552
1673035200,5.488,5.528,5.479,5.527,3253.11984
1673049600,5.515,5.557,5.514,5.521,5314.594074
1673064000,5.514,5.514,5.478,5.48,2137.697057
1673078400,5.503,5.509,5.454,5.461,1280.231956
1673092800,5.454,5.468,5.437,5.45,902.126634
1673107200,5.452,5.452,5.411,5.416,669.912242
1673121600,5.416,5.416,5.395,5.412,3009.683101
1673136000,5.419,5.456,5.348,5.438,2334.767575
1673150400,5.435,5.469,5.435,5.442,1482.366492
1673164800,5.455,5.488,5.454,5.478,957.969665
1673179200,5.471,5.521,5.46,5.521,1215.572037
1673193600,5.487,5.487,5.425,5.425,927.247682
1673208000,5.444,5.601,5.444,5.563,2843.540596
1673222400,5.581,5.753,5.569,5.728,5905.208357
1673236800,5.714,5.765,5.714,5.764,4361.935149
1673251200,5.76,5.857,5.729,5.844,11040.421722
1673265600,5.838,5.931,5.795,5.913,17916.23476
1673280000,5.914,5.961,5.848,5.855,7448.804668
1673294400,5.859,5.859,5.738,5.796,1019.324023
1673308800,5.8,5.867,5.72,5.806,4452.963597
1673323200,5.812,5.833,5.763,5.763,5780.823876
1673337600,5.763,5.788,5.718,5.727,2812.566431
1673352000,5.727,5.747,5.662,5.719,8037.410949
1673366400,5.724,5.798,5.702,5.779,12271.897479
1673380800,5.777,5.809,5.761,5.78,1645.541244
1673395200,5.77,5.812,5.653,5.653,1164.707071
1673409600,5.66,5.74,5.657,5.739,554.212775
1673424000,5.741,5.757,5.726,5.752,8397.058733
1673438400,5.743,5.743,5.61,5.61,5602.611376
1673452800,5.616,5.725,5.606,5.717,4231.421335
1673467200,5.728,5.95,5.702,5.918,8050.363926
1673481600,5.918,6.046,5.857,5.998,9017.763494
1673496000,6,6.068,5.936,6.068,9963.863362
1673510400,6.07,6.07,5.97,6.004,8077.501159
1673524800,6.009,6.187,5.897,5.996,39413.076269
1673539200,5.982,6.124,5.973,6.089,23164.756951
1673553600,6.093,6.18,6.073,6.175,9549.735099
1673568000,6.178,6.204,6.055,6.145,4333.156139
1673582400,6.147,6.162,6.07,6.076,3517.534246
1673596800,6.08,6.143,6.058,6.058,5442.840687
1673611200,6.074,6.111,6.015,6.098,7058.836167
1673625600,6.085,6.158,6.039,6.143,1514.051471
1673640000,6.144,6.35,6.137,6.291,7943.149022
1673654400,6.3,6.82,6.3,6.747,59037.69483
1673668800,6.716,6.959,6.684,6.798,6674.871149
1673683200,6.803,6.87,6.39,6.631,21279.118622
1673697600,6.612,6.671,6.46,6.62,13050.336266
1673712000,6.618,6.639,6.53,6.553,2248.068966
1673726400,6.535,6.641,6.535,6.641,869.739891
1673740800,6.627,6.651,6.442,6.54,4778.405468
1673755200,6.544,6.582,6.498,6.527,3260.159492
1673769600,6.53,6.53,6.395,6.484,2712.643735
1673784000,6.486,6.631,6.45,6.615,5189.33556
1673798400,6.625,6.631,6.499,6.599,9367.4747
1673812800,6.581,6.679,6.55,6.591,4668.717774
1673827200,6.597,6.742,6.558,6.567,7170.92806
1673841600,6.59,6.725,6.59,6.62,3604.06473
1673856000,6.629,6.629,6.438,6.459,4861.366456
1673870400,6.463,6.47,6.279,6.4,5097.259748
1673884800,6.401,6.565,6.38,6.551,3847.396552
1673899200,6.559,6.681,6.533,6.541,15938.776744
1673913600,6.537,6.575,6.408,6.531,8055.504363
1673928000,6.527,6.568,6.527,6.554,278.750792
1673942400,6.566,6.601,6.519,6.58,1561.589114
1673956800,6.589,6.641,6.444,6.451,5557.730362
1673971200,6.45,6.484,6.378,6.483,8201.339323
1673985600,6.486,6.498,6.326,6.344,2922.552378
1674000000,6.368,6.489,6.34,6.459,7039.593749
1674014400,6.466,6.515,6.44,6.454,613.345743
1674028800,6.449,6.449,6.299,6.324,3357.831807
1674043200,6.325,6.816,6.105,6.279,51434.583184
1674057600,6.27,6.367,6,6.201,54271.78433
1674072000,6.205,6.216,6.038,6.052,8535.353226
1674086400,6.053,6.132,6.05,6.104,2471.339761
1674100800,6.099,6.159,6.099,6.125,2229.258641
1674115200,6.127,6.158,6.056,6.062,3547.857806
1674129600,6.05,6.125,5.99,6.07,5123.302228
1674144000,6.06,6.154,6.019,6.146,2628.242171
1674158400,6.157,6.193,6.114,6.175,8860.991565
1674172800,6.147,6.224,6.098,6.179,1027.271987
1674187200,6.19,6.19,6.093,6.127,499.998992
1674201600,6.116,6.12,6.078,6.086,743.521315
1674216000,6.093,6.201,6.093,6.179,1202.576929
1674230400,6.188,6.375,6.188,6.375,3554.600147
1674244800,6.376,6.697,6.376,6.689,9352.173632
1674259200,6.683,6.735,6.609,6.697,5100.566071
1674273600,6.706,6.752,6.678,6.747,3879.218298
1674288000,6.737,6.769,6.529,6.665,8604.582693
1674302400,6.659,6.688,6.583,6.605,8045.771651
1674316800,6.631,6.762,6.631,6.762,3599.48796
1674331200,6.769,6.821,6.65,6.658,17746.810917
1674345600,6.64,6.75,6.61,6.692,3001.395473
1674360000,6.707,6.765,6.707,6.733,3022.871402
1674374400,6.736,6.858,6.716,6.834,12241.636355
1674388800,6.846,7.079,6.793,7.057,18157.584229
1674403200,7.041,7.106,6.925,6.925,33627.805681
1674417600,6.931,6.937,6.763,6.904,18978.948096
1674432000,6.907,6.969,6.835,6.835,14576.326253
1674446400,6.836,6.901,6.815,6.834,1444.241147
1674460800,6.826,6.905,6.804,6.859,8670.483698
1674475200,6.858,7.071,6.614,6.781,74851.843817
1674489600,6.786,6.872,6.712,6.715,6877.573007
1674504000,6.728,6.765,6.683,6.715,4004.014654
1674518400,6.727,6.82,6.676,6.82,9121.49987
1674532800,6.8,6.806,6.748,6.765,4871.32306
1674547200,6.776,6.779,6.634,6.66,3691.605105
1674561600,6.665,6.701,6.568,6.637,6037.372899
1674576000,6.639,6.68,6.567,6.68,3822.146741
1674590400,6.682,6.682,6.212,6.285,27180.608725
1674604800,6.302,6.317,6.104,6.275,9753.193084
1674619200,6.278,6.366,6.278,6.363,735.457104
1674633600,6.379,6.393,6.271,6.291,1451.193182
1674648000,6.307,6.425,6.275,6.347,9092.703124
1674662400,6.354,6.466,6.333,6.466,4488.908676
1674676800,6.47,6.71,6.47,6.597,23222.628266
1674691200,6.615,6.672,6.58,6.58,36327.441083
1674705600,6.581,6.661,6.535,6.563,4171.798186
1674720000,6.553,6.577,6.489,6.552,4277.775218
1674734400,6.524,6.66,6.453,6.52,8513.089091
1674748800,6.521,6.691,6.462,6.691,17861.451962
1674763200,6.692,6.791,6.68,6.75,9068.858246
1674777600,6.748,6.783,6.569,6.61,19970.603384
1674792000,6.612,6.783,6.609,6.783,17905.055704
1674806400,6.789,6.789,6.67,6.707,25736.809214
1674820800,6.71,6.747,6.606,6.67,4865.016568
1674835200,6.686,6.829,6.686,6.822,12479.597867
1674849600,6.83,6.873,6.789,6.856,20116.054065
1674864000,6.864,6.905,6.801,6.832,774.375821
1674878400,6.844,6.896,6.769,6.79,5470.570815
1674892800,6.791,6.828,6.759,6.769,1509.827924
1674907200,6.759,6.759,6.592,6.661,6680.653266
1674921600,6.661,6.686,6.616,6.657,5038.586613
1674936000,6.649,6.649,6.555,6.64,1628.640768
1674950400,6.604,6.834,6.562,6.81,5866.280125
1674964800,6.812,6.816,6.78,6.789,1938.105253
1674979200,6.791,6.955,6.772,6.884,6030.79007
1674993600,6.904,6.937,6.869,6.915,4788.751354
1675008000,6.921,6.981,6.868,6.966,4991.120063
1675022400,6.973,6.976,6.895,6.922,1685.88127
1675036800,6.925,7.006,6.838,6.877,5932.116636
1675051200,6.883,6.896,6.787,6.787,874.95324
1675065600,6.788,6.819,6.533,6.596,11588.200541
1675080000,6.596,6.69,6.56,6.635,16250.425002
1675094400,6.633,6.69,6.357,6.453,10789.594476
1675108800,6.454,6.512,6.371,6.512,1796.246393
1675123200,6.501,6.576,6.451,6.524,1934.718587
1675137600,6.523,6.548,6.47,6.548,1017.810707
1675152000,6.554,6.554,6.439,6.498,1604.916523
1675166400,6.498,6.596,6.492,6.596,4012.211433
1675180800,6.596,6.641,6.581,6.641,3590.401251
1675195200,6.645,6.649,6.512,6.569,4454.231265
1675209600,6.567,6.618,6.534,6.605,1788.475373
1675224000,6.618,6.633,6.512,6.55,1237.953835
1675238400,6.528,6.528,6.433,6.524,2954.463905
1675252800,6.513,6.547,6.373,6.409,6051.230348
1675267200,6.401,6.669,6.326,6.621,17500.466076
1675281600,6.655,6.909,6.61,6.803,13819.881091
1675296000,6.803,7.089,6.803,7.015,25049.845248
1675310400,7.022,7.066,6.892,6.91,8720.344144
1675324800,6.925,7.069,6.925,7.043,24315.242454
1675339200,7.05,7.149,6.946,7.097,44297.336693
1675353600,7.101,7.522,7.101,7.233,38425.64536
1675368000,7.242,7.331,7.057,7.107,36738.827341
1675382400,7.121,7.29,6.983,7.076,11044.400702
1675396800,7.078,7.15,6.925,6.988,11600.961227
1675411200,6.982,7.092,6.944,7.092,4209.292366
1675425600,7.088,7.238,6.947,7.186,33955.154779
1675440000,7.209,7.269,7.067,7.067,42295.739336
1675454400,7.059,7.093,7.019,7.062,12151.498671
1675468800,7.071,7.172,7.01,7.086,15943.611455
1675483200,7.074,7.119,7.027,7.119,2378.130602
1675497600,7.14,7.262,7.133,7.233,4073.07815
1675512000,7.23,7.341,7.224,7.286,12552.330692
1675526400,7.282,7.314,7.235,7.253,14060.325303
1675540800,7.249,7.337,7.19,7.197,1914.741953
1675555200,7.205,7.235,7.159,7.177,1274.198756
1675569600,7.197,7.27,7.19,7.268,3982.654545
1675584000,7.264,7.32,7.176,7.182,3452.850691
1675598400,7.183,7.208,6.913,6.926,18159.758906
1675612800,6.909,6.95,6.786,6.835,13941.250146
1675627200,6.821,6.944,6.76,6.895,8755.475506
1675641600,6.9,6.968,6.798,6.847,5242.19306
1675656000,6.851,6.87,6.722,6.87,2539.357761
1675670400,6.879,6.893,6.765,6.825,1106.521946
1675684800,6.83,6.893,6.74,6.893,4899.547548
1675699200,6.895,6.926,6.821,6.849,7183.071567
1675713600,6.833,6.844,6.604,6.642,15465.260387
1675728000,6.637,6.747,6.637,6.74,2827.414781
1675742400,6.737,6.82,6.737,6.806,2633.377346
1675756800,6.801,6.858,6.759,6.835,2443.499252
1675771200,6.835,6.877,6.726,6.762,8531.016746
1675785600,6.749,6.94,6.688,6.87,22460.11132
1675800000,6.875,7.001,6.869,6.998,16349.983451
1675814400,6.99,7.055,6.956,6.994,8756.963015
1675828800,7.003,7.014,6.941,6.984,5798.985558
1675843200,6.946,6.946,6.875,6.93,2503.170186
1675857600,6.927,6.931,6.753,6.774,3953.664296
1675872000,6.765,6.789,6.589,6.723,15470.337342
1675886400,6.712,6.809,6.68,6.796,2313.969329
1675900800,6.812,6.862,6.502,6.559,28797.219598
1675915200,6.553,6.663,6.513,6.66,8233.135502
1675929600,6.657,6.723,6.635,6.66,4453.227221
1675944000,6.659,6.797,6.614,6.679,11073.076762
1675958400,6.654,6.709,6.35,6.463,30840.375428
1675972800,6.408,6.473,6.171,6.321,28431.071221
1675987200,6.307,6.339,6.271,6.338,3030.319091
1676001600,6.32,6.455,6.283,6.455,2019.752196
1676016000,6.443,6.458,6.342,6.342,1365.746755
1676030400,6.353,6.464,6.294,6.345,23983.012571
1676044800,6.359,6.441,6.252,6.428,2355.763244
1676059200,6.432,6.432,6.222,6.368,13726.502494
1676073600,6.362,6.484,6.346,6.483,3645.16301
1676088000,6.449,6.449,6.389,6.409,276.262906
1676102400,6.397,6.409,6.363,6.406,3618.383338
1676116800,6.404,6.438,6.392,6.431,1802.144764
1676131200,6.437,6.439,6.371,6.409,703.87161
1676145600,6.403,6.495,6.403,6.486,1132.499725
1676160000,6.48,6.48,6.455,6.461,1284.618908
1676174400,6.461,6.529,6.461,6.523,1223.037837
1676188800,6.529,6.546,6.517,6.535,383.646988
1676203200,6.537,6.543,6.46,6.506,2823.052037
1676217600,6.512,6.547,6.465,6.513,4330.789126
1676232000,6.51,6.513,6.3,6.335,8295.38457
1676246400,6.347,6.38,6.225,6.322,2765.278989
1676260800,6.328,6.373,6.325,6.373,577.87
1676275200,6.346,6.346,6.116,6.245,22420.392025
1676289600,6.24,6.276,6.165,6.165,1659.504846
1676304000,6.165,6.24,6.101,6.213,15622.674723
1676318400,6.223,6.272,6.188,6.26,781.630587
1676332800,6.259,6.283,6.232,6.27,636.505713
1676347200,6.261,6.304,6.261,6.304,225.419908
1676361600,6.292,6.333,6.259,6.305,3457.746561
1676376000,6.315,6.484,6.238,6.4,5138.688404
1676390400,6.409,6.547,6.385,6.538,1006.748218
1676404800,6.554,6.594,6.526,6.592,7513.416738
1676419200,6.593,6.597,6.514,6.552,1220.324799
1676433600,6.527,6.575,6.513,6.56,632.664108
1676448000,6.547,6.637,6.547,6.637,2778.217374
1676462400,6.641,6.693,6.593,6.62,1711.445008
1676476800,6.622,6.765,6.582,6.76,4718.643929
1676491200,6.761,6.942,6.761,6.935,9879.639242
1676505600,6.937,7.012,6.879,6.938,7025.858763
1676520000,6.894,6.943,6.83,6.839,7278.627302
1676534400,6.835,6.852,6.777,6.778,4437.199327
1676548800,6.775,6.928,6.702,6.928,10940.302872
1676563200,6.927,6.95,6.779,6.869,4167.87485
1676577600,6.86,6.874,6.474,6.478,30568.093414
1676592000,6.474,6.645,6.449,6.643,5622.361046
1676606400,6.659,6.674,6.61,6.656,2655.590298
1676620800,6.649,6.683,6.615,6.651,1992.987809
1676635200,6.655,6.697,6.584,6.62,11629.135212
1676649600,6.61,6.789,6.534,6.781,8922.290409
1676664000,6.789,6.824,6.602,6.739,24431.334054
1676678400,6.735,7.022,6.735,6.934,18248.303042
1676692800,6.921,6.951,6.846,6.854,2159.082429
1676707200,6.847,6.875,6.806,6.863,7320.854971
1676721600,6.863,7.145,6.851,7.093,19063.609992
1676736000,7.093,7.118,6.972,7.003,9811.229341
1676750400,6.997,6.998,6.956,6.98,1008.35591
1676764800,6.973,7.05,6.969,6.987,9977.233015
1676779200,7.001,7.1,7.001,7.04,6475.95438
1676793600,7.04,7.137,7.022,7.126,44971.047796
1676808000,7.102,7.621,7.102,7.514,48192.622887
1676822400,7.515,7.582,7.245,7.245,29726.001621
1676836800,7.245,7.298,7.177,7.206,5916.45252
1676851200,7.225,7.266,7.052,7.258,8020.491458
1676865600,7.259,7.326,7.259,7.326,3751.831932
1676880000,7.329,7.364,7.269,7.338,4007.091999
1676894400,7.304,7.312,7.266,7.266,4170.556459
1676908800,7.264,7.264,7.166,7.262,27268.888649
1676923200,7.263,7.367,7.263,7.367,34119.709967
1676937600,7.374,7.431,7.34,7.354,2764.640027
1676952000,7.343,7.343,7.298,7.313,89806.217881
1676966400,7.306,7.337,7.064,7.083,8227.997198
1676980800,7.087,7.137,6.973,7.038,16969.21019
1676995200,7.038,7.11,6.987,7.074,3186.14855
1677009600,7.085,7.085,6.895,7.028,7338.555466
1677024000,7.034,7.034,6.849,6.991,28312.300171
1677038400,6.979,6.979,6.862,6.917,10190.681432
1677052800,6.917,6.917,6.785,6.879,3023.419885
1677067200,6.898,6.956,6.756,6.774,6717.680252
1677081600,6.762,6.854,6.723,6.825,8378.560958
1677096000,6.801,6.932,6.782,6.926,1862.110795
1677110400,6.934,7.045,6.928,7.01,2533.67259
1677124800,7.022,7.039,6.978,6.995,2297.147548
1677139200,6.994,7.023,6.838,6.839,22444.431266
1677153600,6.871,7.035,6.871,6.97,5176.213602
1677168000,6.965,6.965,6.829,6.905,6607.447085
1677182400,6.917,6.94,6.88,6.94,1605.224925
1677196800,6.946,7.042,6.946,6.973,3636.688122
1677211200,6.992,6.992,6.916,6.983,293.620732
1677225600,6.999,7.013,6.872,6.933,6083.140672
