time,open,high,low,close,volume
1737532800,0.437441,0.440507,0.437441,0.439869,142704.842738
1737547200,0.440557,0.442946,0.43007,0.432013,1610107.099219
1737561600,0.431606,0.437605,0.425904,0.433216,936184.957188
1737576000,0.433108,0.439696,0.427,0.427564,906943.251264
1737590400,0.428497,0.430278,0.420585,0.422048,795840.939673
1737604800,0.421649,0.42288,0.4169,0.422174,762348.121056
1737619200,0.421921,0.421991,0.413868,0.417845,903173.07797
1737633600,0.417945,0.4303,0.412261,0.427533,1494570.796886
1737648000,0.428497,0.437388,0.420949,0.421858,2263361.784234
1737662400,0.422522,0.434402,0.419501,0.430786,1637161.757218
1737676800,0.431093,0.432747,0.420004,0.4292,1236842.701174
1737691200,0.428948,0.441677,0.427244,0.434709,1723893.533895
1737705600,0.43549,0.43989,0.434253,0.438668,1244915.134346
1737720000,0.438668,0.448073,0.438345,0.443321,2243303.332122
1737734400,0.443321,0.443984,0.435573,0.436925,957896.298531
1737748800,0.437107,0.438564,0.429392,0.430787,1229335.917792
1737763200,0.430881,0.436774,0.427462,0.435433,890309.774318
1737777600,0.43544,0.435623,0.427701,0.427989,807729.074049
1737792000,0.427985,0.429532,0.422749,0.42643,389969.412887
1737806400,0.426299,0.426524,0.412869,0.416858,1260675.502568
1737820800,0.415352,0.4304,0.415014,0.419868,1848138.704301
1737835200,0.419867,0.422703,0.416816,0.417046,1679481.111641
1737849600,0.417047,0.422488,0.416604,0.420674,480672.755602
1737864000,0.420673,0.423938,0.419954,0.42383,608219.274124
1737878400,0.424084,0.425054,0.418742,0.424345,1302854.323803
1737892800,0.424508,0.426592,0.423654,0.423876,998735.215737
1737907200,0.424053,0.426077,0.42,0.424956,1344099.404206
1737921600,0.425071,0.425071,0.406062,0.406206,6722483.304182
1737936000,0.406373,0.406948,0.39,0.399609,7367610.13968
1737950400,0.399189,0.399189,0.363111,0.378791,3735198.405552
1737964800,0.37861,0.379684,0.368251,0.37598,1984315.84722
1737979200,0.376058,0.403765,0.374393,0.396013,3295612.767749
1737993600,0.395602,0.401917,0.385353,0.39019,2624172.928262
1738008000,0.390624,0.409843,0.390624,0.407373,2592268.259889
1738022400,0.407432,0.410531,0.39993,0.408488,920205.607129
1738036800,0.408075,0.4125,0.407145,0.408297,776028.343013
1738051200,0.408567,0.411098,0.402037,0.410452,866775.688089
1738065600,0.410428,0.420673,0.407977,0.414173,2316630.814601
1738080000,0.414266,0.414721,0.401091,0.402617,1151367.681293
1738094400,0.402956,0.403225,0.390262,0.392447,1178458.96807
1738108800,0.392681,0.399747,0.392461,0.397701,913000.131038
1738123200,0.396845,0.402157,0.396357,0.401029,689667.670049
1738137600,0.401257,0.403456,0.394476,0.396446,291210.270002
1738152000,0.3965,0.398156,0.3877,0.392475,1581721.916961
1738166400,0.392527,0.399077,0.381773,0.396119,2996633.071634
1738180800,0.394959,0.406248,0.390188,0.392802,2302964.865194
1738195200,0.392772,0.40258,0.389328,0.40258,671433.78328
1738209600,0.402633,0.407195,0.401323,0.402296,1737321.633657
1738224000,0.402729,0.403688,0.399529,0.401292,384271.715691
1738238400,0.401507,0.43911,0.398725,0.434946,3295555.981898
1738252800,0.435024,0.443595,0.432664,0.443183,2547779.610958
1738267200,0.443492,0.443516,0.428801,0.428801,1368719.10178
1738281600,0.428725,0.429906,0.418613,0.420194,1191962.038924
1738296000,0.420189,0.427947,0.417501,0.423347,791442.445025
1738310400,0.423191,0.425491,0.4175,0.424673,665478.623429
1738324800,0.424268,0.426796,0.418097,0.42446,831812.607674
1738339200,0.423929,0.424535,0.407781,0.41203,1264819.970379
1738353600,0.411986,0.415152,0.4073,0.41402,875226.850454
1738368000,0.414122,0.420118,0.413217,0.416489,861108.842185
1738382400,0.416714,0.420228,0.412854,0.413359,589735.929208
1738396800,0.414256,0.414379,0.405435,0.409419,1213808.039161
1738411200,0.409179,0.41016,0.4024,0.407241,1194381.602426
1738425600,0.407243,0.409048,0.396466,0.398831,1669154.63905
1738440000,0.398645,0.402656,0.389039,0.392455,1552954.537064
