time,open,high,low,close,volume
1737532800,1.2065,1.2065,1.2065,1.2065,1.126501
1737547200,1.2125,1.217,1.1937,1.1985,23519.663254
1737561600,1.196,1.2093,1.1943,1.2011,40026.788636
1737576000,1.2007,1.2018,1.1753,1.1797,75101.51792
1737590400,1.1795,1.1816,1.1567,1.1631,51095.984385
1737604800,1.1644,1.1678,1.152,1.1657,35446.230526
1737619200,1.1677,1.1683,1.1431,1.146,32504.830362
1737633600,1.1455,1.1859,1.1371,1.18,99714.889789
1737648000,1.18,1.1963,1.1417,1.1418,33756.001196
1737662400,1.1447,1.1783,1.1376,1.1713,71213.416186
1737676800,1.1732,1.1732,1.1361,1.1548,81675.498531
1737691200,1.1443,1.1844,1.144,1.1769,6148.338362
1737705600,1.1748,1.1929,1.1748,1.1887,15482.390497
1737720000,1.191,1.1981,1.1749,1.1824,20934.263925
1737734400,1.1816,1.1833,1.1696,1.1703,40203.462207
1737748800,1.1728,1.175,1.1404,1.1447,25454.704393
1737763200,1.1417,1.1633,1.1289,1.1633,122627.984432
1737777600,1.1608,1.1623,1.1529,1.1539,13492.51443
1737792000,1.1549,1.1618,1.1488,1.1618,24120.39412
1737806400,1.1577,1.1716,1.1571,1.162,9193.646715
1737820800,1.1619,1.1685,1.1619,1.1641,19550.283317
1737835200,1.1661,1.1712,1.1544,1.1544,36125.03513
1737849600,1.1528,1.1643,1.1524,1.1643,37438.940659
1737864000,1.1607,1.1692,1.1602,1.1649,495.394495
1737878400,1.1705,1.1748,1.158,1.165,59190.009599
1737892800,1.1637,1.1701,1.161,1.1632,46283.654165
1737907200,1.1564,1.165,1.154,1.1647,26375.040883
1737921600,1.1624,1.1649,1.115,1.115,98780.739412
1737936000,1.1146,1.1179,1.0701,1.0791,317881.736266
1737950400,1.079,1.079,1.0109,1.0325,347662.114589
1737964800,1.03,1.0399,1.0161,1.0346,252423.070354
1737979200,1.0324,1.0887,1.031,1.0838,84549.2342
1737993600,1.0811,1.0868,1.0602,1.0701,121478.926594
1738008000,1.0707,1.1173,1.0707,1.0996,20011.647833
1738022400,1.1004,1.1098,1.0857,1.1046,15732.314812
