time,open,high,low,close,volume
1737532800,49.75,49.76,49.63,49.74,40.543677
1737547200,49.77,50.09,48.79,49.18,435.714148
1737561600,49.22,49.85,48.94,49.77,719.060306
1737576000,49.85,49.85,48.29,48.53,568.50974
1737590400,48.53,48.62,47.18,47.87,573.261568
1737604800,47.98,48.43,47.38,48.41,853.168808
1737619200,48.26,48.26,47.49,47.7,96.564022
1737633600,47.47,49.18,46.93,48.84,706.513231
1737648000,48.98,49.43,47.52,47.52,666.939836
1737662400,47.68,49.17,47.5,48.8,245.92151
1737676800,48.81,48.82,47.03,47.73,200.099363
1737691200,47.6,49.48,47.58,48.76,300.681072
1737705600,48.71,49.18,48.37,48.52,302.026369
1737720000,48.35,48.89,47.06,47.85,2387.564873
1737734400,47.83,48.24,47.52,47.61,541.326766
1737748800,47.47,47.47,46.12,46.24,224.663364
1737763200,46.11,46.55,45.75,46.44,364.489669
1737777600,46.44,46.44,45.81,45.87,116.581887
1737792000,45.92,46.27,45.75,46.27,205.220766
1737806400,46.41,46.58,46.2,46.41,489.493766
1737820800,46.27,46.69,46.23,46.69,597.14525
1737835200,46.62,46.92,46.41,46.41,1077.182975
1737849600,46.4,47.12,46.4,47,982.733159
1737864000,46.82,47.16,46.49,46.51,691.207452
1737878400,46.73,47.01,46.25,46.8,1486.653101
1737892800,46.83,46.83,45.99,46.22,1473.765732
1737907200,46.16,46.59,45.96,46.58,267.54688
1737921600,46.47,46.57,44.68,44.73,790.566275
1737936000,44.73,45.23,43.49,44.2,561.834962
1737950400,44.01,44.01,41.19,41.98,1999.756318
1737964800,41.88,42.25,41,41.44,3371.014589
1737979200,41.32,42.79,41.23,42.69,1270.57897
1737993600,42.38,42.58,41.38,41.72,439.060721
1738008000,41.8,43.51,41.8,43.16,513.491864
1738022400,43.27,43.71,42.85,43.24,245.520111
1738036800,43.28,43.63,43.28,43.63,46.47861
1738051200,43.1,43.28,42.99,43.25,33.638202
1738065600,43.53,44.82,43.43,44.24,635.658665
1738080000,44.25,44.49,42.92,43.06,663.042259
1738094400,43.06,43.08,41.35,41.71,1656.107934
1738108800,41.48,42.44,41.45,42.41,1306.932554
1738123200,42.48,43.05,40.26,43.05,6891.362102
1738137600,42.89,42.98,42.13,42.33,205.131597
1738152000,42.22,42.31,40.89,41.74,450.647711
1738166400,41.55,43.01,41.05,42.76,902.681009
1738180800,42.63,43.92,42.29,42.3,371.493582
1738195200,42.36,44.42,42.16,44.01,418.334287
1738209600,44.24,44.77,43.86,44.15,306.713803
1738224000,44.24,45.41,44.17,45.4,884.912939
1738238400,45.4,45.66,44.66,45.3,390.607409
1738252800,45.26,45.3,44.59,44.68,273.877952
1738267200,44.5,44.74,43.82,43.82,324.914361
1738281600,43.91,44,43.07,43.34,166.83385
1738296000,43.1,43.8,42.91,43.55,274.064721
1738310400,43.48,44.27,42.8,44.27,144.051914
1738324800,44.23,45.29,44.13,45.25,459.071187
1738339200,45.27,45.37,43.12,43.22,695.09748
1738353600,43.19,43.25,42.39,43.14,361.150644
1738368000,42.98,43.65,42.98,43.08,317.03265
1738382400,43.17,43.69,42.79,42.79,225.087067
1738396800,42.8,42.8,41.8,42.38,140.835383
1738411200,42.44,42.82,41.76,42.16,280.190596
1738425600,42.01,42.09,41.03,41.04,269.921391
1738440000,41,41,38.94,39.27,3385.538835
1738454400,39.12,39.96,37.33,37.68,2871.064747
1738468800,37.45,38.84,37.42,38.22,189.379221
1738483200,38.14,38.58,36.89,36.89,251.935036
1738497600,36.93,37.93,36.71,37.16,1253.507642
1738512000,36.9,37.03,32.18,33.87,3713.556749
1738526400,33.77,34.12,31.51,33.24,1987.075613
1738540800,33.22,33.22,26.3,28.45,8766.160163
1738555200,28.3,31.54,28.28,31.46,2876.541188
1738569600,31.42,32.02,30.38,31.19,2208.941053
1738584000,31.17,34,30.48,33.55,1333.535582
1738598400,33.47,34.81,33.01,34.81,4468.294041
1738612800,34.58,35.98,34.09,35.48,471.485612
1738627200,35.55,35.74,34,34.06,768.985701
1738641600,34.13,34.5,32,32,6701.06928
1738656000,32.1,33.12,32.1,32.51,241.241157
1738670400,32.55,34.01,32.55,33.45,476.793263
1738684800,33.34,33.87,32.6,32.6,403.814401
1738699200,32.46,32.66,31.17,32.18,982.35931
1738713600,32.17,32.7,32.09,32.51,599.757438
1738728000,32.38,33.02,32.34,32.6,539.423981
1738742400,32.6,32.95,32.35,32.95,170.622132
1738756800,33.01,33.59,32.72,33.43,784.622209
1738771200,33.22,33.24,31.93,32.92,966.963517
1738785600,32.96,33.09,31.65,32.07,170.166299
1738800000,32.12,32.58,31.76,32.36,627.754611
1738814400,32.3,32.45,31.99,31.99,167.665889
1738828800,32.1,32.19,31.42,31.65,151.914499
1738843200,31.63,31.65,29.68,29.95,810.959595
