symbol,fundingTime,fundingRate
ADAUSD,1579449600000,0.0001
ADAUSD,1579478400000,0.0001
ADAUSD,1579507200000,0.0001
ADAUSD,1579536000000,0.0001
ADAUSD,1579564800000,0.0001
ADAUSD,1579593600000,0.0001
ADAUSD,1579622400000,0.0001
ADAUSD,1579651200000,0.0001
ADAUSD,1579680000001,0.0001
ADAUSD,1579708800000,0.0001
ADAUSD,1579737600000,0.0001
ADAUSD,1579766400000,0.0001
ADAUSD,1579795200000,0.0001
ADAUSD,1579824000000,0.0001
ADAUSD,1579852800000,0.0001
ADAUSD,1579881600001,0.0001
ADAUSD,1579910400000,0.0001
ADAUSD,1579939200000,0.0001
ADAUSD,1579968000001,0.0001
ADAUSD,1579996800000,0.0001
ADAUSD,1580025600000,0.0001
ADAUSD,1580054400000,0.0001
ADAUSD,1580083200000,0.0001
ADAUSD,1580112000001,0.0001
ADAUSD,1580140800000,0.0001
ADAUSD,1580169600000,0.0001
ADAUSD,1580198400000,0.0001
ADAUSD,1580227200000,0.0001
ADAUSD,1580256000001,0.0001
ADAUSD,1580284800000,0.0001
ADAUSD,1580313600002,0.0001
ADAUSD,1580342400000,0.0001
ADAUSD,1580371200000,0.0001
ADAUSD,1580400000000,0.0001
ADAUSD,1580428800000,0.0001
ADAUSD,1580457600000,0.0001
ADAUSD,1580486400000,0.0001
ADAUSD,1580515200000,0.0001
ADAUSD,1580544000000,0.0001
ADAUSD,1580572800000,0.0001
ADAUSD,1580601600000,0.0001
ADAUSD,1580630400000,0.0014449
ADAUSD,1580659200000,0.00179835
ADAUSD,1580688000000,0.00164031
ADAUSD,1580716800000,0.00071241
ADAUSD,1580745600000,0.00048046
ADAUSD,1580774400000,0.00014095
ADAUSD,1580803200001,0.00031409
ADAUSD,1580832000000,0.00073434
ADAUSD,1580860800002,0.00040653
ADAUSD,1580889600000,0.0001
ADAUSD,1580918400000,0.00031833
ADAUSD,1580947200000,0.00162987
ADAUSD,1580976000000,0.00396642
ADAUSD,1581004800000,0.00146499
ADAUSD,1581033600000,0.00052055
ADAUSD,1581062400000,0.00156332
ADAUSD,1581091200001,0.00250463
ADAUSD,1581120000000,0.00198965
ADAUSD,1581148800000,0.00175849
ADAUSD,1581177600000,0.00070553
ADAUSD,1581206400000,0.00081936
ADAUSD,1581235200000,0.00161188
ADAUSD,1581264000000,0.0024828
ADAUSD,1581292800000,0.0021764
ADAUSD,1581321600000,0.00162089
ADAUSD,1581350400009,0.00099124
ADAUSD,1581379200000,0.00126237
ADAUSD,1581408000000,0.00096237
ADAUSD,1581436800000,0.00056017
ADAUSD,1581465600000,0.00235305
ADAUSD,1581494400001,0.00284851
ADAUSD,1581523200000,0.0019762
ADAUSD,1581552000001,0.0024533
ADAUSD,1581580800000,0.00249154
ADAUSD,1581609600000,0.00085375
ADAUSD,1581638400000,0.00085489
ADAUSD,1581667200000,0.00041437
ADAUSD,1581696000000,0.00118214
ADAUSD,1581724800000,0.0017457
ADAUSD,1581753600000,0.00050419
ADAUSD,1581782400000,0.00081641
ADAUSD,1581811200000,0.0001
ADAUSD,1581840000000,0.0001
ADAUSD,1581868800000,0.0001
ADAUSD,1581897600000,0.0001
ADAUSD,1581926400000,0.0001
ADAUSD,1581955200000,0.0001
ADAUSD,1581984000000,0.0001
