symbol,fundingTime,fundingRate
ALGOUSD,1590969600000,0.0001
ALGOUSD,1590998400001,0.0001
ALGOUSD,1591027200000,0.0001
ALGOUSD,1591056000000,0.0001
ALGOUSD,1591084800002,0.0001
ALGOUSD,1591113600000,0.0001
ALGOUSD,1591142400000,0.0001
ALGOUSD,1591171200000,0.0001
ALGOUSD,1591200000002,0.0001
ALGOUSD,1591228800001,0.0001
ALGOUSD,1591257600004,0.0001
ALGOUSD,1591286400001,0.0001
ALGOUSD,1591315200001,0.0001
ALGOUSD,1591344000000,0.0001
ALGOUSD,1591372800001,0.0001
ALGOUSD,1591401600000,0.0001
ALGOUSD,1591430400000,0.0001
ALGOUSD,1591459200000,0.0001
ALGOUSD,1591488000000,0.0001
ALGOUSD,1591516800000,0.0001
ALGOUSD,1591545600006,0.0001
ALGOUSD,1591574400008,0.0001
ALGOUSD,1591603200007,0.0001
ALGOUSD,1591632000000,0.0001
ALGOUSD,1591660800000,0.0001
ALGOUSD,1591689600000,0.0001
ALGOUSD,1591718400000,0.0001
ALGOUSD,1591747200000,0.0001
ALGOUSD,1591776000000,0.0001
ALGOUSD,1591804800000,0.0001
ALGOUSD,1591833600008,0.0001
ALGOUSD,1591862400001,0.0001
ALGOUSD,1591891200000,0.0001
ALGOUSD,1591920000003,0.0001
ALGOUSD,1591948800000,0.0001
ALGOUSD,1591977600002,0.0001
ALGOUSD,1592006400000,0.0001
ALGOUSD,1592035200001,0.0001
ALGOUSD,1592064000000,0.0001
ALGOUSD,1592092800007,0.0001
ALGOUSD,1592121600000,0.0001
ALGOUSD,1592150400001,0.0001
ALGOUSD,1592179200000,0.0001
ALGOUSD,1592208000001,0.0001
ALGOUSD,1592236800000,0.0001
ALGOUSD,1592265600002,0.0001
ALGOUSD,1592294400000,0.0001
ALGOUSD,1592323200006,0.0001
ALGOUSD,1592352000000,0.0001
ALGOUSD,1592380800007,0.0001
ALGOUSD,1592409600000,0.00011824
ALGOUSD,1592438400003,0.00071674
ALGOUSD,1592467200001,0.0001
ALGOUSD,1592496000002,0.0010873
ALGOUSD,1592524800001,0.0001
ALGOUSD,1592553600003,0.0001
ALGOUSD,1592582400000,0.0001
ALGOUSD,1592611200000,0.00035806
ALGOUSD,1592640000009,0.00011718
ALGOUSD,1592668800006,0.0001
ALGOUSD,1592697600000,0.0001
ALGOUSD,1592726400000,0.0001
ALGOUSD,1592755200000,0.0001
ALGOUSD,1592784000000,0.0001
ALGOUSD,1592812800000,0.0001
ALGOUSD,1592841600001,0.0001
ALGOUSD,1592870400000,0.0001
ALGOUSD,1592899200002,0.00101831
ALGOUSD,1592928000000,0.0001
ALGOUSD,1592956800001,0.0001
ALGOUSD,1592985600000,0.0001
ALGOUSD,1593014400000,0.00038326
ALGOUSD,1593043200000,0.0001
ALGOUSD,1593072000000,0.0001
ALGOUSD,1593100800000,0.0001
ALGOUSD,1593129600000,0.0001
ALGOUSD,1593158400000,0.0001
ALGOUSD,1593187200000,0.0001
ALGOUSD,1593216000003,0.0001
ALGOUSD,1593244800004,0.0001
ALGOUSD,1593273600000,0.0001
ALGOUSD,1593302400003,0.0001
ALGOUSD,1593331200001,0.0001
ALGOUSD,1593360000000,0.0001
ALGOUSD,1593388800000,0.0001
ALGOUSD,1593417600005,0.0001
ALGOUSD,1593446400000,0.0001
ALGOUSD,1593475200000,-0.00019572
ALGOUSD,1593504000001,0.0001
ALGOUSD,1593532800002,0.0001
ALGOUSD,1593561600002,0.0001
ALGOUSD,1593590400000,0.0001
ALGOUSD,1593619200000,0.0001
ALGOUSD,1593648000001,-0.00015426
ALGOUSD,1593676800001,0.0001
ALGOUSD,1593705600000,0.0001
ALGOUSD,1593734400000,0.0001
ALGOUSD,1593763200001,0.0001
ALGOUSD,1593792000000,0.0001
ALGOUSD,1593820800002,0.0001
ALGOUSD,1593849600002,0.0001
ALGOUSD,1593878400001,0.0001
ALGOUSD,1593907200000,0.00015612
ALGOUSD,1593936000000,0.0001
ALGOUSD,1593964800000,0.0001
ALGOUSD,1593993600000,0.00010903
ALGOUSD,1594022400001,0.00047858
ALGOUSD,1594051200000,0.00085467
ALGOUSD,1594080000000,0.0005052
ALGOUSD,1594108800006,0.0001
ALGOUSD,1594137600000,0.00055405
ALGOUSD,1594166400000,0.0001
