symbol,fundingTime,fundingRate
APTUSD,1666108800000,0.0001
APTUSD,1666137600007,0.0001
APTUSD,1666166400022,-0.0075
APTUSD,1666195200016,-0.0020003
APTUSD,1666224000000,-0.0003001
APTUSD,1666252800013,-0.00075346
APTUSD,1666281600000,-0.00051008
APTUSD,1666310400005,-0.00050585
APTUSD,1666339200018,-0.00086846
APTUSD,1666368000000,-2.156e-05
APTUSD,1666396800000,0.0001
APTUSD,1666425600015,-0.00024103
APTUSD,1666454400000,-0.00146599
APTUSD,1666483200025,-0.00217711
APTUSD,1666512000000,-0.0075
APTUSD,1666540800004,-0.00215777
APTUSD,1666569600009,-0.00144561
APTUSD,1666598400012,-0.00041279
APTUSD,1666627200002,-0.0011245
APTUSD,1666656000013,-0.00089151
APTUSD,1666684800013,5.351e-05
APTUSD,1666713600000,-0.00036757
APTUSD,1666742400006,-0.00041332
APTUSD,1666771200013,-3.062e-05
APTUSD,1666800000000,-0.00056912
APTUSD,1666828800009,-0.00022776
APTUSD,1666857600006,-4.612e-05
APTUSD,1666886400009,-0.00040984
APTUSD,1666915200000,3.843e-05
APTUSD,1666944000000,-5.761e-05
APTUSD,1666972800007,-0.0004118
APTUSD,1667001600000,-0.00027669
APTUSD,1667030400003,0.0001
APTUSD,1667059200010,0.0001
APTUSD,1667088000000,0.0001
APTUSD,1667116800013,0.0001
APTUSD,1667145600009,0.0001
APTUSD,1667174400012,0.0001
APTUSD,1667203200000,0.0001
APTUSD,1667232000010,0.0001
APTUSD,1667260800000,0.0001
APTUSD,1667289600000,0.0001
APTUSD,1667318400000,0.0001
APTUSD,1667347200000,0.0001
APTUSD,1667376000000,0.0001
APTUSD,1667404800019,-0.00012268
APTUSD,1667433600011,-6.607e-05
APTUSD,1667462400016,1.004e-05
APTUSD,1667491200005,5.35e-05
APTUSD,1667520000000,0.0001
APTUSD,1667548800004,0.0001
APTUSD,1667577600020,1.609e-05
APTUSD,1667606400009,0.0001
APTUSD,1667635200007,0.0001
APTUSD,1667664000018,0.0001
APTUSD,1667692800009,1.761e-05
APTUSD,1667721600000,0.0001
APTUSD,1667750400010,0.0001
APTUSD,1667779200012,-6.809e-05
APTUSD,1667808000014,7.458e-05
APTUSD,1667836800006,2.025e-05
APTUSD,1667865600000,0.0001
APTUSD,1667894400001,-0.00014893
APTUSD,1667923200005,-9.147e-05
APTUSD,1667952000000,-0.00077702
APTUSD,1667980800013,-0.00034486
APTUSD,1668009600004,-0.00032329
APTUSD,1668038400006,-0.00481253
APTUSD,1668067200000,-0.00313994
APTUSD,1668096000015,-0.00141436
APTUSD,1668124800000,-0.0005059
APTUSD,1668153600015,-0.00037622
APTUSD,1668182400027,-0.00014104
APTUSD,1668211200007,-2.185e-05
APTUSD,1668240000016,9.34e-06
APTUSD,1668268800000,0.0001
APTUSD,1668297600004,-1.123e-05
APTUSD,1668326400000,2.183e-05
APTUSD,1668355200017,5.097e-05
APTUSD,1668384000000,1.234e-05
APTUSD,1668412800000,4.603e-05
APTUSD,1668441600000,-0.00019737
APTUSD,1668470400014,-0.00010215
APTUSD,1668499200009,3.519e-05
APTUSD,1668528000010,2.134e-05
APTUSD,1668556800011,-0.00026312
