symbol,fundingTime,fundingRate
ATOMUSD,1581004800000,0.0001
ATOMUSD,1581033600000,0.0001
ATOMUSD,1581062400000,0.0001
ATOMUSD,1581091200001,0.0075
ATOMUSD,1581120000000,0.0014614
ATOMUSD,1581148800000,0.00046452
ATOMUSD,1581177600000,0.0001
ATOMUSD,1581206400000,-0.00016375
ATOMUSD,1581235200000,0.0041014
ATOMUSD,1581264000000,0.00182383
ATOMUSD,1581292800000,0.00191302
ATOMUSD,1581321600000,0.00064416
ATOMUSD,1581350400009,0.0001
ATOMUSD,1581379200000,0.00044179
ATOMUSD,1581408000000,0.0001
ATOMUSD,1581436800000,0.0010229
ATOMUSD,1581465600000,0.00172988
ATOMUSD,1581494400001,0.00235787
ATOMUSD,1581523200000,0.00140706
ATOMUSD,1581552000001,0.00271325
ATOMUSD,1581580800000,0.00245318
ATOMUSD,1581609600000,0.00060479
ATOMUSD,1581638400000,0.00018869
ATOMUSD,1581667200000,0.0001286
ATOMUSD,1581696000000,0.00064731
ATOMUSD,1581724800000,0.00156312
ATOMUSD,1581753600000,0.0011618
ATOMUSD,1581782400000,0.00186952
ATOMUSD,1581811200000,0.00033814
ATOMUSD,1581840000000,0.0001
ATOMUSD,1581868800000,0.0001
ATOMUSD,1581897600000,0.0001
ATOMUSD,1581926400000,0.0001
ATOMUSD,1581955200000,0.00013213
ATOMUSD,1581984000000,0.0001
ATOMUSD,1582012800000,0.0002382
ATOMUSD,1582041600000,0.0001
ATOMUSD,1582070400000,0.00031301
ATOMUSD,1582099200001,0.0001
ATOMUSD,1582128000000,0.0001
ATOMUSD,1582156800004,0.00038177
ATOMUSD,1582185600000,0.0001
ATOMUSD,1582214400000,0.0001
ATOMUSD,1582243200000,0.0001
ATOMUSD,1582272000000,0.0001
ATOMUSD,1582300800000,0.0001
ATOMUSD,1582329600000,0.0003373
ATOMUSD,1582358400001,0.00026287
ATOMUSD,1582387200000,0.0001
ATOMUSD,1582416000000,0.0001
ATOMUSD,1582444800000,0.00032702
ATOMUSD,1582473600000,0.00027489
ATOMUSD,1582502400015,0.00128653
ATOMUSD,1582531200000,0.00111079
ATOMUSD,1582560000000,0.00045144
ATOMUSD,1582588800001,0.0001
ATOMUSD,1582617600000,0.00101254
ATOMUSD,1582646400001,0.0006252
ATOMUSD,1582675200000,0.00067251
ATOMUSD,1582704000001,0.0001
ATOMUSD,1582732800000,0.0001
ATOMUSD,1582761600001,0.00062613
ATOMUSD,1582790400001,0.0001
ATOMUSD,1582819200000,0.00017026
ATOMUSD,1582848000000,0.00016047
ATOMUSD,1582876800000,0.00099237
ATOMUSD,1582905600000,0.00013134
ATOMUSD,1582934400000,0.00138093
ATOMUSD,1582963200000,-8.287e-05
ATOMUSD,1582992000000,0.0001
ATOMUSD,1583020800000,0.00100561
ATOMUSD,1583049600000,0.00177865
ATOMUSD,1583078400001,0.0001
ATOMUSD,1583107200000,0.00070584
ATOMUSD,1583136000000,0.00047826
ATOMUSD,1583164800004,0.0001
ATOMUSD,1583193600000,0.0001
ATOMUSD,1583222400003,0.0001
ATOMUSD,1583251200000,0.00089168
ATOMUSD,1583280000002,0.00201054
