symbol,fundingTime,fundingRate
AVAXUSD,1600790400004,0.0001
AVAXUSD,1600819200007,0.0001
AVAXUSD,1600848000001,-0.0074
AVAXUSD,1600876800001,-0.00126541
AVAXUSD,1600905600000,-0.00018177
AVAXUSD,1600934400000,-0.00012012
AVAXUSD,1600963200000,-0.00048931
AVAXUSD,1600992000009,-0.00224858
AVAXUSD,1601020800045,-0.00289319
AVAXUSD,1601049600000,-0.00216208
AVAXUSD,1601078400000,-0.00098216
AVAXUSD,1601107200000,-0.00211755
AVAXUSD,1601136000005,-0.00011783
AVAXUSD,1601164800000,0.0001
AVAXUSD,1601193600000,-0.00041945
AVAXUSD,1601222400019,-0.00050331
AVAXUSD,1601251200001,-0.00065609
AVAXUSD,1601280000000,-0.00013098
AVAXUSD,1601308800002,0.0001
AVAXUSD,1601337600000,0.0001
AVAXUSD,1601366400000,-0.00010608
AVAXUSD,1601395200000,0.0001
AVAXUSD,1601424000005,0.0001
AVAXUSD,1601452800000,-0.00030181
AVAXUSD,1601481600000,0.0001
AVAXUSD,1601510400000,-0.00025416
AVAXUSD,1601539200000,0.0001
AVAXUSD,1601568000000,0.0001
AVAXUSD,1601596800011,5.208e-05
AVAXUSD,1601625600000,7.022e-05
AVAXUSD,1601654400005,0.0001
AVAXUSD,1601683200000,-0.00015428
AVAXUSD,1601712000001,-0.00059442
AVAXUSD,1601740800000,-0.00034546
AVAXUSD,1601769600000,7.413e-05
AVAXUSD,1601798400003,-0.00107719
AVAXUSD,1601827200001,-0.00167126
AVAXUSD,1601856000000,-0.00099078
AVAXUSD,1601884800000,-0.00194485
AVAXUSD,1601913600012,-0.00066244
AVAXUSD,1601942400000,-0.00035542
AVAXUSD,1601971200005,-0.00227416
AVAXUSD,1602000000000,-0.0024805
AVAXUSD,1602028800000,-0.00154079
AVAXUSD,1602057600000,-0.00323738
AVAXUSD,1602086400000,-0.00343181
AVAXUSD,1602115200000,-0.00361232
AVAXUSD,1602144000009,-0.00185869
AVAXUSD,1602172800003,-0.00045167
AVAXUSD,1602201600001,-0.00048272
AVAXUSD,1602230400000,-0.00027472
AVAXUSD,1602259200004,-0.00016517
AVAXUSD,1602288000005,-0.00044795
AVAXUSD,1602316800000,0.0001
AVAXUSD,1602345600011,0.0001
AVAXUSD,1602374400002,0.0001
AVAXUSD,1602403200003,8.774e-05
AVAXUSD,1602432000004,0.0001
AVAXUSD,1602460800001,0.0001
AVAXUSD,1602489600000,0.0001
AVAXUSD,1602518400011,-0.00011544
AVAXUSD,1602547200003,-6.03e-05
AVAXUSD,1602576000000,0.0001
AVAXUSD,1602604800001,-0.00025068
AVAXUSD,1602633600001,-0.00012499
AVAXUSD,1602662400000,0.0001
AVAXUSD,1602691200001,0.0001
AVAXUSD,1602720000000,0.0001
AVAXUSD,1602748800000,0.0001
AVAXUSD,1602777600000,0.0001
AVAXUSD,1602806400002,0.0001
AVAXUSD,1602835200003,0.0001
AVAXUSD,1602864000000,-0.00054988
AVAXUSD,1602892800006,-0.00128881
AVAXUSD,1602921600007,-0.00067109
AVAXUSD,1602950400009,-0.00056899
AVAXUSD,1602979200006,0.0001
AVAXUSD,1603008000000,0.0001
AVAXUSD,1603036800000,0.0001
AVAXUSD,1603065600000,0.0001
AVAXUSD,1603094400000,-0.00065428
AVAXUSD,1603123200000,-0.00081383
AVAXUSD,1603152000015,-0.00093807
AVAXUSD,1603180800000,-0.00125267
AVAXUSD,1603209600008,-0.00152251
AVAXUSD,1603238400009,-0.00147871
AVAXUSD,1603267200004,0.0001
AVAXUSD,1603296000000,9.491e-05
AVAXUSD,1603324800000,0.0001
AVAXUSD,1603353600000,-0.00073807
AVAXUSD,1603382400004,-0.00048347
AVAXUSD,1603411200007,0.0001
AVAXUSD,1603440000000,0.0001
AVAXUSD,1603468800000,0.0001
AVAXUSD,1603497600000,0.0001
AVAXUSD,1603526400000,0.0001
AVAXUSD,1603555200008,0.0001
