symbol,fundingTime,fundingRate
BCHUSD,1577836800000,0.0001
BCHUSD,1577865600000,0.00120555
BCHUSD,1577894400000,0.00019195
BCHUSD,1577923200002,0.0001
BCHUSD,1577952000000,4.309e-05
BCHUSD,1577980800000,0.00045092
BCHUSD,1578009600000,0.0001
BCHUSD,1578038400000,0.0002686
BCHUSD,1578067200001,-0.00099838
BCHUSD,1578096000000,-0.00139397
BCHUSD,1578124800000,0.0001
BCHUSD,1578153600000,-0.00014575
BCHUSD,1578182400000,0.0001
BCHUSD,1578211200000,0.0001
BCHUSD,1578240000000,-1.922e-05
BCHUSD,1578268800000,0.0001
BCHUSD,1578297600000,0.0001
BCHUSD,1578326400000,0.0001
BCHUSD,1578355200000,0.0001
BCHUSD,1578384000001,0.0001
BCHUSD,1578412800000,0.0001
BCHUSD,1578441600000,0.0001
BCHUSD,1578470400000,-0.00025868
BCHUSD,1578499200001,0.0001
BCHUSD,1578528000000,0.00149111
BCHUSD,1578556800000,0.00085969
BCHUSD,1578585600000,0.0001
BCHUSD,1578614400000,0.00033597
BCHUSD,1578643200000,-4.665e-05
BCHUSD,1578672000000,0.0001
BCHUSD,1578700800000,0.0001
BCHUSD,1578729600000,-5.919e-05
BCHUSD,1578758400000,-0.00030778
BCHUSD,1578787200000,-0.00023558
BCHUSD,1578816000000,0.0001
BCHUSD,1578844800000,0.0001
BCHUSD,1578873600001,0.0001
BCHUSD,1578902400000,0.0001
BCHUSD,1578931200000,0.0001
BCHUSD,1578960000000,0.0001
BCHUSD,1578988800000,0.0001
BCHUSD,1579017600001,0.0001
BCHUSD,1579046400000,0.00051712
BCHUSD,1579075200000,0.00034113
BCHUSD,1579104000000,0.0001
BCHUSD,1579132800000,0.0001
BCHUSD,1579161600000,0.00067611
BCHUSD,1579190400000,0.00125921
BCHUSD,1579219200000,0.00063919
BCHUSD,1579248000000,0.00032284
BCHUSD,1579276800000,0.00033436
BCHUSD,1579305600001,0.0002167
BCHUSD,1579334400001,0.0005077
BCHUSD,1579363200000,0.00057618
