symbol,fundingTime,fundingRate
DOGEUSD,1594368000001,0.0001
DOGEUSD,1594396800000,-0.00301393
DOGEUSD,1594425600000,4.111e-05
DOGEUSD,1594454400000,1.285e-05
DOGEUSD,1594483200000,0.0001
DOGEUSD,1594512000000,0.0001
DOGEUSD,1594540800000,0.0001
DOGEUSD,1594569600000,0.0001
DOGEUSD,1594598400000,0.00026293
DOGEUSD,1594627200001,0.0001
DOGEUSD,1594656000000,1.96e-06
DOGEUSD,1594684800001,-0.00070381
DOGEUSD,1594713600000,-0.00122571
DOGEUSD,1594742400000,0.0001
DOGEUSD,1594771200000,0.0001
DOGEUSD,1594800000000,-0.00017488
DOGEUSD,1594828800000,-0.00077381
DOGEUSD,1594857600000,-4.99e-05
DOGEUSD,1594886400002,0.0001
DOGEUSD,1594915200001,0.0001
DOGEUSD,1594944000001,0.00016338
DOGEUSD,1594972800000,0.0001
DOGEUSD,1595001600000,0.0001
DOGEUSD,1595030400003,0.0001
DOGEUSD,1595059200001,0.0001
DOGEUSD,1595088000000,0.0001
DOGEUSD,1595116800000,0.0001
DOGEUSD,1595145600000,0.0001
DOGEUSD,1595174400000,-0.00012246
DOGEUSD,1595203200000,0.0001
DOGEUSD,1595232000000,0.0001
DOGEUSD,1595260800001,0.0001
DOGEUSD,1595289600000,-0.00014116
DOGEUSD,1595318400001,0.0001
DOGEUSD,1595347200004,0.0001
DOGEUSD,1595376000000,0.0001
DOGEUSD,1595404800000,0.0001
DOGEUSD,1595433600000,0.0001
DOGEUSD,1595462400001,0.0001
DOGEUSD,1595491200000,0.0001
DOGEUSD,1595520000001,0.0001
DOGEUSD,1595548800000,0.0001
DOGEUSD,1595577600000,0.0001
DOGEUSD,1595606400000,-0.00012831
DOGEUSD,1595635200000,0.0001
DOGEUSD,1595664000001,0.0001
DOGEUSD,1595692800000,0.0001
DOGEUSD,1595721600000,0.0001
DOGEUSD,1595750400000,0.0001
DOGEUSD,1595779200000,0.0001
DOGEUSD,1595808000000,0.0001
DOGEUSD,1595836800000,0.0001
DOGEUSD,1595865600000,0.0001
DOGEUSD,1595894400000,0.0001
DOGEUSD,1595923200001,0.0001
DOGEUSD,1595952000000,0.0001
DOGEUSD,1595980800000,0.00020606
DOGEUSD,1596009600000,0.0001
DOGEUSD,1596038400000,0.0001
DOGEUSD,1596067200000,0.0001
DOGEUSD,1596096000001,0.0001
DOGEUSD,1596124800000,0.00040705
DOGEUSD,1596153600000,0.0001
DOGEUSD,1596182400001,0.0001
DOGEUSD,1596211200000,0.0001
DOGEUSD,1596240000005,0.0001
DOGEUSD,1596268800000,0.00068087
DOGEUSD,1596297600001,0.0001
DOGEUSD,1596326400000,0.00137919
DOGEUSD,1596355200001,0.0001
DOGEUSD,1596384000001,0.0001
DOGEUSD,1596412800000,0.0001
DOGEUSD,1596441600001,0.0001
DOGEUSD,1596470400000,0.0001
DOGEUSD,1596499200003,0.0001
DOGEUSD,1596528000000,0.0001
DOGEUSD,1596556800000,0.00047835
DOGEUSD,1596585600000,0.0003325
DOGEUSD,1596614400000,0.0001
DOGEUSD,1596643200000,0.0001
DOGEUSD,1596672000000,0.00017576
DOGEUSD,1596700800007,0.00060956
DOGEUSD,1596729600000,0.00045661
DOGEUSD,1596758400001,0.0001
DOGEUSD,1596787200000,0.00047011
DOGEUSD,1596816000000,0.0001
DOGEUSD,1596844800000,0.0001
DOGEUSD,1596873600000,0.0001
DOGEUSD,1596902400000,0.0001
DOGEUSD,1596931200000,0.0001
DOGEUSD,1596960000000,0.00035771
DOGEUSD,1596988800000,0.0001
DOGEUSD,1597017600001,0.0001
DOGEUSD,1597046400000,0.0001
DOGEUSD,1597075200001,0.00030326
DOGEUSD,1597104000001,0.0001
DOGEUSD,1597132800000,0.00021211
DOGEUSD,1597161600001,0.0001
DOGEUSD,1597190400000,0.00029378
DOGEUSD,1597219200000,0.00075149
DOGEUSD,1597248000000,0.00015499
DOGEUSD,1597276800002,0.0001
DOGEUSD,1597305600000,0.0001
DOGEUSD,1597334400000,0.0001
DOGEUSD,1597363200000,0.0001
DOGEUSD,1597392000000,0.0001
DOGEUSD,1597420800000,0.00074047
DOGEUSD,1597449600000,0.00103786
DOGEUSD,1597478400001,0.0001
DOGEUSD,1597507200001,0.00047135
DOGEUSD,1597536000000,0.00030573
DOGEUSD,1597564800000,0.0001
DOGEUSD,1597593600000,0.0001
DOGEUSD,1597622400000,0.00012587
DOGEUSD,1597651200000,0.00065669
DOGEUSD,1597680000000,0.00047078
DOGEUSD,1597708800001,0.00034516
DOGEUSD,1597737600008,0.00065254
DOGEUSD,1597766400000,0.0001
DOGEUSD,1597795200000,0.00021476
DOGEUSD,1597824000000,0.0001
DOGEUSD,1597852800000,0.0001
DOGEUSD,1597881600001,0.0001
DOGEUSD,1597910400000,0.0001
DOGEUSD,1597939200000,0.0001
DOGEUSD,1597968000000,0.0001
DOGEUSD,1597996800000,0.0001
DOGEUSD,1598025600017,0.00013282
DOGEUSD,1598054400000,0.0001
DOGEUSD,1598083200000,0.0001
DOGEUSD,1598112000000,0.0001
DOGEUSD,1598140800000,0.0001
DOGEUSD,1598169600000,0.00025912
DOGEUSD,1598198400000,0.0001
DOGEUSD,1598227200006,0.0001
DOGEUSD,1598256000001,0.00049988
DOGEUSD,1598284800000,0.00018552
DOGEUSD,1598313600000,0.0001
DOGEUSD,1598342400000,0.0001
DOGEUSD,1598371200000,0.0001
DOGEUSD,1598400000000,0.0001
DOGEUSD,1598428800008,-0.00015585
DOGEUSD,1598457600002,-0.00028052
DOGEUSD,1598486400000,0.0001
DOGEUSD,1598515200010,0.0001
DOGEUSD,1598544000000,0.0001
DOGEUSD,1598572800000,0.0001
DOGEUSD,1598601600001,0.0001
DOGEUSD,1598630400000,0.0001
DOGEUSD,1598659200002,9.56e-05
DOGEUSD,1598688000006,0.0001
DOGEUSD,1598716800003,0.0001
DOGEUSD,1598745600000,0.0001
DOGEUSD,1598774400000,0.0001
DOGEUSD,1598803200000,0.0001
DOGEUSD,1598832000000,0.0001
DOGEUSD,1598860800001,0.0001
DOGEUSD,1598889600001,0.0001
DOGEUSD,1598918400000,0.0001
DOGEUSD,1598947200000,0.0001
DOGEUSD,1598976000000,0.0001
DOGEUSD,1599004800000,0.0001
DOGEUSD,1599033600006,0.0001
DOGEUSD,1599062400000,0.0001
DOGEUSD,1599091200001,0.0001
DOGEUSD,1599120000004,0.0001
DOGEUSD,1599148800000,0.0001
DOGEUSD,1599177600005,-8.813e-05
DOGEUSD,1599206400000,-0.00130878
DOGEUSD,1599235200006,0.0001
DOGEUSD,1599264000000,0.0001
DOGEUSD,1599292800004,0.0001
DOGEUSD,1599321600001,-0.00086354
DOGEUSD,1599350400004,-0.00071195
DOGEUSD,1599379200000,-0.00073545
DOGEUSD,1599408000000,-9.537e-05
DOGEUSD,1599436800002,0.0001
DOGEUSD,1599465600004,8.7e-05
DOGEUSD,1599494400001,0.0001
DOGEUSD,1599523200007,0.0001
DOGEUSD,1599552000006,0.0001
DOGEUSD,1599580800014,0.0001
DOGEUSD,1599609600000,0.0001
DOGEUSD,1599638400000,0.0001
DOGEUSD,1599667200000,0.0001
DOGEUSD,1599696000000,0.0001
DOGEUSD,1599724800005,0.0001
DOGEUSD,1599753600000,0.0001
DOGEUSD,1599782400000,-0.00070159
DOGEUSD,1599811200008,-0.00046276
DOGEUSD,1599840000000,-0.00041752
DOGEUSD,1599868800008,0.0001
DOGEUSD,1599897600000,0.0001
DOGEUSD,1599926400008,0.0001
DOGEUSD,1599955200000,0.0001
DOGEUSD,1599984000000,0.0001
DOGEUSD,1600012800004,0.0001
DOGEUSD,1600041600003,0.0001
DOGEUSD,1600070400008,0.0001
DOGEUSD,1600099200000,0.0001
DOGEUSD,1600128000000,-0.00019651
DOGEUSD,1600156800010,5.076e-05
DOGEUSD,1600185600003,7.672e-05
DOGEUSD,1600214400014,-0.00165676
DOGEUSD,1600243200000,0.0001
DOGEUSD,1600272000001,-0.00021291
DOGEUSD,1600300800006,0.0001
DOGEUSD,1600329600012,0.0001
DOGEUSD,1600358400000,0.0001
DOGEUSD,1600387200001,0.0001
DOGEUSD,1600416000002,0.0001
DOGEUSD,1600444800002,0.0001
DOGEUSD,1600473600000,0.0001
DOGEUSD,1600502400005,5.87e-06
DOGEUSD,1600531200008,-4.057e-05
DOGEUSD,1600560000002,-0.00091049
DOGEUSD,1600588800005,3.116e-05
DOGEUSD,1600617600005,0.0001
