symbol,fundingTime,fundingRate
DOTUSD,1597910400000,0.0001
DOTUSD,1597939200000,0.0001
DOTUSD,1597968000000,0.0001
DOTUSD,1597996800000,0.0001
DOTUSD,1598025600017,0.0001
DOTUSD,1598054400000,0.0001
DOTUSD,1598083200000,0.00152252
DOTUSD,1598112000000,0.00059014
DOTUSD,1598140800000,0.00146278
DOTUSD,1598169600000,0.00094542
DOTUSD,1598198400000,0.00175345
DOTUSD,1598227200006,0.00100486
DOTUSD,1598256000001,0.00151206
DOTUSD,1598284800000,0.00098471
DOTUSD,1598313600000,0.00020789
DOTUSD,1598342400000,0.00094866
DOTUSD,1598371200000,0.00036307
DOTUSD,1598400000000,0.00071638
DOTUSD,1598428800008,0.00123278
DOTUSD,1598457600002,0.00087605
DOTUSD,1598486400000,0.00139804
DOTUSD,1598515200010,0.00080406
DOTUSD,1598544000000,0.00089898
DOTUSD,1598572800000,0.00040777
DOTUSD,1598601600001,0.00032604
DOTUSD,1598630400000,0.00031897
DOTUSD,1598659200002,0.0002934
DOTUSD,1598688000006,0.00123961
DOTUSD,1598716800003,0.00073415
DOTUSD,1598745600000,0.00159891
DOTUSD,1598774400000,0.00185894
DOTUSD,1598803200000,0.00191828
DOTUSD,1598832000000,0.00204053
DOTUSD,1598860800001,0.0010317
DOTUSD,1598889600001,0.00132406
DOTUSD,1598918400000,0.00080415
DOTUSD,1598947200000,0.00115788
DOTUSD,1598976000000,0.00136882
DOTUSD,1599004800000,0.00165512
DOTUSD,1599033600006,0.00062099
DOTUSD,1599062400000,0.0001
DOTUSD,1599091200001,0.0001
DOTUSD,1599120000004,0.00018917
DOTUSD,1599148800000,0.00012161
DOTUSD,1599177600005,0.0001
DOTUSD,1599206400000,0.0001
DOTUSD,1599235200006,0.0001
DOTUSD,1599264000000,0.0001
DOTUSD,1599292800004,0.0001
DOTUSD,1599321600001,0.0001
DOTUSD,1599350400004,0.0001
DOTUSD,1599379200000,0.0001
DOTUSD,1599408000000,0.0001
DOTUSD,1599436800002,0.0001
DOTUSD,1599465600004,0.0001
DOTUSD,1599494400001,0.0001
DOTUSD,1599523200007,0.0001
DOTUSD,1599552000006,0.0001
DOTUSD,1599580800014,0.0001
DOTUSD,1599609600000,0.0001
DOTUSD,1599638400000,0.0001
DOTUSD,1599667200000,0.0001
DOTUSD,1599696000000,0.0001
DOTUSD,1599724800005,0.0001
DOTUSD,1599753600000,0.0001
DOTUSD,1599782400000,0.0001
DOTUSD,1599811200008,0.0001
DOTUSD,1599840000000,0.0001
DOTUSD,1599868800008,0.0001
DOTUSD,1599897600000,0.0001
DOTUSD,1599926400008,0.0001
DOTUSD,1599955200000,0.0001
DOTUSD,1599984000000,0.00010822
DOTUSD,1600012800004,0.0001
DOTUSD,1600041600003,0.0001
DOTUSD,1600070400008,0.00019947
DOTUSD,1600099200000,0.00033042
DOTUSD,1600128000000,0.00022414
DOTUSD,1600156800010,0.0001
DOTUSD,1600185600003,0.0001
DOTUSD,1600214400014,0.00012038
DOTUSD,1600243200000,0.0001
DOTUSD,1600272000001,0.00015451
DOTUSD,1600300800006,0.0001
DOTUSD,1600329600012,0.00040469
DOTUSD,1600358400000,0.00045066
