symbol,fundingTime,fundingRate
EOSUSD,1578470400000,0.0001
EOSUSD,1578499200001,0.0001
EOSUSD,1578528000000,0.0001
EOSUSD,1578556800000,0.0001
EOSUSD,1578585600000,0.0001
EOSUSD,1578614400000,0.0001
EOSUSD,1578643200000,0.0001
EOSUSD,1578672000000,0.0001
EOSUSD,1578700800000,0.0001
EOSUSD,1578729600000,-0.00057559
EOSUSD,1578758400000,-0.00056785
EOSUSD,1578787200000,9.874e-05
EOSUSD,1578816000000,0.00048991
EOSUSD,1578844800000,0.0001
EOSUSD,1578873600001,-9.456e-05
EOSUSD,1578902400000,4.972e-05
EOSUSD,1578931200000,0.0001
EOSUSD,1578960000000,0.0001
EOSUSD,1578988800000,0.0001
EOSUSD,1579017600001,0.0001
EOSUSD,1579046400000,0.00090467
EOSUSD,1579075200000,0.00014763
EOSUSD,1579104000000,0.0001
EOSUSD,1579132800000,0.0001
EOSUSD,1579161600000,0.0001
EOSUSD,1579190400000,0.0001
EOSUSD,1579219200000,0.0001
EOSUSD,1579248000000,0.00022945
EOSUSD,1579276800000,0.00042982
EOSUSD,1579305600001,0.00021506
EOSUSD,1579334400001,0.00023033
EOSUSD,1579363200000,0.00032196
EOSUSD,1579392000000,0.00016684
EOSUSD,1579420800000,0.0001
EOSUSD,1579449600000,0.0001
EOSUSD,1579478400000,0.0001
EOSUSD,1579507200000,0.0001
EOSUSD,1579536000000,0.00058478
EOSUSD,1579564800000,0.0001
EOSUSD,1579593600000,0.0001
EOSUSD,1579622400000,0.0001
EOSUSD,1579651200000,0.0001
EOSUSD,1579680000001,0.00020368
EOSUSD,1579708800000,-0.00011087
EOSUSD,1579737600000,0.0001
EOSUSD,1579766400000,0.0001
EOSUSD,1579795200000,0.0001
EOSUSD,1579824000000,0.0001
EOSUSD,1579852800000,0.0001
EOSUSD,1579881600001,0.0001
EOSUSD,1579910400000,0.0001
EOSUSD,1579939200000,7.905e-05
EOSUSD,1579968000001,0.0001
EOSUSD,1579996800000,0.00040991
EOSUSD,1580025600000,0.0001
EOSUSD,1580054400000,0.0001
EOSUSD,1580083200000,0.0001
EOSUSD,1580112000001,0.0001
EOSUSD,1580140800000,0.0001
EOSUSD,1580169600000,0.0001
EOSUSD,1580198400000,0.0001
EOSUSD,1580227200000,0.00030946
EOSUSD,1580256000001,0.00036379
EOSUSD,1580284800000,0.00014987
EOSUSD,1580313600002,0.00024949
EOSUSD,1580342400000,0.0001
EOSUSD,1580371200000,0.00126941
EOSUSD,1580400000000,0.00046067
EOSUSD,1580428800000,0.00034396
EOSUSD,1580457600000,0.0001
EOSUSD,1580486400000,0.00048929
EOSUSD,1580515200000,0.00075558
EOSUSD,1580544000000,0.00011317
EOSUSD,1580572800000,0.00028293
EOSUSD,1580601600000,0.00070956
EOSUSD,1580630400000,0.0001
EOSUSD,1580659200000,0.00035972
EOSUSD,1580688000000,0.0001
EOSUSD,1580716800000,0.00063433
EOSUSD,1580745600000,0.00058009
EOSUSD,1580774400000,0.00032135
EOSUSD,1580803200001,0.00040469
EOSUSD,1580832000000,0.00020623
EOSUSD,1580860800002,0.00011273
EOSUSD,1580889600000,0.0001
EOSUSD,1580918400000,0.00039232
EOSUSD,1580947200000,0.00084635
EOSUSD,1580976000000,0.00090536
EOSUSD,1581004800000,0.00054446
EOSUSD,1581033600000,0.0005572
EOSUSD,1581062400000,0.00045601
EOSUSD,1581091200001,0.0005607
EOSUSD,1581120000000,0.00082508
EOSUSD,1581148800000,0.00058876
EOSUSD,1581177600000,0.00070696
EOSUSD,1581206400000,0.00043642
EOSUSD,1581235200000,0.00128402
EOSUSD,1581264000000,0.00093085
EOSUSD,1581292800000,0.00099404
EOSUSD,1581321600000,0.00152895
EOSUSD,1581350400009,0.00152892
EOSUSD,1581379200000,0.00096406
EOSUSD,1581408000000,0.00090559
EOSUSD,1581436800000,0.00082553
EOSUSD,1581465600000,0.00250178
EOSUSD,1581494400001,0.00326153
EOSUSD,1581523200000,0.00175539
EOSUSD,1581552000001,0.00125455
EOSUSD,1581580800000,0.00167811
EOSUSD,1581609600000,0.00142843
EOSUSD,1581638400000,0.00085376
EOSUSD,1581667200000,0.00071751
EOSUSD,1581696000000,0.00159121
EOSUSD,1581724800000,0.00128028
EOSUSD,1581753600000,0.00122951
EOSUSD,1581782400000,0.00066524
EOSUSD,1581811200000,0.00042378
EOSUSD,1581840000000,0.0005938
EOSUSD,1581868800000,0.00045691
EOSUSD,1581897600000,0.00028689
EOSUSD,1581926400000,0.00027571
EOSUSD,1581955200000,0.0001
EOSUSD,1581984000000,0.00050632
EOSUSD,1582012800000,0.00064389
EOSUSD,1582041600000,0.00021309
EOSUSD,1582070400000,0.0002858
EOSUSD,1582099200001,0.00019454
EOSUSD,1582128000000,0.00013287
EOSUSD,1582156800004,0.00014369
EOSUSD,1582185600000,0.00019257
EOSUSD,1582214400000,0.0001
EOSUSD,1582243200000,0.0001
EOSUSD,1582272000000,0.0001
EOSUSD,1582300800000,0.0001
EOSUSD,1582329600000,0.00021537
EOSUSD,1582358400001,0.0001
EOSUSD,1582387200000,0.0001
EOSUSD,1582416000000,0.0001
EOSUSD,1582444800000,0.0001
EOSUSD,1582473600000,0.0001
EOSUSD,1582502400015,0.0003986
EOSUSD,1582531200000,0.0001
EOSUSD,1582560000000,0.0001
EOSUSD,1582588800001,0.00028678
EOSUSD,1582617600000,0.0001
EOSUSD,1582646400001,-2.098e-05
EOSUSD,1582675200000,0.0001
EOSUSD,1582704000001,0.0001
EOSUSD,1582732800000,0.0001
EOSUSD,1582761600001,0.0001
EOSUSD,1582790400001,0.0001
EOSUSD,1582819200000,0.0001
EOSUSD,1582848000000,0.0001
EOSUSD,1582876800000,0.00019486
EOSUSD,1582905600000,0.0001
EOSUSD,1582934400000,0.0001
EOSUSD,1582963200000,0.00022739
EOSUSD,1582992000000,0.00022425
EOSUSD,1583020800000,0.00038475
EOSUSD,1583049600000,0.00027525
EOSUSD,1583078400001,0.00022267
EOSUSD,1583107200000,0.00020222
EOSUSD,1583136000000,0.00026741
EOSUSD,1583164800004,0.0001
EOSUSD,1583193600000,0.0001
EOSUSD,1583222400003,0.00023705
EOSUSD,1583251200000,0.00032038
EOSUSD,1583280000002,0.00017829
EOSUSD,1583308800000,0.00035997
EOSUSD,1583337600001,0.0005443
EOSUSD,1583366400000,0.00025315
EOSUSD,1583395200000,0.00032001
EOSUSD,1583424000000,0.0002149
EOSUSD,1583452800003,0.0001062
