symbol,fundingTime,fundingRate
ETHUSD,1577836800000,0.0001
ETHUSD,1577865600000,7.354e-05
ETHUSD,1577894400000,-0.00016125
ETHUSD,1577923200002,5.047e-05
ETHUSD,1577952000000,0.0001
ETHUSD,1577980800000,0.0001
ETHUSD,1578009600000,0.0001
ETHUSD,1578038400000,0.0001
ETHUSD,1578067200001,0.0001
ETHUSD,1578096000000,0.0001
ETHUSD,1578124800000,0.0001
ETHUSD,1578153600000,0.0001
ETHUSD,1578182400000,0.0001
ETHUSD,1578211200000,0.0001
ETHUSD,1578240000000,0.0001
ETHUSD,1578268800000,0.0001
ETHUSD,1578297600000,0.0001
ETHUSD,1578326400000,0.0001
ETHUSD,1578355200000,0.0001
ETHUSD,1578384000001,0.0001
ETHUSD,1578412800000,0.0001
ETHUSD,1578441600000,0.0001
ETHUSD,1578470400000,0.0001
ETHUSD,1578499200001,0.0001
ETHUSD,1578528000000,0.0001
ETHUSD,1578556800000,0.0001
ETHUSD,1578585600000,0.0001
ETHUSD,1578614400000,0.0001
ETHUSD,1578643200000,0.0001
ETHUSD,1578672000000,0.0001
ETHUSD,1578700800000,0.0001
ETHUSD,1578729600000,0.0001
ETHUSD,1578758400000,0.0001
ETHUSD,1578787200000,0.0001
ETHUSD,1578816000000,0.0001
ETHUSD,1578844800000,0.0001
ETHUSD,1578873600001,0.0001
ETHUSD,1578902400000,0.0001
ETHUSD,1578931200000,0.0001
ETHUSD,1578960000000,0.0001
ETHUSD,1578988800000,0.0001
ETHUSD,1579017600001,0.0001
ETHUSD,1579046400000,0.00011544
ETHUSD,1579075200000,0.00020223
ETHUSD,1579104000000,0.00031864
ETHUSD,1579132800000,0.00017165
ETHUSD,1579161600000,0.00038406
ETHUSD,1579190400000,0.0004224
ETHUSD,1579219200000,0.00018772
ETHUSD,1579248000000,0.0001
ETHUSD,1579276800000,0.00020327
ETHUSD,1579305600001,0.0001
ETHUSD,1579334400001,0.0001
ETHUSD,1579363200000,0.00011014
ETHUSD,1579392000000,0.00044662
ETHUSD,1579420800000,0.00019851
ETHUSD,1579449600000,0.00023852
ETHUSD,1579478400000,0.00047503
ETHUSD,1579507200000,0.00054081
ETHUSD,1579536000000,0.00038562
ETHUSD,1579564800000,0.00021637
ETHUSD,1579593600000,0.00016823
ETHUSD,1579622400000,0.00018627
ETHUSD,1579651200000,0.0001535
ETHUSD,1579680000001,0.0001
ETHUSD,1579708800000,0.0001
ETHUSD,1579737600000,0.0001
ETHUSD,1579766400000,0.0001
ETHUSD,1579795200000,0.00021994
ETHUSD,1579824000000,0.00017114
ETHUSD,1579852800000,0.00017748
ETHUSD,1579881600001,0.00025923
ETHUSD,1579910400000,0.0001
