symbol,fundingTime,fundingRate
FILUSD,1602835200003,-0.0075
FILUSD,1602864000000,-0.0075
FILUSD,1602892800006,-0.0075
FILUSD,1602921600007,-0.0075
FILUSD,1602950400009,-0.0075
FILUSD,1602979200006,-0.0075
FILUSD,1603008000000,-0.0075
FILUSD,1603036800000,-0.0075
FILUSD,1603065600000,-0.0075
FILUSD,1603094400000,-0.0075
FILUSD,1603123200000,-0.0075
FILUSD,1603152000015,-0.0075
FILUSD,1603180800000,-0.0075
FILUSD,1603209600008,-0.0075
FILUSD,1603238400009,-0.0075
FILUSD,1603267200004,-0.0075
FILUSD,1603296000000,-0.0075
FILUSD,1603324800000,-0.00237781
FILUSD,1603353600000,-0.00609826
FILUSD,1603382400004,-0.00353528
FILUSD,1603411200007,-0.0075
FILUSD,1603440000000,-0.0075
FILUSD,1603468800000,-0.0075
FILUSD,1603497600000,-0.0075
FILUSD,1603526400000,-0.0075
FILUSD,1603555200008,-0.0075
FILUSD,1603584000005,-0.0075
FILUSD,1603612800014,-0.0075
FILUSD,1603641600000,-0.0075
FILUSD,1603670400004,-0.0075
FILUSD,1603699200000,-0.0075
FILUSD,1603728000000,-0.0075
FILUSD,1603756800000,-0.0075
FILUSD,1603785600000,-0.0075
FILUSD,1603814400000,-0.0075
FILUSD,1603843200000,-0.0075
FILUSD,1603872000006,-0.00616829
FILUSD,1603900800001,-0.0075
FILUSD,1603929600000,-0.00320528
FILUSD,1603958400000,-0.00342497
FILUSD,1603987200000,-0.00285467
FILUSD,1604016000000,-0.00126858
FILUSD,1604044800002,-0.00464884
FILUSD,1604073600002,-0.00207311
FILUSD,1604102400003,-0.00141812
FILUSD,1604131200000,-0.0020777
FILUSD,1604160000000,-0.00123738
FILUSD,1604188800000,-0.00245452
FILUSD,1604217600000,-0.00220503
FILUSD,1604246400000,-0.00086395
FILUSD,1604275200000,-0.00107061
FILUSD,1604304000010,-0.00147186
FILUSD,1604332800000,-0.00139484
FILUSD,1604361600000,-0.00065394
FILUSD,1604390400004,-0.0024657
FILUSD,1604419200009,-0.0007694
FILUSD,1604448000000,-0.00029481
FILUSD,1604476800000,-0.00169867
FILUSD,1604505600005,-0.00172025
FILUSD,1604534400017,-0.00083814
FILUSD,1604563200001,-0.00162517
FILUSD,1604592000000,-0.00039812
FILUSD,1604620800000,-8.301e-05
FILUSD,1604649600001,-0.00037817
FILUSD,1604678400001,0.0001
FILUSD,1604707200001,-0.00103745
FILUSD,1604736000000,0.0001
FILUSD,1604764800006,-0.00166956
FILUSD,1604793600000,-0.00135191
FILUSD,1604822400000,-0.00015653
FILUSD,1604851200000,-0.00023392
FILUSD,1604880000007,0.0001
FILUSD,1604908800001,-0.00136275
FILUSD,1604937600002,-0.00112241
FILUSD,1604966400003,-0.00327771
FILUSD,1604995200011,0.00018722
FILUSD,1605024000000,0.0001
FILUSD,1605052800000,0.0001
FILUSD,1605081600009,0.0001
FILUSD,1605110400003,-5.428e-05
FILUSD,1605139200001,-0.00134108
FILUSD,1605168000001,-5.696e-05
FILUSD,1605196800000,-0.00074896
FILUSD,1605225600000,-0.0013625
FILUSD,1605254400000,-0.00019748
FILUSD,1605283200000,-0.00040062
FILUSD,1605312000005,-0.00029114
FILUSD,1605340800004,-0.00065982
FILUSD,1605369600001,-0.00019486
FILUSD,1605398400001,5.33e-05
FILUSD,1605427200000,-0.00095711
FILUSD,1605456000003,4.344e-05
FILUSD,1605484800000,-0.00132423
FILUSD,1605513600010,-8.413e-05
FILUSD,1605542400001,0.0001
FILUSD,1605571200002,-0.00030309
FILUSD,1605600000003,-5.353e-05
FILUSD,1605628800003,-0.00137215
FILUSD,1605657600005,0.0001
FILUSD,1605686400006,-0.00071919
FILUSD,1605715200000,-0.00072317
FILUSD,1605744000008,0.0001
FILUSD,1605772800000,-0.00030286
FILUSD,1605801600001,-0.0005349
FILUSD,1605830400003,-0.00063292
FILUSD,1605859200005,0.0001
FILUSD,1605888000000,0.00062661
FILUSD,1605916800000,0.0001
FILUSD,1605945600000,0.0001
FILUSD,1605974400001,0.00121853
FILUSD,1606003200005,0.00062966
FILUSD,1606032000000,0.0001
FILUSD,1606060800000,-9.906e-05
FILUSD,1606089600005,0.00103545
FILUSD,1606118400000,0.00054932
FILUSD,1606147200003,0.0001
FILUSD,1606176000000,0.00038166
FILUSD,1606204800000,0.00104141
FILUSD,1606233600005,0.0001
FILUSD,1606262400005,0.0001
FILUSD,1606291200005,0.00014961
FILUSD,1606320000015,0.00130692
FILUSD,1606348800012,0.00014601
FILUSD,1606377600002,0.0001
FILUSD,1606406400001,0.0001
FILUSD,1606435200001,0.0001
FILUSD,1606464000000,0.0001
FILUSD,1606492800007,0.0001
FILUSD,1606521600007,0.0001
FILUSD,1606550400012,0.0001
FILUSD,1606579200000,0.0001
FILUSD,1606608000007,0.00022091
FILUSD,1606636800000,0.00022274
FILUSD,1606665600000,0.00017864
FILUSD,1606694400004,0.00024504
FILUSD,1606723200007,0.00055202
FILUSD,1606752000000,0.00022784
FILUSD,1606780800000,0.00065869
FILUSD,1606809600003,0.00068525
FILUSD,1606838400000,0.0001
FILUSD,1606867200001,0.0001
FILUSD,1606896000011,0.00047964
FILUSD,1606924800005,0.00087715
FILUSD,1606953600001,0.0010477
FILUSD,1606982400031,0.00055476
FILUSD,1607011200000,0.00062758
FILUSD,1607040000006,0.0001
FILUSD,1607068800009,0.0001
FILUSD,1607097600000,0.0001
FILUSD,1607126400000,-0.00078783
FILUSD,1607155200000,0.0001
FILUSD,1607184000000,0.0001
FILUSD,1607212800004,0.0001
FILUSD,1607241600000,0.0001
FILUSD,1607270400001,-0.00021062
FILUSD,1607299200000,0.0001
FILUSD,1607328000008,0.0001
FILUSD,1607356800000,0.0001
FILUSD,1607385600003,0.00089521
FILUSD,1607414400003,0.00017694
FILUSD,1607443200033,0.0001
FILUSD,1607472000000,0.0001
FILUSD,1607500800010,0.0001
FILUSD,1607529600000,0.0001
FILUSD,1607558400000,0.0001
FILUSD,1607587200000,0.0001
FILUSD,1607616000007,0.0001
FILUSD,1607644800000,2.653e-05
FILUSD,1607673600016,-3.673e-05
FILUSD,1607702400010,0.0001
FILUSD,1607731200009,0.0001
FILUSD,1607760000002,0.0001
FILUSD,1607788800000,0.0001
FILUSD,1607817600007,-0.00011061
FILUSD,1607846400000,8.802e-05
FILUSD,1607875200000,-1.206e-05
FILUSD,1607904000000,-0.0004511
FILUSD,1607932800000,-0.00019996
FILUSD,1607961600000,0.0001
FILUSD,1607990400006,0.0001
FILUSD,1608019200001,0.0001
FILUSD,1608048000000,0.0001
FILUSD,1608076800001,0.0001
FILUSD,1608105600000,0.0001
FILUSD,1608134400000,0.0001
FILUSD,1608163200000,0.0001
FILUSD,1608192000000,0.0001
FILUSD,1608220800011,0.00081016
FILUSD,1608249600000,0.0001
FILUSD,1608278400000,0.0001
FILUSD,1608307200000,0.0001
FILUSD,1608336000000,0.0001
FILUSD,1608364800018,0.0001
FILUSD,1608393600000,0.0001
FILUSD,1608422400001,0.0001
FILUSD,1608451200011,0.0001
FILUSD,1608480000023,0.0001
FILUSD,1608508800011,0.0001
FILUSD,1608537600000,0.0001
