symbol,fundingTime,fundingRate
INJUSD,1660665600000,0.0001
INJUSD,1660694400020,0.0001
INJUSD,1660723200016,0.00033137
INJUSD,1660752000001,0.0001
INJUSD,1660780800005,0.0001
INJUSD,1660809600012,0.0001
INJUSD,1660838400013,0.0001
INJUSD,1660867200000,0.0001
INJUSD,1660896000000,0.0001
INJUSD,1660924800009,0.0001
INJUSD,1660953600000,0.0001
INJUSD,1660982400005,0.0001
INJUSD,1661011200000,0.0001
INJUSD,1661040000010,-3.237e-05
INJUSD,1661068800013,-0.00043491
INJUSD,1661097600000,-0.00023699
INJUSD,1661126400011,-0.00292582
INJUSD,1661155200005,-0.00018878
INJUSD,1661184000005,-0.00254715
INJUSD,1661212800000,0.0001
INJUSD,1661241600021,-0.00048032
INJUSD,1661270400005,0.0001
INJUSD,1661299200017,-0.00010008
INJUSD,1661328000021,-0.00022205
INJUSD,1661356800000,-0.00013159
INJUSD,1661385600003,0.0001
INJUSD,1661414400000,0.0001
INJUSD,1661443200004,0.0001
INJUSD,1661472000001,4.46e-06
INJUSD,1661500800004,-0.00014574
INJUSD,1661529600000,2.562e-05
INJUSD,1661558400010,2.654e-05
INJUSD,1661587200007,0.0001
INJUSD,1661616000008,0.0001
INJUSD,1661644800019,0.0001
INJUSD,1661673600000,0.0001
INJUSD,1661702400000,0.0001
INJUSD,1661731200000,0.0001
INJUSD,1661760000000,0.0001
INJUSD,1661788800001,-8.6e-07
INJUSD,1661817600001,-5.638e-05
INJUSD,1661846400005,0.0001
INJUSD,1661875200010,0.0001
INJUSD,1661904000000,7.616e-05
INJUSD,1661932800005,0.0001
INJUSD,1661961600013,7.21e-06
INJUSD,1661990400012,0.0001
INJUSD,1662019200000,0.0001
INJUSD,1662048000013,0.0001
INJUSD,1662076800002,0.0001
INJUSD,1662105600013,0.0001
INJUSD,1662134400000,0.0001
INJUSD,1662163200000,0.0001
INJUSD,1662192000002,0.0001
INJUSD,1662220800007,0.0001
INJUSD,1662249600008,0.0001
INJUSD,1662278400009,0.0001
INJUSD,1662307200000,0.0001
INJUSD,1662336000015,0.0001
INJUSD,1662364800013,0.0001
INJUSD,1662393600007,4.747e-05
INJUSD,1662422400018,0.0001
INJUSD,1662451200020,0.0001
INJUSD,1662480000028,6.966e-05
INJUSD,1662508800013,0.0001
INJUSD,1662537600022,0.0001
INJUSD,1662566400021,0.0001
INJUSD,1662595200010,0.0001
INJUSD,1662624000000,0.0001
INJUSD,1662652800003,0.0001
INJUSD,1662681600011,0.0001
INJUSD,1662710400000,0.0001
INJUSD,1662739200000,0.0001
INJUSD,1662768000003,0.0001
INJUSD,1662796800000,0.0001
INJUSD,1662825600012,0.0001
INJUSD,1662854400009,0.0001
INJUSD,1662883200012,0.0001
INJUSD,1662912000005,0.0001
INJUSD,1662940800007,-0.00179148
INJUSD,1662969600013,-0.00019733
INJUSD,1662998400000,0.0001
INJUSD,1663027200004,0.0001
INJUSD,1663056000000,0.0001
INJUSD,1663084800000,0.0001
INJUSD,1663113600000,0.0001
INJUSD,1663142400000,3.287e-05
INJUSD,1663171200000,1.952e-05
INJUSD,1663200000019,8.807e-05
INJUSD,1663228800012,2.174e-05
INJUSD,1663257600007,0.0001
INJUSD,1663286400000,-2.186e-05
INJUSD,1663315200000,4.929e-05
INJUSD,1663344000000,0.0001
INJUSD,1663372800000,0.0001
INJUSD,1663401600012,0.0001
INJUSD,1663430400017,0.0001
INJUSD,1663459200000,0.0001
INJUSD,1663488000004,-0.00010567
INJUSD,1663516800000,0.0001
INJUSD,1663545600018,-0.00015252
INJUSD,1663574400006,0.0001
INJUSD,1663603200010,1.64e-05
INJUSD,1663632000007,-0.00100491
INJUSD,1663660800001,-0.00297534
INJUSD,1663689600000,-0.00055357
INJUSD,1663718400001,0.0001
INJUSD,1663747200005,5.917e-05
INJUSD,1663776000000,0.0001
INJUSD,1663804800000,3.356e-05
INJUSD,1663833600000,0.0001
INJUSD,1663862400011,0.0001
INJUSD,1663891200023,0.0001
INJUSD,1663920000004,0.0001
INJUSD,1663948800005,0.0001
INJUSD,1663977600000,0.0001
INJUSD,1664006400005,0.0001
INJUSD,1664035200000,-0.00024042
INJUSD,1664064000010,0.0001
INJUSD,1664092800000,-0.00040557
INJUSD,1664121600003,-0.00027642
INJUSD,1664150400001,-0.00263285
INJUSD,1664179200006,-0.00098393
INJUSD,1664208000000,-0.00041354
INJUSD,1664236800026,-0.00036964
INJUSD,1664265600004,0.0001
INJUSD,1664294400006,7.539e-05
INJUSD,1664323200011,0.0001
INJUSD,1664352000000,0.0001
INJUSD,1664380800000,2.8e-06
INJUSD,1664409600010,0.0001
INJUSD,1664438400000,0.0001
