symbol,fundingTime,fundingRate
LINKUSD,1579248000000,0.0001
LINKUSD,1579276800000,0.00409343
LINKUSD,1579305600001,0.00167371
LINKUSD,1579334400001,0.00038697
LINKUSD,1579363200000,0.0001
LINKUSD,1579392000000,0.0001
LINKUSD,1579420800000,0.0001
LINKUSD,1579449600000,0.00024236
LINKUSD,1579478400000,0.0001
LINKUSD,1579507200000,0.0001
LINKUSD,1579536000000,0.0001
LINKUSD,1579564800000,0.0001
LINKUSD,1579593600000,0.0001
LINKUSD,1579622400000,0.0
LINKUSD,1579651200000,0.0
LINKUSD,1579680000001,0.0
LINKUSD,1579708800000,0.0
LINKUSD,1579737600000,0.00143734
LINKUSD,1579766400000,0.00371786
LINKUSD,1579795200000,0.00221705
LINKUSD,1579824000000,0.00155528
LINKUSD,1579852800000,0.00037708
LINKUSD,1579881600001,0.0
LINKUSD,1579910400000,0.0
LINKUSD,1579939200000,0.0
LINKUSD,1579968000001,0.00298262
LINKUSD,1579996800000,0.00135796
LINKUSD,1580025600000,0.00025309
LINKUSD,1580054400000,0.0
LINKUSD,1580083200000,0.0
LINKUSD,1580112000001,0.0
LINKUSD,1580140800000,0.0
LINKUSD,1580169600000,0.0
LINKUSD,1580198400000,0.0
LINKUSD,1580227200000,0.0
LINKUSD,1580256000001,0.00010548
LINKUSD,1580284800000,0.00219522
LINKUSD,1580313600002,0.00061622
LINKUSD,1580342400000,0.0
LINKUSD,1580371200000,0.00047883
LINKUSD,1580400000000,0.0
LINKUSD,1580428800000,0.0
LINKUSD,1580457600000,0.00054312
LINKUSD,1580486400000,0.00245159
LINKUSD,1580515200000,0.00108462
LINKUSD,1580544000000,0.0017312
LINKUSD,1580572800000,0.00048394
LINKUSD,1580601600000,0.0
LINKUSD,1580630400000,0.0
LINKUSD,1580659200000,0.0
LINKUSD,1580688000000,0.00016181
LINKUSD,1580716800000,0.0
LINKUSD,1580745600000,0.0
LINKUSD,1580774400000,0.00023249
LINKUSD,1580803200001,0.00024878
LINKUSD,1580832000000,0.00078991
LINKUSD,1580860800002,0.00035389
LINKUSD,1580889600000,0.00019977
LINKUSD,1580918400000,7.234e-05
LINKUSD,1580947200000,0.00069867
LINKUSD,1580976000000,0.00106287
LINKUSD,1581004800000,0.00248768
LINKUSD,1581033600000,0.00236885
LINKUSD,1581062400000,0.00187824
LINKUSD,1581091200001,0.00019588
LINKUSD,1581120000000,0.0
LINKUSD,1581148800000,0.0
LINKUSD,1581177600000,0.0
LINKUSD,1581206400000,0.0
LINKUSD,1581235200000,0.00118945
LINKUSD,1581264000000,0.00314824
LINKUSD,1581292800000,0.00227184
LINKUSD,1581321600000,0.00181394
LINKUSD,1581350400009,0.00107746
LINKUSD,1581379200000,0.00095643
LINKUSD,1581408000000,0.00045756
LINKUSD,1581436800000,0.00017335
LINKUSD,1581465600000,0.00286768
LINKUSD,1581494400001,0.00321015
LINKUSD,1581523200000,0.00104156
LINKUSD,1581552000001,0.004444
LINKUSD,1581580800000,0.00352039
LINKUSD,1581609600000,0.00120184
LINKUSD,1581638400000,0.00155127
LINKUSD,1581667200000,0.00151322
LINKUSD,1581696000000,0.00055468
LINKUSD,1581724800000,0.00101008
LINKUSD,1581753600000,0.00052831
LINKUSD,1581782400000,0.00060642
LINKUSD,1581811200000,0.0
LINKUSD,1581840000000,0.0
LINKUSD,1581868800000,0.0
LINKUSD,1581897600000,-0.00071501
LINKUSD,1581926400000,0.0
LINKUSD,1581955200000,0.00069902
LINKUSD,1581984000000,0.00087201
LINKUSD,1582012800000,0.00046752
LINKUSD,1582041600000,0.00025794
LINKUSD,1582070400000,0.000355
LINKUSD,1582099200001,0.00167673
LINKUSD,1582128000000,0.00179558
LINKUSD,1582156800004,0.00031796
LINKUSD,1582185600000,0.0
LINKUSD,1582214400000,0.0
LINKUSD,1582243200000,0.0
LINKUSD,1582272000000,0.0
LINKUSD,1582300800000,0.0
LINKUSD,1582329600000,0.0
LINKUSD,1582358400001,0.0
LINKUSD,1582387200000,0.0
LINKUSD,1582416000000,0.0
LINKUSD,1582444800000,0.0
LINKUSD,1582473600000,0.0
LINKUSD,1582502400015,6.393e-05
LINKUSD,1582531200000,0.00031602
LINKUSD,1582560000000,0.0
LINKUSD,1582588800001,0.0
LINKUSD,1582617600000,0.00013417
LINKUSD,1582646400001,0.0
LINKUSD,1582675200000,0.0
LINKUSD,1582704000001,0.0
LINKUSD,1582732800000,0.0
LINKUSD,1582761600001,-0.00015148
LINKUSD,1582790400001,0.0
LINKUSD,1582819200000,-0.00104881
LINKUSD,1582848000000,-0.00056683
LINKUSD,1582876800000,-1.78e-05
LINKUSD,1582905600000,0.0
LINKUSD,1582934400000,0.0
LINKUSD,1582963200000,-6.664e-05
LINKUSD,1582992000000,-0.00128714
LINKUSD,1583020800000,-0.00028419
LINKUSD,1583049600000,0.0
LINKUSD,1583078400001,0.0
LINKUSD,1583107200000,0.0
LINKUSD,1583136000000,-0.00103757
LINKUSD,1583164800004,-0.00339958
LINKUSD,1583193600000,-0.00215893
LINKUSD,1583222400003,-0.00038958
LINKUSD,1583251200000,0.0
LINKUSD,1583280000002,0.0
LINKUSD,1583308800000,0.0
LINKUSD,1583337600001,-0.00103559
LINKUSD,1583366400000,-0.0022364
LINKUSD,1583395200000,-0.00031444
LINKUSD,1583424000000,0.0
LINKUSD,1583452800003,0.0
LINKUSD,1583481600000,0.0
LINKUSD,1583510400000,0.0
LINKUSD,1583539200000,0.0
LINKUSD,1583568000001,0.0
LINKUSD,1583596800000,0.0
LINKUSD,1583625600001,0.0
LINKUSD,1583654400000,0.0
LINKUSD,1583683200006,0.0
LINKUSD,1583712000000,-0.00380973
LINKUSD,1583740800000,-0.00014454
LINKUSD,1583769600000,0.0
LINKUSD,1583798400000,0.0
LINKUSD,1583827200000,0.0
LINKUSD,1583856000000,-0.00149536
LINKUSD,1583884800001,-0.00091803
LINKUSD,1583913600000,-1.674e-05
LINKUSD,1583942400000,0.0
LINKUSD,1583971200001,0.0
LINKUSD,1584000000001,0.0
LINKUSD,1584028800000,-0.00225138
LINKUSD,1584057600000,-0.00108296
LINKUSD,1584086400000,-0.00032812
LINKUSD,1584115200002,-0.0002559
LINKUSD,1584144000000,-0.00029488
LINKUSD,1584172800001,-0.00076993
LINKUSD,1584201600000,-0.00101128
LINKUSD,1584230400000,-0.00037008
LINKUSD,1584259200000,-0.00086663
LINKUSD,1584288000001,-0.00063076
LINKUSD,1584316800000,-0.00013914
LINKUSD,1584345600000,-0.00059713
LINKUSD,1584374400001,-0.00167373
LINKUSD,1584403200000,-0.00023142
LINKUSD,1584432000000,-0.00023393
LINKUSD,1584460800000,-0.0007691
LINKUSD,1584489600000,-0.00192197
LINKUSD,1584518400000,-0.00213865
LINKUSD,1584547200000,-0.00034239
LINKUSD,1584576000000,0.0
LINKUSD,1584604800000,0.0
LINKUSD,1584633600000,-0.00010727
LINKUSD,1584662400000,0.0
LINKUSD,1584691200000,0.0
LINKUSD,1584720000000,0.0
LINKUSD,1584748800000,0.0
LINKUSD,1584777600000,0.0
LINKUSD,1584806400000,0.0
LINKUSD,1584835200000,0.0
LINKUSD,1584864000001,0.0
LINKUSD,1584892800000,0.0
LINKUSD,1584921600000,-0.00029747
LINKUSD,1584950400000,0.0
LINKUSD,1584979200000,-0.0003556
LINKUSD,1585008000000,0.0
LINKUSD,1585036800000,0.0
LINKUSD,1585065600000,0.0
LINKUSD,1585094400000,0.0
LINKUSD,1585123200000,0.0
LINKUSD,1585152000001,0.0
LINKUSD,1585180800006,0.0
LINKUSD,1585209600002,0.0
LINKUSD,1585238400000,0.0
LINKUSD,1585267200000,0.0
LINKUSD,1585296000000,0.0
LINKUSD,1585324800000,0.0
LINKUSD,1585353600000,0.0
LINKUSD,1585382400000,0.0
LINKUSD,1585411200000,-0.00085164
LINKUSD,1585440000000,-0.00146773
LINKUSD,1585468800001,-0.00075994
LINKUSD,1585497600000,-8.413e-05
LINKUSD,1585526400000,0.0
LINKUSD,1585555200000,-0.00042167
LINKUSD,1585584000000,-0.00106751
LINKUSD,1585612800000,-0.00086847
LINKUSD,1585641600001,-4.5e-07
LINKUSD,1585670400001,0.0
LINKUSD,1585699200002,0.0
LINKUSD,1585728000000,0.0
LINKUSD,1585756800001,0.0
LINKUSD,1585785600000,0.0
LINKUSD,1585814400000,0.0
LINKUSD,1585843200000,0.0
LINKUSD,1585872000000,0.0
LINKUSD,1585900800000,0.0
LINKUSD,1585929600000,0.0
LINKUSD,1585958400000,0.0
LINKUSD,1585987200000,0.0
LINKUSD,1586016000000,0.0
LINKUSD,1586044800001,0.0
LINKUSD,1586073600000,0.0
LINKUSD,1586102400000,0.0
LINKUSD,1586131200000,0.0
LINKUSD,1586160000000,0.0
LINKUSD,1586188800000,0.0
LINKUSD,1586217600000,0.0
LINKUSD,1586246400000,0.0
LINKUSD,1586275200000,0.0
LINKUSD,1586304000000,0.0
LINKUSD,1586332800000,0.0
LINKUSD,1586361600000,0.0
LINKUSD,1586390400000,-6.112e-05
LINKUSD,1586419200001,0.0
LINKUSD,1586448000000,0.0
LINKUSD,1586476800001,0.0
LINKUSD,1586505600000,0.0
LINKUSD,1586534400000,0.0
LINKUSD,1586563200000,-0.00025236
LINKUSD,1586592000000,-0.00017544
LINKUSD,1586620800000,-0.00056368
LINKUSD,1586649600000,-0.00049027
LINKUSD,1586678400006,0.0
LINKUSD,1586707200001,-0.00017472
LINKUSD,1586736000001,-0.00122643
LINKUSD,1586764800000,-0.00080059
LINKUSD,1586793600000,-0.0016458
LINKUSD,1586822400000,-0.00114753
LINKUSD,1586851200000,-0.00057948
LINKUSD,1586880000000,-0.00075944
LINKUSD,1586908800000,-0.00075858
LINKUSD,1586937600000,-0.00163899
LINKUSD,1586966400000,-0.00056334
LINKUSD,1586995200000,-0.00063007
LINKUSD,1587024000000,-0.00138555
LINKUSD,1587052800000,-4.836e-05
LINKUSD,1587081600000,0.0
LINKUSD,1587110400000,0.0
LINKUSD,1587139200000,0.0
LINKUSD,1587168000000,0.0
LINKUSD,1587196800000,0.0
LINKUSD,1587225600000,0.0
LINKUSD,1587254400000,0.0
LINKUSD,1587283200000,0.0
LINKUSD,1587312000000,0.0
LINKUSD,1587340800000,0.0
LINKUSD,1587369600000,0.0
LINKUSD,1587398400000,0.0
LINKUSD,1587427200000,0.0
LINKUSD,1587456000001,0.0
LINKUSD,1587484800000,0.0
LINKUSD,1587513600001,-3.54e-06
LINKUSD,1587542400000,-0.00051167
LINKUSD,1587571200000,-0.00053015
LINKUSD,1587600000000,0.0
LINKUSD,1587628800001,0.0
LINKUSD,1587657600000,0.0
LINKUSD,1587686400000,0.00112463
LINKUSD,1587715200000,0.00025807
LINKUSD,1587744000000,0.000369
LINKUSD,1587772800003,0.00043908
LINKUSD,1587801600000,0.00058927
LINKUSD,1587830400000,3.336e-05
LINKUSD,1587859200000,0.0
LINKUSD,1587888000000,0.0
LINKUSD,1587916800000,0.0
LINKUSD,1587945600000,0.00030431
LINKUSD,1587974400005,0.0
LINKUSD,1588003200000,0.0
LINKUSD,1588032000000,0.0
LINKUSD,1588060800000,0.0
LINKUSD,1588089600000,2.515e-05
LINKUSD,1588118400000,1.456e-05
LINKUSD,1588147200001,3.155e-05
LINKUSD,1588176000000,0.0007955
LINKUSD,1588204800000,0.00189799
LINKUSD,1588233600000,0.00115048
LINKUSD,1588262400000,0.00038593
LINKUSD,1588291200000,0.00030771
LINKUSD,1588320000000,0.00016749
LINKUSD,1588348800000,0.00051263
LINKUSD,1588377600000,0.00059411
LINKUSD,1588406400000,0.00022322
LINKUSD,1588435200000,0.00013678
LINKUSD,1588464000000,0.00038359
LINKUSD,1588492800000,0.00034626
LINKUSD,1588521600000,0.0
LINKUSD,1588550400000,0.0
LINKUSD,1588579200005,0.00041725
LINKUSD,1588608000000,1.27e-05
LINKUSD,1588636800000,0.0
LINKUSD,1588665600000,0.00046364
LINKUSD,1588694400000,0.00033146
LINKUSD,1588723200001,0.00025567
LINKUSD,1588752000000,0.0
LINKUSD,1588780800000,0.00080515
LINKUSD,1588809600000,0.00037414
LINKUSD,1588838400011,8.123e-05
LINKUSD,1588867200000,0.00023597
LINKUSD,1588896000000,0.00126485
LINKUSD,1588924800001,0.00059952
LINKUSD,1588953600000,0.00065908
LINKUSD,1588982400000,0.00039577
LINKUSD,1589011200000,0.0
LINKUSD,1589040000000,0.00017669
LINKUSD,1589068800000,0.00080157
