symbol,fundingTime,fundingRate
LTCUSD,1578556800000,0.0001
LTCUSD,1578585600000,0.0001
LTCUSD,1578614400000,0.0001
LTCUSD,1578643200000,-0.00016501
LTCUSD,1578672000000,0.0001
LTCUSD,1578700800000,-8.34e-05
LTCUSD,1578729600000,0.0001
LTCUSD,1578758400000,0.00030815
LTCUSD,1578787200000,9.409e-05
LTCUSD,1578816000000,0.0001
LTCUSD,1578844800000,0.0001
LTCUSD,1578873600001,0.0001
LTCUSD,1578902400000,0.0001
LTCUSD,1578931200000,0.0001
LTCUSD,1578960000000,0.0001
LTCUSD,1578988800000,0.0001
LTCUSD,1579017600001,0.0001
LTCUSD,1579046400000,0.00061688
LTCUSD,1579075200000,0.00038757
LTCUSD,1579104000000,0.00019672
LTCUSD,1579132800000,0.0001
LTCUSD,1579161600000,0.0001
LTCUSD,1579190400000,0.0001
LTCUSD,1579219200000,0.00038011
LTCUSD,1579248000000,0.00089497
LTCUSD,1579276800000,0.0006264
LTCUSD,1579305600001,0.00072004
LTCUSD,1579334400001,0.000704
LTCUSD,1579363200000,0.00086863
LTCUSD,1579392000000,0.00031874
LTCUSD,1579420800000,0.00043069
LTCUSD,1579449600000,0.0001
LTCUSD,1579478400000,0.0001
LTCUSD,1579507200000,0.0001
LTCUSD,1579536000000,0.0001
LTCUSD,1579564800000,0.0001
LTCUSD,1579593600000,0.0001
LTCUSD,1579622400000,0.0
LTCUSD,1579651200000,0.0
LTCUSD,1579680000001,0.0
LTCUSD,1579708800000,5.852e-05
LTCUSD,1579737600000,0.0
LTCUSD,1579766400000,0.0
LTCUSD,1579795200000,0.0
LTCUSD,1579824000000,0.00050623
LTCUSD,1579852800000,0.0
LTCUSD,1579881600001,0.00021518
LTCUSD,1579910400000,0.0
LTCUSD,1579939200000,0.00032998
LTCUSD,1579968000001,3.385e-05
LTCUSD,1579996800000,0.0
LTCUSD,1580025600000,0.0
LTCUSD,1580054400000,0.00047684
LTCUSD,1580083200000,0.00037236
LTCUSD,1580112000001,0.0
LTCUSD,1580140800000,0.0
LTCUSD,1580169600000,0.0
LTCUSD,1580198400000,0.0
LTCUSD,1580227200000,0.0
LTCUSD,1580256000001,0.00047398
LTCUSD,1580284800000,0.00031957
LTCUSD,1580313600002,0.00018885
LTCUSD,1580342400000,0.0006407
LTCUSD,1580371200000,0.00038925
LTCUSD,1580400000000,0.00020806
LTCUSD,1580428800000,0.00034859
LTCUSD,1580457600000,0.00043136
LTCUSD,1580486400000,0.00035987
LTCUSD,1580515200000,4.512e-05
LTCUSD,1580544000000,0.0
LTCUSD,1580572800000,0.0
LTCUSD,1580601600000,0.0
LTCUSD,1580630400000,0.00034305
LTCUSD,1580659200000,0.00024822
LTCUSD,1580688000000,0.00010603
LTCUSD,1580716800000,0.00026918
LTCUSD,1580745600000,0.00066319
LTCUSD,1580774400000,0.00033326
LTCUSD,1580803200001,0.00060785
LTCUSD,1580832000000,0.00091288
LTCUSD,1580860800002,0.0008389
LTCUSD,1580889600000,0.00058266
LTCUSD,1580918400000,0.00037833
LTCUSD,1580947200000,0.00062993
LTCUSD,1580976000000,0.00079581
LTCUSD,1581004800000,0.0003813
LTCUSD,1581033600000,0.00022691
LTCUSD,1581062400000,0.00044607
LTCUSD,1581091200001,0.00067636
LTCUSD,1581120000000,0.00067884
LTCUSD,1581148800000,0.00043124
LTCUSD,1581177600000,0.00060968
LTCUSD,1581206400000,0.00084067
LTCUSD,1581235200000,0.00085242
LTCUSD,1581264000000,0.00137143
LTCUSD,1581292800000,0.0010755
LTCUSD,1581321600000,0.00124711
LTCUSD,1581350400009,0.00257734
LTCUSD,1581379200000,0.00114991
LTCUSD,1581408000000,0.00071154
LTCUSD,1581436800000,0.00089628
LTCUSD,1581465600000,0.00261646
LTCUSD,1581494400001,0.00380638
LTCUSD,1581523200000,0.00177824
LTCUSD,1581552000001,0.00186684
LTCUSD,1581580800000,0.00208011
LTCUSD,1581609600000,0.001212
LTCUSD,1581638400000,0.00111041
LTCUSD,1581667200000,0.00137557
LTCUSD,1581696000000,0.00112572
LTCUSD,1581724800000,0.00232886
LTCUSD,1581753600000,0.0011933
LTCUSD,1581782400000,0.00156575
LTCUSD,1581811200000,0.00077213
LTCUSD,1581840000000,0.00059134
LTCUSD,1581868800000,0.00044673
LTCUSD,1581897600000,0.00012864
LTCUSD,1581926400000,0.00042877
LTCUSD,1581955200000,0.00087128
LTCUSD,1581984000000,0.00089338
LTCUSD,1582012800000,0.00075242
LTCUSD,1582041600000,0.00040888
LTCUSD,1582070400000,0.00035974
LTCUSD,1582099200001,0.00114557
LTCUSD,1582128000000,0.00100893
LTCUSD,1582156800004,0.00044646
LTCUSD,1582185600000,0.00010345
LTCUSD,1582214400000,0.00023802
LTCUSD,1582243200000,6.182e-05
LTCUSD,1582272000000,0.0
LTCUSD,1582300800000,7.988e-05
LTCUSD,1582329600000,0.0002174
LTCUSD,1582358400001,0.0
LTCUSD,1582387200000,0.0
LTCUSD,1582416000000,0.0
LTCUSD,1582444800000,0.0
LTCUSD,1582473600000,0.0
LTCUSD,1582502400015,1.369e-05
LTCUSD,1582531200000,0.00074132
LTCUSD,1582560000000,0.0005468
LTCUSD,1582588800001,0.00036702
LTCUSD,1582617600000,0.00027615
LTCUSD,1582646400001,0.00051432
LTCUSD,1582675200000,0.00021345
LTCUSD,1582704000001,1.3e-05
LTCUSD,1582732800000,0.00014046
LTCUSD,1582761600001,0.0
LTCUSD,1582790400001,0.0
LTCUSD,1582819200000,0.0
LTCUSD,1582848000000,0.00017859
LTCUSD,1582876800000,0.00024069
LTCUSD,1582905600000,0.0
LTCUSD,1582934400000,1.03e-05
LTCUSD,1582963200000,0.00019322
LTCUSD,1582992000000,0.0001945
LTCUSD,1583020800000,7.028e-05
LTCUSD,1583049600000,5.268e-05
LTCUSD,1583078400001,0.00064455
LTCUSD,1583107200000,8.34e-05
LTCUSD,1583136000000,0.00027295
LTCUSD,1583164800004,0.00019238
LTCUSD,1583193600000,0.00018696
LTCUSD,1583222400003,0.00017006
LTCUSD,1583251200000,0.00011977
LTCUSD,1583280000002,7.458e-05
LTCUSD,1583308800000,0.00033646
LTCUSD,1583337600001,0.00030938
LTCUSD,1583366400000,7.628e-05
LTCUSD,1583395200000,0.00036266
LTCUSD,1583424000000,0.0004417
LTCUSD,1583452800003,0.00018252
LTCUSD,1583481600000,0.00046643
LTCUSD,1583510400000,0.0004599
LTCUSD,1583539200000,0.00051075
LTCUSD,1583568000001,0.00047273
LTCUSD,1583596800000,0.00055764
LTCUSD,1583625600001,0.00028872
LTCUSD,1583654400000,0.00031618
LTCUSD,1583683200006,0.00026588
LTCUSD,1583712000000,0.0
LTCUSD,1583740800000,0.0
LTCUSD,1583769600000,0.00018345
LTCUSD,1583798400000,8.665e-05
LTCUSD,1583827200000,0.0
LTCUSD,1583856000000,0.0
LTCUSD,1583884800001,0.0
LTCUSD,1583913600000,7.912e-05
LTCUSD,1583942400000,0.0001876
LTCUSD,1583971200001,0.0
LTCUSD,1584000000001,0.00036905
LTCUSD,1584028800000,-0.00029357
LTCUSD,1584057600000,0.0
LTCUSD,1584086400000,-0.0012021
LTCUSD,1584115200002,-0.00200203
LTCUSD,1584144000000,-2.385e-05
LTCUSD,1584172800001,0.0
LTCUSD,1584201600000,0.0
LTCUSD,1584230400000,0.0
LTCUSD,1584259200000,0.0
LTCUSD,1584288000001,0.0
LTCUSD,1584316800000,0.0
LTCUSD,1584345600000,0.0
LTCUSD,1584374400001,0.0
LTCUSD,1584403200000,0.0
LTCUSD,1584432000000,0.0
LTCUSD,1584460800000,0.0
LTCUSD,1584489600000,0.0
LTCUSD,1584518400000,-0.00020393
LTCUSD,1584547200000,-5.92e-06
LTCUSD,1584576000000,0.0
LTCUSD,1584604800000,0.0
LTCUSD,1584633600000,0.0
LTCUSD,1584662400000,0.0
LTCUSD,1584691200000,0.0
LTCUSD,1584720000000,0.0
LTCUSD,1584748800000,0.0
LTCUSD,1584777600000,0.0
LTCUSD,1584806400000,0.0
LTCUSD,1584835200000,0.0
LTCUSD,1584864000001,0.0
LTCUSD,1584892800000,0.0
LTCUSD,1584921600000,0.0
LTCUSD,1584950400000,0.0
LTCUSD,1584979200000,1.405e-05
LTCUSD,1585008000000,3.143e-05
LTCUSD,1585036800000,0.00015391
LTCUSD,1585065600000,2.556e-05
LTCUSD,1585094400000,0.00024735
LTCUSD,1585123200000,0.00013691
LTCUSD,1585152000001,1.324e-05
LTCUSD,1585180800006,0.0
LTCUSD,1585209600002,1.078e-05
LTCUSD,1585238400000,0.0
LTCUSD,1585267200000,1.128e-05
LTCUSD,1585296000000,0.0
LTCUSD,1585324800000,0.0
LTCUSD,1585353600000,0.0
LTCUSD,1585382400000,0.0
LTCUSD,1585411200000,0.0
LTCUSD,1585440000000,0.0
LTCUSD,1585468800001,0.0
LTCUSD,1585497600000,0.0
LTCUSD,1585526400000,0.0
LTCUSD,1585555200000,0.0
LTCUSD,1585584000000,0.00016172
LTCUSD,1585612800000,0.0
LTCUSD,1585641600001,0.0
LTCUSD,1585670400001,0.0
LTCUSD,1585699200002,0.00012329
LTCUSD,1585728000000,0.0
LTCUSD,1585756800001,0.0
LTCUSD,1585785600000,0.0
LTCUSD,1585814400000,0.0
LTCUSD,1585843200000,0.0
LTCUSD,1585872000000,0.00020405
LTCUSD,1585900800000,0.00023227
LTCUSD,1585929600000,0.0
LTCUSD,1585958400000,0.0
LTCUSD,1585987200000,0.0
LTCUSD,1586016000000,0.0
LTCUSD,1586044800001,0.0
LTCUSD,1586073600000,0.0003213
LTCUSD,1586102400000,7.853e-05
LTCUSD,1586131200000,0.0
LTCUSD,1586160000000,0.0
LTCUSD,1586188800000,2.064e-05
LTCUSD,1586217600000,0.00030828
LTCUSD,1586246400000,0.00029502
LTCUSD,1586275200000,8.266e-05
LTCUSD,1586304000000,6.106e-05
LTCUSD,1586332800000,7.861e-05
LTCUSD,1586361600000,0.00017487
LTCUSD,1586390400000,0.00041157
LTCUSD,1586419200001,0.0001252
LTCUSD,1586448000000,1.419e-05
LTCUSD,1586476800001,0.0
LTCUSD,1586505600000,0.0
LTCUSD,1586534400000,0.0
LTCUSD,1586563200000,0.0
LTCUSD,1586592000000,0.0
LTCUSD,1586620800000,0.0
LTCUSD,1586649600000,0.0
LTCUSD,1586678400006,0.0
LTCUSD,1586707200001,0.0
LTCUSD,1586736000001,0.0
LTCUSD,1586764800000,0.0
LTCUSD,1586793600000,0.0
LTCUSD,1586822400000,0.0
LTCUSD,1586851200000,0.0
LTCUSD,1586880000000,0.0
LTCUSD,1586908800000,0.0
LTCUSD,1586937600000,0.0
LTCUSD,1586966400000,0.0
LTCUSD,1586995200000,0.0
LTCUSD,1587024000000,0.0
LTCUSD,1587052800000,0.0
LTCUSD,1587081600000,0.0
LTCUSD,1587110400000,0.0
LTCUSD,1587139200000,0.0
LTCUSD,1587168000000,0.0
LTCUSD,1587196800000,0.0
LTCUSD,1587225600000,0.0
LTCUSD,1587254400000,0.0
LTCUSD,1587283200000,0.0
LTCUSD,1587312000000,0.0
LTCUSD,1587340800000,0.0
LTCUSD,1587369600000,0.0
LTCUSD,1587398400000,0.0
LTCUSD,1587427200000,0.0
LTCUSD,1587456000001,0.0
LTCUSD,1587484800000,0.0
LTCUSD,1587513600001,0.0
LTCUSD,1587542400000,0.0
LTCUSD,1587571200000,0.0
LTCUSD,1587600000000,0.0
LTCUSD,1587628800001,0.0
LTCUSD,1587657600000,0.0
LTCUSD,1587686400000,9.409e-05
LTCUSD,1587715200000,0.0
LTCUSD,1587744000000,0.00048651
LTCUSD,1587772800003,0.00087545
LTCUSD,1587801600000,0.00073075
LTCUSD,1587830400000,0.000485
LTCUSD,1587859200000,0.0
LTCUSD,1587888000000,0.00017949
LTCUSD,1587916800000,0.00025381
LTCUSD,1587945600000,0.00021345
LTCUSD,1587974400005,0.00016602
LTCUSD,1588003200000,9.339e-05
LTCUSD,1588032000000,0.0
LTCUSD,1588060800000,7.596e-05
LTCUSD,1588089600000,0.00038223
LTCUSD,1588118400000,0.00059389
LTCUSD,1588147200001,0.0004107
LTCUSD,1588176000000,0.00040543
LTCUSD,1588204800000,0.0007127
LTCUSD,1588233600000,0.00049497
LTCUSD,1588262400000,0.00018034
LTCUSD,1588291200000,0.0002732
LTCUSD,1588320000000,0.00047315
LTCUSD,1588348800000,0.00020413
LTCUSD,1588377600000,0.00014787
LTCUSD,1588406400000,3.518e-05
LTCUSD,1588435200000,0.00034545
LTCUSD,1588464000000,0.00046417
LTCUSD,1588492800000,0.0003086
LTCUSD,1588521600000,0.00034341
LTCUSD,1588550400000,0.00016899
LTCUSD,1588579200005,0.00016281
LTCUSD,1588608000000,0.00032485
LTCUSD,1588636800000,0.0
LTCUSD,1588665600000,3.588e-05
LTCUSD,1588694400000,0.0
LTCUSD,1588723200001,0.0
LTCUSD,1588752000000,5.923e-05
LTCUSD,1588780800000,0.00036768
LTCUSD,1588809600000,5.332e-05
LTCUSD,1588838400011,0.00020125
LTCUSD,1588867200000,0.00011822
LTCUSD,1588896000000,0.0006935
LTCUSD,1588924800001,0.00046983
LTCUSD,1588953600000,0.00054787
LTCUSD,1588982400000,0.00087356
LTCUSD,1589011200000,0.00061858
LTCUSD,1589040000000,0.00057383
LTCUSD,1589068800000,0.0004453
LTCUSD,1589097600000,0.0
LTCUSD,1589126400000,0.0
LTCUSD,1589155200000,0.0
LTCUSD,1589184000000,0.0
LTCUSD,1589212800000,0.0
LTCUSD,1589241600000,0.0
LTCUSD,1589270400001,0.0
LTCUSD,1589299200000,0.0
LTCUSD,1589328000000,0.0
LTCUSD,1589356800000,0.0
LTCUSD,1589385600000,0.0
LTCUSD,1589414400000,0.0
LTCUSD,1589443200000,0.0
LTCUSD,1589472000000,0.0
LTCUSD,1589500800000,0.0
LTCUSD,1589529600000,0.0
LTCUSD,1589558400001,0.0
LTCUSD,1589587200008,0.0
LTCUSD,1589616000000,0.0
LTCUSD,1589644800000,0.0
LTCUSD,1589673600002,0.0
LTCUSD,1589702400000,0.0
LTCUSD,1589731200000,0.0
LTCUSD,1589760000000,0.0
LTCUSD,1589788800000,0.0
LTCUSD,1589817600001,0.0
LTCUSD,1589846400005,1.779e-05
LTCUSD,1589875200000,0.0
LTCUSD,1589904000000,0.0
LTCUSD,1589932800000,0.0
LTCUSD,1589961600000,0.0
LTCUSD,1589990400006,0.0
LTCUSD,1590019200000,0.0
LTCUSD,1590048000000,0.0
LTCUSD,1590076800000,0.0
LTCUSD,1590105600006,0.0
LTCUSD,1590134400000,0.0
LTCUSD,1590163200000,0.0
LTCUSD,1590192000003,0.0
LTCUSD,1590220800000,0.0
LTCUSD,1590249600000,0.0
LTCUSD,1590278400006,0.0
LTCUSD,1590307200000,0.0
LTCUSD,1590336000000,0.0
LTCUSD,1590364800000,0.0
LTCUSD,1590393600000,0.0
LTCUSD,1590422400000,0.0
LTCUSD,1590451200000,0.0
LTCUSD,1590480000006,0.0
LTCUSD,1590508800000,0.0
LTCUSD,1590537600000,0.0
LTCUSD,1590566400000,0.0
LTCUSD,1590595200000,0.0
LTCUSD,1590624000000,0.0
LTCUSD,1590652800000,0.0
LTCUSD,1590681600000,0.0
LTCUSD,1590710400000,0.0
LTCUSD,1590739200000,0.0
LTCUSD,1590768000000,0.0
LTCUSD,1590796800000,0.0
LTCUSD,1590825600001,0.0
LTCUSD,1590854400000,0.0
LTCUSD,1590883200000,4.96e-06
LTCUSD,1590912000001,0.0
LTCUSD,1590940800000,3.916e-05
LTCUSD,1590969600000,0.0
LTCUSD,1590998400001,7.816e-05
LTCUSD,1591027200000,0.0
LTCUSD,1591056000000,0.00029457
LTCUSD,1591084800002,0.00059782
LTCUSD,1591113600000,0.00037053
LTCUSD,1591142400000,0.0
LTCUSD,1591171200000,0.0
LTCUSD,1591200000002,0.0
LTCUSD,1591228800001,0.0
LTCUSD,1591257600004,0.0
LTCUSD,1591286400001,0.0
LTCUSD,1591315200001,1.488e-05
LTCUSD,1591344000000,4.862e-05
LTCUSD,1591372800001,0.0
LTCUSD,1591401600000,0.00010851
LTCUSD,1591430400000,0.00011098
LTCUSD,1591459200000,3.197e-05
LTCUSD,1591488000000,0.0
LTCUSD,1591516800000,0.0
LTCUSD,1591545600006,0.0
LTCUSD,1591574400008,0.0
LTCUSD,1591603200007,0.0
LTCUSD,1591632000000,0.00024228
LTCUSD,1591660800000,0.0
LTCUSD,1591689600000,0.0
LTCUSD,1591718400000,0.00010986
LTCUSD,1591747200000,9.651e-05
LTCUSD,1591776000000,7.146e-05
LTCUSD,1591804800000,0.0
LTCUSD,1591833600008,0.0002255
LTCUSD,1591862400001,1.724e-05
LTCUSD,1591891200000,0.0
LTCUSD,1591920000003,0.0
LTCUSD,1591948800000,0.0
LTCUSD,1591977600002,0.0
LTCUSD,1592006400000,0.0
LTCUSD,1592035200001,0.0
