symbol,fundingTime,fundingRate
NEARUSD,1602691200001,0.0001
NEARUSD,1602720000000,0.0001
NEARUSD,1602748800000,0.0001
NEARUSD,1602777600000,0.0001
NEARUSD,1602806400002,0.0001
NEARUSD,1602835200003,0.0001
NEARUSD,1602864000000,0.0001
NEARUSD,1602892800006,0.0001
NEARUSD,1602921600007,0.0001
NEARUSD,1602950400009,0.0001
NEARUSD,1602979200006,0.0001
NEARUSD,1603008000000,0.0001
NEARUSD,1603036800000,0.0001
NEARUSD,1603065600000,0.0001
NEARUSD,1603094400000,0.0001
NEARUSD,1603123200000,0.0001
NEARUSD,1603152000015,0.0001
NEARUSD,1603180800000,0.0001
NEARUSD,1603209600008,0.0001
NEARUSD,1603238400009,0.0001
NEARUSD,1603267200004,0.0001
NEARUSD,1603296000000,0.0001
NEARUSD,1603324800000,0.0001
NEARUSD,1603353600000,0.0001
NEARUSD,1603382400004,0.0001
NEARUSD,1603411200007,0.0001
NEARUSD,1603440000000,0.0001
NEARUSD,1603468800000,0.0001
NEARUSD,1603497600000,0.0001
NEARUSD,1603526400000,0.0001
NEARUSD,1603555200008,0.0001
NEARUSD,1603584000005,0.0001
NEARUSD,1603612800014,0.0001
NEARUSD,1603641600000,0.0001
NEARUSD,1603670400004,0.0001
NEARUSD,1603699200000,0.0001
NEARUSD,1603728000000,0.0001
NEARUSD,1603756800000,0.0001
NEARUSD,1603785600000,0.0001
NEARUSD,1603814400000,0.0001
NEARUSD,1603843200000,0.0001
NEARUSD,1603872000006,0.0001
NEARUSD,1603900800001,0.0001
NEARUSD,1603929600000,0.0001
NEARUSD,1603958400000,0.0001
NEARUSD,1603987200000,0.0001
NEARUSD,1604016000000,0.0001
NEARUSD,1604044800002,0.0001
NEARUSD,1604073600002,0.0001
NEARUSD,1604102400003,0.0001
NEARUSD,1604131200000,0.0001
NEARUSD,1604160000000,0.0001
NEARUSD,1604188800000,0.0001
NEARUSD,1604217600000,0.0001
NEARUSD,1604246400000,0.0001
NEARUSD,1604275200000,0.0001
NEARUSD,1604304000010,0.0001
NEARUSD,1604332800000,0.0001
NEARUSD,1604361600000,0.0001
NEARUSD,1604390400004,0.0001
NEARUSD,1604419200009,0.0001
NEARUSD,1604448000000,0.0001
NEARUSD,1604476800000,0.0001
NEARUSD,1604505600005,0.0001
NEARUSD,1604534400017,0.0001
NEARUSD,1604563200001,-0.00093484
NEARUSD,1604592000000,-0.00326807
NEARUSD,1604620800000,-0.00204843
NEARUSD,1604649600001,-0.00014056
NEARUSD,1604678400001,0.0001
NEARUSD,1604707200001,0.0001
NEARUSD,1604736000000,0.0001
NEARUSD,1604764800006,0.0001
NEARUSD,1604793600000,0.0001
NEARUSD,1604822400000,0.0001
NEARUSD,1604851200000,0.0001
NEARUSD,1604880000007,-3.552e-05
