symbol,fundingTime,fundingRate
POLUSD,1726243200001,5e-05
POLUSD,1726257600000,-0.00074757
POLUSD,1726272000000,-0.00014039
POLUSD,1726286400000,5e-05
POLUSD,1726300800000,5e-05
POLUSD,1726315200000,5e-05
POLUSD,1726329600001,5e-05
POLUSD,1726344000000,5e-05
POLUSD,1726358400000,5e-05
POLUSD,1726372800000,-1.941e-05
POLUSD,1726387200000,-0.00010174
POLUSD,1726401600000,5e-05
POLUSD,1726416000000,5e-05
POLUSD,1726430400000,5e-05
POLUSD,1726444800000,5e-05
POLUSD,1726459200000,4e-07
POLUSD,1726473600001,1.606e-05
POLUSD,1726488000000,-0.00017439
POLUSD,1726502400000,5e-05
POLUSD,1726516800000,-0.00018322
POLUSD,1726531200001,-2.72e-06
POLUSD,1726545600000,1.909e-05
POLUSD,1726560000000,5e-05
POLUSD,1726574400000,4.396e-05
POLUSD,1726588800000,5e-05
POLUSD,1726603200000,-8.579e-05
POLUSD,1726617600000,1.513e-05
POLUSD,1726632000000,8.47e-06
POLUSD,1726646400000,5e-05
POLUSD,1726660800000,5e-05
POLUSD,1726675200004,-1.032e-05
POLUSD,1726689600000,5e-05
POLUSD,1726704000000,5e-05
POLUSD,1726718400000,5e-05
POLUSD,1726732800000,5e-05
POLUSD,1726747200000,5e-05
POLUSD,1726761600001,5e-05
POLUSD,1726776000001,5e-05
POLUSD,1726790400000,5e-05
POLUSD,1726804800000,5e-05
POLUSD,1726819200001,5e-05
POLUSD,1726833600000,5e-05
POLUSD,1726848000000,5e-05
POLUSD,1726862400001,5e-05
POLUSD,1726876800001,5e-05
POLUSD,1726891200000,5e-05
POLUSD,1726905600000,5e-05
POLUSD,1726920000000,5e-05
POLUSD,1726934400000,5e-05
POLUSD,1726948800000,5e-05
POLUSD,1726963200000,5e-05
POLUSD,1726977600000,5e-05
POLUSD,1726992000000,5e-05
POLUSD,1727006400000,5e-05
POLUSD,1727020800000,5e-05
POLUSD,1727035200000,5e-05
POLUSD,1727049600000,5e-05
POLUSD,1727064000000,5e-05
POLUSD,1727078400000,5e-05
POLUSD,1727092800001,5e-05
POLUSD,1727107200000,5e-05
POLUSD,1727121600001,5e-05
POLUSD,1727136000000,5e-05
POLUSD,1727150400000,5e-05
POLUSD,1727164800000,5e-05
POLUSD,1727179200001,5e-05
POLUSD,1727193600001,5e-05
POLUSD,1727208000006,5e-05
POLUSD,1727222400000,5e-05
POLUSD,1727236800015,5e-05
POLUSD,1727251200003,4.672e-05
POLUSD,1727265600002,5e-05
POLUSD,1727280000000,5e-05
POLUSD,1727294400000,5e-05
POLUSD,1727308800005,5e-05
POLUSD,1727323200000,5e-05
POLUSD,1727337600000,5e-05
POLUSD,1727352000005,5e-05
POLUSD,1727366400000,5e-05
POLUSD,1727380800000,5e-05
POLUSD,1727395200000,5e-05
POLUSD,1727409600000,5e-05
POLUSD,1727424000000,5e-05
POLUSD,1727438400000,5e-05
POLUSD,1727452800000,5e-05
POLUSD,1727467200000,5e-05
POLUSD,1727481600000,5e-05
POLUSD,1727496000001,5e-05
POLUSD,1727510400001,5e-05
POLUSD,1727524800000,5e-05
POLUSD,1727539200000,5e-05
POLUSD,1727553600000,5e-05
POLUSD,1727568000001,5e-05
POLUSD,1727582400000,5e-05
POLUSD,1727596800000,5e-05
POLUSD,1727611200000,5e-05
POLUSD,1727625600000,5e-05
POLUSD,1727640000000,5e-05
POLUSD,1727654400000,5e-05
POLUSD,1727668800001,5e-05
POLUSD,1727683200001,5e-05
POLUSD,1727697600000,5e-05
POLUSD,1727712000000,5e-05
POLUSD,1727726400000,5e-05
POLUSD,1727740800000,-5.045e-05
POLUSD,1727755200001,5e-05
POLUSD,1727769600000,5e-05
POLUSD,1727784000000,5e-05
POLUSD,1727798400001,-4.931e-05
POLUSD,1727812800000,-9.674e-05
POLUSD,1727827200000,5e-05
POLUSD,1727841600000,5e-05
POLUSD,1727856000000,5e-05
POLUSD,1727870400000,5e-05
POLUSD,1727884800000,5e-05
POLUSD,1727899200000,-0.0001881
POLUSD,1727913600000,5.02e-06
POLUSD,1727928000000,5e-05
POLUSD,1727942400000,-0.00013899
POLUSD,1727956800000,-0.00010528
POLUSD,1727971200000,2.127e-05
POLUSD,1727985600000,5e-05
POLUSD,1728000000000,5e-05
POLUSD,1728014400000,5e-05
POLUSD,1728028800000,4.22e-06
POLUSD,1728043200000,5e-05
POLUSD,1728057600001,-1.115e-05
POLUSD,1728072000000,5e-05
POLUSD,1728086400000,5e-05
POLUSD,1728100800000,5e-05
POLUSD,1728115200000,5e-05
POLUSD,1728129600000,5e-05
POLUSD,1728144000000,5e-05
POLUSD,1728158400000,5e-05
POLUSD,1728172800000,5e-05
POLUSD,1728187200001,5e-05
POLUSD,1728201600001,5e-05
POLUSD,1728216000000,5e-05
POLUSD,1728230400000,5e-05
POLUSD,1728244800000,5e-05
POLUSD,1728259200000,5e-05
POLUSD,1728273600000,5e-05
POLUSD,1728288000000,5e-05
POLUSD,1728302400000,5e-05
POLUSD,1728316800001,5e-05
POLUSD,1728331200000,5e-05
POLUSD,1728345600000,5e-05
POLUSD,1728360000000,5e-05
POLUSD,1728374400000,5e-05
POLUSD,1728388800000,5e-05
POLUSD,1728403200000,5e-05
POLUSD,1728417600000,5e-05
POLUSD,1728432000000,5e-05
POLUSD,1728446400000,5e-05
POLUSD,1728460800000,5e-05
POLUSD,1728475200000,5e-05
POLUSD,1728489600000,5e-05
POLUSD,1728504000000,5e-05
POLUSD,1728518400000,5e-05
POLUSD,1728532800000,5e-05
POLUSD,1728547200000,5e-05
POLUSD,1728561600000,5e-05
POLUSD,1728576000000,5e-05
POLUSD,1728590400000,5e-05
POLUSD,1728604800000,5e-05
POLUSD,1728619200000,5e-05
POLUSD,1728633600000,5e-05
POLUSD,1728648000000,5e-05
POLUSD,1728662400001,5e-05
POLUSD,1728676800000,5e-05
POLUSD,1728691200000,5e-05
POLUSD,1728705600001,5e-05
POLUSD,1728720000001,5e-05
POLUSD,1728734400000,5e-05
POLUSD,1728748800000,5e-05
POLUSD,1728763200000,5e-05
POLUSD,1728777600000,5e-05
POLUSD,1728792000001,5e-05
POLUSD,1728806400000,5e-05
POLUSD,1728820800000,5e-05
POLUSD,1728835200000,5e-05
POLUSD,1728849600000,5e-05
POLUSD,1728864000000,5e-05
POLUSD,1728878400000,5e-05
POLUSD,1728892800000,5e-05
POLUSD,1728907200000,5e-05
POLUSD,1728921600000,5e-05
POLUSD,1728936000000,5e-05
POLUSD,1728950400000,5e-05
POLUSD,1728964800000,5e-05
POLUSD,1728979200000,5e-05
POLUSD,1728993600000,5e-05
POLUSD,1729008000000,5e-05
POLUSD,1729022400000,5e-05
POLUSD,1729036800000,5e-05
POLUSD,1729051200000,5e-05
POLUSD,1729065600001,5e-05
POLUSD,1729080000000,5e-05
POLUSD,1729094400000,5e-05
POLUSD,1729108800000,5e-05
POLUSD,1729123200000,5e-05
POLUSD,1729137600001,5e-05
POLUSD,1729152000000,5e-05
POLUSD,1729166400000,5e-05
POLUSD,1729180800001,5e-05
POLUSD,1729195200007,5e-05
POLUSD,1729209600010,5e-05
POLUSD,1729224000000,5e-05
POLUSD,1729238400001,5e-05
POLUSD,1729252800000,5e-05
POLUSD,1729267200000,5e-05
POLUSD,1729281600000,5e-05
POLUSD,1729296000000,5e-05
POLUSD,1729310400000,5e-05
POLUSD,1729324800000,5e-05
POLUSD,1729339200000,5e-05
POLUSD,1729353600000,5e-05
POLUSD,1729368000000,5e-05
POLUSD,1729382400000,5e-05
POLUSD,1729396800000,5e-05
POLUSD,1729411200000,5e-05
POLUSD,1729425600000,5e-05
POLUSD,1729440000000,5e-05
POLUSD,1729454400000,5e-05
POLUSD,1729468800000,5e-05
POLUSD,1729483200000,5e-05
POLUSD,1729497600000,5e-05
POLUSD,1729512000000,5e-05
POLUSD,1729526400000,5e-05
POLUSD,1729540800000,5e-05
POLUSD,1729555200000,5e-05
POLUSD,1729569600000,5e-05
POLUSD,1729584000000,5e-05
POLUSD,1729598400000,5e-05
POLUSD,1729612800000,5e-05
POLUSD,1729627200000,5e-05
POLUSD,1729641600000,5e-05
POLUSD,1729656000000,5e-05
POLUSD,1729670400000,5e-05
POLUSD,1729684800000,5e-05
POLUSD,1729699200000,5e-05
POLUSD,1729713600001,-1.701e-05
POLUSD,1729728000000,-6.924e-05
POLUSD,1729742400001,3.217e-05
POLUSD,1729756800000,-9.449e-05
POLUSD,1729771200000,5e-05
POLUSD,1729785600000,5e-05
POLUSD,1729800000000,5e-05
POLUSD,1729814400000,5e-05
POLUSD,1729828800001,5.2e-07
POLUSD,1729843200000,5e-05
POLUSD,1729857600000,5e-05
POLUSD,1729872000000,5e-05
POLUSD,1729886400000,-4.022e-05
POLUSD,1729900800000,-0.00018699
POLUSD,1729915200001,-4.111e-05
POLUSD,1729929600001,-0.00018212
POLUSD,1729944000000,-0.0001543
POLUSD,1729958400000,-0.00017016
POLUSD,1729972800001,5e-05
POLUSD,1729987200000,5e-05
POLUSD,1730001600000,5e-05
POLUSD,1730016000000,5e-05
POLUSD,1730030400000,-4.874e-05
POLUSD,1730044800000,5e-05
POLUSD,1730059200000,5e-05
POLUSD,1730073600000,1.48e-05
POLUSD,1730088000000,-9.575e-05
POLUSD,1730102400001,5e-05
POLUSD,1730116800001,5e-05
POLUSD,1730131200000,5e-05
POLUSD,1730145600000,5e-05
POLUSD,1730160000000,5e-05
POLUSD,1730174400000,5e-05
POLUSD,1730188800000,5e-05
POLUSD,1730203200001,5e-05
POLUSD,1730217600004,5e-05
POLUSD,1730232000000,5e-05
POLUSD,1730246400000,5e-05
POLUSD,1730260800000,5e-05
POLUSD,1730275200000,5e-05
POLUSD,1730289600006,5e-05
POLUSD,1730304000013,5e-05
POLUSD,1730318400000,5e-05
POLUSD,1730332800000,0.00014115
POLUSD,1730347200000,5e-05
POLUSD,1730361600000,5e-05
POLUSD,1730376000000,5e-05
POLUSD,1730390400000,5e-05
POLUSD,1730404800000,5e-05
POLUSD,1730419200000,5e-05
POLUSD,1730433600000,5e-05
POLUSD,1730448000000,5e-05
POLUSD,1730462400000,5e-05
POLUSD,1730476800000,5e-05
POLUSD,1730491200001,5e-05
POLUSD,1730505600000,5e-05
POLUSD,1730520000000,5e-05
POLUSD,1730534400000,5e-05
POLUSD,1730548800000,5e-05
POLUSD,1730563200000,5e-05
POLUSD,1730577600001,5e-05
POLUSD,1730592000000,5e-05
POLUSD,1730606400000,5e-05
POLUSD,1730620800000,5e-05
POLUSD,1730635200000,5e-05
POLUSD,1730649600000,1.55e-05
POLUSD,1730664000000,5e-05
POLUSD,1730678400000,5e-05
POLUSD,1730692800000,5e-05
POLUSD,1730707200000,5e-05
POLUSD,1730721600000,5e-05
POLUSD,1730736000000,5e-05
POLUSD,1730750400000,5e-05
POLUSD,1730764800000,5e-05
POLUSD,1730779200000,5e-05
POLUSD,1730793600003,5e-05
POLUSD,1730808000001,5e-05
POLUSD,1730822400001,5e-05
POLUSD,1730836800000,5e-05
POLUSD,1730851200000,5e-05
POLUSD,1730865600000,5e-05
POLUSD,1730880000000,5e-05
POLUSD,1730894400001,5e-05
POLUSD,1730908800000,8.26e-05
POLUSD,1730923200001,5e-05
POLUSD,1730937600000,5e-05
POLUSD,1730952000000,8.94e-05
POLUSD,1730966400000,5e-05
POLUSD,1730980800000,5e-05
POLUSD,1730995200000,7.13e-05
POLUSD,1731009600000,5e-05
POLUSD,1731024000000,5e-05
POLUSD,1731038400000,5e-05
POLUSD,1731052800000,5e-05
POLUSD,1731067200000,5e-05
POLUSD,1731081600000,5e-05
POLUSD,1731096000000,5e-05
POLUSD,1731110400000,5e-05
POLUSD,1731124800000,5e-05
POLUSD,1731139200000,7.878e-05
POLUSD,1731153600000,5e-05
POLUSD,1731168000000,5e-05
POLUSD,1731182400000,5e-05
POLUSD,1731196800000,5e-05
POLUSD,1731211200000,7.667e-05
POLUSD,1731225600000,0.00024534
POLUSD,1731240000000,0.00023581
POLUSD,1731254400000,0.00012499
POLUSD,1731268800000,0.00016036
POLUSD,1731283200001,5e-05
POLUSD,1731297600000,0.00023437
POLUSD,1731312000000,5e-05
POLUSD,1731326400000,0.00018591
POLUSD,1731340800000,0.0001098
POLUSD,1731355200000,0.0002265
POLUSD,1731369600002,0.0002644
POLUSD,1731384000000,0.00035072
POLUSD,1731398400000,0.00025226
POLUSD,1731412800000,0.00025933
POLUSD,1731427200000,8.165e-05
POLUSD,1731441600000,0.00020226
POLUSD,1731456000000,0.00020951
POLUSD,1731470400000,5e-05
POLUSD,1731484800010,7.823e-05
POLUSD,1731499200001,5e-05
POLUSD,1731513600000,0.00018995
POLUSD,1731528000000,0.00019822
POLUSD,1731542400001,5e-05
POLUSD,1731556800000,0.00016278
POLUSD,1731571200000,0.00012372
POLUSD,1731585600001,8.444e-05
POLUSD,1731600000000,5e-05
POLUSD,1731614400000,5e-05
POLUSD,1731628800000,5e-05
POLUSD,1731643200001,5e-05
POLUSD,1731657600000,5e-05
POLUSD,1731672000000,5e-05
POLUSD,1731686400000,5e-05
POLUSD,1731700800000,5e-05
POLUSD,1731715200001,0.00016395
POLUSD,1731729600001,0.00016503
POLUSD,1731744000001,0.00011728
POLUSD,1731758400000,5e-05
POLUSD,1731772800000,5.64e-05
POLUSD,1731787200000,5.884e-05
POLUSD,1731801600000,5e-05
POLUSD,1731816000000,5e-05
POLUSD,1731830400000,5e-05
POLUSD,1731844800000,5e-05
POLUSD,1731859200001,5e-05
POLUSD,1731873600001,5e-05
POLUSD,1731888000000,5e-05
POLUSD,1731902400000,0.00025086
POLUSD,1731916800000,0.0003385
POLUSD,1731931200000,0.00021619
POLUSD,1731945600000,0.00018082
POLUSD,1731960000000,0.00019638
POLUSD,1731974400000,0.00033389
POLUSD,1731988800000,0.00019672
POLUSD,1732003200000,0.00016801
POLUSD,1732017600000,0.00019296
POLUSD,1732032000000,5e-05
POLUSD,1732046400001,5e-05
POLUSD,1732060800003,5e-05
POLUSD,1732075200000,5e-05
POLUSD,1732089600000,5e-05
POLUSD,1732104000000,5e-05
POLUSD,1732118400000,5e-05
