symbol,fundingTime,fundingRate
SOLUSD,1600012800004,0.0001
SOLUSD,1600041600003,0.0001
SOLUSD,1600070400008,0.0001
SOLUSD,1600099200000,0.0001
SOLUSD,1600128000000,0.0001
SOLUSD,1600156800010,0.0001
SOLUSD,1600185600003,0.0001
SOLUSD,1600214400014,0.0001
SOLUSD,1600243200000,0.0001
SOLUSD,1600272000001,0.0001
SOLUSD,1600300800006,0.0001
SOLUSD,1600329600012,0.0001
SOLUSD,1600358400000,0.0001
SOLUSD,1600387200001,0.0001
SOLUSD,1600416000002,0.0001
SOLUSD,1600444800002,0.0001
SOLUSD,1600473600000,-1.36e-05
SOLUSD,1600502400005,0.0001
SOLUSD,1600531200008,0.0001
SOLUSD,1600560000002,0.0001
SOLUSD,1600588800005,-0.00020633
SOLUSD,1600617600005,-0.00042585
SOLUSD,1600646400000,0.0001
SOLUSD,1600675200001,0.0001
SOLUSD,1600704000000,0.0001
SOLUSD,1600732800001,-4.279e-05
SOLUSD,1600761600000,0.0001
SOLUSD,1600790400004,0.0001
SOLUSD,1600819200007,0.0001
SOLUSD,1600848000001,0.0001
SOLUSD,1600876800001,0.0001
SOLUSD,1600905600000,-8.917e-05
SOLUSD,1600934400000,0.0001
SOLUSD,1600963200000,0.0001
SOLUSD,1600992000009,0.0001
SOLUSD,1601020800045,0.0001
SOLUSD,1601049600000,-0.00039395
SOLUSD,1601078400000,-0.00044892
SOLUSD,1601107200000,0.0001
SOLUSD,1601136000005,0.0001
SOLUSD,1601164800000,0.0001
SOLUSD,1601193600000,0.0001
SOLUSD,1601222400019,0.0001
SOLUSD,1601251200001,0.0001
SOLUSD,1601280000000,0.0001
SOLUSD,1601308800002,0.0001
SOLUSD,1601337600000,0.0001
SOLUSD,1601366400000,0.0001
SOLUSD,1601395200000,0.0001
SOLUSD,1601424000005,0.0001
SOLUSD,1601452800000,0.0001
SOLUSD,1601481600000,0.0001
SOLUSD,1601510400000,0.0001
SOLUSD,1601539200000,0.0001
SOLUSD,1601568000000,0.0001
SOLUSD,1601596800011,0.0001
SOLUSD,1601625600000,0.0001
SOLUSD,1601654400005,0.0001
SOLUSD,1601683200000,0.0001
SOLUSD,1601712000001,0.0001
SOLUSD,1601740800000,0.0001
SOLUSD,1601769600000,0.0001
SOLUSD,1601798400003,0.0001
SOLUSD,1601827200001,0.0001
SOLUSD,1601856000000,0.0001
SOLUSD,1601884800000,0.0001
SOLUSD,1601913600012,0.0001
SOLUSD,1601942400000,0.0001
SOLUSD,1601971200005,0.0001
SOLUSD,1602000000000,0.0001
SOLUSD,1602028800000,0.0001
SOLUSD,1602057600000,0.0001
SOLUSD,1602086400000,0.0001
SOLUSD,1602115200000,0.0001
SOLUSD,1602144000009,0.0001
SOLUSD,1602172800003,0.0001
SOLUSD,1602201600001,0.0001
SOLUSD,1602230400000,0.0001
SOLUSD,1602259200004,0.0001
SOLUSD,1602288000005,0.0001
SOLUSD,1602316800000,0.00028914
SOLUSD,1602345600011,0.00019105
SOLUSD,1602374400002,0.00070989
SOLUSD,1602403200003,0.0001
SOLUSD,1602432000004,0.0001
SOLUSD,1602460800001,0.0001
SOLUSD,1602489600000,0.00022458
SOLUSD,1602518400011,0.0001
SOLUSD,1602547200003,0.0001
SOLUSD,1602576000000,0.0001
SOLUSD,1602604800001,0.00017596
SOLUSD,1602633600001,0.0001
SOLUSD,1602662400000,0.0001
SOLUSD,1602691200001,0.00028415
SOLUSD,1602720000000,0.0001
SOLUSD,1602748800000,0.0001
SOLUSD,1602777600000,0.0001
SOLUSD,1602806400002,0.0001
SOLUSD,1602835200003,0.0001
SOLUSD,1602864000000,0.0001
SOLUSD,1602892800006,0.0001
SOLUSD,1602921600007,0.0001
SOLUSD,1602950400009,0.0001
SOLUSD,1602979200006,0.0001
SOLUSD,1603008000000,0.0001
SOLUSD,1603036800000,0.0001
SOLUSD,1603065600000,0.0001
SOLUSD,1603094400000,0.0001
SOLUSD,1603123200000,0.0001
SOLUSD,1603152000015,0.0001
SOLUSD,1603180800000,0.0001
SOLUSD,1603209600008,0.0001
SOLUSD,1603238400009,0.0001
SOLUSD,1603267200004,0.0001
SOLUSD,1603296000000,0.0001
SOLUSD,1603324800000,0.00035786
SOLUSD,1603353600000,0.0001
SOLUSD,1603382400004,0.0001
SOLUSD,1603411200007,0.0001
SOLUSD,1603440000000,0.00019126
SOLUSD,1603468800000,0.00035682
SOLUSD,1603497600000,0.0005586
SOLUSD,1603526400000,0.0001
SOLUSD,1603555200008,0.0008903
SOLUSD,1603584000005,0.00059139
SOLUSD,1603612800014,0.00027335
SOLUSD,1603641600000,0.0001986
SOLUSD,1603670400004,0.0001
SOLUSD,1603699200000,0.0001
SOLUSD,1603728000000,0.0001
SOLUSD,1603756800000,0.0001
SOLUSD,1603785600000,0.0001
SOLUSD,1603814400000,0.0001
SOLUSD,1603843200000,0.0001
SOLUSD,1603872000006,0.0001
SOLUSD,1603900800001,0.0001
SOLUSD,1603929600000,0.0001
SOLUSD,1603958400000,0.0001
SOLUSD,1603987200000,0.0001
SOLUSD,1604016000000,0.0001
SOLUSD,1604044800002,0.0001
SOLUSD,1604073600002,-2.73e-06
SOLUSD,1604102400003,-0.00062124
SOLUSD,1604131200000,4.476e-05
SOLUSD,1604160000000,-0.00035502
SOLUSD,1604188800000,-0.0014979
SOLUSD,1604217600000,0.0001
SOLUSD,1604246400000,0.0001
SOLUSD,1604275200000,0.0001
SOLUSD,1604304000010,0.0001
SOLUSD,1604332800000,0.0001
SOLUSD,1604361600000,0.0001
SOLUSD,1604390400004,0.0001
SOLUSD,1604419200009,0.0001
SOLUSD,1604448000000,0.0001
SOLUSD,1604476800000,0.0001
SOLUSD,1604505600005,0.0001
SOLUSD,1604534400017,0.0001
SOLUSD,1604563200001,0.0001
SOLUSD,1604592000000,0.0001
SOLUSD,1604620800000,0.0001
SOLUSD,1604649600001,0.0001
SOLUSD,1604678400001,-0.0001338
SOLUSD,1604707200001,-0.00163209
SOLUSD,1604736000000,0.0001
SOLUSD,1604764800006,0.00037936
SOLUSD,1604793600000,0.0001
SOLUSD,1604822400000,0.0001
SOLUSD,1604851200000,0.00010028
SOLUSD,1604880000007,0.00027346
SOLUSD,1604908800001,0.0001
SOLUSD,1604937600002,0.0001
SOLUSD,1604966400003,0.0001
SOLUSD,1604995200011,0.00036412
SOLUSD,1605024000000,0.0001
SOLUSD,1605052800000,0.0001
SOLUSD,1605081600009,0.00026794
SOLUSD,1605110400003,0.00018849
SOLUSD,1605139200001,0.0001
SOLUSD,1605168000001,0.0001
SOLUSD,1605196800000,0.0001
SOLUSD,1605225600000,0.0001
SOLUSD,1605254400000,0.0001
SOLUSD,1605283200000,0.0001
SOLUSD,1605312000005,0.0001
SOLUSD,1605340800004,0.0001
SOLUSD,1605369600001,0.0001
SOLUSD,1605398400001,0.0001
SOLUSD,1605427200000,0.0001
SOLUSD,1605456000003,0.00024228
SOLUSD,1605484800000,0.0001
SOLUSD,1605513600010,0.0001
SOLUSD,1605542400001,0.0001
SOLUSD,1605571200002,0.0001
SOLUSD,1605600000003,0.00055062
SOLUSD,1605628800003,0.0003889
SOLUSD,1605657600005,0.00129737
SOLUSD,1605686400006,0.00033069
SOLUSD,1605715200000,2.149e-05
SOLUSD,1605744000008,0.0001
SOLUSD,1605772800000,-0.00098885
SOLUSD,1605801600001,0.0001
SOLUSD,1605830400003,0.0001
SOLUSD,1605859200005,0.0001
SOLUSD,1605888000000,0.00025095
SOLUSD,1605916800000,0.0001
SOLUSD,1605945600000,0.0001
SOLUSD,1605974400001,0.00101282
SOLUSD,1606003200005,0.00102128
SOLUSD,1606032000000,-0.00055853
SOLUSD,1606060800000,-0.00074916
SOLUSD,1606089600005,-0.00047751
SOLUSD,1606118400000,-0.00013206
