symbol,fundingTime,fundingRate
SUIUSD,1683129600011,0.0001
SUIUSD,1683158400000,-0.00192157
SUIUSD,1683187200000,-3.131e-05
SUIUSD,1683216000011,-0.00111865
SUIUSD,1683244800002,-0.0003282
SUIUSD,1683273600000,0.0001
SUIUSD,1683302400000,0.0001
SUIUSD,1683331200009,0.0001
SUIUSD,1683360000000,0.0001
SUIUSD,1683388800000,0.0001
SUIUSD,1683417600000,0.0001
SUIUSD,1683446400000,0.0001
SUIUSD,1683475200006,0.0001
SUIUSD,1683504000000,0.0001
SUIUSD,1683532800007,-1.972e-05
SUIUSD,1683561600015,-0.00012136
SUIUSD,1683590400015,-0.00099759
SUIUSD,1683619200000,-1.113e-05
SUIUSD,1683648000000,-0.00132376
SUIUSD,1683676800007,-0.00254
SUIUSD,1683705600003,-0.00286299
SUIUSD,1683734400000,0.0001
SUIUSD,1683763200011,5.483e-05
SUIUSD,1683792000000,-0.00017154
SUIUSD,1683820800005,0.0001
SUIUSD,1683849600020,-7.031e-05
SUIUSD,1683878400001,-5.917e-05
SUIUSD,1683907200010,-5.787e-05
SUIUSD,1683936000000,1.178e-05
SUIUSD,1683964800000,8.279e-05
SUIUSD,1683993600026,0.0001
SUIUSD,1684022400029,0.0001
SUIUSD,1684051200010,0.0001
SUIUSD,1684080000008,0.0001
SUIUSD,1684108800006,4.78e-05
SUIUSD,1684137600005,-6.129e-05
SUIUSD,1684166400008,-6.221e-05
SUIUSD,1684195200021,-0.00021438
SUIUSD,1684224000000,-0.00046704
SUIUSD,1684252800000,1.43e-06
SUIUSD,1684281600010,-1.752e-05
SUIUSD,1684310400000,4.174e-05
SUIUSD,1684339200001,0.0001
SUIUSD,1684368000000,4.98e-05
SUIUSD,1684396800026,0.0001
SUIUSD,1684425600019,2.045e-05
SUIUSD,1684454400000,3.4e-07
SUIUSD,1684483200002,0.0001
SUIUSD,1684512000000,0.0001
SUIUSD,1684540800005,0.0001
SUIUSD,1684569600014,0.0001
SUIUSD,1684598400020,0.0001
SUIUSD,1684627200014,0.0001
SUIUSD,1684656000001,0.0001
SUIUSD,1684684800015,0.0001
SUIUSD,1684713600028,4.126e-05
SUIUSD,1684742400000,4.541e-05
SUIUSD,1684771200012,0.0001
SUIUSD,1684800000006,9.707e-05
SUIUSD,1684828800014,0.0001
SUIUSD,1684857600008,0.0001
SUIUSD,1684886400000,0.0001
SUIUSD,1684915200025,-1.585e-05
SUIUSD,1684944000008,4.23e-05
SUIUSD,1684972800000,-5.261e-05
SUIUSD,1685001600025,0.0001
SUIUSD,1685030400016,0.0001
SUIUSD,1685059200000,0.0001
SUIUSD,1685088000024,0.0001
SUIUSD,1685116800012,0.0001
SUIUSD,1685145600012,0.0001
SUIUSD,1685174400018,0.0001
SUIUSD,1685203200008,0.0001
SUIUSD,1685232000017,0.0001
SUIUSD,1685260800015,0.0001
SUIUSD,1685289600000,0.0001
SUIUSD,1685318400000,0.0001
SUIUSD,1685347200020,0.0001
SUIUSD,1685376000011,0.0001
SUIUSD,1685404800003,0.0001
SUIUSD,1685433600000,0.0001
SUIUSD,1685462400003,0.0001
SUIUSD,1685491200013,0.0001
SUIUSD,1685520000000,0.0001
SUIUSD,1685548800000,0.0001
SUIUSD,1685577600008,0.0001
SUIUSD,1685606400012,0.0001
SUIUSD,1685635200000,0.0001
SUIUSD,1685664000000,0.0001
SUIUSD,1685692800006,0.0001
SUIUSD,1685721600012,0.0001
SUIUSD,1685750400000,0.0001
SUIUSD,1685779200011,0.0001
SUIUSD,1685808000003,0.0001
SUIUSD,1685836800000,0.0001
SUIUSD,1685865600000,0.0001
SUIUSD,1685894400000,0.0001
SUIUSD,1685923200005,0.0001
SUIUSD,1685952000000,0.0001
SUIUSD,1685980800000,0.0001
SUIUSD,1686009600000,4.142e-05
SUIUSD,1686038400009,-5.884e-05
SUIUSD,1686067200013,1.62e-06
SUIUSD,1686096000000,0.0001
SUIUSD,1686124800016,9.117e-05
SUIUSD,1686153600000,0.0001
SUIUSD,1686182400006,0.0001
SUIUSD,1686211200000,0.0001
SUIUSD,1686240000000,0.0001
SUIUSD,1686268800000,0.0001
SUIUSD,1686297600000,0.0001
SUIUSD,1686326400000,0.0001
SUIUSD,1686355200000,0.0001
SUIUSD,1686384000000,-0.00018428
SUIUSD,1686412800000,-0.00045174
SUIUSD,1686441600001,-0.00034579
SUIUSD,1686470400000,-0.00018322
SUIUSD,1686499200000,-0.00013871
