symbol,fundingTime,fundingRate
TAOUSD,1712851200000,5e-05
TAOUSD,1712865600000,5e-05
TAOUSD,1712880000000,5e-05
TAOUSD,1712894400000,4.385e-05
TAOUSD,1712908800001,-0.00088242
TAOUSD,1712923200000,5e-05
TAOUSD,1712937600000,-0.00019772
TAOUSD,1712952000000,-0.00025171
TAOUSD,1712966400000,5e-05
TAOUSD,1712980800000,5e-05
TAOUSD,1712995200000,5e-05
TAOUSD,1713009600000,5e-05
TAOUSD,1713024000001,5e-05
TAOUSD,1713038400001,5e-05
TAOUSD,1713052800000,5e-05
TAOUSD,1713067200000,5e-05
TAOUSD,1713081600000,5e-05
TAOUSD,1713096000000,5e-05
TAOUSD,1713110400000,5e-05
TAOUSD,1713124800000,5e-05
TAOUSD,1713139200000,9.47e-05
TAOUSD,1713153600000,5e-05
TAOUSD,1713168000001,5e-05
TAOUSD,1713182400000,5e-05
TAOUSD,1713196800000,5e-05
TAOUSD,1713211200000,5e-05
TAOUSD,1713225600001,5e-05
TAOUSD,1713240000000,5e-05
TAOUSD,1713254400000,5e-05
TAOUSD,1713268800000,5e-05
TAOUSD,1713283200000,5e-05
TAOUSD,1713297600000,5e-05
TAOUSD,1713312000000,5e-05
TAOUSD,1713326400001,5e-05
TAOUSD,1713340800000,5e-05
TAOUSD,1713355200000,5e-05
TAOUSD,1713369600000,5e-05
TAOUSD,1713384000000,5e-05
TAOUSD,1713398400000,5e-05
TAOUSD,1713412800000,5e-05
TAOUSD,1713427200000,5e-05
TAOUSD,1713441600002,5e-05
TAOUSD,1713456000000,5e-05
TAOUSD,1713470400000,5e-05
TAOUSD,1713484800001,5e-05
TAOUSD,1713499200000,5e-05
TAOUSD,1713513600000,5e-05
TAOUSD,1713528000001,5e-05
TAOUSD,1713542400000,5e-05
TAOUSD,1713556800000,5e-05
TAOUSD,1713571200000,5e-05
TAOUSD,1713585600001,5e-05
TAOUSD,1713600000000,5e-05
TAOUSD,1713614400001,5e-05
TAOUSD,1713628800000,5e-05
TAOUSD,1713643200001,5e-05
TAOUSD,1713657600000,5e-05
TAOUSD,1713672000000,5e-05
TAOUSD,1713686400000,5e-05
TAOUSD,1713700800000,5e-05
TAOUSD,1713715200000,5e-05
TAOUSD,1713729600000,5e-05
TAOUSD,1713744000000,5e-05
TAOUSD,1713758400000,5e-05
TAOUSD,1713772800000,5e-05
TAOUSD,1713787200000,5e-05
TAOUSD,1713801600000,5e-05
TAOUSD,1713816000000,5e-05
TAOUSD,1713830400000,5e-05
TAOUSD,1713844800000,5e-05
TAOUSD,1713859200000,5e-05
TAOUSD,1713873600000,5e-05
TAOUSD,1713888000001,5e-05
TAOUSD,1713902400000,5e-05
TAOUSD,1713916800000,5e-05
TAOUSD,1713931200000,5e-05
TAOUSD,1713945600000,5e-05
TAOUSD,1713960000000,5e-05
TAOUSD,1713974400000,5e-05
TAOUSD,1713988800000,5e-05
TAOUSD,1714003200000,4.741e-05
TAOUSD,1714017600000,5e-05
TAOUSD,1714032000000,5e-05
TAOUSD,1714046400000,5e-05
TAOUSD,1714060800010,5e-05
TAOUSD,1714075200000,5e-05
TAOUSD,1714089600001,5e-05
TAOUSD,1714104000000,5e-05
TAOUSD,1714118400000,5e-05
TAOUSD,1714132800000,5e-05
TAOUSD,1714147200000,5e-05
TAOUSD,1714161600000,5e-05
TAOUSD,1714176000000,5e-05
TAOUSD,1714190400000,5e-05
TAOUSD,1714204800001,5e-05
TAOUSD,1714219200000,5e-05
TAOUSD,1714233600000,5e-05
TAOUSD,1714248000000,5e-05
TAOUSD,1714262400000,5e-05
TAOUSD,1714276800000,5e-05
TAOUSD,1714291200000,5e-05
TAOUSD,1714305600000,5e-05
TAOUSD,1714320000000,5e-05
TAOUSD,1714334400000,5e-05
TAOUSD,1714348800000,5e-05
TAOUSD,1714363200000,5e-05
TAOUSD,1714377600000,5e-05
TAOUSD,1714392000000,3.236e-05
TAOUSD,1714406400000,4.45e-05
TAOUSD,1714420800000,5e-05
TAOUSD,1714435200000,5e-05
TAOUSD,1714449600000,5e-05
TAOUSD,1714464000000,5e-05
TAOUSD,1714478400000,5e-05
TAOUSD,1714492800000,5e-05
TAOUSD,1714507200000,5e-05
TAOUSD,1714521600000,-1.374e-05
TAOUSD,1714536000000,5e-05
TAOUSD,1714550400000,5e-05
TAOUSD,1714564800000,5e-05
TAOUSD,1714579200000,5e-05
TAOUSD,1714593600000,5e-05
TAOUSD,1714608000000,1.56e-05
TAOUSD,1714622400000,-2.913e-05
TAOUSD,1714636800000,5e-05
TAOUSD,1714651200000,5e-05
TAOUSD,1714665600002,4.896e-05
TAOUSD,1714680000000,5e-05
TAOUSD,1714694400000,3.46e-06
TAOUSD,1714708800000,5e-05
TAOUSD,1714723200000,5e-05
TAOUSD,1714737600000,5e-05
TAOUSD,1714752000000,-6.533e-05
TAOUSD,1714766400000,5e-05
TAOUSD,1714780800000,5e-05
TAOUSD,1714795200000,6.78e-06
TAOUSD,1714809600000,5e-05
TAOUSD,1714824000000,5e-05
TAOUSD,1714838400000,5e-05
TAOUSD,1714852800000,5e-05
TAOUSD,1714867200000,5e-05
TAOUSD,1714881600000,5e-05
TAOUSD,1714896000000,5e-05
TAOUSD,1714910400000,5e-05
TAOUSD,1714924800000,5e-05
TAOUSD,1714939200000,5e-05
TAOUSD,1714953600000,5e-05
TAOUSD,1714968000002,5e-05
TAOUSD,1714982400000,5e-05
TAOUSD,1714996800000,5e-05
TAOUSD,1715011200000,5e-05
TAOUSD,1715025600000,5e-05
TAOUSD,1715040000000,5e-05
TAOUSD,1715054400000,5e-05
TAOUSD,1715068800000,5e-05
TAOUSD,1715083200000,5e-05
TAOUSD,1715097600000,5e-05
TAOUSD,1715112000000,5e-05
TAOUSD,1715126400000,5e-05
TAOUSD,1715140800000,5e-05
TAOUSD,1715155200000,5e-05
TAOUSD,1715169600000,5e-05
TAOUSD,1715184000000,5e-05
TAOUSD,1715198400001,5e-05
TAOUSD,1715212800000,5e-05
TAOUSD,1715227200000,5e-05
TAOUSD,1715241600000,5e-05
TAOUSD,1715256000000,5e-05
TAOUSD,1715270400000,5e-05
TAOUSD,1715284800000,5e-05
TAOUSD,1715299200000,5e-05
TAOUSD,1715313600001,5e-05
TAOUSD,1715328000000,5e-05
TAOUSD,1715342400001,5e-05
TAOUSD,1715356800000,5e-05
TAOUSD,1715371200000,5e-05
TAOUSD,1715385600000,5e-05
TAOUSD,1715400000000,5e-05
TAOUSD,1715414400000,5e-05
TAOUSD,1715428800000,5e-05
TAOUSD,1715443200000,5e-05
TAOUSD,1715457600000,5e-05
TAOUSD,1715472000000,5e-05
TAOUSD,1715486400001,5e-05
TAOUSD,1715500800000,5e-05
TAOUSD,1715515200001,5e-05
TAOUSD,1715529600000,5e-05
TAOUSD,1715544000000,5e-05
TAOUSD,1715558400001,5e-05
TAOUSD,1715572800000,5e-05
TAOUSD,1715587200001,5e-05
TAOUSD,1715601600000,5e-05
TAOUSD,1715616000000,5e-05
TAOUSD,1715630400000,5e-05
TAOUSD,1715644800000,5e-05
TAOUSD,1715659200000,5e-05
TAOUSD,1715673600000,5e-05
TAOUSD,1715688000000,5e-05
TAOUSD,1715702400000,5e-05
TAOUSD,1715716800000,5e-05
TAOUSD,1715731200000,5e-05
TAOUSD,1715745600000,5e-05
TAOUSD,1715760000000,5e-05
TAOUSD,1715774400000,5e-05
TAOUSD,1715788800000,5e-05
TAOUSD,1715803200000,5e-05
TAOUSD,1715817600004,5e-05
TAOUSD,1715832000000,5e-05
TAOUSD,1715846400000,5e-05
TAOUSD,1715860800000,5e-05
TAOUSD,1715875200000,5e-05
TAOUSD,1715889600000,5e-05
TAOUSD,1715904000000,5e-05
TAOUSD,1715918400002,5e-05
TAOUSD,1715932800000,5e-05
TAOUSD,1715947200000,5e-05
TAOUSD,1715961600000,5e-05
TAOUSD,1715976000000,5e-05
TAOUSD,1715990400000,5e-05
TAOUSD,1716004800000,5e-05
TAOUSD,1716019200000,5e-05
TAOUSD,1716033600000,5e-05
TAOUSD,1716048000000,5e-05
TAOUSD,1716062400000,5e-05
TAOUSD,1716076800000,5e-05
TAOUSD,1716091200000,5e-05
TAOUSD,1716105600000,5e-05
TAOUSD,1716120000000,5e-05
TAOUSD,1716134400000,5e-05
TAOUSD,1716148800001,5e-05
TAOUSD,1716163200000,5e-05
TAOUSD,1716177600000,5e-05
TAOUSD,1716192000000,5e-05
TAOUSD,1716206400001,5e-05
TAOUSD,1716220800003,5e-05
TAOUSD,1716235200004,5e-05
TAOUSD,1716249600000,5e-05
TAOUSD,1716264000000,5e-05
TAOUSD,1716278400001,5e-05
TAOUSD,1716292800001,5e-05
TAOUSD,1716307200000,5e-05
TAOUSD,1716321600000,5e-05
TAOUSD,1716336000000,5e-05
TAOUSD,1716350400000,5e-05
TAOUSD,1716364800000,5e-05
TAOUSD,1716379200000,5e-05
TAOUSD,1716393600000,5e-05
TAOUSD,1716408000000,5e-05
TAOUSD,1716422400000,5e-05
TAOUSD,1716436800000,5e-05
TAOUSD,1716451200000,5e-05
TAOUSD,1716465600000,0.00011484
TAOUSD,1716480000000,5.989e-05
TAOUSD,1716494400000,0.00010403
TAOUSD,1716508800000,5e-05
TAOUSD,1716523200000,5e-05
TAOUSD,1716537600000,5e-05
TAOUSD,1716552000000,5e-05
TAOUSD,1716566400000,5e-05
TAOUSD,1716580800000,5e-05
TAOUSD,1716595200000,5e-05
TAOUSD,1716609600000,5e-05
TAOUSD,1716624000000,5e-05
TAOUSD,1716638400001,5e-05
TAOUSD,1716652800000,9.452e-05
TAOUSD,1716667200006,9.982e-05
TAOUSD,1716681600000,5e-05
TAOUSD,1716696000000,5e-05
TAOUSD,1716710400000,5e-05
TAOUSD,1716724800000,5e-05
TAOUSD,1716739200000,0.00011583
TAOUSD,1716753600000,0.0001209
TAOUSD,1716768000000,0.0001328
TAOUSD,1716782400000,9.331e-05
TAOUSD,1716796800000,5e-05
TAOUSD,1716811200000,0.00020047
TAOUSD,1716825600000,0.00018209
TAOUSD,1716840000000,0.00012526
TAOUSD,1716854400000,0.00014782
TAOUSD,1716868800000,5e-05
TAOUSD,1716883200000,5e-05
TAOUSD,1716897600000,0.00010037
TAOUSD,1716912000000,6.083e-05
TAOUSD,1716926400000,0.00021136
TAOUSD,1716940800001,0.0001457
TAOUSD,1716955200000,7.574e-05
TAOUSD,1716969600000,5e-05
TAOUSD,1716984000000,7.465e-05
TAOUSD,1716998400000,6.573e-05
TAOUSD,1717012800000,7.796e-05
TAOUSD,1717027200000,0.00010549
TAOUSD,1717041600000,5e-05
TAOUSD,1717056000000,0.00018183
TAOUSD,1717070400001,9.44e-05
TAOUSD,1717084800000,0.00010649
TAOUSD,1717099200001,0.00014473
TAOUSD,1717113600000,0.00012102
TAOUSD,1717128000000,0.00011716
TAOUSD,1717142400000,8.657e-05
TAOUSD,1717156800001,5e-05
TAOUSD,1717171200000,5e-05
TAOUSD,1717185600000,5e-05
TAOUSD,1717200000000,6.177e-05
TAOUSD,1717214400000,5e-05
TAOUSD,1717228800000,5e-05
TAOUSD,1717243200000,5e-05
TAOUSD,1717257600001,0.00015069
TAOUSD,1717272000000,0.00029357
TAOUSD,1717286400000,0.00011665
TAOUSD,1717300800000,0.00020602
TAOUSD,1717315200000,8.442e-05
TAOUSD,1717329600000,5e-05
TAOUSD,1717344000000,0.00015818
TAOUSD,1717358400001,0.00012469
TAOUSD,1717372800000,0.0002519
TAOUSD,1717387200000,0.00018643
TAOUSD,1717401600000,5.614e-05
TAOUSD,1717416000000,0.00010916
TAOUSD,1717430400000,5e-05
TAOUSD,1717444800000,6.948e-05
TAOUSD,1717459200000,5e-05
TAOUSD,1717473600000,5e-05
TAOUSD,1717488000000,5e-05
TAOUSD,1717502400001,7.124e-05
TAOUSD,1717516800000,0.00011208
TAOUSD,1717531200000,0.00010982
TAOUSD,1717545600000,0.00013921
TAOUSD,1717560000000,6.061e-05
TAOUSD,1717574400000,0.00011305
TAOUSD,1717588800001,5e-05
TAOUSD,1717603200000,5e-05
TAOUSD,1717617600000,0.0001474
TAOUSD,1717632000000,0.00030206
TAOUSD,1717646400000,5e-05
TAOUSD,1717660800008,9.672e-05
TAOUSD,1717675200000,0.00010128
TAOUSD,1717689600000,5e-05
TAOUSD,1717704000000,5e-05
TAOUSD,1717718400000,5e-05
TAOUSD,1717732800002,0.00021037
TAOUSD,1717747200000,0.00013452
TAOUSD,1717761600000,5.095e-05
TAOUSD,1717776000000,0.00014296
TAOUSD,1717790400000,5e-05
TAOUSD,1717804800000,5e-05
TAOUSD,1717819200000,5e-05
TAOUSD,1717833600000,5e-05
TAOUSD,1717848000000,5e-05
TAOUSD,1717862400000,5e-05
TAOUSD,1717876800000,5e-05
TAOUSD,1717891200000,5e-05
TAOUSD,1717905600000,5e-05
TAOUSD,1717920000000,5e-05
TAOUSD,1717934400000,5e-05
TAOUSD,1717948800001,5e-05
TAOUSD,1717963200000,5e-05
TAOUSD,1717977600000,5e-05
TAOUSD,1717992000000,5e-05
TAOUSD,1718006400000,5e-05
TAOUSD,1718020800000,5e-05
TAOUSD,1718035200001,5e-05
TAOUSD,1718049600000,5e-05
TAOUSD,1718064000001,5e-05
TAOUSD,1718078400000,5e-05
TAOUSD,1718092800000,5e-05
TAOUSD,1718107200001,5e-05
TAOUSD,1718121600000,5e-05
TAOUSD,1718136000000,5e-05
TAOUSD,1718150400000,5e-05
TAOUSD,1718164800000,5e-05
TAOUSD,1718179200000,5e-05
TAOUSD,1718193600001,5e-05
TAOUSD,1718208000000,5e-05
TAOUSD,1718222400000,5e-05
TAOUSD,1718236800000,5e-05
TAOUSD,1718251200000,5e-05
TAOUSD,1718265600001,5e-05
TAOUSD,1718280000000,5e-05
TAOUSD,1718294400000,5e-05
TAOUSD,1718308800000,5e-05
TAOUSD,1718323200000,5e-05
TAOUSD,1718337600000,5e-05
TAOUSD,1718352000000,5e-05
TAOUSD,1718366400001,5e-05
TAOUSD,1718380800000,5e-05
TAOUSD,1718395200000,5e-05
TAOUSD,1718409600000,5e-05
TAOUSD,1718424000000,5e-05
TAOUSD,1718438400000,5e-05
TAOUSD,1718452800000,5e-05
TAOUSD,1718467200000,5e-05
TAOUSD,1718481600000,5e-05
TAOUSD,1718496000001,5e-05
TAOUSD,1718510400000,5e-05
TAOUSD,1718524800000,5e-05
TAOUSD,1718539200000,5e-05
TAOUSD,1718553600000,5e-05
TAOUSD,1718568000000,5e-05
