symbol,fundingTime,fundingRate
TIAUSD,1698782400000,0.00100553
TIAUSD,1698796800000,0.00069725
TIAUSD,1698811200000,0.00016572
TIAUSD,1698825600000,0.00056828
TIAUSD,1698840000000,0.00015704
TIAUSD,1698854400000,5e-05
TIAUSD,1698868800000,0.00037892
TIAUSD,1698883200001,0.00026772
TIAUSD,1698897600000,0.00044205
TIAUSD,1698912000000,5e-05
TIAUSD,1698926400001,5e-05
TIAUSD,1698940800000,5e-05
TIAUSD,1698955200000,5e-05
TIAUSD,1698969600000,5e-05
TIAUSD,1698984000000,5e-05
TIAUSD,1698998400000,5e-05
TIAUSD,1699012800000,5e-05
TIAUSD,1699027200000,0.00011601
TIAUSD,1699041600001,5e-05
TIAUSD,1699056000000,0.00016957
TIAUSD,1699070400000,0.00025666
TIAUSD,1699084800000,0.00030369
TIAUSD,1699099200000,0.00043768
TIAUSD,1699113600000,0.00016276
TIAUSD,1699128000001,0.00025286
TIAUSD,1699142400000,0.00030399
TIAUSD,1699156800000,0.00046509
TIAUSD,1699171200000,0.00049098
TIAUSD,1699185600000,0.00031973
TIAUSD,1699200000000,0.00016027
TIAUSD,1699214400001,0.00020321
TIAUSD,1699228800000,8.531e-05
TIAUSD,1699243200000,0.00015903
TIAUSD,1699257600001,5e-05
TIAUSD,1699272000000,9.169e-05
TIAUSD,1699286400000,0.00022471
TIAUSD,1699300800000,0.00027184
TIAUSD,1699315200001,0.00032763
TIAUSD,1699329600000,0.00029297
TIAUSD,1699344000000,0.00025423
TIAUSD,1699358400000,5.48e-05
TIAUSD,1699372800000,5e-05
TIAUSD,1699387200001,5e-05
TIAUSD,1699401600000,5e-05
TIAUSD,1699416000000,5e-05
TIAUSD,1699430400000,5e-05
TIAUSD,1699444800000,6.128e-05
TIAUSD,1699459200000,0.00018184
TIAUSD,1699473600001,0.00015674
TIAUSD,1699488000000,9.888e-05
TIAUSD,1699502400000,0.00019818
TIAUSD,1699516800000,0.00053189
TIAUSD,1699531200000,0.00040173
TIAUSD,1699545600000,0.00055026
TIAUSD,1699560000000,7.729e-05
TIAUSD,1699574400000,0.00012197
TIAUSD,1699588800000,0.00013462
TIAUSD,1699603200000,0.00036066
TIAUSD,1699617600000,9.251e-05
TIAUSD,1699632000000,6.925e-05
TIAUSD,1699646400000,0.00034083
TIAUSD,1699660800000,0.00038832
TIAUSD,1699675200000,0.00018961
TIAUSD,1699689600000,0.00050868
TIAUSD,1699704000000,0.00042082
TIAUSD,1699718400000,0.00032697
TIAUSD,1699732800000,0.00016553
TIAUSD,1699747200000,0.00024753
TIAUSD,1699761600000,0.00016872
TIAUSD,1699776000000,0.00035034
TIAUSD,1699790400000,0.00030828
TIAUSD,1699804800001,0.00023054
TIAUSD,1699819200000,0.00010321
TIAUSD,1699833600000,0.00017717
TIAUSD,1699848000000,5e-05
TIAUSD,1699862400000,5e-05
TIAUSD,1699876800000,5e-05
TIAUSD,1699891200000,0.00033497
TIAUSD,1699905600000,0.00012724
TIAUSD,1699920000000,0.00049005
TIAUSD,1699934400000,5e-05
TIAUSD,1699948800000,5e-05
TIAUSD,1699963200000,0.00017906
TIAUSD,1699977600001,5e-05
TIAUSD,1699992000001,5e-05
TIAUSD,1700006400000,0.00023665
TIAUSD,1700020800000,7.341e-05
TIAUSD,1700035200000,0.0002279
TIAUSD,1700049600000,5.378e-05
TIAUSD,1700064000000,0.00012471
TIAUSD,1700078400000,0.00010072
TIAUSD,1700092800000,0.0001806
TIAUSD,1700107200000,0.00020361
TIAUSD,1700121600000,0.00027811
TIAUSD,1700136000000,0.00013257
TIAUSD,1700150400001,0.00027548
TIAUSD,1700164800000,0.00012556
TIAUSD,1700179200000,0.00019074
TIAUSD,1700193600000,0.00020012
TIAUSD,1700208000001,0.00011082
TIAUSD,1700222400000,5e-05
TIAUSD,1700236800001,5e-05
TIAUSD,1700251200000,5e-05
TIAUSD,1700265600000,5e-05
TIAUSD,1700280000000,5e-05
TIAUSD,1700294400000,5e-05
TIAUSD,1700308800000,5e-05
TIAUSD,1700323200000,5e-05
TIAUSD,1700337600000,5e-05
TIAUSD,1700352000000,5e-05
TIAUSD,1700366400000,5e-05
TIAUSD,1700380800000,5e-05
TIAUSD,1700395200000,5e-05
TIAUSD,1700409600000,5e-05
TIAUSD,1700424000000,5e-05
TIAUSD,1700438400000,0.00020591
TIAUSD,1700452800000,0.00020522
TIAUSD,1700467200000,0.00016837
TIAUSD,1700481600000,0.00019289
TIAUSD,1700496000000,0.00029891
TIAUSD,1700510400000,0.00028519
TIAUSD,1700524800000,0.00012978
TIAUSD,1700539200000,0.0001649
TIAUSD,1700553600000,9.688e-05
TIAUSD,1700568000000,5e-05
TIAUSD,1700582400000,6.048e-05
TIAUSD,1700596800000,5e-05
TIAUSD,1700611200000,5e-05
TIAUSD,1700625600000,5e-05
TIAUSD,1700640000000,5e-05
TIAUSD,1700654400000,5e-05
TIAUSD,1700668800000,5e-05
TIAUSD,1700683200000,5e-05
TIAUSD,1700697600000,5e-05
TIAUSD,1700712000000,5e-05
TIAUSD,1700726400000,5e-05
TIAUSD,1700740800001,5e-05
TIAUSD,1700755200001,5e-05
TIAUSD,1700769600000,5e-05
TIAUSD,1700784000000,5e-05
TIAUSD,1700798400000,5e-05
TIAUSD,1700812800000,5e-05
TIAUSD,1700827200001,5e-05
TIAUSD,1700841600000,5e-05
TIAUSD,1700856000000,5e-05
TIAUSD,1700870400000,5e-05
TIAUSD,1700884800001,5e-05
TIAUSD,1700899200000,5e-05
TIAUSD,1700913600000,5e-05
TIAUSD,1700928000000,5e-05
TIAUSD,1700942400000,5e-05
TIAUSD,1700956800000,5e-05
TIAUSD,1700971200001,5e-05
TIAUSD,1700985600000,5e-05
TIAUSD,1701000000000,5e-05
TIAUSD,1701014400000,5e-05
TIAUSD,1701028800000,5e-05
TIAUSD,1701043200000,5e-05
TIAUSD,1701057600001,5e-05
TIAUSD,1701072000001,5e-05
TIAUSD,1701086400000,5e-05
TIAUSD,1701100800000,0.00011091
TIAUSD,1701115200000,9.621e-05
TIAUSD,1701129600000,5e-05
TIAUSD,1701144000000,5e-05
TIAUSD,1701158400000,5e-05
TIAUSD,1701172800000,5e-05
TIAUSD,1701187200000,5e-05
TIAUSD,1701201600000,5e-05
TIAUSD,1701216000001,5e-05
TIAUSD,1701230400000,5e-05
TIAUSD,1701244800000,5e-05
TIAUSD,1701259200000,5e-05
TIAUSD,1701273600000,5e-05
TIAUSD,1701288000000,5e-05
TIAUSD,1701302400000,5e-05
TIAUSD,1701316800001,5e-05
TIAUSD,1701331200000,5e-05
TIAUSD,1701345600000,5e-05
TIAUSD,1701360000000,5e-05
TIAUSD,1701374400000,5e-05
TIAUSD,1701388800000,5e-05
TIAUSD,1701403200000,5e-05
TIAUSD,1701417600000,5e-05
TIAUSD,1701432000000,5e-05
TIAUSD,1701446400000,5e-05
TIAUSD,1701460800000,5e-05
TIAUSD,1701475200000,5e-05
TIAUSD,1701489600000,5e-05
TIAUSD,1701504000000,5e-05
TIAUSD,1701518400000,5e-05
TIAUSD,1701532800000,7.681e-05
TIAUSD,1701547200000,5e-05
TIAUSD,1701561600000,5e-05
TIAUSD,1701576000000,0.00020373
TIAUSD,1701590400000,5e-05
TIAUSD,1701604800000,5e-05
TIAUSD,1701619200000,5e-05
TIAUSD,1701633600000,5.193e-05
TIAUSD,1701648000000,0.00010685
TIAUSD,1701662400000,0.00025546
TIAUSD,1701676800000,0.00052966
TIAUSD,1701691200000,0.0002609
TIAUSD,1701705600000,0.00015572
TIAUSD,1701720000000,6.872e-05
TIAUSD,1701734400000,0.00026974
TIAUSD,1701748800000,5.338e-05
TIAUSD,1701763200000,0.0001985
TIAUSD,1701777600000,0.00020502
TIAUSD,1701792000000,6.237e-05
TIAUSD,1701806400000,0.00028501
TIAUSD,1701820800000,0.00027063
TIAUSD,1701835200000,0.00038281
TIAUSD,1701849600000,0.00022929
TIAUSD,1701864000000,0.00024407
TIAUSD,1701878400000,6.113e-05
TIAUSD,1701892800000,0.0002773
TIAUSD,1701907200000,5e-05
TIAUSD,1701921600001,5e-05
TIAUSD,1701936000000,0.00012529
TIAUSD,1701950400000,5e-05
TIAUSD,1701964800000,5e-05
TIAUSD,1701979200000,0.00013123
TIAUSD,1701993600000,0.00031347
TIAUSD,1702008000000,0.00034126
TIAUSD,1702022400000,0.00027792
TIAUSD,1702036800000,8.434e-05
TIAUSD,1702051200000,9.329e-05
TIAUSD,1702065600000,5.386e-05
TIAUSD,1702080000000,0.00023105
TIAUSD,1702094400000,0.00016208
TIAUSD,1702108800000,0.00034035
TIAUSD,1702123200000,0.00015633
TIAUSD,1702137600000,5e-05
TIAUSD,1702152000000,0.00016921
TIAUSD,1702166400000,5e-05
TIAUSD,1702180800000,0.0001616
TIAUSD,1702195200000,0.00017145
TIAUSD,1702209600000,0.00013949
TIAUSD,1702224000000,0.00013491
TIAUSD,1702238400000,0.00022697
TIAUSD,1702252800000,7.073e-05
TIAUSD,1702267200001,5e-05
TIAUSD,1702281600000,6.083e-05
TIAUSD,1702296000000,0.00010284
TIAUSD,1702310400000,5e-05
TIAUSD,1702324800000,5e-05
TIAUSD,1702339200000,5e-05
TIAUSD,1702353600000,5e-05
TIAUSD,1702368000000,0.00019505
TIAUSD,1702382400000,5e-05
TIAUSD,1702396800000,5e-05
TIAUSD,1702411200000,5.183e-05
TIAUSD,1702425600000,0.00012299
TIAUSD,1702440000000,5e-05
TIAUSD,1702454400000,0.00010161
TIAUSD,1702468800001,0.00017083
TIAUSD,1702483200001,5e-05
TIAUSD,1702497600000,5e-05
TIAUSD,1702512000000,0.00013953
TIAUSD,1702526400000,5e-05
TIAUSD,1702540800000,5e-05
TIAUSD,1702555200000,9.282e-05
TIAUSD,1702569600000,7.23e-05
TIAUSD,1702584000000,0.00018458
TIAUSD,1702598400000,0.00014149
