symbol,fundingTime,fundingRate
TRXUSD,1579075200000,0.0001
TRXUSD,1579104000000,0.00313699
TRXUSD,1579132800000,0.00093364
TRXUSD,1579161600000,0.0001
TRXUSD,1579190400000,0.0001
TRXUSD,1579219200000,0.0001
TRXUSD,1579248000000,0.0001
TRXUSD,1579276800000,0.0001
TRXUSD,1579305600001,0.00046945
TRXUSD,1579334400001,0.0001
TRXUSD,1579363200000,0.00046607
TRXUSD,1579392000000,0.00077247
TRXUSD,1579420800000,0.00021337
TRXUSD,1579449600000,0.0001
TRXUSD,1579478400000,0.0001
TRXUSD,1579507200000,0.0001
TRXUSD,1579536000000,0.0001
TRXUSD,1579564800000,0.0001
TRXUSD,1579593600000,0.0001
TRXUSD,1579622400000,0.0001
TRXUSD,1579651200000,0.0001
TRXUSD,1579680000001,0.0001
TRXUSD,1579708800000,0.0001
TRXUSD,1579737600000,0.0001
TRXUSD,1579766400000,0.0001
TRXUSD,1579795200000,0.0001
TRXUSD,1579824000000,0.0001
TRXUSD,1579852800000,0.0001
TRXUSD,1579881600001,0.0001
TRXUSD,1579910400000,0.0001
TRXUSD,1579939200000,0.0001
TRXUSD,1579968000001,0.0001
TRXUSD,1579996800000,0.0001
TRXUSD,1580025600000,0.0001
TRXUSD,1580054400000,0.0001
TRXUSD,1580083200000,0.0001
TRXUSD,1580112000001,0.0001
TRXUSD,1580140800000,0.0001
TRXUSD,1580169600000,0.0001
TRXUSD,1580198400000,0.0001
TRXUSD,1580227200000,0.0001
TRXUSD,1580256000001,0.0001
TRXUSD,1580284800000,0.0001
TRXUSD,1580313600002,0.0001
TRXUSD,1580342400000,0.0001
TRXUSD,1580371200000,0.0001
TRXUSD,1580400000000,0.0001
TRXUSD,1580428800000,0.0001
TRXUSD,1580457600000,0.0001
TRXUSD,1580486400000,0.0001
TRXUSD,1580515200000,0.00019956
TRXUSD,1580544000000,0.00013914
TRXUSD,1580572800000,0.00011643
TRXUSD,1580601600000,0.0007147
TRXUSD,1580630400000,0.00100833
TRXUSD,1580659200000,0.00124351
TRXUSD,1580688000000,0.0002378
TRXUSD,1580716800000,0.0001
TRXUSD,1580745600000,0.00051842
TRXUSD,1580774400000,0.0001
TRXUSD,1580803200001,0.00023887
TRXUSD,1580832000000,0.00064624
TRXUSD,1580860800002,0.0001767
TRXUSD,1580889600000,0.00050543
TRXUSD,1580918400000,0.00151995
