symbol,fundingTime,fundingRate
UNIUSD,1600329600012,0.0001
UNIUSD,1600358400000,0.0001
UNIUSD,1600387200001,0.0001
UNIUSD,1600416000002,-0.0074
UNIUSD,1600444800002,-0.0075
UNIUSD,1600473600000,-0.00131719
UNIUSD,1600502400005,-0.00029712
UNIUSD,1600531200008,-0.00037158
UNIUSD,1600560000002,0.00011944
UNIUSD,1600588800005,0.0001
UNIUSD,1600617600005,0.00071743
UNIUSD,1600646400000,0.0001
UNIUSD,1600675200001,0.0001
UNIUSD,1600704000000,0.0001
UNIUSD,1600732800001,0.0001
UNIUSD,1600761600000,0.0001
UNIUSD,1600790400004,0.0001
UNIUSD,1600819200007,0.0001
UNIUSD,1600848000001,-0.00041675
UNIUSD,1600876800001,-0.00269894
UNIUSD,1600905600000,-0.00064055
UNIUSD,1600934400000,-0.00133393
UNIUSD,1600963200000,-0.00257834
UNIUSD,1600992000009,-0.00036761
UNIUSD,1601020800045,-0.00091582
UNIUSD,1601049600000,-0.00021653
UNIUSD,1601078400000,0.0001
UNIUSD,1601107200000,0.0001
UNIUSD,1601136000005,0.0001
UNIUSD,1601164800000,0.00015401
UNIUSD,1601193600000,0.00016577
UNIUSD,1601222400019,0.00023287
UNIUSD,1601251200001,0.00067745
UNIUSD,1601280000000,0.0001
UNIUSD,1601308800002,0.00025121
UNIUSD,1601337600000,0.00023149
UNIUSD,1601366400000,0.00034554
UNIUSD,1601395200000,0.00024027
UNIUSD,1601424000005,0.00030164
UNIUSD,1601452800000,0.00039594
UNIUSD,1601481600000,0.0001
UNIUSD,1601510400000,0.00022484
UNIUSD,1601539200000,0.00028747
UNIUSD,1601568000000,0.00017782
UNIUSD,1601596800011,0.00051812
UNIUSD,1601625600000,0.00079814
UNIUSD,1601654400005,0.0001
UNIUSD,1601683200000,0.0001
UNIUSD,1601712000001,0.0001
UNIUSD,1601740800000,0.0001
UNIUSD,1601769600000,0.0001
UNIUSD,1601798400003,0.0001
UNIUSD,1601827200001,0.0001
UNIUSD,1601856000000,0.0001
UNIUSD,1601884800000,0.0001
UNIUSD,1601913600012,0.00052962
UNIUSD,1601942400000,0.0001
UNIUSD,1601971200005,0.00025766
UNIUSD,1602000000000,0.00060949
UNIUSD,1602028800000,0.00058529
UNIUSD,1602057600000,-0.00053524
UNIUSD,1602086400000,0.0001
UNIUSD,1602115200000,-0.00029745
UNIUSD,1602144000009,7.316e-05
UNIUSD,1602172800003,-0.00029459
UNIUSD,1602201600001,0.00028063
UNIUSD,1602230400000,0.00068859
UNIUSD,1602259200004,0.00039026
UNIUSD,1602288000005,0.0001
UNIUSD,1602316800000,0.0001
UNIUSD,1602345600011,0.0001
UNIUSD,1602374400002,0.0001
UNIUSD,1602403200003,0.0001
UNIUSD,1602432000004,0.0001
UNIUSD,1602460800001,0.0001
UNIUSD,1602489600000,0.0001
UNIUSD,1602518400011,0.0001
UNIUSD,1602547200003,0.0001
UNIUSD,1602576000000,0.0001
UNIUSD,1602604800001,0.0001
UNIUSD,1602633600001,0.0001
UNIUSD,1602662400000,0.0001
UNIUSD,1602691200001,0.0001
UNIUSD,1602720000000,0.0001
UNIUSD,1602748800000,0.0001
UNIUSD,1602777600000,0.0001
UNIUSD,1602806400002,0.0001
UNIUSD,1602835200003,-0.0008869
UNIUSD,1602864000000,-0.00039167
UNIUSD,1602892800006,-0.0003742
UNIUSD,1602921600007,-0.00033851
UNIUSD,1602950400009,1.387e-05
UNIUSD,1602979200006,-0.00065126
UNIUSD,1603008000000,-0.00013459
UNIUSD,1603036800000,0.0001
UNIUSD,1603065600000,-0.00156203
UNIUSD,1603094400000,0.0001
UNIUSD,1603123200000,0.0001
UNIUSD,1603152000015,0.0001
UNIUSD,1603180800000,0.0001
UNIUSD,1603209600008,0.0001
UNIUSD,1603238400009,0.0001
UNIUSD,1603267200004,0.0001
UNIUSD,1603296000000,0.0001
UNIUSD,1603324800000,0.0001
UNIUSD,1603353600000,0.0001
UNIUSD,1603382400004,0.00011442
UNIUSD,1603411200007,0.0001
UNIUSD,1603440000000,0.0001
UNIUSD,1603468800000,0.0001
UNIUSD,1603497600000,0.00020546
UNIUSD,1603526400000,0.00036615
UNIUSD,1603555200008,0.00046906
UNIUSD,1603584000005,0.00048222
UNIUSD,1603612800014,0.00039338
UNIUSD,1603641600000,0.0001887
UNIUSD,1603670400004,0.0001
UNIUSD,1603699200000,0.0001
UNIUSD,1603728000000,0.0001
UNIUSD,1603756800000,0.0001
UNIUSD,1603785600000,0.0001
UNIUSD,1603814400000,0.0001
UNIUSD,1603843200000,0.0001
UNIUSD,1603872000006,0.0001
UNIUSD,1603900800001,0.0001
UNIUSD,1603929600000,0.0001
UNIUSD,1603958400000,0.0001
UNIUSD,1603987200000,0.0001
UNIUSD,1604016000000,0.0001
UNIUSD,1604044800002,0.0001
UNIUSD,1604073600002,0.0001
UNIUSD,1604102400003,0.0001
UNIUSD,1604131200000,0.0001
UNIUSD,1604160000000,0.0001
UNIUSD,1604188800000,0.0001
UNIUSD,1604217600000,0.0001
UNIUSD,1604246400000,0.0001
UNIUSD,1604275200000,0.0001
UNIUSD,1604304000010,0.0001
UNIUSD,1604332800000,0.0001
UNIUSD,1604361600000,0.0001
UNIUSD,1604390400004,0.0001
UNIUSD,1604419200009,0.0001
UNIUSD,1604448000000,0.0001
UNIUSD,1604476800000,0.0001
UNIUSD,1604505600005,0.0001
UNIUSD,1604534400017,0.0001
UNIUSD,1604563200001,0.0001
UNIUSD,1604592000000,0.0001
UNIUSD,1604620800000,0.0001
UNIUSD,1604649600001,0.0001
UNIUSD,1604678400001,0.0001
UNIUSD,1604707200001,0.0001
UNIUSD,1604736000000,0.0001
UNIUSD,1604764800006,0.0001
UNIUSD,1604793600000,0.0001
UNIUSD,1604822400000,0.0001
UNIUSD,1604851200000,0.0001
UNIUSD,1604880000007,0.0001
UNIUSD,1604908800001,0.0001
UNIUSD,1604937600002,0.0001
UNIUSD,1604966400003,0.0001
UNIUSD,1604995200011,0.0001
UNIUSD,1605024000000,0.0001
UNIUSD,1605052800000,0.0001
UNIUSD,1605081600009,0.0001
UNIUSD,1605110400003,0.0001
UNIUSD,1605139200001,0.0001
UNIUSD,1605168000001,0.0001
UNIUSD,1605196800000,0.0001
UNIUSD,1605225600000,0.0001
UNIUSD,1605254400000,0.0001
UNIUSD,1605283200000,0.0001
UNIUSD,1605312000005,-0.00128763
UNIUSD,1605340800004,0.0001
UNIUSD,1605369600001,-0.00012312
UNIUSD,1605398400001,0.0001
UNIUSD,1605427200000,-0.0003165
UNIUSD,1605456000003,0.0001
UNIUSD,1605484800000,0.0001
UNIUSD,1605513600010,0.0001
UNIUSD,1605542400001,0.0001
UNIUSD,1605571200002,0.00013445
UNIUSD,1605600000003,0.00028928
UNIUSD,1605628800003,0.00032445
UNIUSD,1605657600005,0.00114486
UNIUSD,1605686400006,0.00043001
UNIUSD,1605715200000,0.00020418
UNIUSD,1605744000008,0.00018911
UNIUSD,1605772800000,0.00011921
UNIUSD,1605801600001,0.00057968
UNIUSD,1605830400003,0.00053494
UNIUSD,1605859200005,0.00068796
UNIUSD,1605888000000,0.00096621
UNIUSD,1605916800000,0.00052513
UNIUSD,1605945600000,0.0005251
UNIUSD,1605974400001,0.00138876
UNIUSD,1606003200005,0.00096978
UNIUSD,1606032000000,0.00062701
UNIUSD,1606060800000,0.00046988
UNIUSD,1606089600005,0.00145117
UNIUSD,1606118400000,0.00103392
UNIUSD,1606147200003,0.00148367
UNIUSD,1606176000000,0.00180621
UNIUSD,1606204800000,0.00163877
UNIUSD,1606233600005,0.00097639
UNIUSD,1606262400005,0.00081607
UNIUSD,1606291200005,0.00052312
UNIUSD,1606320000015,0.00092519
UNIUSD,1606348800012,0.00027205
UNIUSD,1606377600002,0.0001
UNIUSD,1606406400001,0.0001
UNIUSD,1606435200001,0.0001
UNIUSD,1606464000000,0.0001
UNIUSD,1606492800007,0.0001
UNIUSD,1606521600007,0.0001
UNIUSD,1606550400012,0.0001
UNIUSD,1606579200000,0.0001
UNIUSD,1606608000007,0.0001
UNIUSD,1606636800000,0.0001
UNIUSD,1606665600000,0.0001
UNIUSD,1606694400004,0.0001
UNIUSD,1606723200007,0.0001
UNIUSD,1606752000000,0.0001
UNIUSD,1606780800000,0.0001
UNIUSD,1606809600003,0.00028281
UNIUSD,1606838400000,0.0001
UNIUSD,1606867200001,0.0001
UNIUSD,1606896000011,0.0001
UNIUSD,1606924800005,0.0001
UNIUSD,1606953600001,0.0001
UNIUSD,1606982400031,0.0001
UNIUSD,1607011200000,0.00024561
UNIUSD,1607040000006,0.00023675
UNIUSD,1607068800009,0.0001
UNIUSD,1607097600000,0.0001
UNIUSD,1607126400000,0.0001
UNIUSD,1607155200000,0.0001
UNIUSD,1607184000000,0.0001
UNIUSD,1607212800004,0.0001
UNIUSD,1607241600000,0.0001
UNIUSD,1607270400001,0.0001
UNIUSD,1607299200000,0.0001
UNIUSD,1607328000008,0.0001
UNIUSD,1607356800000,0.00041336
UNIUSD,1607385600003,0.00029904
UNIUSD,1607414400003,0.00044432
UNIUSD,1607443200033,0.0001
UNIUSD,1607472000000,0.0001
UNIUSD,1607500800010,0.0001
UNIUSD,1607529600000,0.0001
UNIUSD,1607558400000,0.0001
UNIUSD,1607587200000,0.0001
UNIUSD,1607616000007,0.0001
UNIUSD,1607644800000,0.0001
UNIUSD,1607673600016,0.0001
UNIUSD,1607702400010,0.0001
UNIUSD,1607731200009,0.0001
UNIUSD,1607760000002,0.0001
UNIUSD,1607788800000,0.0001
UNIUSD,1607817600007,0.0001
UNIUSD,1607846400000,0.0001
UNIUSD,1607875200000,0.0001
UNIUSD,1607904000000,0.0001
UNIUSD,1607932800000,0.0001
UNIUSD,1607961600000,0.0001
UNIUSD,1607990400006,0.0001
UNIUSD,1608019200001,0.0001
UNIUSD,1608048000000,0.0001
UNIUSD,1608076800001,0.00013751
UNIUSD,1608105600000,0.0001
UNIUSD,1608134400000,0.00038269
UNIUSD,1608163200000,0.00041739
UNIUSD,1608192000000,0.00039645
UNIUSD,1608220800011,0.00101192
UNIUSD,1608249600000,0.00052536
UNIUSD,1608278400000,0.00062172
UNIUSD,1608307200000,0.0006743
UNIUSD,1608336000000,0.00081486
UNIUSD,1608364800018,0.0009243
UNIUSD,1608393600000,0.00082687
UNIUSD,1608422400001,0.00050678
UNIUSD,1608451200011,0.00033757
UNIUSD,1608480000023,0.00034977
UNIUSD,1608508800011,0.0002903
UNIUSD,1608537600000,0.00032557
UNIUSD,1608566400000,0.00037777
UNIUSD,1608595200001,0.0001
UNIUSD,1608624000006,0.0001
UNIUSD,1608652800000,0.0001
UNIUSD,1608681600000,0.00011727
UNIUSD,1608710400000,0.0001
UNIUSD,1608739200000,0.0001
UNIUSD,1608768000012,0.0001
UNIUSD,1608796800009,0.0001
UNIUSD,1608825600001,0.0001
UNIUSD,1608854400000,0.0001
UNIUSD,1608883200000,0.0001
UNIUSD,1608912000000,0.00012131
UNIUSD,1608940800009,0.0001
UNIUSD,1608969600001,0.0001
UNIUSD,1608998400006,0.00023074
UNIUSD,1609027200000,0.00026574
UNIUSD,1609056000000,0.00035427
UNIUSD,1609084800001,0.00046499
UNIUSD,1609113600015,0.00044627
UNIUSD,1609142400019,0.00047483
UNIUSD,1609171200000,0.00045436
UNIUSD,1609200000004,0.00029017
UNIUSD,1609228800003,0.00026795
UNIUSD,1609257600000,0.00013958
UNIUSD,1609286400001,0.00037627
UNIUSD,1609315200001,0.00037646
UNIUSD,1609344000012,0.00030891
UNIUSD,1609372800009,0.00064699
UNIUSD,1609401600000,0.00029782
UNIUSD,1609430400010,0.00028422
UNIUSD,1609459200002,0.0001
UNIUSD,1609488000006,0.00054407
UNIUSD,1609516800003,0.00060719
UNIUSD,1609545600000,0.00047268
UNIUSD,1609574400000,0.00047236
UNIUSD,1609603200006,0.00070512
UNIUSD,1609632000018,0.00042798
UNIUSD,1609660800000,0.00059535
UNIUSD,1609689600002,0.00107931
UNIUSD,1609718400000,0.00124147
UNIUSD,1609747200000,0.00228428
UNIUSD,1609776000000,0.00030531
UNIUSD,1609804800020,0.00044595
UNIUSD,1609833600003,0.00012868
UNIUSD,1609862400003,0.00027076
UNIUSD,1609891200010,0.00040425
