symbol,fundingTime,fundingRate
XBTUSD,1577836800000,-0.00012359
XBTUSD,1577865600000,-0.00012383
XBTUSD,1577894400000,-9.664e-05
XBTUSD,1577923200002,3.662e-05
XBTUSD,1577952000000,0.0001
XBTUSD,1577980800000,1.04e-06
XBTUSD,1578009600000,-1.664e-05
XBTUSD,1578038400000,-1.553e-05
XBTUSD,1578067200001,0.0001
XBTUSD,1578096000000,0.0001
XBTUSD,1578124800000,8.4e-07
XBTUSD,1578153600000,7.387e-05
XBTUSD,1578182400000,0.0001
XBTUSD,1578211200000,0.0001
XBTUSD,1578240000000,0.0001
XBTUSD,1578268800000,0.0001
XBTUSD,1578297600000,0.0001
XBTUSD,1578326400000,0.0001
XBTUSD,1578355200000,0.0001
XBTUSD,1578384000001,0.0001
XBTUSD,1578412800000,0.0001
XBTUSD,1578441600000,0.00012514
XBTUSD,1578470400000,0.0001
XBTUSD,1578499200001,0.0001
XBTUSD,1578528000000,0.0001
XBTUSD,1578556800000,0.0001
XBTUSD,1578585600000,0.0001
XBTUSD,1578614400000,0.0001
XBTUSD,1578643200000,0.0001
XBTUSD,1578672000000,0.0001
XBTUSD,1578700800000,0.0001
XBTUSD,1578729600000,0.00017846
XBTUSD,1578758400000,0.0001
XBTUSD,1578787200000,0.0001
XBTUSD,1578816000000,0.0001
XBTUSD,1578844800000,0.0001
XBTUSD,1578873600001,0.0001
XBTUSD,1578902400000,0.0001
XBTUSD,1578931200000,0.0001
XBTUSD,1578960000000,0.0001
XBTUSD,1578988800000,0.000259
XBTUSD,1579017600001,0.0001
XBTUSD,1579046400000,0.00049392
XBTUSD,1579075200000,0.00019497
XBTUSD,1579104000000,0.0001
XBTUSD,1579132800000,0.0001
XBTUSD,1579161600000,0.00041191
XBTUSD,1579190400000,0.00031466
XBTUSD,1579219200000,0.0001
XBTUSD,1579248000000,0.00015027
XBTUSD,1579276800000,0.00056749
XBTUSD,1579305600001,0.0001
XBTUSD,1579334400001,0.00029182
XBTUSD,1579363200000,0.00032081
XBTUSD,1579392000000,0.00020041
XBTUSD,1579420800000,0.00039329
XBTUSD,1579449600000,0.00092467
XBTUSD,1579478400000,0.00029702
XBTUSD,1579507200000,0.0001
XBTUSD,1579536000000,0.00010782
XBTUSD,1579564800000,0.00012057
XBTUSD,1579593600000,0.00015425
XBTUSD,1579622400000,0.0001574
XBTUSD,1579651200000,0.0001
XBTUSD,1579680000001,0.00021392
XBTUSD,1579708800000,0.0001
XBTUSD,1579737600000,0.0001
XBTUSD,1579766400000,0.0001
XBTUSD,1579795200000,0.00052304
XBTUSD,1579824000000,0.00054719
XBTUSD,1579852800000,0.00042124
XBTUSD,1579881600001,0.00017948
XBTUSD,1579910400000,0.0001
XBTUSD,1579939200000,0.0001
XBTUSD,1579968000001,0.0001
XBTUSD,1579996800000,0.0001
XBTUSD,1580025600000,0.0001
XBTUSD,1580054400000,0.0001
XBTUSD,1580083200000,0.0001
XBTUSD,1580112000001,0.0001
XBTUSD,1580140800000,0.0001
XBTUSD,1580169600000,0.0001
XBTUSD,1580198400000,0.00068689
XBTUSD,1580227200000,0.00054394
XBTUSD,1580256000001,0.00062324
XBTUSD,1580284800000,0.00108193
XBTUSD,1580313600002,0.00053694
XBTUSD,1580342400000,0.000236
XBTUSD,1580371200000,0.00024877
XBTUSD,1580400000000,0.00034852
XBTUSD,1580428800000,0.00053551
XBTUSD,1580457600000,0.00077154
XBTUSD,1580486400000,0.00039858
XBTUSD,1580515200000,0.00074991
XBTUSD,1580544000000,0.00065667
XBTUSD,1580572800000,0.00049052
XBTUSD,1580601600000,0.00028263
XBTUSD,1580630400000,0.00034916
XBTUSD,1580659200000,0.00065524
XBTUSD,1580688000000,0.00060677
XBTUSD,1580716800000,0.00035862
XBTUSD,1580745600000,0.0001
XBTUSD,1580774400000,0.00099282
XBTUSD,1580803200001,0.0005445
XBTUSD,1580832000000,0.00038192
XBTUSD,1580860800002,0.0001
XBTUSD,1580889600000,0.0001
XBTUSD,1580918400000,0.00052631
XBTUSD,1580947200000,0.00164021
XBTUSD,1580976000000,0.00078299
XBTUSD,1581004800000,0.00055668
XBTUSD,1581033600000,0.00035618
XBTUSD,1581062400000,0.00019726
XBTUSD,1581091200001,0.00034616
XBTUSD,1581120000000,0.00039915
XBTUSD,1581148800000,0.00062858
XBTUSD,1581177600000,0.00099315
XBTUSD,1581206400000,0.00042798
XBTUSD,1581235200000,0.00081519
XBTUSD,1581264000000,0.00113954
XBTUSD,1581292800000,0.00106733
XBTUSD,1581321600000,0.00125022
XBTUSD,1581350400009,0.00097918
XBTUSD,1581379200000,0.00043989
XBTUSD,1581408000000,0.00064797
XBTUSD,1581436800000,0.0005012
XBTUSD,1581465600000,0.003
XBTUSD,1581494400001,0.00108055
XBTUSD,1581523200000,0.00103884
XBTUSD,1581552000001,0.00093553
XBTUSD,1581580800000,0.00084403
XBTUSD,1581609600000,0.00070414
XBTUSD,1581638400000,0.0006332
XBTUSD,1581667200000,0.00074453
XBTUSD,1581696000000,0.00055952
XBTUSD,1581724800000,0.00059113
XBTUSD,1581753600000,0.0009686
XBTUSD,1581782400000,0.00087369
XBTUSD,1581811200000,0.00051202
XBTUSD,1581840000000,0.00036973
XBTUSD,1581868800000,0.00060847
XBTUSD,1581897600000,0.00043179
XBTUSD,1581926400000,0.0006096
XBTUSD,1581955200000,0.00091076
XBTUSD,1581984000000,0.00026967
XBTUSD,1582012800000,0.00013952
XBTUSD,1582041600000,0.00029662
XBTUSD,1582070400000,0.00046396
XBTUSD,1582099200001,0.00038487
XBTUSD,1582128000000,0.00040757
XBTUSD,1582156800004,0.0001
XBTUSD,1582185600000,0.0001
XBTUSD,1582214400000,0.0001
XBTUSD,1582243200000,0.0001
XBTUSD,1582272000000,0.0001
XBTUSD,1582300800000,0.0001
XBTUSD,1582329600000,0.0001
XBTUSD,1582358400001,0.0001
XBTUSD,1582387200000,0.00012243
XBTUSD,1582416000000,0.00029663
XBTUSD,1582444800000,0.0003901
XBTUSD,1582473600000,0.00065308
XBTUSD,1582502400015,0.00048774
XBTUSD,1582531200000,0.00014587
XBTUSD,1582560000000,0.0001
XBTUSD,1582588800001,0.00032389
XBTUSD,1582617600000,0.00027363
XBTUSD,1582646400001,0.00046949
XBTUSD,1582675200000,0.0003617
XBTUSD,1582704000001,0.0005063
XBTUSD,1582732800000,0.0003866
XBTUSD,1582761600001,0.00017363
XBTUSD,1582790400001,0.0001
XBTUSD,1582819200000,0.0001
XBTUSD,1582848000000,0.0001
XBTUSD,1582876800000,0.00011659
XBTUSD,1582905600000,0.00023604
XBTUSD,1582934400000,0.00061536
XBTUSD,1582963200000,0.00060166
XBTUSD,1582992000000,0.00062345
XBTUSD,1583020800000,0.00049317
XBTUSD,1583049600000,0.00027933
XBTUSD,1583078400001,0.00031033
XBTUSD,1583107200000,0.0001872
XBTUSD,1583136000000,0.0001
XBTUSD,1583164800004,0.0001
XBTUSD,1583193600000,0.0001
XBTUSD,1583222400003,0.0001
XBTUSD,1583251200000,0.0001
XBTUSD,1583280000002,0.0001
XBTUSD,1583308800000,0.0001
XBTUSD,1583337600001,0.00024328
