symbol,fundingTime,fundingRate
XLMUSD,1579449600000,0.0001
XLMUSD,1579478400000,0.0001
XLMUSD,1579507200000,0.0001
XLMUSD,1579536000000,0.0001
XLMUSD,1579564800000,0.0001
XLMUSD,1579593600000,0.0001
XLMUSD,1579622400000,0.0001
XLMUSD,1579651200000,0.0001
XLMUSD,1579680000001,0.0001
XLMUSD,1579708800000,0.0001
XLMUSD,1579737600000,0.0001
XLMUSD,1579766400000,0.0001
XLMUSD,1579795200000,0.0001
XLMUSD,1579824000000,0.0001
XLMUSD,1579852800000,0.0001
XLMUSD,1579881600001,0.0001
XLMUSD,1579910400000,0.0001
XLMUSD,1579939200000,0.0001
XLMUSD,1579968000001,0.0001
XLMUSD,1579996800000,0.0001
XLMUSD,1580025600000,0.0001
XLMUSD,1580054400000,0.0001
XLMUSD,1580083200000,0.0001
XLMUSD,1580112000001,0.0001
XLMUSD,1580140800000,0.0001
XLMUSD,1580169600000,0.0001
XLMUSD,1580198400000,0.0001
XLMUSD,1580227200000,0.0001
XLMUSD,1580256000001,0.0001
XLMUSD,1580284800000,0.0001
XLMUSD,1580313600002,0.0001
XLMUSD,1580342400000,0.0001
XLMUSD,1580371200000,0.0001
XLMUSD,1580400000000,0.0001
XLMUSD,1580428800000,0.0001
XLMUSD,1580457600000,0.0001
XLMUSD,1580486400000,0.0001
XLMUSD,1580515200000,0.00028825
XLMUSD,1580544000000,0.00172479
XLMUSD,1580572800000,0.00138881
XLMUSD,1580601600000,0.00017866
XLMUSD,1580630400000,0.0001
XLMUSD,1580659200000,0.0001
XLMUSD,1580688000000,0.0001
XLMUSD,1580716800000,0.0001
XLMUSD,1580745600000,0.0001
XLMUSD,1580774400000,0.0001
XLMUSD,1580803200001,0.0001
XLMUSD,1580832000000,0.00023926
XLMUSD,1580860800002,0.00011405
XLMUSD,1580889600000,0.0001
XLMUSD,1580918400000,0.00054619
XLMUSD,1580947200000,0.00132826
XLMUSD,1580976000000,0.00222648
XLMUSD,1581004800000,0.00112521
XLMUSD,1581033600000,0.00115874
XLMUSD,1581062400000,0.00106528
XLMUSD,1581091200001,0.00127669
XLMUSD,1581120000000,0.00181912
XLMUSD,1581148800000,0.00156856
XLMUSD,1581177600000,0.001835
XLMUSD,1581206400000,0.00169221
XLMUSD,1581235200000,0.00173212
XLMUSD,1581264000000,0.00125957
XLMUSD,1581292800000,0.00163851
XLMUSD,1581321600000,0.00089207
XLMUSD,1581350400009,0.00110335
XLMUSD,1581379200000,0.00036643
XLMUSD,1581408000000,0.0005795
XLMUSD,1581436800000,0.00030573
XLMUSD,1581465600000,0.000462
XLMUSD,1581494400001,0.00185711
XLMUSD,1581523200000,0.00138401
XLMUSD,1581552000001,0.00207113
XLMUSD,1581580800000,0.00182196
XLMUSD,1581609600000,0.00176818
XLMUSD,1581638400000,0.00078438
XLMUSD,1581667200000,0.00053637
