symbol,fundingTime,fundingRate
XMRUSD,1580515200000,0.0001
XMRUSD,1580544000000,0.0001
XMRUSD,1580572800000,0.0001
XMRUSD,1580601600000,0.0001
XMRUSD,1580630400000,0.0001
XMRUSD,1580659200000,0.0001
XMRUSD,1580688000000,0.0001
XMRUSD,1580716800000,0.0001
XMRUSD,1580745600000,0.0001
XMRUSD,1580774400000,0.0001
XMRUSD,1580803200001,0.0001
XMRUSD,1580832000000,0.0001
XMRUSD,1580860800002,0.0001
XMRUSD,1580889600000,0.0001
XMRUSD,1580918400000,0.0001
XMRUSD,1580947200000,0.0001
XMRUSD,1580976000000,0.0001
XMRUSD,1581004800000,0.00034434
XMRUSD,1581033600000,0.000185
XMRUSD,1581062400000,0.0001
XMRUSD,1581091200001,0.0001
XMRUSD,1581120000000,0.0001
XMRUSD,1581148800000,0.0001
XMRUSD,1581177600000,0.0001
XMRUSD,1581206400000,0.0001
XMRUSD,1581235200000,0.0001
XMRUSD,1581264000000,0.0001
XMRUSD,1581292800000,0.0001
XMRUSD,1581321600000,0.0001
XMRUSD,1581350400009,0.0001
XMRUSD,1581379200000,0.0001
XMRUSD,1581408000000,0.0006871
XMRUSD,1581436800000,0.00026773
XMRUSD,1581465600000,0.00074411
XMRUSD,1581494400001,0.00267403
XMRUSD,1581523200000,0.00178372
XMRUSD,1581552000001,0.00038041
XMRUSD,1581580800000,0.0001
XMRUSD,1581609600000,0.00059293
XMRUSD,1581638400000,0.00024175
XMRUSD,1581667200000,0.0001
XMRUSD,1581696000000,0.00061178
XMRUSD,1581724800000,0.00072803
XMRUSD,1581753600000,0.00102926
XMRUSD,1581782400000,0.00146303
XMRUSD,1581811200000,0.00017745
XMRUSD,1581840000000,0.00013621
XMRUSD,1581868800000,0.0001
XMRUSD,1581897600000,0.0001
XMRUSD,1581926400000,0.0001
XMRUSD,1581955200000,0.00014814
XMRUSD,1581984000000,0.0001
XMRUSD,1582012800000,0.00019447
XMRUSD,1582041600000,0.0001
XMRUSD,1582070400000,0.0001
XMRUSD,1582099200001,0.0001
XMRUSD,1582128000000,0.0001
XMRUSD,1582156800004,0.0001
XMRUSD,1582185600000,0.0001
XMRUSD,1582214400000,0.0001
XMRUSD,1582243200000,0.0001
XMRUSD,1582272000000,0.0001
XMRUSD,1582300800000,0.0001
XMRUSD,1582329600000,0.00011196
XMRUSD,1582358400001,0.0001
XMRUSD,1582387200000,0.00018792
XMRUSD,1582416000000,0.0001
XMRUSD,1582444800000,0.0001
XMRUSD,1582473600000,0.0005192
XMRUSD,1582502400015,0.00029201
XMRUSD,1582531200000,0.00019977
XMRUSD,1582560000000,0.00017138
XMRUSD,1582588800001,0.0001
XMRUSD,1582617600000,0.0001
XMRUSD,1582646400001,0.0001
XMRUSD,1582675200000,0.0001
XMRUSD,1582704000001,0.0001
XMRUSD,1582732800000,0.0001
XMRUSD,1582761600001,0.0001
XMRUSD,1582790400001,0.0001
XMRUSD,1582819200000,0.0001
XMRUSD,1582848000000,0.0001
XMRUSD,1582876800000,0.0001
XMRUSD,1582905600000,0.0001
XMRUSD,1582934400000,0.0001
XMRUSD,1582963200000,-5.516e-05
XMRUSD,1582992000000,0.0001
XMRUSD,1583020800000,0.0001
XMRUSD,1583049600000,0.0001
XMRUSD,1583078400001,0.0001
XMRUSD,1583107200000,0.0001
XMRUSD,1583136000000,0.0001
XMRUSD,1583164800004,0.0001
XMRUSD,1583193600000,0.0001
XMRUSD,1583222400003,0.0001
XMRUSD,1583251200000,0.0001
XMRUSD,1583280000002,0.0001
XMRUSD,1583308800000,0.0001
XMRUSD,1583337600001,0.0001
XMRUSD,1583366400000,0.0001
XMRUSD,1583395200000,0.0001
XMRUSD,1583424000000,0.0001
XMRUSD,1583452800003,0.0001
XMRUSD,1583481600000,0.0001
XMRUSD,1583510400000,0.0001
XMRUSD,1583539200000,0.0001
XMRUSD,1583568000001,0.0001
XMRUSD,1583596800000,0.00037618
XMRUSD,1583625600001,0.00143012
XMRUSD,1583654400000,0.00082907
XMRUSD,1583683200006,0.00147407
XMRUSD,1583712000000,0.00061861
XMRUSD,1583740800000,0.00083191
XMRUSD,1583769600000,0.00023696
XMRUSD,1583798400000,0.0001
XMRUSD,1583827200000,0.00017838
XMRUSD,1583856000000,0.00034433
XMRUSD,1583884800001,0.00079917
XMRUSD,1583913600000,0.0001
XMRUSD,1583942400000,0.0001
XMRUSD,1583971200001,0.00054101
XMRUSD,1584000000001,0.00074405
XMRUSD,1584028800000,-0.00071498
XMRUSD,1584057600000,-0.00043132
XMRUSD,1584086400000,5.002e-05
XMRUSD,1584115200002,0.0001
XMRUSD,1584144000000,0.0001
XMRUSD,1584172800001,-0.00065101
XMRUSD,1584201600000,-0.00101035
XMRUSD,1584230400000,-0.00166494
XMRUSD,1584259200000,-0.00099437
XMRUSD,1584288000001,-0.00020905
XMRUSD,1584316800000,0.0001
XMRUSD,1584345600000,6.183e-05
XMRUSD,1584374400001,0.0001
XMRUSD,1584403200000,0.00013396
XMRUSD,1584432000000,0.00033816
XMRUSD,1584460800000,0.0001
XMRUSD,1584489600000,0.0001
XMRUSD,1584518400000,0.00104007
XMRUSD,1584547200000,0.0008177
XMRUSD,1584576000000,0.00239426
XMRUSD,1584604800000,0.00033338
XMRUSD,1584633600000,0.0001
XMRUSD,1584662400000,0.00020972
XMRUSD,1584691200000,0.000404
XMRUSD,1584720000000,0.00141993
XMRUSD,1584748800000,0.0001
XMRUSD,1584777600000,-2.87e-06
XMRUSD,1584806400000,0.0001
XMRUSD,1584835200000,0.00094752
XMRUSD,1584864000001,0.00129235
XMRUSD,1584892800000,0.00109775
XMRUSD,1584921600000,0.0001
XMRUSD,1584950400000,0.0001
XMRUSD,1584979200000,0.00068916
XMRUSD,1585008000000,0.00152382
XMRUSD,1585036800000,0.00033385
XMRUSD,1585065600000,0.0001
XMRUSD,1585094400000,0.00023101
XMRUSD,1585123200000,0.00093428
XMRUSD,1585152000001,0.00051542
XMRUSD,1585180800006,0.00174207
XMRUSD,1585209600002,0.00160778
XMRUSD,1585238400000,0.0001
XMRUSD,1585267200000,-0.00048121
XMRUSD,1585296000000,0.0001
XMRUSD,1585324800000,-0.00113149
XMRUSD,1585353600000,0.00081775
XMRUSD,1585382400000,0.0006762
XMRUSD,1585411200000,0.00088566
XMRUSD,1585440000000,0.0001
XMRUSD,1585468800001,0.00017268
XMRUSD,1585497600000,0.000697
XMRUSD,1585526400000,0.0001
XMRUSD,1585555200000,0.0022553
XMRUSD,1585584000000,0.0001
XMRUSD,1585612800000,0.00184026
XMRUSD,1585641600001,-0.00145077
XMRUSD,1585670400001,-0.00033122
XMRUSD,1585699200002,-8.741e-05
XMRUSD,1585728000000,-0.00076558
XMRUSD,1585756800001,-0.00022587
XMRUSD,1585785600000,-0.00036084
XMRUSD,1585814400000,-0.00074138
XMRUSD,1585843200000,-0.00043759
XMRUSD,1585872000000,9.083e-05
XMRUSD,1585900800000,1.505e-05
XMRUSD,1585929600000,-0.00116943
XMRUSD,1585958400000,-0.00034304
XMRUSD,1585987200000,0.0001
XMRUSD,1586016000000,-0.00065846
XMRUSD,1586044800001,-0.00065787
XMRUSD,1586073600000,-0.00100127
XMRUSD,1586102400000,-0.00014718
XMRUSD,1586131200000,0.0001
XMRUSD,1586160000000,-8.701e-05
XMRUSD,1586188800000,4.131e-05
XMRUSD,1586217600000,0.0001
XMRUSD,1586246400000,0.0001
XMRUSD,1586275200000,0.0001
XMRUSD,1586304000000,0.0001
XMRUSD,1586332800000,0.0001
XMRUSD,1586361600000,0.0001
XMRUSD,1586390400000,0.0001
XMRUSD,1586419200001,0.0001
XMRUSD,1586448000000,0.00016615
XMRUSD,1586476800001,0.0001
XMRUSD,1586505600000,0.0001
XMRUSD,1586534400000,0.0001
XMRUSD,1586563200000,0.0001
XMRUSD,1586592000000,0.0001
XMRUSD,1586620800000,0.0001
XMRUSD,1586649600000,0.0001
XMRUSD,1586678400006,0.0001
XMRUSD,1586707200001,0.0001
XMRUSD,1586736000001,0.0001
XMRUSD,1586764800000,0.0001
XMRUSD,1586793600000,2.05e-05
XMRUSD,1586822400000,1.41e-05
XMRUSD,1586851200000,-0.00036929
XMRUSD,1586880000000,-0.00076643
XMRUSD,1586908800000,-0.00016655
XMRUSD,1586937600000,0.0001
XMRUSD,1586966400000,-0.00058257
XMRUSD,1586995200000,-0.00015939
XMRUSD,1587024000000,-0.00018899
XMRUSD,1587052800000,0.0001
XMRUSD,1587081600000,0.0001
XMRUSD,1587110400000,-0.0001701
XMRUSD,1587139200000,0.0001
XMRUSD,1587168000000,0.0001
XMRUSD,1587196800000,0.00090681
XMRUSD,1587225600000,0.0001
XMRUSD,1587254400000,0.0001
XMRUSD,1587283200000,0.0001
XMRUSD,1587312000000,0.0001
XMRUSD,1587340800000,0.0001
XMRUSD,1587369600000,0.0001
XMRUSD,1587398400000,0.0001
XMRUSD,1587427200000,0.0001
XMRUSD,1587456000001,-0.00088211
XMRUSD,1587484800000,-0.00040269
XMRUSD,1587513600001,0.0001
XMRUSD,1587542400000,0.0001
XMRUSD,1587571200000,0.0001
XMRUSD,1587600000000,0.0001
XMRUSD,1587628800001,0.0001
XMRUSD,1587657600000,0.0001
XMRUSD,1587686400000,0.0001
XMRUSD,1587715200000,0.0001
XMRUSD,1587744000000,0.0001
XMRUSD,1587772800003,0.0001
XMRUSD,1587801600000,0.00019367
XMRUSD,1587830400000,0.0001
XMRUSD,1587859200000,0.0001
XMRUSD,1587888000000,0.0001
XMRUSD,1587916800000,0.0001
XMRUSD,1587945600000,0.0001
XMRUSD,1587974400005,0.0001
XMRUSD,1588003200000,0.0001
XMRUSD,1588032000000,0.0001
XMRUSD,1588060800000,0.0001
XMRUSD,1588089600000,0.0001
XMRUSD,1588118400000,0.0001
XMRUSD,1588147200001,0.0001
XMRUSD,1588176000000,0.0001
XMRUSD,1588204800000,0.0001
XMRUSD,1588233600000,0.0001
XMRUSD,1588262400000,0.00029717
XMRUSD,1588291200000,0.00048079
XMRUSD,1588320000000,0.00050753
XMRUSD,1588348800000,0.00021377
XMRUSD,1588377600000,0.0001
XMRUSD,1588406400000,0.0001
