symbol,fundingTime,fundingRate
XRPUSD,1578297600000,0.0001
XRPUSD,1578326400000,0.00487889
XRPUSD,1578355200000,0.00180851
XRPUSD,1578384000001,0.00075005
XRPUSD,1578412800000,0.00022266
XRPUSD,1578441600000,0.0001
XRPUSD,1578470400000,0.00139017
XRPUSD,1578499200001,0.00065731
XRPUSD,1578528000000,0.0001
XRPUSD,1578556800000,0.0001
XRPUSD,1578585600000,0.0001
XRPUSD,1578614400000,0.0001
XRPUSD,1578643200000,0.0001
XRPUSD,1578672000000,0.0001
XRPUSD,1578700800000,0.0001
XRPUSD,1578729600000,0.0001
XRPUSD,1578758400000,0.0001
XRPUSD,1578787200000,0.0001
XRPUSD,1578816000000,0.0001
XRPUSD,1578844800000,0.0001
XRPUSD,1578873600001,0.00022677
XRPUSD,1578902400000,0.0001
XRPUSD,1578931200000,0.0001
XRPUSD,1578960000000,0.00023193
XRPUSD,1578988800000,0.0001
XRPUSD,1579017600001,0.00058179
XRPUSD,1579046400000,0.00275417
XRPUSD,1579075200000,0.00181173
XRPUSD,1579104000000,0.00180187
XRPUSD,1579132800000,0.00109311
XRPUSD,1579161600000,0.0001
XRPUSD,1579190400000,0.0001
XRPUSD,1579219200000,0.0001
XRPUSD,1579248000000,0.0001
XRPUSD,1579276800000,0.0001
XRPUSD,1579305600001,0.0001
XRPUSD,1579334400001,0.0001
XRPUSD,1579363200000,0.00033018
XRPUSD,1579392000000,0.00185072
XRPUSD,1579420800000,0.00164121
XRPUSD,1579449600000,0.00087585
XRPUSD,1579478400000,0.00049196
XRPUSD,1579507200000,0.0001
XRPUSD,1579536000000,0.0001
XRPUSD,1579564800000,0.0001
XRPUSD,1579593600000,0.0001
XRPUSD,1579622400000,0.00034253
XRPUSD,1579651200000,0.00017282
XRPUSD,1579680000001,0.00013911
XRPUSD,1579708800000,0.0001
XRPUSD,1579737600000,0.00042104
XRPUSD,1579766400000,0.00029574
XRPUSD,1579795200000,0.0001
XRPUSD,1579824000000,0.0001
XRPUSD,1579852800000,0.0001
XRPUSD,1579881600001,0.0001
XRPUSD,1579910400000,0.0001
XRPUSD,1579939200000,0.0001
XRPUSD,1579968000001,0.0001
XRPUSD,1579996800000,0.0001
XRPUSD,1580025600000,0.0001
XRPUSD,1580054400000,0.0001
XRPUSD,1580083200000,0.0001
XRPUSD,1580112000001,0.0001
XRPUSD,1580140800000,0.0001
XRPUSD,1580169600000,0.0001
XRPUSD,1580198400000,0.00025437
XRPUSD,1580227200000,0.0002949
XRPUSD,1580256000001,0.00111354
XRPUSD,1580284800000,0.00108821
XRPUSD,1580313600002,0.00129547
XRPUSD,1580342400000,0.00104493
XRPUSD,1580371200000,0.0008496
XRPUSD,1580400000000,0.00094568
XRPUSD,1580428800000,0.00163247
XRPUSD,1580457600000,0.00139455
XRPUSD,1580486400000,0.00065705
XRPUSD,1580515200000,0.00011588
XRPUSD,1580544000000,0.00021319
XRPUSD,1580572800000,0.00034136
XRPUSD,1580601600000,0.00073987
XRPUSD,1580630400000,0.00052875
XRPUSD,1580659200000,0.00070499
XRPUSD,1580688000000,0.00076429
XRPUSD,1580716800000,0.0006028
XRPUSD,1580745600000,0.00068694
XRPUSD,1580774400000,0.00097581
XRPUSD,1580803200001,0.00065478
XRPUSD,1580832000000,0.00087324
XRPUSD,1580860800002,0.00084913
XRPUSD,1580889600000,0.00015617
XRPUSD,1580918400000,0.00055073
XRPUSD,1580947200000,0.00154527
XRPUSD,1580976000000,0.00185237
XRPUSD,1581004800000,0.00129262
XRPUSD,1581033600000,0.00121796
XRPUSD,1581062400000,0.00107989
XRPUSD,1581091200001,0.00194481
XRPUSD,1581120000000,0.00098417
XRPUSD,1581148800000,0.00031831
XRPUSD,1581177600000,0.00068328
XRPUSD,1581206400000,0.00090964
XRPUSD,1581235200000,0.00094769
XRPUSD,1581264000000,0.00123672
XRPUSD,1581292800000,0.00084757
XRPUSD,1581321600000,0.001089
XRPUSD,1581350400009,0.00073909
XRPUSD,1581379200000,0.00050019
XRPUSD,1581408000000,0.00063707
XRPUSD,1581436800000,0.000699
XRPUSD,1581465600000,0.0027129
XRPUSD,1581494400001,0.00412417
XRPUSD,1581523200000,0.00225375
XRPUSD,1581552000001,0.00260997
XRPUSD,1581580800000,0.00399863
XRPUSD,1581609600000,0.00071174
XRPUSD,1581638400000,0.00046998
XRPUSD,1581667200000,0.00065324
XRPUSD,1581696000000,0.00123369
XRPUSD,1581724800000,0.00203384
XRPUSD,1581753600000,0.00074374
XRPUSD,1581782400000,0.00092091
XRPUSD,1581811200000,0.0001
XRPUSD,1581840000000,0.00061959
XRPUSD,1581868800000,0.00013594
XRPUSD,1581897600000,0.0001
XRPUSD,1581926400000,0.0001
XRPUSD,1581955200000,0.0002768
XRPUSD,1581984000000,0.00032492
XRPUSD,1582012800000,0.00052507
XRPUSD,1582041600000,0.00047347
XRPUSD,1582070400000,0.00090213
XRPUSD,1582099200001,0.00063226
XRPUSD,1582128000000,0.00068491
XRPUSD,1582156800004,0.00014727
XRPUSD,1582185600000,0.0001
XRPUSD,1582214400000,0.0001
XRPUSD,1582243200000,0.0001
XRPUSD,1582272000000,0.00021036
XRPUSD,1582300800000,0.00020904
XRPUSD,1582329600000,0.00017202
XRPUSD,1582358400001,0.0003983
XRPUSD,1582387200000,0.00036526
XRPUSD,1582416000000,0.00024281
XRPUSD,1582444800000,0.0006435
XRPUSD,1582473600000,0.00064068
XRPUSD,1582502400015,0.00045487
XRPUSD,1582531200000,0.00020174
XRPUSD,1582560000000,0.0001
XRPUSD,1582588800001,0.00030932
XRPUSD,1582617600000,0.00029794
XRPUSD,1582646400001,0.00011103
XRPUSD,1582675200000,0.0001
XRPUSD,1582704000001,0.00012143
XRPUSD,1582732800000,0.0001
XRPUSD,1582761600001,0.0001
XRPUSD,1582790400001,0.0001
XRPUSD,1582819200000,0.0001
XRPUSD,1582848000000,0.00015561
XRPUSD,1582876800000,0.00020472
XRPUSD,1582905600000,0.0001
XRPUSD,1582934400000,0.0001
XRPUSD,1582963200000,0.00040397
XRPUSD,1582992000000,0.00018203
XRPUSD,1583020800000,0.00022598
XRPUSD,1583049600000,0.00013142
XRPUSD,1583078400001,0.0001
XRPUSD,1583107200000,0.00030761
XRPUSD,1583136000000,0.0001
XRPUSD,1583164800004,0.0001
XRPUSD,1583193600000,0.00027794
XRPUSD,1583222400003,0.00024294
XRPUSD,1583251200000,0.0001
XRPUSD,1583280000002,0.00019764
XRPUSD,1583308800000,0.00018098
XRPUSD,1583337600001,0.0002205
XRPUSD,1583366400000,0.0001
XRPUSD,1583395200000,0.00017193
XRPUSD,1583424000000,0.00047024
XRPUSD,1583452800003,0.0002527
XRPUSD,1583481600000,0.00033903
XRPUSD,1583510400000,0.00030528
XRPUSD,1583539200000,0.00039742
XRPUSD,1583568000001,0.0003237
XRPUSD,1583596800000,0.00025411
XRPUSD,1583625600001,0.00071553
XRPUSD,1583654400000,0.00027966
XRPUSD,1583683200006,0.00022191
XRPUSD,1583712000000,0.0001
XRPUSD,1583740800000,0.0001
XRPUSD,1583769600000,0.0001
XRPUSD,1583798400000,0.0001
XRPUSD,1583827200000,0.0001
XRPUSD,1583856000000,0.0001
XRPUSD,1583884800001,0.0001
XRPUSD,1583913600000,0.0001
XRPUSD,1583942400000,0.0001
XRPUSD,1583971200001,0.0001
XRPUSD,1584000000001,0.0001
XRPUSD,1584028800000,-0.00054364
XRPUSD,1584057600000,8.86e-05
XRPUSD,1584086400000,-0.00432483
XRPUSD,1584115200002,-0.00105843
XRPUSD,1584144000000,-0.00046517
XRPUSD,1584172800001,0.0001
XRPUSD,1584201600000,0.0001
XRPUSD,1584230400000,0.0001
XRPUSD,1584259200000,6.808e-05
XRPUSD,1584288000001,0.0001
XRPUSD,1584316800000,0.0001
XRPUSD,1584345600000,0.0001
XRPUSD,1584374400001,-0.00072875
XRPUSD,1584403200000,4.465e-05
XRPUSD,1584432000000,9.686e-05
XRPUSD,1584460800000,0.0001
XRPUSD,1584489600000,0.0001
XRPUSD,1584518400000,0.0001
XRPUSD,1584547200000,0.0001
XRPUSD,1584576000000,0.0001
XRPUSD,1584604800000,0.0001
XRPUSD,1584633600000,0.0001
XRPUSD,1584662400000,0.0001
XRPUSD,1584691200000,0.0001
XRPUSD,1584720000000,0.0001
XRPUSD,1584748800000,0.0001
XRPUSD,1584777600000,0.0001
XRPUSD,1584806400000,0.0001
XRPUSD,1584835200000,0.0001
XRPUSD,1584864000001,-2.544e-05
XRPUSD,1584892800000,-1.993e-05
XRPUSD,1584921600000,0.0001
XRPUSD,1584950400000,0.0001
XRPUSD,1584979200000,0.0001
XRPUSD,1585008000000,8.86e-06
XRPUSD,1585036800000,9.185e-05
XRPUSD,1585065600000,0.0001
XRPUSD,1585094400000,-9.172e-05
XRPUSD,1585123200000,0.0001
XRPUSD,1585152000001,0.0001
XRPUSD,1585180800006,5.58e-05
XRPUSD,1585209600002,0.0001
XRPUSD,1585238400000,0.0001
XRPUSD,1585267200000,0.0001
XRPUSD,1585296000000,0.0001
XRPUSD,1585324800000,0.0001
XRPUSD,1585353600000,0.0001
XRPUSD,1585382400000,0.0001
XRPUSD,1585411200000,0.0001
XRPUSD,1585440000000,0.0001
XRPUSD,1585468800001,0.0001
XRPUSD,1585497600000,0.0001
XRPUSD,1585526400000,-1.83e-06
XRPUSD,1585555200000,0.0001
XRPUSD,1585584000000,0.0001
XRPUSD,1585612800000,0.0001
XRPUSD,1585641600001,0.0001
XRPUSD,1585670400001,0.0001
XRPUSD,1585699200002,0.0001
XRPUSD,1585728000000,0.0001
XRPUSD,1585756800001,0.0001
XRPUSD,1585785600000,8.97e-05
XRPUSD,1585814400000,0.0001
XRPUSD,1585843200000,0.0001
XRPUSD,1585872000000,0.0001
XRPUSD,1585900800000,0.0001
XRPUSD,1585929600000,0.0001
XRPUSD,1585958400000,0.0001
XRPUSD,1585987200000,-2.439e-05
XRPUSD,1586016000000,0.0001
XRPUSD,1586044800001,0.0001
XRPUSD,1586073600000,0.0001
XRPUSD,1586102400000,-0.00020256
XRPUSD,1586131200000,0.0001
XRPUSD,1586160000000,0.0001
XRPUSD,1586188800000,0.0001
XRPUSD,1586217600000,0.0001
XRPUSD,1586246400000,0.0001
XRPUSD,1586275200000,0.0001
XRPUSD,1586304000000,0.0001
XRPUSD,1586332800000,0.0001
XRPUSD,1586361600000,0.0001
XRPUSD,1586390400000,0.0001
XRPUSD,1586419200001,0.0001
XRPUSD,1586448000000,0.0001
XRPUSD,1586476800001,0.0001
XRPUSD,1586505600000,0.0001
XRPUSD,1586534400000,-0.00020724
XRPUSD,1586563200000,-0.00026331
XRPUSD,1586592000000,0.0001
XRPUSD,1586620800000,0.0001
XRPUSD,1586649600000,-4.2e-07
XRPUSD,1586678400006,0.0001
XRPUSD,1586707200001,0.0001
XRPUSD,1586736000001,0.0001
XRPUSD,1586764800000,-0.00024679
XRPUSD,1586793600000,8.827e-05
XRPUSD,1586822400000,4.705e-05
XRPUSD,1586851200000,-0.0001059
XRPUSD,1586880000000,1.93e-05
XRPUSD,1586908800000,-0.00017188
XRPUSD,1586937600000,0.0001
XRPUSD,1586966400000,0.0001
XRPUSD,1586995200000,0.0001
XRPUSD,1587024000000,6.679e-05
XRPUSD,1587052800000,9.179e-05
XRPUSD,1587081600000,0.0001
XRPUSD,1587110400000,0.0001
XRPUSD,1587139200000,0.0001
XRPUSD,1587168000000,0.0001
XRPUSD,1587196800000,0.0001
XRPUSD,1587225600000,0.0001
XRPUSD,1587254400000,0.0001
XRPUSD,1587283200000,0.0001
XRPUSD,1587312000000,0.0001
XRPUSD,1587340800000,0.0001
XRPUSD,1587369600000,0.0001
XRPUSD,1587398400000,0.0001
XRPUSD,1587427200000,0.0001
XRPUSD,1587456000001,0.0001
XRPUSD,1587484800000,0.0001
XRPUSD,1587513600001,0.0001
XRPUSD,1587542400000,0.0001
XRPUSD,1587571200000,0.0001
XRPUSD,1587600000000,0.0001
XRPUSD,1587628800001,0.0001
XRPUSD,1587657600000,0.0001
XRPUSD,1587686400000,0.0001
XRPUSD,1587715200000,0.0001
XRPUSD,1587744000000,0.0001
XRPUSD,1587772800003,0.0001
XRPUSD,1587801600000,0.0001
