symbol,fundingTime,fundingRate
XTZUSD,1580803200001,0.0001
XTZUSD,1580832000000,0.0001
XTZUSD,1580860800002,0.0001
XTZUSD,1580889600000,0.0001
XTZUSD,1580918400000,0.0001
XTZUSD,1580947200000,0.0001
XTZUSD,1580976000000,0.0001
XTZUSD,1581004800000,0.00289285
XTZUSD,1581033600000,0.00253138
XTZUSD,1581062400000,0.00159492
XTZUSD,1581091200001,0.00170162
XTZUSD,1581120000000,0.00036711
XTZUSD,1581148800000,0.0001
XTZUSD,1581177600000,0.00159889
XTZUSD,1581206400000,0.00058539
XTZUSD,1581235200000,0.00014061
XTZUSD,1581264000000,0.0001
XTZUSD,1581292800000,0.0001
XTZUSD,1581321600000,0.0001
XTZUSD,1581350400009,0.0001
XTZUSD,1581379200000,0.00022396
XTZUSD,1581408000000,0.00029005
XTZUSD,1581436800000,0.0005985
XTZUSD,1581465600000,0.00201002
XTZUSD,1581494400001,0.00327963
XTZUSD,1581523200000,0.00267367
XTZUSD,1581552000001,0.00372468
XTZUSD,1581580800000,0.00448353
XTZUSD,1581609600000,0.00166208
XTZUSD,1581638400000,0.00126045
XTZUSD,1581667200000,0.00142379
XTZUSD,1581696000000,0.00062967
XTZUSD,1581724800000,0.00173112
XTZUSD,1581753600000,0.00076001
XTZUSD,1581782400000,0.00202227
XTZUSD,1581811200000,0.00032224
XTZUSD,1581840000000,0.00011777
XTZUSD,1581868800000,0.00052196
XTZUSD,1581897600000,0.00014323
XTZUSD,1581926400000,0.0001
XTZUSD,1581955200000,0.0001
XTZUSD,1581984000000,0.0001
XTZUSD,1582012800000,0.0005857
XTZUSD,1582041600000,0.0001
XTZUSD,1582070400000,0.0001
XTZUSD,1582099200001,0.00078055
XTZUSD,1582128000000,0.00016671
XTZUSD,1582156800004,0.0001
XTZUSD,1582185600000,0.0001
XTZUSD,1582214400000,-0.00011924
XTZUSD,1582243200000,0.0001
XTZUSD,1582272000000,0.00056581
XTZUSD,1582300800000,0.00069077
XTZUSD,1582329600000,0.0001
XTZUSD,1582358400001,-0.00028254
XTZUSD,1582387200000,0.00028766
XTZUSD,1582416000000,0.00073306
XTZUSD,1582444800000,0.00099855
XTZUSD,1582473600000,0.00023612
XTZUSD,1582502400015,0.00145058
XTZUSD,1582531200000,0.00062745
XTZUSD,1582560000000,0.00043958
XTZUSD,1582588800001,0.0001
XTZUSD,1582617600000,0.00014218
XTZUSD,1582646400001,0.00057856
XTZUSD,1582675200000,0.0001
XTZUSD,1582704000001,0.00017983
XTZUSD,1582732800000,0.0001
XTZUSD,1582761600001,0.0001
XTZUSD,1582790400001,0.0001
XTZUSD,1582819200000,0.0001
XTZUSD,1582848000000,0.0001
XTZUSD,1582876800000,0.0001
XTZUSD,1582905600000,0.0001
XTZUSD,1582934400000,0.0001
XTZUSD,1582963200000,0.0001
XTZUSD,1582992000000,0.0001
XTZUSD,1583020800000,0.0001
XTZUSD,1583049600000,0.00039198
XTZUSD,1583078400001,0.0001
XTZUSD,1583107200000,0.0001
XTZUSD,1583136000000,0.0001
XTZUSD,1583164800004,0.0001
XTZUSD,1583193600000,0.0001
XTZUSD,1583222400003,0.0001
XTZUSD,1583251200000,0.0001
XTZUSD,1583280000002,0.0001
XTZUSD,1583308800000,0.0001
XTZUSD,1583337600001,0.0001
XTZUSD,1583366400000,0.0001
XTZUSD,1583395200000,-3.4e-06
XTZUSD,1583424000000,0.0001064
XTZUSD,1583452800003,0.0001
XTZUSD,1583481600000,0.0001
XTZUSD,1583510400000,0.00014127
XTZUSD,1583539200000,0.00060194
XTZUSD,1583568000001,0.00043755
XTZUSD,1583596800000,0.00060765
XTZUSD,1583625600001,0.00047625
XTZUSD,1583654400000,0.00055441
XTZUSD,1583683200006,0.00076459
XTZUSD,1583712000000,0.00043292
XTZUSD,1583740800000,0.00036533
XTZUSD,1583769600000,0.00029888
XTZUSD,1583798400000,0.00020238
XTZUSD,1583827200000,0.0001
XTZUSD,1583856000000,0.0001
XTZUSD,1583884800001,0.0001
XTZUSD,1583913600000,0.0001
XTZUSD,1583942400000,0.0001
XTZUSD,1583971200001,0.0003155
XTZUSD,1584000000001,0.00100028
XTZUSD,1584028800000,-0.00277854
XTZUSD,1584057600000,0.0001
XTZUSD,1584086400000,0.0001
XTZUSD,1584115200002,0.0001
XTZUSD,1584144000000,-0.0063275
XTZUSD,1584172800001,0.0001
XTZUSD,1584201600000,0.00015499
XTZUSD,1584230400000,0.00039571
XTZUSD,1584259200000,0.00065829
XTZUSD,1584288000001,0.00062071
XTZUSD,1584316800000,0.00036411
XTZUSD,1584345600000,0.00058896
XTZUSD,1584374400001,0.0001
XTZUSD,1584403200000,0.0001
XTZUSD,1584432000000,0.00012222
XTZUSD,1584460800000,0.00018347
XTZUSD,1584489600000,0.00046054
XTZUSD,1584518400000,0.00033606
XTZUSD,1584547200000,0.00083622
XTZUSD,1584576000000,0.00022628
XTZUSD,1584604800000,0.0001
XTZUSD,1584633600000,-0.00099312
XTZUSD,1584662400000,0.0001
XTZUSD,1584691200000,0.0001
XTZUSD,1584720000000,-0.00105171
