symbol,fundingTime,fundingRate
ZECUSD,1580803200001,0.0001
ZECUSD,1580832000000,0.0001
ZECUSD,1580860800002,0.0001
ZECUSD,1580889600000,0.0001
ZECUSD,1580918400000,0.00043339
ZECUSD,1580947200000,0.0002082
ZECUSD,1580976000000,0.00080653
ZECUSD,1581004800000,0.00230612
ZECUSD,1581033600000,0.00294495
ZECUSD,1581062400000,0.00157251
ZECUSD,1581091200001,0.00407061
ZECUSD,1581120000000,0.00279491
ZECUSD,1581148800000,0.00133546
ZECUSD,1581177600000,0.00216647
ZECUSD,1581206400000,0.00258652
ZECUSD,1581235200000,0.00203331
ZECUSD,1581264000000,0.00232274
ZECUSD,1581292800000,0.00167637
ZECUSD,1581321600000,0.00087709
ZECUSD,1581350400009,0.00170397
ZECUSD,1581379200000,0.00187233
ZECUSD,1581408000000,0.0016362
ZECUSD,1581436800000,0.00107205
ZECUSD,1581465600000,0.00189552
ZECUSD,1581494400001,0.00357992
ZECUSD,1581523200000,0.00205988
ZECUSD,1581552000001,0.00215033
ZECUSD,1581580800000,0.00307153
ZECUSD,1581609600000,0.00032779
ZECUSD,1581638400000,0.00016377
ZECUSD,1581667200000,0.0001
ZECUSD,1581696000000,0.00116953
ZECUSD,1581724800000,0.00266854
ZECUSD,1581753600000,0.00189436
ZECUSD,1581782400000,0.00228777
ZECUSD,1581811200000,0.00012316
ZECUSD,1581840000000,0.0001
ZECUSD,1581868800000,0.0001
ZECUSD,1581897600000,0.0001
ZECUSD,1581926400000,0.0001
ZECUSD,1581955200000,0.0001
ZECUSD,1581984000000,0.0001
ZECUSD,1582012800000,0.0001
ZECUSD,1582041600000,0.00014757
ZECUSD,1582070400000,0.00126202
ZECUSD,1582099200001,0.00125256
ZECUSD,1582128000000,0.00158252
ZECUSD,1582156800004,0.00040562
ZECUSD,1582185600000,0.0001
ZECUSD,1582214400000,0.0001
ZECUSD,1582243200000,0.00018372
ZECUSD,1582272000000,0.0001
ZECUSD,1582300800000,0.00082904
ZECUSD,1582329600000,0.0001
ZECUSD,1582358400001,0.0001
ZECUSD,1582387200000,0.00022003
ZECUSD,1582416000000,0.0001
ZECUSD,1582444800000,0.00047539
ZECUSD,1582473600000,0.00051094
ZECUSD,1582502400015,0.00064695
ZECUSD,1582531200000,0.00080841
ZECUSD,1582560000000,0.00075726
ZECUSD,1582588800001,0.00026112
ZECUSD,1582617600000,0.0001
ZECUSD,1582646400001,0.00022717
ZECUSD,1582675200000,0.00033159
ZECUSD,1582704000001,0.0001
ZECUSD,1582732800000,0.0001
ZECUSD,1582761600001,0.0001
ZECUSD,1582790400001,0.0001
ZECUSD,1582819200000,0.0001
ZECUSD,1582848000000,0.0001
ZECUSD,1582876800000,0.0001
ZECUSD,1582905600000,0.00010128
ZECUSD,1582934400000,0.00046544
ZECUSD,1582963200000,0.00065467
ZECUSD,1582992000000,0.00015666
ZECUSD,1583020800000,0.0001
ZECUSD,1583049600000,0.00012782
ZECUSD,1583078400001,0.0001
ZECUSD,1583107200000,0.0001
ZECUSD,1583136000000,0.0001
ZECUSD,1583164800004,0.0001
ZECUSD,1583193600000,0.0001
ZECUSD,1583222400003,0.00021947
ZECUSD,1583251200000,0.0001
ZECUSD,1583280000002,0.0001
ZECUSD,1583308800000,0.0001
ZECUSD,1583337600001,0.0001
ZECUSD,1583366400000,0.0001
ZECUSD,1583395200000,0.00045193
ZECUSD,1583424000000,0.00023215
ZECUSD,1583452800003,0.0001
ZECUSD,1583481600000,0.00025137
ZECUSD,1583510400000,0.00027392
ZECUSD,1583539200000,0.00038348
ZECUSD,1583568000001,0.0001
ZECUSD,1583596800000,0.0001
ZECUSD,1583625600001,0.0001
ZECUSD,1583654400000,0.00020118
ZECUSD,1583683200006,0.00020187
ZECUSD,1583712000000,0.0001
ZECUSD,1583740800000,0.0001
ZECUSD,1583769600000,0.0001
ZECUSD,1583798400000,-2.03e-05
ZECUSD,1583827200000,0.0001
ZECUSD,1583856000000,0.0001
ZECUSD,1583884800001,0.0001
ZECUSD,1583913600000,0.0001
ZECUSD,1583942400000,0.0001
ZECUSD,1583971200001,0.00011806
ZECUSD,1584000000001,0.0001
ZECUSD,1584028800000,0.0001
ZECUSD,1584057600000,0.0001
ZECUSD,1584086400000,0.0001
ZECUSD,1584115200002,0.0001
ZECUSD,1584144000000,0.0001
ZECUSD,1584172800001,0.0001
ZECUSD,1584201600000,0.0001
ZECUSD,1584230400000,0.0001
ZECUSD,1584259200000,0.00021418
ZECUSD,1584288000001,0.0001
ZECUSD,1584316800000,0.0001
ZECUSD,1584345600000,-0.00029508
ZECUSD,1584374400001,-0.00033908
ZECUSD,1584403200000,-0.00013533
ZECUSD,1584432000000,0.0001
ZECUSD,1584460800000,0.0001
ZECUSD,1584489600000,0.0001
ZECUSD,1584518400000,0.0001
ZECUSD,1584547200000,-0.00029849
ZECUSD,1584576000000,0.0001
ZECUSD,1584604800000,0.0001
ZECUSD,1584633600000,9.729e-05
ZECUSD,1584662400000,0.0001
ZECUSD,1584691200000,0.0001
ZECUSD,1584720000000,0.0001
ZECUSD,1584748800000,7.341e-05
ZECUSD,1584777600000,-0.0013623
ZECUSD,1584806400000,0.0001
ZECUSD,1584835200000,6.627e-05
ZECUSD,1584864000001,-0.0013433
ZECUSD,1584892800000,-1.646e-05
ZECUSD,1584921600000,7.99e-06
ZECUSD,1584950400000,0.0001
ZECUSD,1584979200000,0.0001
ZECUSD,1585008000000,0.0001
ZECUSD,1585036800000,0.0001
ZECUSD,1585065600000,-8.197e-05
ZECUSD,1585094400000,0.0001
ZECUSD,1585123200000,0.0001
ZECUSD,1585152000001,1.265e-05
ZECUSD,1585180800006,-0.0010739
ZECUSD,1585209600002,-0.00099002
ZECUSD,1585238400000,-0.00023004
ZECUSD,1585267200000,0.0001
ZECUSD,1585296000000,-0.00035655
ZECUSD,1585324800000,0.0001
ZECUSD,1585353600000,0.0001
ZECUSD,1585382400000,0.0001
ZECUSD,1585411200000,0.0001
ZECUSD,1585440000000,-0.00096831
ZECUSD,1585468800001,-0.00107588
ZECUSD,1585497600000,-0.00044729
ZECUSD,1585526400000,-0.00030109
ZECUSD,1585555200000,0.0001
ZECUSD,1585584000000,0.0001
ZECUSD,1585612800000,0.0001
ZECUSD,1585641600001,-0.00080629
ZECUSD,1585670400001,0.0001
ZECUSD,1585699200002,-0.000887
ZECUSD,1585728000000,0.0001
ZECUSD,1585756800001,0.0001
ZECUSD,1585785600000,0.0001
ZECUSD,1585814400000,-5.891e-05
ZECUSD,1585843200000,0.0001
ZECUSD,1585872000000,0.0001
ZECUSD,1585900800000,0.0001
ZECUSD,1585929600000,-6.334e-05
ZECUSD,1585958400000,0.0001
ZECUSD,1585987200000,0.0001
ZECUSD,1586016000000,0.0001
ZECUSD,1586044800001,0.0001
ZECUSD,1586073600000,0.0001
ZECUSD,1586102400000,0.0001
ZECUSD,1586131200000,0.0001
ZECUSD,1586160000000,0.0001
ZECUSD,1586188800000,0.0001
ZECUSD,1586217600000,0.0001
ZECUSD,1586246400000,0.0001
ZECUSD,1586275200000,0.0001
ZECUSD,1586304000000,0.0001
ZECUSD,1586332800000,0.0001
ZECUSD,1586361600000,0.0001
ZECUSD,1586390400000,0.0001
ZECUSD,1586419200001,0.0001
ZECUSD,1586448000000,0.0001
ZECUSD,1586476800001,0.0001
ZECUSD,1586505600000,0.0001
ZECUSD,1586534400000,0.0001
ZECUSD,1586563200000,0.0001
ZECUSD,1586592000000,0.0001
ZECUSD,1586620800000,0.0001
ZECUSD,1586649600000,0.0001
ZECUSD,1586678400006,0.0001
ZECUSD,1586707200001,0.0001
ZECUSD,1586736000001,0.0001
ZECUSD,1586764800000,0.0001
ZECUSD,1586793600000,0.0001
ZECUSD,1586822400000,0.0001
ZECUSD,1586851200000,0.0001
ZECUSD,1586880000000,0.0001
ZECUSD,1586908800000,0.0001
ZECUSD,1586937600000,0.0001
ZECUSD,1586966400000,0.0001
ZECUSD,1586995200000,6.393e-05
ZECUSD,1587024000000,5.187e-05
ZECUSD,1587052800000,-0.00015806
ZECUSD,1587081600000,0.0001
ZECUSD,1587110400000,1.998e-05
ZECUSD,1587139200000,0.0001
ZECUSD,1587168000000,0.0001
ZECUSD,1587196800000,-0.00042642
ZECUSD,1587225600000,-0.00013881
ZECUSD,1587254400000,0.0001
ZECUSD,1587283200000,-0.00031541
ZECUSD,1587312000000,-0.00053636
ZECUSD,1587340800000,-0.00215343
ZECUSD,1587369600000,-0.0016811
ZECUSD,1587398400000,-0.000426
ZECUSD,1587427200000,0.00031734
ZECUSD,1587456000001,0.00053931
ZECUSD,1587484800000,0.0001
ZECUSD,1587513600001,0.0001
ZECUSD,1587542400000,0.0001
ZECUSD,1587571200000,0.0001
ZECUSD,1587600000000,0.0001
ZECUSD,1587628800001,0.0001
ZECUSD,1587657600000,0.0001
ZECUSD,1587686400000,0.0001
ZECUSD,1587715200000,0.0001
ZECUSD,1587744000000,0.0001
ZECUSD,1587772800003,0.00062187
ZECUSD,1587801600000,0.000288
ZECUSD,1587830400000,0.00047968
ZECUSD,1587859200000,0.0001
ZECUSD,1587888000000,0.00014763
ZECUSD,1587916800000,0.00030867
ZECUSD,1587945600000,0.00050357
ZECUSD,1587974400005,0.00019388
ZECUSD,1588003200000,0.00061021
ZECUSD,1588032000000,0.00012589
ZECUSD,1588060800000,0.0001
ZECUSD,1588089600000,0.00027025
ZECUSD,1588118400000,0.00034775
ZECUSD,1588147200001,0.00058964
ZECUSD,1588176000000,0.00076438
ZECUSD,1588204800000,0.0001
ZECUSD,1588233600000,0.0001
ZECUSD,1588262400000,0.0001
ZECUSD,1588291200000,0.0001
ZECUSD,1588320000000,0.00035863
ZECUSD,1588348800000,0.00012631
ZECUSD,1588377600000,0.0001
ZECUSD,1588406400000,0.0001
ZECUSD,1588435200000,0.0001
ZECUSD,1588464000000,0.0001
ZECUSD,1588492800000,0.0001
ZECUSD,1588521600000,0.0001
ZECUSD,1588550400000,0.0001
ZECUSD,1588579200005,0.0001
ZECUSD,1588608000000,0.0001
ZECUSD,1588636800000,0.0001
ZECUSD,1588665600000,0.0001
ZECUSD,1588694400000,0.00020546
ZECUSD,1588723200001,0.0001
ZECUSD,1588752000000,0.0001
ZECUSD,1588780800000,0.0001
ZECUSD,1588809600000,0.0001
ZECUSD,1588838400011,0.0001
ZECUSD,1588867200000,0.0001
ZECUSD,1588896000000,0.00016733
ZECUSD,1588924800001,0.00052748
ZECUSD,1588953600000,0.00037854
ZECUSD,1588982400000,0.0001
ZECUSD,1589011200000,0.0015171
ZECUSD,1589040000000,0.00077117
ZECUSD,1589068800000,0.0001
ZECUSD,1589097600000,0.0001
ZECUSD,1589126400000,0.0001
ZECUSD,1589155200000,0.0001
ZECUSD,1589184000000,0.0001
ZECUSD,1589212800000,0.00039958
ZECUSD,1589241600000,0.0001
ZECUSD,1589270400001,0.00013881
ZECUSD,1589299200000,0.0001
ZECUSD,1589328000000,0.0001
ZECUSD,1589356800000,0.0001
ZECUSD,1589385600000,0.0001
ZECUSD,1589414400000,0.0001
ZECUSD,1589443200000,0.0001
ZECUSD,1589472000000,0.0001
ZECUSD,1589500800000,0.0001
ZECUSD,1589529600000,0.0001
ZECUSD,1589558400001,0.0001
ZECUSD,1589587200008,0.0001
ZECUSD,1589616000000,0.0001
ZECUSD,1589644800000,0.0001
ZECUSD,1589673600002,0.0001
ZECUSD,1589702400000,0.0001
ZECUSD,1589731200000,0.0001
ZECUSD,1589760000000,-0.00044033
ZECUSD,1589788800000,0.0001
ZECUSD,1589817600001,0.0001
ZECUSD,1589846400005,0.0001
ZECUSD,1589875200000,0.00014983
ZECUSD,1589904000000,0.00014603
ZECUSD,1589932800000,0.00037949
ZECUSD,1589961600000,0.0001
ZECUSD,1589990400006,0.00028642
ZECUSD,1590019200000,0.0001
ZECUSD,1590048000000,0.0001
ZECUSD,1590076800000,0.0001
ZECUSD,1590105600006,0.0001
ZECUSD,1590134400000,0.0001
ZECUSD,1590163200000,0.00036993
ZECUSD,1590192000003,0.0001
ZECUSD,1590220800000,0.0001
ZECUSD,1590249600000,0.0001
ZECUSD,1590278400006,0.0001
ZECUSD,1590307200000,0.0001
ZECUSD,1590336000000,0.0001
ZECUSD,1590364800000,0.0001
ZECUSD,1590393600000,0.0003509
ZECUSD,1590422400000,0.0001
ZECUSD,1590451200000,0.0001
ZECUSD,1590480000006,0.0001
ZECUSD,1590508800000,0.0001
ZECUSD,1590537600000,0.0001
ZECUSD,1590566400000,0.0001
ZECUSD,1590595200000,0.0001
ZECUSD,1590624000000,0.0001
ZECUSD,1590652800000,0.0001
ZECUSD,1590681600000,0.00012722
ZECUSD,1590710400000,0.0001
ZECUSD,1590739200000,0.0001
ZECUSD,1590768000000,0.00015424
ZECUSD,1590796800000,0.0002964
ZECUSD,1590825600001,0.0001
ZECUSD,1590854400000,0.0001
ZECUSD,1590883200000,0.0001
ZECUSD,1590912000001,0.0001
ZECUSD,1590940800000,0.0001
ZECUSD,1590969600000,0.0001
ZECUSD,1590998400001,0.0001
ZECUSD,1591027200000,0.0001
ZECUSD,1591056000000,0.0001
ZECUSD,1591084800002,0.00144519
ZECUSD,1591113600000,0.00031238
ZECUSD,1591142400000,0.0001
ZECUSD,1591171200000,0.0001
ZECUSD,1591200000002,0.0001
ZECUSD,1591228800001,0.0001
ZECUSD,1591257600004,0.0001
ZECUSD,1591286400001,0.0001
ZECUSD,1591315200001,0.0001
ZECUSD,1591344000000,0.0001
ZECUSD,1591372800001,0.00073183
ZECUSD,1591401600000,0.00051595
ZECUSD,1591430400000,0.00048713
ZECUSD,1591459200000,0.0001
ZECUSD,1591488000000,0.0001
ZECUSD,1591516800000,0.0001
ZECUSD,1591545600006,0.0001
ZECUSD,1591574400008,0.00025899
ZECUSD,1591603200007,0.00017336
ZECUSD,1591632000000,0.0001
ZECUSD,1591660800000,0.0001
ZECUSD,1591689600000,0.0001
ZECUSD,1591718400000,0.0001
ZECUSD,1591747200000,0.00030326
ZECUSD,1591776000000,0.00029733
ZECUSD,1591804800000,0.0001
ZECUSD,1591833600008,0.00031351
ZECUSD,1591862400001,0.0001
ZECUSD,1591891200000,0.0001
ZECUSD,1591920000003,0.0001
ZECUSD,1591948800000,0.0001
ZECUSD,1591977600002,0.0001
ZECUSD,1592006400000,0.00015061
ZECUSD,1592035200001,0.0001
ZECUSD,1592064000000,0.0001
ZECUSD,1592092800007,0.0001
ZECUSD,1592121600000,0.0001
ZECUSD,1592150400001,0.0001
ZECUSD,1592179200000,0.0001
ZECUSD,1592208000001,0.0001
ZECUSD,1592236800000,0.0001
ZECUSD,1592265600002,0.0001
ZECUSD,1592294400000,0.0001
ZECUSD,1592323200006,0.0001
ZECUSD,1592352000000,0.00011504
ZECUSD,1592380800007,0.00038781
ZECUSD,1592409600000,0.00032343
ZECUSD,1592438400003,0.00046824
ZECUSD,1592467200001,0.00015477
ZECUSD,1592496000002,0.0001
ZECUSD,1592524800001,0.0001
ZECUSD,1592553600003,0.0001
ZECUSD,1592582400000,0.00057032
ZECUSD,1592611200000,0.0001
ZECUSD,1592640000009,0.00018405
ZECUSD,1592668800006,0.0001
ZECUSD,1592697600000,0.00038649
ZECUSD,1592726400000,0.0001
ZECUSD,1592755200000,0.0001
ZECUSD,1592784000000,0.0001
ZECUSD,1592812800000,0.0001
ZECUSD,1592841600001,0.0001
ZECUSD,1592870400000,0.00020281
ZECUSD,1592899200002,0.00019994
ZECUSD,1592928000000,0.0001
ZECUSD,1592956800001,0.0001
ZECUSD,1592985600000,0.0001
ZECUSD,1593014400000,0.0001
ZECUSD,1593043200000,0.0001
ZECUSD,1593072000000,0.00011077
ZECUSD,1593100800000,0.0001
ZECUSD,1593129600000,0.0001
ZECUSD,1593158400000,0.0001
ZECUSD,1593187200000,0.0001
ZECUSD,1593216000003,0.00014072
ZECUSD,1593244800004,0.0001
ZECUSD,1593273600000,0.0001
ZECUSD,1593302400003,0.0001
ZECUSD,1593331200001,0.00021835
ZECUSD,1593360000000,0.00018939
ZECUSD,1593388800000,0.0001
ZECUSD,1593417600005,0.0001
ZECUSD,1593446400000,0.00020655
ZECUSD,1593475200000,0.00111895
ZECUSD,1593504000001,0.0001
ZECUSD,1593532800002,0.0001
ZECUSD,1593561600002,0.0001
ZECUSD,1593590400000,0.0001
ZECUSD,1593619200000,0.0007103
ZECUSD,1593648000001,0.0001
ZECUSD,1593676800001,0.0001
ZECUSD,1593705600000,0.0001
ZECUSD,1593734400000,0.0001
ZECUSD,1593763200001,0.0001
ZECUSD,1593792000000,0.0001
ZECUSD,1593820800002,0.0001
ZECUSD,1593849600002,0.0001
ZECUSD,1593878400001,0.0001
ZECUSD,1593907200000,0.0001
ZECUSD,1593936000000,6.61e-05
ZECUSD,1593964800000,0.0001
ZECUSD,1593993600000,0.0001
ZECUSD,1594022400001,0.0001
ZECUSD,1594051200000,0.0001
ZECUSD,1594080000000,0.0001
ZECUSD,1594108800006,0.0001
ZECUSD,1594137600000,0.00049707
ZECUSD,1594166400000,0.0001
ZECUSD,1594195200000,0.00100091
ZECUSD,1594224000000,0.00083912
ZECUSD,1594252800001,0.000594
ZECUSD,1594281600002,0.00085467
ZECUSD,1594310400000,0.00065896
ZECUSD,1594339200000,0.00031294
ZECUSD,1594368000001,0.00016891
ZECUSD,1594396800000,0.0001
ZECUSD,1594425600000,0.00021926
ZECUSD,1594454400000,0.0001
ZECUSD,1594483200000,0.00013419
ZECUSD,1594512000000,0.00025657
ZECUSD,1594540800000,0.0001
ZECUSD,1594569600000,0.0011159
ZECUSD,1594598400000,0.00111736
ZECUSD,1594627200001,0.00098891
ZECUSD,1594656000000,0.00049789
ZECUSD,1594684800001,0.00059123
ZECUSD,1594713600000,0.0001
ZECUSD,1594742400000,0.00016091
ZECUSD,1594771200000,0.0001
ZECUSD,1594800000000,0.0001
ZECUSD,1594828800000,0.00015506
ZECUSD,1594857600000,0.00024555
ZECUSD,1594886400002,0.0001
