symbol,fundingTime,fundingRate
ADAUSD,1756886400000,5.014563888889e-06
ADAUSD,1756890000000,1.274768055556e-06
ADAUSD,1756893600000,1.18737875e-05
ADAUSD,1756897200000,1.1888743055556e-05
ADAUSD,1756900800000,5.2020875e-06
ADAUSD,1756904400000,3.712518055556e-06
ADAUSD,1756908000000,6.732279166667e-06
ADAUSD,1756911600000,1.2145747222222e-05
ADAUSD,1756915200000,1.162316666667e-06
ADAUSD,1756918800000,-3.493009722222e-06
ADAUSD,1756922400000,5.645297222222e-06
ADAUSD,1756926000000,4.099288888889e-06
ADAUSD,1756929600000,1.1387304166667e-05
ADAUSD,1756933200000,3.661441666667e-06
ADAUSD,1756936800000,6.588063888889e-06
ADAUSD,1756940400000,4.581747222222e-06
ADAUSD,1756944000000,5.4302875e-06
ADAUSD,1756947600000,8.520305555556e-06
ADAUSD,1756951200000,3.602388888889e-06
ADAUSD,1756954800000,5.0257375e-06
ADAUSD,1756958400000,9.905377777778e-06
ADAUSD,1756962000000,1.02125375e-05
ADAUSD,1756965600000,6.298802777778e-06
ADAUSD,1756969200000,6.740280555556e-06
ADAUSD,1756972800000,9.073865277778e-06
ADAUSD,1756976400000,5.520565277778e-06
ADAUSD,1756980000000,-2.225244444444e-06
ADAUSD,1756983600000,-7.430893055556e-06
ADAUSD,1756987200000,-8.920318055556e-06
ADAUSD,1756990800000,-7.44998611111e-07
ADAUSD,1756994400000,-1.703926388889e-06
ADAUSD,1756998000000,1.523648611111e-06
ADAUSD,1757001600000,2.5931415277778e-05
ADAUSD,1757005200000,1.4034401388889e-05
ADAUSD,1757008800000,1.0047202777778e-05
ADAUSD,1757012400000,5.035293055556e-06
ADAUSD,1757016000000,8.224936111111e-06
ADAUSD,1757019600000,8.402573611111e-06
ADAUSD,1757023200000,3.513858333333e-06
ADAUSD,1757026800000,-1.07873611111e-07
ADAUSD,1757030400000,-7.516165277778e-06
ADAUSD,1757034000000,-7.700130555556e-06
ADAUSD,1757037600000,-2.072256944444e-06
ADAUSD,1757041200000,4.571444444444e-06
ADAUSD,1757044800000,4.167876388889e-06
ADAUSD,1757048400000,9.431475e-06
ADAUSD,1757052000000,1.8737856944444e-05
ADAUSD,1757055600000,1.7833880555556e-05
ADAUSD,1757059200000,1.1264083333333e-05
ADAUSD,1757062800000,7.869213888889e-06
ADAUSD,1757066400000,1.2600283333333e-05
ADAUSD,1757070000000,1.9916440277778e-05
ADAUSD,1757073600000,2.5226933333333e-05
ADAUSD,1757077200000,2.0077426388889e-05
ADAUSD,1757080800000,3.349343055556e-06
ADAUSD,1757084400000,9.557626388889e-06
ADAUSD,1757088000000,1.6377708333333e-05
ADAUSD,1757091600000,1.9922044444444e-05
ADAUSD,1757095200000,1.5044731944444e-05
ADAUSD,1757098800000,1.40989e-05
ADAUSD,1757102400000,7.990958333333e-06
ADAUSD,1757106000000,9.2668875e-06
ADAUSD,1757109600000,8.427365277778e-06
ADAUSD,1757113200000,5.306311111111e-06
ADAUSD,1757116800000,-5.311359722222e-06
ADAUSD,1757120400000,2.661498611111e-06
ADAUSD,1757124000000,-1.800141666667e-06
