symbol,fundingTime,fundingRate
ALGOUSD,1756886400000,5.274115277778e-06
ALGOUSD,1756890000000,9.411016666667e-06
ALGOUSD,1756893600000,1.4289968055556e-05
ALGOUSD,1756897200000,4.9594447222222e-05
ALGOUSD,1756900800000,3.2891231944444e-05
ALGOUSD,1756904400000,2.9419034722222e-05
ALGOUSD,1756908000000,2.7877055555556e-05
ALGOUSD,1756911600000,1.8470880555556e-05
ALGOUSD,1756915200000,1.5718165277778e-05
ALGOUSD,1756918800000,1.4701577777778e-05
ALGOUSD,1756922400000,1.9465730555556e-05
ALGOUSD,1756926000000,2.9294218055556e-05
ALGOUSD,1756929600000,3.5816459722222e-05
ALGOUSD,1756933200000,2.6381569444444e-05
ALGOUSD,1756936800000,2.2795248611111e-05
ALGOUSD,1756940400000,2.8452147222222e-05
ALGOUSD,1756944000000,2.40633625e-05
ALGOUSD,1756947600000,2.7747230555556e-05
ALGOUSD,1756951200000,1.2515805555556e-05
ALGOUSD,1756954800000,6.867734722222e-06
ALGOUSD,1756958400000,4.73177777778e-07
ALGOUSD,1756962000000,4.090876388889e-06
ALGOUSD,1756965600000,-7.119659722222e-06
ALGOUSD,1756969200000,-1.5160956944444e-05
ALGOUSD,1756972800000,-4.873288888889e-06
ALGOUSD,1756976400000,-4.265929166667e-06
ALGOUSD,1756980000000,-4.183968055556e-06
ALGOUSD,1756983600000,8.302902777778e-06
ALGOUSD,1756987200000,1.0966061111111e-05
ALGOUSD,1756990800000,3.821645833333e-06
ALGOUSD,1756994400000,-3.781265277778e-06
ALGOUSD,1756998000000,-1.4071151388889e-05
ALGOUSD,1757001600000,-3.169816666667e-06
ALGOUSD,1757005200000,1.166198611111e-06
ALGOUSD,1757008800000,-1.902820833333e-06
ALGOUSD,1757012400000,-7.509433333333e-06
ALGOUSD,1757016000000,-5.967451388889e-06
ALGOUSD,1757019600000,-5.978677777778e-06
ALGOUSD,1757023200000,2.656508333333e-06
ALGOUSD,1757026800000,-1.3645681944444e-05
ALGOUSD,1757030400000,-3.896094444444e-06
ALGOUSD,1757034000000,-7.272047222222e-06
ALGOUSD,1757037600000,1.001670833333e-06
ALGOUSD,1757041200000,-9.31168055556e-07
ALGOUSD,1757044800000,4.765416666667e-06
ALGOUSD,1757048400000,1.3449368055556e-05
ALGOUSD,1757052000000,1.4762154166667e-05
ALGOUSD,1757055600000,1.1743065277778e-05
ALGOUSD,1757059200000,5.9940625e-06
ALGOUSD,1757062800000,1.4417736111111e-05
ALGOUSD,1757066400000,1.5611526388889e-05
ALGOUSD,1757070000000,7.687702777778e-06
ALGOUSD,1757073600000,-3.334545833333e-06
ALGOUSD,1757077200000,-1.5349025e-05
ALGOUSD,1757080800000,-2.5290261111111e-05
ALGOUSD,1757084400000,-2.5033581944444e-05
ALGOUSD,1757088000000,-2.0082272222222e-05
ALGOUSD,1757091600000,-2.4395304166667e-05
ALGOUSD,1757095200000,-1.8716481944444e-05
ALGOUSD,1757098800000,4.008869444444e-06
ALGOUSD,1757102400000,-1.979543055556e-06
ALGOUSD,1757106000000,-5.279893055556e-06
ALGOUSD,1757109600000,-3.984420833333e-06
ALGOUSD,1757113200000,-1.3603747222222e-05
ALGOUSD,1757116800000,-1.3695158333333e-05
ALGOUSD,1757120400000,-1.795545833333e-06
ALGOUSD,1757124000000,-9.890193055556e-06
ALGOUSD,1757127600000,-7.332088888889e-06
ALGOUSD,1757131200000,-9.13190277778e-07
ALGOUSD,1757134800000,-2.12695e-06
ALGOUSD,1757138400000,-4.306301388889e-06
ALGOUSD,1757142000000,-1.2393133333333e-05
ALGOUSD,1757145600000,-1.6315823611111e-05
ALGOUSD,1757149200000,-1.7535669444444e-05
ALGOUSD,1757152800000,-1.8027938888889e-05
ALGOUSD,1757156400000,-1.9634406944444e-05
ALGOUSD,1757160000000,-1.4561156944444e-05
ALGOUSD,1757163600000,-1.5416245833333e-05
ALGOUSD,1757167200000,-1.7874252777778e-05
ALGOUSD,1757170800000,-5.124188888889e-06
ALGOUSD,1757174400000,-1.1845961111111e-05
ALGOUSD,1757178000000,-1.1536577777778e-05
ALGOUSD,1757181600000,1.0282841666667e-05
ALGOUSD,1757185200000,1.0670776388889e-05
ALGOUSD,1757188800000,1.73663888889e-07
ALGOUSD,1757192400000,-1.254372222222e-06
ALGOUSD,1757196000000,-2.059120833333e-06
ALGOUSD,1757199600000,-4.310297222222e-06
ALGOUSD,1757203200000,-7.76659722222e-07
ALGOUSD,1757206800000,1.46886111111e-07
ALGOUSD,1757210400000,-3.323602777778e-06
ALGOUSD,1757214000000,4.37175e-06
ALGOUSD,1757217600000,1.8045975e-05
ALGOUSD,1757221200000,2.2020551388889e-05
ALGOUSD,1757224800000,2.7057908333333e-05
ALGOUSD,1757228400000,1.7543816666667e-05
ALGOUSD,1757232000000,7.100995833333e-06
ALGOUSD,1757235600000,1.4080602777778e-05
ALGOUSD,1757239200000,4.3372518055556e-05
ALGOUSD,1757242800000,4.1379529166667e-05
ALGOUSD,1757246400000,3.5273918055556e-05
ALGOUSD,1757250000000,3.3285563888889e-05
ALGOUSD,1757253600000,2.5641988888889e-05
ALGOUSD,1757257200000,2.6963166666667e-05
ALGOUSD,1757260800000,3.55978e-05
ALGOUSD,1757264400000,2.6130025e-05
ALGOUSD,1757268000000,2.0596958333333e-05
ALGOUSD,1757271600000,1.2521709722222e-05
ALGOUSD,1757275200000,1.4968398611111e-05
ALGOUSD,1757278800000,1.5467759722222e-05
ALGOUSD,1757282400000,1.2584933333333e-05
ALGOUSD,1757286000000,1.8761905555556e-05
ALGOUSD,1757289600000,2.1449963888889e-05
ALGOUSD,1757293200000,3.4404715277778e-05
ALGOUSD,1757296800000,3.667988888889e-06
ALGOUSD,1757300400000,3.068008333333e-06
ALGOUSD,1757304000000,8.773888888889e-06
ALGOUSD,1757307600000,1.5852354166667e-05
ALGOUSD,1757311200000,-2.1243105555556e-05
ALGOUSD,1757314800000,-1.750995e-05
ALGOUSD,1757318400000,-1.6413563888889e-05
ALGOUSD,1757322000000,1.0225498611111e-05
ALGOUSD,1757325600000,2.4299744444444e-05
ALGOUSD,1757329200000,2.55788625e-05
ALGOUSD,1757332800000,2.3450326388889e-05
ALGOUSD,1757336400000,2.8435052777778e-05
ALGOUSD,1757340000000,1.99795875e-05
ALGOUSD,1757343600000,2.2801933333333e-05
ALGOUSD,1757347200000,1.520465e-05
ALGOUSD,1757350800000,6.378829166667e-06
ALGOUSD,1757354400000,6.000086111111e-06
ALGOUSD,1757358000000,1.097186111111e-06
ALGOUSD,1757361600000,-1.2207573611111e-05
ALGOUSD,1757365200000,-1.7928577777778e-05
ALGOUSD,1757368800000,-1.8538522222222e-05
ALGOUSD,1757372400000,-2.219405e-05
