symbol,fundingTime,fundingRate
ATOMUSD,1756886400000,-8.124376388889e-06
ATOMUSD,1756890000000,-1.7028091666667e-05
ATOMUSD,1756893600000,-1.7464777777778e-05
ATOMUSD,1756897200000,-1.4340777777778e-05
ATOMUSD,1756900800000,-3.752711111111e-06
ATOMUSD,1756904400000,2.592680555556e-06
ATOMUSD,1756908000000,5.791906944444e-06
ATOMUSD,1756911600000,6.224131944444e-06
ATOMUSD,1756915200000,-3.297694444444e-06
ATOMUSD,1756918800000,-1.753931944444e-06
ATOMUSD,1756922400000,3.60106944444e-07
ATOMUSD,1756926000000,-2.001286111111e-06
ATOMUSD,1756929600000,-1.0684840277778e-05
ATOMUSD,1756933200000,-8.565686111111e-06
ATOMUSD,1756936800000,-1.669930555556e-06
ATOMUSD,1756940400000,-1.0572875e-06
ATOMUSD,1756944000000,-3.133422222222e-06
ATOMUSD,1756947600000,-4.309190277778e-06
ATOMUSD,1756951200000,-5.658261111111e-06
ATOMUSD,1756954800000,-8.042068055556e-06
ATOMUSD,1756958400000,-1.5272381944444e-05
ATOMUSD,1756962000000,2.090197222222e-06
ATOMUSD,1756965600000,-9.363281944444e-06
ATOMUSD,1756969200000,-1.4055308333333e-05
ATOMUSD,1756972800000,-1.6977394444444e-05
ATOMUSD,1756976400000,-1.31148625e-05
ATOMUSD,1756980000000,-1.2703384722222e-05
ATOMUSD,1756983600000,-2.22095e-06
ATOMUSD,1756987200000,-1.08658333333e-07
ATOMUSD,1756990800000,-7.386463888889e-06
ATOMUSD,1756994400000,-4.519522222222e-06
ATOMUSD,1756998000000,-1.4206440277778e-05
ATOMUSD,1757001600000,-1.4273276388889e-05
ATOMUSD,1757005200000,-2.2756577777778e-05
ATOMUSD,1757008800000,-2.4271629166667e-05
ATOMUSD,1757012400000,-2.5532068055556e-05
ATOMUSD,1757016000000,-2.8178904166667e-05
ATOMUSD,1757019600000,-3.6206484722222e-05
ATOMUSD,1757023200000,-2.6502076388889e-05
ATOMUSD,1757026800000,-2.9571908333333e-05
ATOMUSD,1757030400000,-2.7782563888889e-05
ATOMUSD,1757034000000,-1.4853468055556e-05
ATOMUSD,1757037600000,-1.1116931944444e-05
ATOMUSD,1757041200000,-2.555388888889e-06
ATOMUSD,1757044800000,-5.540784722222e-06
ATOMUSD,1757048400000,-3.083686111111e-06
ATOMUSD,1757052000000,-3.404901388889e-06
ATOMUSD,1757055600000,-3.627491666667e-06
ATOMUSD,1757059200000,-4.204086111111e-06
ATOMUSD,1757062800000,-4.424291666667e-06
ATOMUSD,1757066400000,-1.0817875e-05
ATOMUSD,1757070000000,-1.6483476388889e-05
ATOMUSD,1757073600000,-9.123834722222e-06
ATOMUSD,1757077200000,-3.338363888889e-06
ATOMUSD,1757080800000,-2.447336111111e-06
ATOMUSD,1757084400000,-5.628936111111e-06
ATOMUSD,1757088000000,-1.505285e-05
ATOMUSD,1757091600000,-9.054268055556e-06
ATOMUSD,1757095200000,-4.973177777778e-06
ATOMUSD,1757098800000,-2.0179e-06
ATOMUSD,1757102400000,8.268044444444e-06
ATOMUSD,1757106000000,3.511790277778e-06
ATOMUSD,1757109600000,-1.106947222222e-06
ATOMUSD,1757113200000,-8.367827777778e-06
ATOMUSD,1757116800000,2.920572222222e-06
ATOMUSD,1757120400000,8.68225e-07
ATOMUSD,1757124000000,3.0765e-06
ATOMUSD,1757127600000,4.478368055556e-06
ATOMUSD,1757131200000,-1.641744444444e-06
ATOMUSD,1757134800000,-2.230383333333e-06
ATOMUSD,1757138400000,-3.577727777778e-06
ATOMUSD,1757142000000,-9.121633333333e-06
ATOMUSD,1757145600000,-1.3383616666667e-05
ATOMUSD,1757149200000,-1.3740172222222e-05
ATOMUSD,1757152800000,-1.742355e-05
ATOMUSD,1757156400000,-1.3608451388889e-05
ATOMUSD,1757160000000,-1.6408926388889e-05
ATOMUSD,1757163600000,-1.9908994444444e-05
ATOMUSD,1757167200000,-2.1250126388889e-05
ATOMUSD,1757170800000,-2.18162125e-05
ATOMUSD,1757174400000,-1.9608652777778e-05
ATOMUSD,1757178000000,-1.6519786111111e-05
ATOMUSD,1757181600000,-2.1983319444444e-05
ATOMUSD,1757185200000,-2.2046973611111e-05
ATOMUSD,1757188800000,-2.7445934722222e-05
ATOMUSD,1757192400000,-2.3150111111111e-05
ATOMUSD,1757196000000,-2.1301376388889e-05
ATOMUSD,1757199600000,-1.7980268055556e-05
ATOMUSD,1757203200000,-1.8854251388889e-05
ATOMUSD,1757206800000,-9.265570833333e-06
ATOMUSD,1757210400000,2.93059722222e-07
ATOMUSD,1757214000000,4.846616666667e-06
ATOMUSD,1757217600000,8.166072222222e-06
ATOMUSD,1757221200000,1.0999565277778e-05
ATOMUSD,1757224800000,1.1244854166667e-05
ATOMUSD,1757228400000,3.857025e-06
ATOMUSD,1757232000000,-1.340248611111e-06
ATOMUSD,1757235600000,-1.0880625e-06
ATOMUSD,1757239200000,1.4157381944444e-05
ATOMUSD,1757242800000,2.19029375e-05
ATOMUSD,1757246400000,2.5483319444444e-05
ATOMUSD,1757250000000,3.5823375e-05
ATOMUSD,1757253600000,3.5142126388889e-05
ATOMUSD,1757257200000,2.6331681944444e-05
ATOMUSD,1757260800000,2.3976076388889e-05
ATOMUSD,1757264400000,1.7473318055556e-05
ATOMUSD,1757268000000,8.664716666667e-06
ATOMUSD,1757271600000,1.860172222222e-06
ATOMUSD,1757275200000,1.402448611111e-06
ATOMUSD,1757278800000,2.516566666667e-06
ATOMUSD,1757282400000,5.058093055556e-06
ATOMUSD,1757286000000,2.969901388889e-06
