symbol,fundingTime,fundingRate
AVAXUSD,1756886400000,1.4705541666667e-05
AVAXUSD,1756890000000,1.8582077777778e-05
AVAXUSD,1756893600000,6.683263888889e-06
AVAXUSD,1756897200000,2.215243055556e-06
AVAXUSD,1756900800000,3.86556944444e-07
AVAXUSD,1756904400000,-8.938495833333e-06
AVAXUSD,1756908000000,-1.1548305555556e-05
AVAXUSD,1756911600000,-1.315375e-07
AVAXUSD,1756915200000,4.630658333333e-06
AVAXUSD,1756918800000,-9.347444444444e-06
AVAXUSD,1756922400000,3.799331944444e-06
AVAXUSD,1756926000000,-1.258240277778e-06
AVAXUSD,1756929600000,9.62265277778e-07
AVAXUSD,1756933200000,-3.759808333333e-06
AVAXUSD,1756936800000,-3.337693055556e-06
AVAXUSD,1756940400000,-9.103905555556e-06
AVAXUSD,1756944000000,-6.256730555556e-06
AVAXUSD,1756947600000,-6.818469444444e-06
AVAXUSD,1756951200000,-6.104997222222e-06
AVAXUSD,1756954800000,-6.175190277778e-06
AVAXUSD,1756958400000,-7.6761375e-06
AVAXUSD,1756962000000,-7.463213888889e-06
AVAXUSD,1756965600000,7.592945833333e-06
AVAXUSD,1756969200000,2.820154166667e-06
AVAXUSD,1756972800000,4.194422222222e-06
AVAXUSD,1756976400000,7.14351388889e-07
AVAXUSD,1756980000000,3.985823611111e-06
AVAXUSD,1756983600000,-1.924463888889e-06
AVAXUSD,1756987200000,-9.658473611111e-06
AVAXUSD,1756990800000,-6.292838888889e-06
AVAXUSD,1756994400000,-3.139765277778e-06
AVAXUSD,1756998000000,-3.400588888889e-06
AVAXUSD,1757001600000,-6.01069444444e-07
AVAXUSD,1757005200000,-7.415943055556e-06
AVAXUSD,1757008800000,-1.3359531944444e-05
AVAXUSD,1757012400000,-1.1948338888889e-05
AVAXUSD,1757016000000,-9.649995833333e-06
AVAXUSD,1757019600000,-1.2367919444444e-05
AVAXUSD,1757023200000,-9.693919444444e-06
AVAXUSD,1757026800000,-1.0439995833333e-05
AVAXUSD,1757030400000,-1.2931251388889e-05
AVAXUSD,1757034000000,-1.0758965277778e-05
AVAXUSD,1757037600000,-3.321698611111e-06
AVAXUSD,1757041200000,-7.073293055556e-06
AVAXUSD,1757044800000,-1.0055595833333e-05
