symbol,fundingTime,fundingRate
BCHUSD,1756886400000,-8.1089125e-06
BCHUSD,1756890000000,-1.959123611111e-06
BCHUSD,1756893600000,-2.4453794444444e-05
BCHUSD,1756897200000,-1.6084375e-05
BCHUSD,1756900800000,-1.5046945833333e-05
BCHUSD,1756904400000,-1.66221e-05
BCHUSD,1756908000000,2.2020244444444e-05
BCHUSD,1756911600000,1.2608729166667e-05
BCHUSD,1756915200000,6.813615277778e-06
BCHUSD,1756918800000,-1.672277777778e-06
BCHUSD,1756922400000,-6.050758333333e-06
BCHUSD,1756926000000,2.186259722222e-06
BCHUSD,1756929600000,1.461190277778e-06
BCHUSD,1756933200000,-4.376315277778e-06
BCHUSD,1756936800000,-9.326979166667e-06
BCHUSD,1756940400000,-2.7827923611111e-05
BCHUSD,1756944000000,-2.3758311111111e-05
BCHUSD,1756947600000,-4.619738888889e-06
BCHUSD,1756951200000,-4.315101388889e-06
BCHUSD,1756954800000,-5.874697222222e-06
BCHUSD,1756958400000,-2.5330793055556e-05
BCHUSD,1756962000000,-9.565172222222e-06
BCHUSD,1756965600000,-1.49709722222e-07
BCHUSD,1756969200000,-7.265986111111e-06
BCHUSD,1756972800000,-1.0771545833333e-05
BCHUSD,1756976400000,-1.6457838888889e-05
BCHUSD,1756980000000,-8.669308333333e-06
BCHUSD,1756983600000,-1.6317280555556e-05
BCHUSD,1756987200000,-9.6499875e-06
BCHUSD,1756990800000,-3.111211111111e-06
BCHUSD,1756994400000,1.625441666667e-06
BCHUSD,1756998000000,9.059945833333e-06
BCHUSD,1757001600000,5.698947222222e-06
BCHUSD,1757005200000,8.260125e-06
BCHUSD,1757008800000,-9.2791666667e-08
BCHUSD,1757012400000,-1.0976897222222e-05
BCHUSD,1757016000000,-2.0232155555556e-05
BCHUSD,1757019600000,1.366008333333e-06
BCHUSD,1757023200000,6.136402777778e-06
BCHUSD,1757026800000,-5.461338888889e-06
BCHUSD,1757030400000,-4.350441666667e-06
BCHUSD,1757034000000,2.455431944444e-06
BCHUSD,1757037600000,-1.536425e-06
BCHUSD,1757041200000,1.686586111111e-06
BCHUSD,1757044800000,-1.8416656944444e-05
BCHUSD,1757048400000,1.5644355555556e-05
BCHUSD,1757052000000,1.4208344444444e-05
BCHUSD,1757055600000,8.657231944444e-06
BCHUSD,1757059200000,-3.4376443055556e-05
BCHUSD,1757062800000,1.1456618055556e-05
BCHUSD,1757066400000,-1.3598943055556e-05
BCHUSD,1757070000000,-1.839545e-05
BCHUSD,1757073600000,-7.93076388889e-07
BCHUSD,1757077200000,-7.204068055556e-06
BCHUSD,1757080800000,-2.4221445833333e-05
BCHUSD,1757084400000,-4.3358879166667e-05
BCHUSD,1757088000000,-3.3879968055556e-05
BCHUSD,1757091600000,-3.2405118055556e-05
BCHUSD,1757095200000,-1.1186586111111e-05
BCHUSD,1757098800000,9.123486111111e-06
BCHUSD,1757102400000,3.71137e-05
BCHUSD,1757106000000,4.6452388888889e-05
BCHUSD,1757109600000,4.4460751388889e-05
BCHUSD,1757113200000,3.9140397222222e-05
BCHUSD,1757116800000,4.009465e-05
BCHUSD,1757120400000,3.7401741666667e-05
BCHUSD,1757124000000,2.9364384722222e-05
BCHUSD,1757127600000,-1.0966666667e-08
BCHUSD,1757131200000,-7.7688875e-06
BCHUSD,1757134800000,-6.712206944444e-06
BCHUSD,1757138400000,2.457595833333e-06
BCHUSD,1757142000000,3.0078583333333e-05
BCHUSD,1757145600000,2.8739976388889e-05
BCHUSD,1757149200000,2.33414375e-05
BCHUSD,1757152800000,1.85836125e-05
BCHUSD,1757156400000,1.6386229166667e-05
BCHUSD,1757160000000,1.0223344444444e-05
BCHUSD,1757163600000,6.458573611111e-06
BCHUSD,1757167200000,9.606877777778e-06
BCHUSD,1757170800000,1.1707652777778e-05
BCHUSD,1757174400000,2.3357404166667e-05
BCHUSD,1757178000000,1.9808570833333e-05
BCHUSD,1757181600000,9.162411111111e-06
BCHUSD,1757185200000,2.0889725e-05
BCHUSD,1757188800000,2.0289890277778e-05
BCHUSD,1757192400000,2.1846076388889e-05
BCHUSD,1757196000000,1.4319940277778e-05
BCHUSD,1757199600000,7.60255e-06
BCHUSD,1757203200000,1.2505593055556e-05
BCHUSD,1757206800000,1.7242538888889e-05
BCHUSD,1757210400000,1.6039836111111e-05
BCHUSD,1757214000000,1.6986966666667e-05
BCHUSD,1757217600000,-2.42315e-05
