symbol,fundingTime,fundingRate
DOGEUSD,1756886400000,6.219243055556e-06
DOGEUSD,1756890000000,5.777741666667e-06
DOGEUSD,1756893600000,1.3946995833333e-05
DOGEUSD,1756897200000,1.6196781944444e-05
DOGEUSD,1756900800000,1.34397e-05
DOGEUSD,1756904400000,2.532388888889e-06
DOGEUSD,1756908000000,5.866420833333e-06
DOGEUSD,1756911600000,1.5223577777778e-05
DOGEUSD,1756915200000,1.2544780555556e-05
DOGEUSD,1756918800000,3.675194444444e-06
DOGEUSD,1756922400000,9.478531944444e-06
DOGEUSD,1756926000000,8.544768055556e-06
DOGEUSD,1756929600000,1.05527875e-05
DOGEUSD,1756933200000,8.133533333333e-06
DOGEUSD,1756936800000,1.0129309722222e-05
DOGEUSD,1756940400000,6.209458333333e-06
DOGEUSD,1756944000000,1.2884869444444e-05
DOGEUSD,1756947600000,1.24948e-05
DOGEUSD,1756951200000,8.879252777778e-06
DOGEUSD,1756954800000,8.012279166667e-06
DOGEUSD,1756958400000,1.0919455555556e-05
DOGEUSD,1756962000000,9.679323611111e-06
DOGEUSD,1756965600000,1.3765406944444e-05
DOGEUSD,1756969200000,2.664690277778e-06
DOGEUSD,1756972800000,-8.22791666667e-07
DOGEUSD,1756976400000,-1.0720933333333e-05
DOGEUSD,1756980000000,-6.234130555556e-06
DOGEUSD,1756983600000,-7.750304166667e-06
DOGEUSD,1756987200000,-6.796561111111e-06
DOGEUSD,1756990800000,7.52193055556e-07
DOGEUSD,1756994400000,1.076822222222e-06
DOGEUSD,1756998000000,4.604843055556e-06
DOGEUSD,1757001600000,-1.426547222222e-06
DOGEUSD,1757005200000,-1.444226388889e-06
DOGEUSD,1757008800000,-2.062544444444e-06
DOGEUSD,1757012400000,-1.908919444444e-06
DOGEUSD,1757016000000,-9.55888888889e-07
DOGEUSD,1757019600000,1.241880555556e-06
DOGEUSD,1757023200000,1.3547e-06
DOGEUSD,1757026800000,1.543829166667e-06
DOGEUSD,1757030400000,-5.908466666667e-06
DOGEUSD,1757034000000,-2.034679166667e-06
DOGEUSD,1757037600000,-8.22331944444e-07
DOGEUSD,1757041200000,3.859722222e-09
