symbol,fundingTime,fundingRate
DOTUSD,1756886400000,1.2200088888889e-05
DOTUSD,1756890000000,1.3314931944444e-05
DOTUSD,1756893600000,3.477868055556e-06
DOTUSD,1756897200000,1.3430990277778e-05
DOTUSD,1756900800000,1.0655548611111e-05
DOTUSD,1756904400000,4.103738888889e-06
DOTUSD,1756908000000,3.903295833333e-06
DOTUSD,1756911600000,9.117327777778e-06
DOTUSD,1756915200000,5.66335e-06
DOTUSD,1756918800000,2.412463888889e-06
DOTUSD,1756922400000,1.6133743055556e-05
DOTUSD,1756926000000,1.6387083333333e-05
DOTUSD,1756929600000,1.6658165277778e-05
DOTUSD,1756933200000,1.1975409722222e-05
DOTUSD,1756936800000,-3.953005555556e-06
DOTUSD,1756940400000,-1.655819444444e-06
DOTUSD,1756944000000,7.713326388889e-06
DOTUSD,1756947600000,1.6315513888889e-05
DOTUSD,1756951200000,6.198290277778e-06
DOTUSD,1756954800000,5.99144444444e-07
DOTUSD,1756958400000,-8.28381944444e-07
DOTUSD,1756962000000,5.003663888889e-06
DOTUSD,1756965600000,1.5027279166667e-05
DOTUSD,1756969200000,1.2710268055556e-05
DOTUSD,1756972800000,8.997873611111e-06
DOTUSD,1756976400000,1.918944444444e-06
DOTUSD,1756980000000,-9.59772222222e-07
DOTUSD,1756983600000,6.364879166667e-06
DOTUSD,1756987200000,1.0493415277778e-05
DOTUSD,1756990800000,9.043348611111e-06
DOTUSD,1756994400000,-1.469097222222e-06
DOTUSD,1756998000000,-2.490119444444e-06
DOTUSD,1757001600000,2.124508333333e-06
DOTUSD,1757005200000,3.39951388889e-07
DOTUSD,1757008800000,6.71302777778e-07
DOTUSD,1757012400000,-4.024125e-06
DOTUSD,1757016000000,-3.070634722222e-06
DOTUSD,1757019600000,2.303176388889e-06
DOTUSD,1757023200000,7.111583333333e-06
DOTUSD,1757026800000,1.2565488888889e-05
DOTUSD,1757030400000,4.419338888889e-06
DOTUSD,1757034000000,-5.08573611111e-07
DOTUSD,1757037600000,4.694880555556e-06
DOTUSD,1757041200000,4.120501388889e-06
DOTUSD,1757044800000,4.63236111111e-07
DOTUSD,1757048400000,7.92669444444e-07
DOTUSD,1757052000000,2.880038888889e-06
DOTUSD,1757055600000,-1.489661111111e-06
DOTUSD,1757059200000,1.6875904166667e-05
DOTUSD,1757062800000,1.9159326388889e-05
DOTUSD,1757066400000,1.7015779166667e-05
DOTUSD,1757070000000,1.5153077777778e-05
DOTUSD,1757073600000,9.959045833333e-06
DOTUSD,1757077200000,5.764505555556e-06
DOTUSD,1757080800000,-1.9720897222222e-05
DOTUSD,1757084400000,-1.1889843055556e-05
DOTUSD,1757088000000,6.689972222222e-06
DOTUSD,1757091600000,1.652422222222e-06
DOTUSD,1757095200000,5.514908333333e-06
DOTUSD,1757098800000,1.3319101388889e-05
DOTUSD,1757102400000,1.5898377777778e-05
DOTUSD,1757106000000,7.524583333333e-06
DOTUSD,1757109600000,-3.080791666667e-06
DOTUSD,1757113200000,8.411477777778e-06
DOTUSD,1757116800000,2.2503066666667e-05
DOTUSD,1757120400000,2.4818279166667e-05
DOTUSD,1757124000000,2.0804418055556e-05
DOTUSD,1757127600000,1.8476759722222e-05
DOTUSD,1757131200000,7.218566666667e-06
DOTUSD,1757134800000,6.665606944444e-06
DOTUSD,1757138400000,-8.64630555556e-07
DOTUSD,1757142000000,1.2648572222222e-05
DOTUSD,1757145600000,-5.247343055556e-06
DOTUSD,1757149200000,-2.074301388889e-06
DOTUSD,1757152800000,1.701656944444e-06
DOTUSD,1757156400000,1.1718504166667e-05
DOTUSD,1757160000000,2.660205e-05
DOTUSD,1757163600000,2.0061044444444e-05
DOTUSD,1757167200000,1.8615670833333e-05
DOTUSD,1757170800000,2.1629555555556e-05
DOTUSD,1757174400000,1.8424051388889e-05
DOTUSD,1757178000000,1.1504316666667e-05
DOTUSD,1757181600000,3.646365277778e-06
DOTUSD,1757185200000,7.347148611111e-06
DOTUSD,1757188800000,1.0621770833333e-05
DOTUSD,1757192400000,9.088341666667e-06
DOTUSD,1757196000000,8.439505555556e-06
DOTUSD,1757199600000,5.594273611111e-06
DOTUSD,1757203200000,-4.194504166667e-06
DOTUSD,1757206800000,-3.202536111111e-06
DOTUSD,1757210400000,1.3277847222222e-05
DOTUSD,1757214000000,2.1385576388889e-05
DOTUSD,1757217600000,2.2032968055556e-05
DOTUSD,1757221200000,1.8907734722222e-05
DOTUSD,1757224800000,1.7654294444444e-05
DOTUSD,1757228400000,1.8367240277778e-05
DOTUSD,1757232000000,1.4251773611111e-05
DOTUSD,1757235600000,1.52245125e-05
DOTUSD,1757239200000,1.0463695833333e-05
DOTUSD,1757242800000,9.144727777778e-06
DOTUSD,1757246400000,1.2911530555556e-05
DOTUSD,1757250000000,1.7490848611111e-05
DOTUSD,1757253600000,2.3232465277778e-05
DOTUSD,1757257200000,2.0873988888889e-05
DOTUSD,1757260800000,2.0263279166667e-05
DOTUSD,1757264400000,1.95744e-05
DOTUSD,1757268000000,1.5363172222222e-05
DOTUSD,1757271600000,-3.031923611111e-06
DOTUSD,1757275200000,-1.524143055556e-06
DOTUSD,1757278800000,1.224895833333e-06
DOTUSD,1757282400000,3.142343055556e-06
DOTUSD,1757286000000,5.511290277778e-06
DOTUSD,1757289600000,-6.126236111111e-06
DOTUSD,1757293200000,2.0997125e-06
DOTUSD,1757296800000,8.375548611111e-06
DOTUSD,1757300400000,1.7265230555556e-05
DOTUSD,1757304000000,2.2202052777778e-05
DOTUSD,1757307600000,1.1813209722222e-05
DOTUSD,1757311200000,1.3633997222222e-05
DOTUSD,1757314800000,6.759848611111e-06
DOTUSD,1757318400000,8.066143055556e-06
DOTUSD,1757322000000,1.0237984722222e-05
DOTUSD,1757325600000,1.3882144444444e-05
DOTUSD,1757329200000,1.2587102777778e-05
DOTUSD,1757332800000,9.325948611111e-06
DOTUSD,1757336400000,1.6362033333333e-05
DOTUSD,1757340000000,4.628481944444e-06
DOTUSD,1757343600000,4.634731944444e-06
DOTUSD,1757347200000,3.631041666667e-06
DOTUSD,1757350800000,-2.438593055556e-06
DOTUSD,1757354400000,-3.188148611111e-06
DOTUSD,1757358000000,3.331240277778e-06
DOTUSD,1757361600000,-8.560276388889e-06
DOTUSD,1757365200000,-4.5246625e-06
DOTUSD,1757368800000,2.094868055556e-06
DOTUSD,1757372400000,-1.1164748611111e-05
DOTUSD,1757376000000,3.657859722222e-06
DOTUSD,1757379600000,9.2723e-06
DOTUSD,1757383200000,1.2344341666667e-05
DOTUSD,1757386800000,2.0012329166667e-05
DOTUSD,1757390400000,9.237652777778e-06
