symbol,fundingTime,fundingRate
ETCUSD,1756886400000,-6.894205555556e-06
ETCUSD,1756890000000,-8.122284722222e-06
ETCUSD,1756893600000,-8.763479166667e-06
ETCUSD,1756897200000,-3.523093055556e-06
ETCUSD,1756900800000,-3.252548611111e-06
ETCUSD,1756904400000,-3.356706944444e-06
ETCUSD,1756908000000,1.597540277778e-06
ETCUSD,1756911600000,2.5227869444444e-05
ETCUSD,1756915200000,4.1403994444444e-05
ETCUSD,1756918800000,3.4625693055556e-05
ETCUSD,1756922400000,3.8489034722222e-05
ETCUSD,1756926000000,3.5413701388889e-05
ETCUSD,1756929600000,2.8398390277778e-05
ETCUSD,1756933200000,2.7390040277778e-05
ETCUSD,1756936800000,2.67653875e-05
ETCUSD,1756940400000,3.1119201388889e-05
ETCUSD,1756944000000,2.6933829166667e-05
ETCUSD,1756947600000,2.0480056944444e-05
ETCUSD,1756951200000,1.5683340277778e-05
ETCUSD,1756954800000,1.1613590277778e-05
ETCUSD,1756958400000,6.211375e-06
ETCUSD,1756962000000,-1.0769605555556e-05
ETCUSD,1756965600000,-1.2835193055556e-05
ETCUSD,1756969200000,-1.2996445833333e-05
ETCUSD,1756972800000,-4.6321375e-06
ETCUSD,1756976400000,-5.531618055556e-06
ETCUSD,1756980000000,2.009366666667e-06
ETCUSD,1756983600000,9.500138888889e-06
ETCUSD,1756987200000,1.436541666667e-06
ETCUSD,1756990800000,1.6193881944444e-05
ETCUSD,1756994400000,1.2472629166667e-05
ETCUSD,1756998000000,-9.97970833333e-07
ETCUSD,1757001600000,-1.3756619444444e-05
ETCUSD,1757005200000,-1.1717138888889e-05
ETCUSD,1757008800000,-1.4751366666667e-05
ETCUSD,1757012400000,-1.0369013888889e-05
ETCUSD,1757016000000,-1.1112072222222e-05
ETCUSD,1757019600000,-4.311408333333e-06
ETCUSD,1757023200000,-1.4293597222222e-05
ETCUSD,1757026800000,-7.595975e-06
ETCUSD,1757030400000,-6.250226388889e-06
ETCUSD,1757034000000,-1.3375494444444e-05
ETCUSD,1757037600000,-7.823908333333e-06
ETCUSD,1757041200000,-8.729977777778e-06
ETCUSD,1757044800000,-1.58712875e-05
ETCUSD,1757048400000,-1.7489318055556e-05
ETCUSD,1757052000000,-1.6284279166667e-05
ETCUSD,1757055600000,6.524072222222e-06
ETCUSD,1757059200000,1.657443055556e-06
ETCUSD,1757062800000,5.133351388889e-06
ETCUSD,1757066400000,1.1339090277778e-05
ETCUSD,1757070000000,1.866827777778e-06
ETCUSD,1757073600000,1.990043055556e-06
ETCUSD,1757077200000,1.4838211111111e-05
ETCUSD,1757080800000,7.165052777778e-06
ETCUSD,1757084400000,-1.2794248611111e-05
ETCUSD,1757088000000,-5.793541666667e-06
ETCUSD,1757091600000,-4.979375e-06
ETCUSD,1757095200000,-1.5433426388889e-05
ETCUSD,1757098800000,-1.5499080555556e-05
ETCUSD,1757102400000,-1.31730375e-05
ETCUSD,1757106000000,-1.3323966666667e-05
ETCUSD,1757109600000,-1.7670023611111e-05
ETCUSD,1757113200000,-1.8018808333333e-05
ETCUSD,1757116800000,-1.7932211111111e-05
