symbol,fundingTime,fundingRate
ETHUSD,1756886400000,8.296144444444e-06
ETHUSD,1756890000000,1.5686184722222e-05
ETHUSD,1756893600000,1.4162448611111e-05
ETHUSD,1756897200000,2.0822851388889e-05
ETHUSD,1756900800000,1.4526277777778e-05
ETHUSD,1756904400000,1.0265540277778e-05
ETHUSD,1756908000000,7.064059722222e-06
ETHUSD,1756911600000,1.0484318055556e-05
ETHUSD,1756915200000,1.2444816666667e-05
ETHUSD,1756918800000,1.1959315277778e-05
ETHUSD,1756922400000,1.0148569444444e-05
ETHUSD,1756926000000,1.7961994444444e-05
ETHUSD,1756929600000,1.7404977777778e-05
ETHUSD,1756933200000,1.2078290277778e-05
ETHUSD,1756936800000,1.9231643055556e-05
ETHUSD,1756940400000,1.4895505555556e-05
ETHUSD,1756944000000,1.1726470833333e-05
ETHUSD,1756947600000,1.3624805555556e-05
ETHUSD,1756951200000,1.44668375e-05
ETHUSD,1756954800000,1.3369380555556e-05
ETHUSD,1756958400000,6.496743055556e-06
ETHUSD,1756962000000,3.307223611111e-06
ETHUSD,1756965600000,7.8119125e-06
ETHUSD,1756969200000,1.0970691666667e-05
ETHUSD,1756972800000,1.0475918055556e-05
ETHUSD,1756976400000,3.940822222222e-06
ETHUSD,1756980000000,6.655044444444e-06
ETHUSD,1756983600000,8.886841666667e-06
ETHUSD,1756987200000,3.055254166667e-06
ETHUSD,1756990800000,4.336973611111e-06
ETHUSD,1756994400000,7.0587625e-06
ETHUSD,1756998000000,1.0342990277778e-05
ETHUSD,1757001600000,6.377873611111e-06
ETHUSD,1757005200000,1.0639601388889e-05
ETHUSD,1757008800000,5.622661111111e-06
ETHUSD,1757012400000,4.648148611111e-06
ETHUSD,1757016000000,7.391019444444e-06
ETHUSD,1757019600000,5.833756944444e-06
ETHUSD,1757023200000,-2.319919444444e-06
ETHUSD,1757026800000,-8.228726388889e-06
ETHUSD,1757030400000,-5.231698611111e-06
ETHUSD,1757034000000,1.36161111111e-07
ETHUSD,1757037600000,9.96129166667e-07
ETHUSD,1757041200000,3.073783333333e-06
ETHUSD,1757044800000,3.002216666667e-06
ETHUSD,1757048400000,5.053525e-06
ETHUSD,1757052000000,6.529429166667e-06
ETHUSD,1757055600000,6.202888888889e-06
ETHUSD,1757059200000,5.528394444444e-06
ETHUSD,1757062800000,9.776556944444e-06
ETHUSD,1757066400000,1.0084795833333e-05
ETHUSD,1757070000000,6.488218055556e-06
ETHUSD,1757073600000,5.1060875e-06
ETHUSD,1757077200000,1.2174097222222e-05
ETHUSD,1757080800000,4.510618055556e-06
ETHUSD,1757084400000,1.2976720833333e-05
ETHUSD,1757088000000,1.2645729166667e-05
ETHUSD,1757091600000,1.0807480555556e-05
ETHUSD,1757095200000,4.422219444444e-06
ETHUSD,1757098800000,5.184706944444e-06
ETHUSD,1757102400000,5.030801388889e-06
ETHUSD,1757106000000,4.898522222222e-06
ETHUSD,1757109600000,3.029361111111e-06
ETHUSD,1757113200000,9.994173611111e-06
ETHUSD,1757116800000,1.2077336111111e-05
ETHUSD,1757120400000,1.0819291666667e-05
ETHUSD,1757124000000,1.0285316666667e-05
ETHUSD,1757127600000,1.1201355555556e-05
ETHUSD,1757131200000,9.538563888889e-06
ETHUSD,1757134800000,1.2001727777778e-05
ETHUSD,1757138400000,1.1217983333333e-05
ETHUSD,1757142000000,1.2399780555556e-05
ETHUSD,1757145600000,1.3154716666667e-05
ETHUSD,1757149200000,1.2725452777778e-05
ETHUSD,1757152800000,1.0031545833333e-05
ETHUSD,1757156400000,1.3826644444444e-05
ETHUSD,1757160000000,1.2851795833333e-05
ETHUSD,1757163600000,1.3713886111111e-05
ETHUSD,1757167200000,1.36124125e-05
ETHUSD,1757170800000,1.2344441666667e-05
ETHUSD,1757174400000,9.4028875e-06
ETHUSD,1757178000000,-2.29423611111e-07
