symbol,fundingTime,fundingRate
FILUSD,1756886400000,1.686331944444e-06
FILUSD,1756890000000,4.059079166667e-06
FILUSD,1756893600000,1.664511111111e-06
FILUSD,1756897200000,9.503475e-06
FILUSD,1756900800000,1.0483344444444e-05
FILUSD,1756904400000,1.905809722222e-06
FILUSD,1756908000000,7.725395833333e-06
FILUSD,1756911600000,3.270052777778e-06
FILUSD,1756915200000,4.0484125e-06
FILUSD,1756918800000,5.900101388889e-06
FILUSD,1756922400000,1.4940069444444e-05
FILUSD,1756926000000,1.4552015277778e-05
FILUSD,1756929600000,1.1171701388889e-05
FILUSD,1756933200000,1.4961577777778e-05
FILUSD,1756936800000,1.4796429166667e-05
FILUSD,1756940400000,1.0413084722222e-05
FILUSD,1756944000000,1.5018033333333e-05
FILUSD,1756947600000,7.743779166667e-06
FILUSD,1756951200000,5.888627777778e-06
FILUSD,1756954800000,-2.108522222222e-06
FILUSD,1756958400000,-3.024665277778e-06
FILUSD,1756962000000,-1.7089025e-05
FILUSD,1756965600000,-1.4559741666667e-05
FILUSD,1756969200000,-9.883984722222e-06
FILUSD,1756972800000,-6.8163875e-06
FILUSD,1756976400000,6.658015277778e-06
FILUSD,1756980000000,5.292180555556e-06
FILUSD,1756983600000,1.0328830555556e-05
FILUSD,1756987200000,1.029379166667e-06
FILUSD,1756990800000,-2.9981125e-06
FILUSD,1756994400000,-5.446694444444e-06
FILUSD,1756998000000,-3.497119444444e-06
FILUSD,1757001600000,3.34438888889e-07
FILUSD,1757005200000,-9.5265875e-06
FILUSD,1757008800000,-6.635527777778e-06
FILUSD,1757012400000,-1.5101555555556e-05
FILUSD,1757016000000,-1.8418623611111e-05
FILUSD,1757019600000,-7.371065277778e-06
FILUSD,1757023200000,-1.2736248611111e-05
FILUSD,1757026800000,-8.974126388889e-06
FILUSD,1757030400000,-1.8921779166667e-05
FILUSD,1757034000000,-7.656286111111e-06
FILUSD,1757037600000,-5.692870833333e-06
FILUSD,1757041200000,-8.151052777778e-06
FILUSD,1757044800000,-8.494986111111e-06
FILUSD,1757048400000,-8.18025e-06
FILUSD,1757052000000,-1.692209722222e-06
FILUSD,1757055600000,-4.015226388889e-06
FILUSD,1757059200000,1.925972222222e-06
FILUSD,1757062800000,5.964922222222e-06
FILUSD,1757066400000,6.298326388889e-06
FILUSD,1757070000000,4.256927777778e-06
FILUSD,1757073600000,9.25773611111e-07
FILUSD,1757077200000,-2.61341666667e-07
FILUSD,1757080800000,5.719511111111e-06
FILUSD,1757084400000,2.804465277778e-06
FILUSD,1757088000000,1.3452104166667e-05
FILUSD,1757091600000,1.3995983333333e-05
FILUSD,1757095200000,5.060656944444e-06
FILUSD,1757098800000,1.0055755555556e-05
FILUSD,1757102400000,3.9745e-06
FILUSD,1757106000000,1.1305815277778e-05
FILUSD,1757109600000,5.532445833333e-06
FILUSD,1757113200000,9.6769125e-06
FILUSD,1757116800000,-1.231098611111e-06
FILUSD,1757120400000,5.185363888889e-06
FILUSD,1757124000000,8.086280555556e-06
FILUSD,1757127600000,6.374658333333e-06
FILUSD,1757131200000,2.762580555556e-06
FILUSD,1757134800000,1.775905555556e-06
FILUSD,1757138400000,1.2994641666667e-05
FILUSD,1757142000000,1.5360527777778e-05
FILUSD,1757145600000,9.594165277778e-06
FILUSD,1757149200000,4.946861111111e-06
FILUSD,1757152800000,2.031298611111e-06
FILUSD,1757156400000,1.852541666667e-06
FILUSD,1757160000000,8.128906944444e-06
FILUSD,1757163600000,6.530954166667e-06
FILUSD,1757167200000,1.1043368055556e-05
FILUSD,1757170800000,8.772325e-06
FILUSD,1757174400000,4.835773611111e-06
FILUSD,1757178000000,9.577197222222e-06
FILUSD,1757181600000,-5.61006944444e-07
FILUSD,1757185200000,-4.439402777778e-06
FILUSD,1757188800000,-1.1128972222222e-05
FILUSD,1757192400000,-5.42625e-06
FILUSD,1757196000000,-1.235880555556e-06
FILUSD,1757199600000,-2.4043055556e-08
FILUSD,1757203200000,-4.281104166667e-06
FILUSD,1757206800000,-1.686784722222e-06
FILUSD,1757210400000,1.490643055556e-06
FILUSD,1757214000000,5.456391666667e-06
FILUSD,1757217600000,4.114709722222e-06
FILUSD,1757221200000,4.785497222222e-06
