symbol,fundingTime,fundingRate
INJUSD,1756886400000,-4.819372222222e-06
INJUSD,1756890000000,-6.053513888889e-06
INJUSD,1756893600000,-5.660943055556e-06
INJUSD,1756897200000,-7.145970833333e-06
INJUSD,1756900800000,-1.1800083333333e-05
INJUSD,1756904400000,-7.298098611111e-06
INJUSD,1756908000000,-2.4340743055556e-05
INJUSD,1756911600000,-1.7034869444444e-05
INJUSD,1756915200000,-1.76192375e-05
INJUSD,1756918800000,-1.1280027777778e-05
INJUSD,1756922400000,4.846380555556e-06
INJUSD,1756926000000,-7.56031944444e-07
INJUSD,1756929600000,6.8222125e-06
INJUSD,1756933200000,1.44509722222e-07
INJUSD,1756936800000,-3.323398611111e-06
INJUSD,1756940400000,-7.372509722222e-06
INJUSD,1756944000000,9.129609722222e-06
INJUSD,1756947600000,9.373391666667e-06
INJUSD,1756951200000,9.070779166667e-06
INJUSD,1756954800000,2.7985375e-06
INJUSD,1756958400000,6.271680555556e-06
INJUSD,1756962000000,1.0380827777778e-05
INJUSD,1756965600000,1.0462558333333e-05
INJUSD,1756969200000,1.1810197222222e-05
INJUSD,1756972800000,3.0088275e-05
INJUSD,1756976400000,2.0897768055556e-05
INJUSD,1756980000000,2.3144029166667e-05
INJUSD,1756983600000,3.1374243055556e-05
INJUSD,1756987200000,3.5050134722222e-05
INJUSD,1756990800000,3.3671288888889e-05
INJUSD,1756994400000,2.5482740277778e-05
INJUSD,1756998000000,4.2015318055556e-05
INJUSD,1757001600000,2.0223376388889e-05
INJUSD,1757005200000,1.9243781944444e-05
INJUSD,1757008800000,7.873568055556e-06
INJUSD,1757012400000,9.701893055556e-06
INJUSD,1757016000000,3.966752777778e-06
INJUSD,1757019600000,3.08655e-06
INJUSD,1757023200000,6.302190277778e-06
INJUSD,1757026800000,-1.266543055556e-06
INJUSD,1757030400000,5.118411111111e-06
INJUSD,1757034000000,6.288268055556e-06
INJUSD,1757037600000,1.06380625e-05
INJUSD,1757041200000,1.278670833333e-06
INJUSD,1757044800000,-2.391826388889e-06
INJUSD,1757048400000,-1.2254229166667e-05
INJUSD,1757052000000,-1.0875020833333e-05
INJUSD,1757055600000,-3.645572222222e-06
INJUSD,1757059200000,7.135875e-07
INJUSD,1757062800000,-6.467230555556e-06
INJUSD,1757066400000,-4.721804166667e-06
INJUSD,1757070000000,-1.5397961111111e-05
INJUSD,1757073600000,-1.4704141666667e-05
INJUSD,1757077200000,-6.752729166667e-06
INJUSD,1757080800000,3.369376388889e-06
INJUSD,1757084400000,-3.79732625e-05
INJUSD,1757088000000,-9.483841666667e-06
INJUSD,1757091600000,-1.4689483333333e-05
INJUSD,1757095200000,-2.24772e-05
INJUSD,1757098800000,2.656676388889e-06
INJUSD,1757102400000,3.1142594444444e-05
INJUSD,1757106000000,3.6192026388889e-05
INJUSD,1757109600000,2.7987179166667e-05
INJUSD,1757113200000,3.7943852777778e-05
INJUSD,1757116800000,5.1468018055556e-05
INJUSD,1757120400000,4.0530106944444e-05
INJUSD,1757124000000,3.6330761111111e-05
INJUSD,1757127600000,3.7657048611111e-05
INJUSD,1757131200000,4.6206e-05
INJUSD,1757134800000,4.8536334722222e-05
INJUSD,1757138400000,3.6689318055556e-05
INJUSD,1757142000000,4.4270909722222e-05
INJUSD,1757145600000,3.4402676388889e-05
INJUSD,1757149200000,3.5657981944444e-05
INJUSD,1757152800000,3.3684172222222e-05
INJUSD,1757156400000,4.1479818055556e-05
INJUSD,1757160000000,3.15953875e-05
INJUSD,1757163600000,2.9232930555556e-05
INJUSD,1757167200000,2.0352963888889e-05
INJUSD,1757170800000,2.9835170833333e-05
INJUSD,1757174400000,3.5348223611111e-05
INJUSD,1757178000000,3.4478958333333e-05
INJUSD,1757181600000,2.8658761111111e-05
INJUSD,1757185200000,3.30357375e-05
INJUSD,1757188800000,3.7066701388889e-05
INJUSD,1757192400000,4.8106359722222e-05
INJUSD,1757196000000,3.5392888888889e-05
INJUSD,1757199600000,3.9409083333333e-05
INJUSD,1757203200000,2.7674497222222e-05
INJUSD,1757206800000,3.1667311111111e-05
INJUSD,1757210400000,2.8274988888889e-05
INJUSD,1757214000000,3.1959923611111e-05
INJUSD,1757217600000,3.5291859722222e-05
INJUSD,1757221200000,3.5373376388889e-05
INJUSD,1757224800000,4.2737861111111e-05
INJUSD,1757228400000,4.3211756944444e-05
INJUSD,1757232000000,4.1388929166667e-05
INJUSD,1757235600000,3.9583516666667e-05
INJUSD,1757239200000,2.2290434722222e-05
INJUSD,1757242800000,3.6660265277778e-05
INJUSD,1757246400000,7.0082623611111e-05
INJUSD,1757250000000,6.0915284722222e-05
INJUSD,1757253600000,5.6319001388889e-05
INJUSD,1757257200000,5.2270805555556e-05
INJUSD,1757260800000,4.47307e-05
INJUSD,1757264400000,3.31898375e-05
INJUSD,1757268000000,2.8624265277778e-05
INJUSD,1757271600000,2.2222381944444e-05
INJUSD,1757275200000,2.6568538888889e-05
INJUSD,1757278800000,2.7415361111111e-05
INJUSD,1757282400000,1.4673926388889e-05
INJUSD,1757286000000,2.51887625e-05
INJUSD,1757289600000,2.1436348611111e-05
INJUSD,1757293200000,2.4617343055556e-05
INJUSD,1757296800000,2.8842765277778e-05
INJUSD,1757300400000,3.2027315277778e-05
INJUSD,1757304000000,2.2096770833333e-05
INJUSD,1757307600000,2.2071930555556e-05
INJUSD,1757311200000,1.7282547222222e-05
INJUSD,1757314800000,1.2376451388889e-05
INJUSD,1757318400000,8.710591666667e-06
INJUSD,1757322000000,2.0179291666667e-05
INJUSD,1757325600000,1.370385e-05
INJUSD,1757329200000,2.4503906944444e-05
INJUSD,1757332800000,4.14344125e-05
INJUSD,1757336400000,3.8736209722222e-05
INJUSD,1757340000000,2.8576573611111e-05
INJUSD,1757343600000,1.499235e-05
INJUSD,1757347200000,9.633880555556e-06
INJUSD,1757350800000,5.455608333333e-06
INJUSD,1757354400000,2.582584722222e-06
INJUSD,1757358000000,8.872118055556e-06
INJUSD,1757361600000,1.470530555556e-06
INJUSD,1757365200000,1.890723611111e-06
INJUSD,1757368800000,1.60703375e-05
INJUSD,1757372400000,2.6704831944444e-05
INJUSD,1757376000000,3.7075909722222e-05
INJUSD,1757379600000,3.9182783333333e-05
INJUSD,1757383200000,3.0465397222222e-05
INJUSD,1757386800000,3.0146184722222e-05
INJUSD,1757390400000,3.59703e-05
INJUSD,1757394000000,3.3636893055556e-05
INJUSD,1757397600000,3.0699284722222e-05
INJUSD,1757401200000,3.9805969444444e-05
INJUSD,1757404800000,2.5063356944444e-05
INJUSD,1757408400000,1.5646647222222e-05
INJUSD,1757412000000,-4.7679977777778e-05
INJUSD,1757415600000,-4.1954143817204e-05
INJUSD,1757419200000,-3.7695696236559e-05
INJUSD,1757422800000,-2.6580386111111e-05
INJUSD,1757426400000,-3.9313488888889e-05
INJUSD,1757430000000,-3.9820068055556e-05
INJUSD,1757433600000,-2.7257959722222e-05
INJUSD,1757437200000,-3.6727705555556e-05
INJUSD,1757440800000,-3.8104394444444e-05
INJUSD,1757444400000,-3.4768084722222e-05
INJUSD,1757448000000,-2.3805443055556e-05
INJUSD,1757451600000,-9.865509722222e-06
INJUSD,1757455200000,-1.9200472222222e-05
INJUSD,1757458800000,-8.362772222222e-06
INJUSD,1757462400000,-7.954647222222e-06
INJUSD,1757466000000,-5.6363e-06
INJUSD,1757469600000,5.832184722222e-06
INJUSD,1757473200000,-4.4385875e-06
INJUSD,1757476800000,-2.633502777778e-06
INJUSD,1757480400000,-4.674034722222e-06
INJUSD,1757484000000,7.37620833333e-07
INJUSD,1757487600000,3.673273611111e-06
INJUSD,1757491200000,-2.565291666667e-06
INJUSD,1757494800000,1.597177419355e-06
INJUSD,1757498400000,5.052984567901e-06
INJUSD,1757502000000,-3.785551388889e-06
INJUSD,1757505600000,1.515094444444e-06
INJUSD,1757509200000,1.22205e-05
INJUSD,1757512800000,1.2969223611111e-05
INJUSD,1757516400000,1.2201811111111e-05
