symbol,fundingTime,fundingRate
LINKUSD,1756886400000,6.519830555556e-06
LINKUSD,1756890000000,1.0255898611111e-05
LINKUSD,1756893600000,1.1491140277778e-05
LINKUSD,1756897200000,8.1417125e-06
LINKUSD,1756900800000,4.299473611111e-06
LINKUSD,1756904400000,2.293431944444e-06
LINKUSD,1756908000000,-6.1856944444e-08
LINKUSD,1756911600000,-3.252422222222e-06
LINKUSD,1756915200000,-4.179002777778e-06
LINKUSD,1756918800000,-1.5049634722222e-05
LINKUSD,1756922400000,-8.742445833333e-06
LINKUSD,1756926000000,-5.472527777778e-06
LINKUSD,1756929600000,1.2460730555556e-05
LINKUSD,1756933200000,1.206572222222e-06
LINKUSD,1756936800000,3.9269444444e-08
LINKUSD,1756940400000,4.813226388889e-06
LINKUSD,1756944000000,2.220891666667e-06
LINKUSD,1756947600000,9.684786111111e-06
LINKUSD,1756951200000,6.647188888889e-06
LINKUSD,1756954800000,-8.78109722222e-07
LINKUSD,1756958400000,-2.098765277778e-06
LINKUSD,1756962000000,-1.0529908333333e-05
LINKUSD,1756965600000,-2.204875e-07
LINKUSD,1756969200000,-7.154459722222e-06
LINKUSD,1756972800000,-6.169284722222e-06
LINKUSD,1756976400000,-7.425219444444e-06
LINKUSD,1756980000000,-6.017123611111e-06
LINKUSD,1756983600000,-6.91105e-06
LINKUSD,1756987200000,-3.8212125e-06
LINKUSD,1756990800000,-1.7129868055556e-05
LINKUSD,1756994400000,2.84125e-08
LINKUSD,1756998000000,1.1557233333333e-05
LINKUSD,1757001600000,2.6694359722222e-05
LINKUSD,1757005200000,2.6804527777778e-05
LINKUSD,1757008800000,2.6862604166667e-05
LINKUSD,1757012400000,2.0541791666667e-05
LINKUSD,1757016000000,4.869240277778e-06
LINKUSD,1757019600000,5.700829166667e-06
LINKUSD,1757023200000,-1.238961111111e-06
LINKUSD,1757026800000,1.9768831944444e-05
LINKUSD,1757030400000,1.3563834722222e-05
LINKUSD,1757034000000,1.747256944444e-06
LINKUSD,1757037600000,1.1672495833333e-05
LINKUSD,1757041200000,-2.901401388889e-06
LINKUSD,1757044800000,4.02194444444e-07
LINKUSD,1757048400000,4.732527777778e-06
LINKUSD,1757052000000,4.223806944444e-06
LINKUSD,1757055600000,1.4677198611111e-05
LINKUSD,1757059200000,2.9037679166667e-05
LINKUSD,1757062800000,2.9248279166667e-05
